EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,PlusMinus,OffPoss,FtPoints,Points,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Minutes,ShortMidRangeFGA,FG2A,OpponentPoints,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG3A,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,DefThreePtRebounds,Charge Fouls Drawn,DefThreePtReboundPct,DefArc3ReboundPct,AtRimFGM,AtRimFGA,PtsUnassisted2s,AtRimAssists,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,FG3M,SecondChanceFG2A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,FTDefRebounds,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,PenaltyOffPoss,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,Corner3Assists,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFtPoints,Travels,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffArc3ReboundPct,DefAtRimReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG3M,SecondChancePoints,PtsPutbacks,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,Charge Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,AtRimPctBlocked,BlocksRecoveredPct,PenaltyArc3FGM,BadPassOutOfBoundsTurnovers,PenaltyArc3Accuracy,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,Loose Ball Fouls Drawn,BlockedAtRim,OffAtRimReboundPct,SecondChanceFtPoints,PtsUnassisted3s,SelfOReb,SelfORebPct,Technical Free Throw Trips,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFg2Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,DefCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,StepOutOfBoundsTurnovers,3SecondViolations,Offensive Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Offensive Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,LongMidRangePctBlocked,HeaveAttempts,team_id,year,season,team_vs
1627671-1628286-1630114-203018-203824,1611661324,"Rachel Banham, Erica McCall, Mikiah Herbert Harrigan, Shenise Johnson, Odyssey Sims","Banham, McCall, Herbert Harrigan, Johnson, Sims",1627671-1628286-1630114-203018-203824,MIN,20.0,1,1.0,1.0,1.0,72.0,20.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1627671-1629483-202640-203018-203405,1611661324,"Rachel Banham, Napheesa Collier, Karima Christmas-Kelly, Shenise Johnson, Kayla Alexander","Banham, Collier, Christmas-Kelly, Johnson, Alexander",1627671-1629483-202640-203018-203405,MIN,10.0,1,,,1.0,144.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,10.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1628882-1629483-1630101-201480-202640,1611661324,"Lexie Brown, Napheesa Collier, Crystal Dangerfield, Sylvia Fowles, Karima Christmas-Kelly","Brown, Collier, Dangerfield, Fowles, Christmas-Kelly",1628882-1629483-1630101-201480-202640,MIN,48.0,1,2.0,,3.0,90.0,14.5,14.5,-2.0,1.0,,,1.0,,,,,19.0,19.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4112,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1628882-201480-202640-203018-203024,1611661324,"Lexie Brown, Sylvia Fowles, Karima Christmas-Kelly, Shenise Johnson, Damiris Dantas","Brown, Fowles, Christmas-Kelly, Johnson, Dantas",1628882-201480-202640-203018-203024,MIN,182.0,1,6.0,,11.0,87.03296703296704,12.5,12.5,-2.0,5.0,2.0,6.0,2.0,4.0,2.0,6.0,0.42857142857142855,21.4,19.0,0.2857142857142857,0.3333333333333333,3.0,3.0,4.0,8.0,,,,2.0,,,,,,,,0.6,0.44367999999999996,10.275,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,0.2,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,1.0,0.2,1.0,0.2,0.5736,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1629524-1630101-1630114-203018-203405,1611661324,"Bridget Carleton, Crystal Dangerfield, Mikiah Herbert Harrigan, Shenise Johnson, Kayla Alexander","Carleton, Dangerfield, Herbert Harrigan, Johnson, Alexander",1629524-1630101-1630114-203018-203405,MIN,17.0,1,,,1.0,84.70588235294117,,,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,17.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1629524-1630101-203018-203024-203405,1611661324,"Bridget Carleton, Crystal Dangerfield, Shenise Johnson, Damiris Dantas, Kayla Alexander","Carleton, Dangerfield, Johnson, Dantas, Alexander",1629524-1630101-203018-203024-203405,MIN,64.0,1,2.0,,4.0,90.0,14.0,14.0,,2.0,,,1.0,,,,,18.0,18.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,0.367,18.9,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1627671-1629483-203018-203405-203824,1611661324,"Rachel Banham, Napheesa Collier, Shenise Johnson, Kayla Alexander, Odyssey Sims","Banham, Collier, Johnson, Alexander, Sims",1627671-1629483-203018-203405-203824,MIN,108.0,1,3.0,,6.0,80.0,21.0,13.0,-2.0,3.0,,4.0,,,,4.0,0.6666666666666666,15.0,15.0,,,2.0,,3.0,6.0,,,,,,,,,,,,,0.37820000000000004,7.5,,,,1.0,,,2.0,,,2.0,,1.0,1.0,,,2.0,,,,,,,,0.5,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,0.3333333333333333,,,,,,0.6666666666666666,,,,,,,2.0,2.0,2.0,1.0,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1627671-1628882-1629483-1629524-203405,1611661324,"Rachel Banham, Lexie Brown, Napheesa Collier, Bridget Carleton, Kayla Alexander","Banham, Brown, Collier, Carleton, Alexander",1627671-1628882-1629483-1629524-203405,MIN,132.0,2,4.0,,8.0,87.27272727272727,16.25,15.75,-1.0,4.0,,3.0,,,,3.0,0.375,16.75,11.5,,,2.0,1.0,2.0,4.0,1.0,,2.0,4.0,1.0,2.0,0.5,1.0,,0.5,,0.25,0.4265875,10.65,1.0,,,1.0,1.0,,,2.0,1.0,,1.0,,1.0,,,3.0,1.0,2.0,1.0,,1.0,,2.0,,,,0.375,0.5,0.5,0.5,0.6666666666666666,1.0,,,,0.25,,,,0.25,,0.5,0.3605,25.0,1.0,,0.5,0.5,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1627671-1628882-1629524-1630114-201480,1611661324,"Rachel Banham, Lexie Brown, Bridget Carleton, Mikiah Herbert Harrigan, Sylvia Fowles","Banham, Brown, Carleton, Herbert Harrigan, Fowles",1627671-1628882-1629524-1630114-201480,MIN,161.0,2,6.0,3.0,12.0,107.32919254658385,13.166666666666666,13.166666666666666,-3.0,6.0,,3.0,1.0,,,3.0,0.5,13.666666666666666,13.666666666666666,,,3.0,,1.0,6.0,,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,,,0.4535833333333333,17.2,,,,1.0,1.0,,,2.0,,,1.0,,1.0,,,3.0,,,1.0,,2.0,2.0,2.0,,,,0.5,0.6666666666666666,1.0,,,,,,,0.3333333333333333,,,,0.3333333333333333,,0.6666666666666666,,24.75,,,,,,,,,,,,,1.0,,,1.0,,3.0,,1.0,,,,1.0,,,,1.0,0.5,0.5,,,,0.3333333333333333,,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4535833333333333,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
1627671-1628882-1630101-201480-203024,1611661324,"Rachel Banham, Lexie Brown, Crystal Dangerfield, Sylvia Fowles, Damiris Dantas","Banham, Brown, Dangerfield, Fowles, Dantas",1627671-1628882-1630101-201480-203024,MIN,113.0,1,4.0,1.0,9.0,114.69026548672566,14.75,14.75,2.0,5.0,2.0,2.0,1.0,2.0,,2.0,0.25,10.8,10.8,,,2.0,2.0,2.0,,,1.0,2.0,3.0,,1.0,,,1.0,1.0,,0.6666666666666666,0.46121666666666666,8.45,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,1.0,,,1.0,,,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.3333333333333333,,24.7,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,5.0,,,,1.0,2.0,,1.0,2.0,,,2.0,5.0,,,0.25,,,,,,,0.3333333333333333,0.46121666666666666,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2020,2020,True
