EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefTwoPtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,Steals,BadPassSteals,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,OffThreePtRebounds,BlockingFouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,OffThreePtReboundPct,OffArc3ReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,Corner3Assists,LostBallTurnovers,PenaltyTurnovers,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,LongMidRangeFGM,SecondChanceArc3FGA,FTDefRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Offensive Fouls Drawn,BlockedShortMidRange,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,3SecondViolations,ShortMidRangePctBlocked,Travels,SecondChanceCorner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,LongMidRangeAssists,SecondChanceFg3Pct,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,LongMidRangePctBlocked,ShortMidRangeAssists,ShortMidRangePctAssisted,HeaveAttempts,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,LostBallSteals,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,Loose Ball Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,Clear Path Fouls,3pt And 1 Free Throw Trips,BlockedArc3,Corner3PctBlocked,team_id,year,season,team_vs
101039-1627685-202640-203017-203824,1611661321,"Erin Phillips, Ruth Hamblin, Karima Christmas-Kelly, Glory Johnson, Odyssey Sims","Phillips, Hamblin, Christmas-Kelly, Johnson, Sims",101039-1627685-202640-203017-203824,DAL,194.0,2,3.0,-5.0,5.0,6.0,2.0,2.0,11.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,7.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.6,1.0,0.25,0.5,1.0,0.3333333333333333,1.0,81.64948453608247,15.0,19.833333333333332,9.8,17.0,0.42857142857142855,0.3333333333333333,0.5,1.0,0.42857142857142855,0.14285714285714285,0.5,0.25,0.5714285714285714,0.43157142857142855,0.440925,10.016666666666667,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
101039-201907-202640-203824-203835,1611661321,"Erin Phillips, Courtney Paris, Karima Christmas-Kelly, Odyssey Sims, Jordan Hooper","Phillips, Paris, Christmas-Kelly, Sims, Hooper",101039-201907-202640-203824-203835,DAL,371.0,2,6.0,-1.0,12.0,12.0,2.0,1.0,24.0,4.0,4.0,1.0,,1.0,,4.0,6.0,4.0,14.0,15.0,1.0,,6.0,,3.0,4.0,3.0,9.0,1.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0,,,,11.0,0.75,1.0,0.6666666666666666,0.55,0.6363636363636364,0.4,,,0.5,0.5,0.8,0.2,,,0.5,93.15363881401616,14.166666666666666,16.75,14.166666666666666,16.5,0.4,1.0,1.0,0.75,,0.1,1.0,,0.8,0.5098550000000001,0.6594,5.266666666666667,24.1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,0.3333333333333333,1.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.2,0.2,0.3,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.49371666666666664,0.18181818181818182,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
100888-101039-1627672-1627685-203824,1611661321,"Plenette Pierson, Erin Phillips, Aerial Powers, Ruth Hamblin, Odyssey Sims","Pierson, Phillips, Powers, Hamblin, Sims",100888-101039-1627672-1627685-203824,DAL,197.0,2,3.0,3.0,7.0,7.0,4.0,,14.0,3.0,4.0,,,,,4.0,6.0,,11.0,8.0,,,2.0,,1.0,1.0,1.0,2.0,,2.0,2.0,,2.0,,,2.0,3.0,,,,1.0,11.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.7857142857142857,,,,,0.6666666666666666,0.5,,,,0.5,102.33502538071066,13.857142857142858,14.285714285714286,13.857142857142858,13.428571428571429,0.6666666666666666,0.75,0.75,0.3333333333333333,,,,,0.6666666666666666,0.5549833333333333,,5.166666666666667,,4.0,,1.0,1.0,2.0,,,,,3.0,,,,2.0,3.0,,2.0,6.0,6.0,,,,,,,,,,,2.0,,3.0,1.0,1.0,6.0,4.0,,,,,,0.6666666666666666,,0.6666666666666666,,0.75,,,,,,,,0.3333333333333333,,,,,,0.3333333333333333,1.0,,,0.5019666666666667,0.16666666666666666,0.16666666666666666,,0.5454545454545454,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
100888-101039-1627672-202640-203824,1611661321,"Plenette Pierson, Erin Phillips, Aerial Powers, Karima Christmas-Kelly, Odyssey Sims","Pierson, Phillips, Powers, Christmas-Kelly, Sims",100888-101039-1627672-202640-203824,DAL,146.0,3,2.0,2.0,6.0,6.0,1.0,1.0,12.0,1.0,1.0,,,,,3.0,3.0,1.0,9.0,7.0,1.0,,2.0,,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,3.0,,1.0,2.0,2.0,,,,,7.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.75,0.25,,,,1.0,0.6666666666666666,1.0,,,1.0,118.35616438356165,9.5,14.833333333333334,8.166666666666666,14.166666666666666,0.25,1.0,1.0,1.0,,,,,0.5,0.4421125,0.3485,3.733333333333333,23.1,2.0,,,,2.0,,,1.0,,3.0,1.0,,2.0,,,,3.0,3.0,4.0,,,1.0,,,,1.0,,1.0,1.0,5.0,,6.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,0.75,1.0,0.5,,0.5,,,,0.5,0.25,,,,,,,,,,0.25,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,2.0,1.0,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
100888-101039-1627672-202640-203839,1611661321,"Plenette Pierson, Erin Phillips, Aerial Powers, Karima Christmas-Kelly, Tiffany Bias","Pierson, Phillips, Powers, Christmas-Kelly, Bias",100888-101039-1627672-202640-203839,DAL,48.0,1,1.0,1.0,2.0,2.0,2.0,,4.0,,,,,1.0,,,,1.0,3.0,2.0,,,,,,1.0,,3.0,,,1.0,,1.0,,1.0,,,,,,,3.0,,,,1.5,1.5,1.0,,,,,1.0,,,,,120.0,13.0,11.0,13.0,11.0,,,,,,1.0,,,1.0,0.609,,,24.1,2.0,,,,,1.0,,,1.0,,,,,,,1.0,,3.0,,3.0,,,,1.0,,1.0,,1.0,,,,,,,3.0,2.0,,1.0,1.0,1.0,,,,1.5,,1.5,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,0.609,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
100888-101039-1627672-203824-203849,1611661321,"Plenette Pierson, Erin Phillips, Aerial Powers, Odyssey Sims, Theresa Plaisance","Pierson, Phillips, Powers, Sims, Plaisance",100888-101039-1627672-203824-203849,DAL,448.0,5,7.0,7.0,18.0,17.0,,2.0,35.0,2.0,5.0,,2.0,2.0,,4.0,10.0,5.0,16.0,9.0,1.0,1.0,,1.0,,1.0,,3.0,1.0,,6.0,3.0,9.0,3.0,4.0,,1.0,,1.0,,1.0,14.0,,,0.4,0.36666666666666664,0.4444444444444444,0.3333333333333333,0.1,0.2,0.16666666666666666,,0.625,0.3,0.3333333333333333,,,112.5,13.61111111111111,11.941176470588236,12.833333333333334,11.411764705882353,0.3333333333333333,0.4,0.5,,0.13333333333333333,0.13333333333333333,,,0.6666666666666666,0.48506333333333335,0.3406,7.42,24.080000000000002,3.0,,1.0,2.0,3.0,,1.0,3.0,1.0,5.0,1.0,,2.0,1.0,2.0,,2.0,4.0,8.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,,1.0,,5.0,,5.0,,2.0,4.0,3.0,,1.0,0.2,0.2,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.25,1.0,,1.0,1.0,1.0,,0.2,0.2,0.3333333333333333,0.3333333333333333,1.0,,1.0,0.5,,0.3333333333333333,0.682,0.11764705882352941,0.16666666666666666,0.125,0.25,0.16666666666666666,1.0,5.0,5.0,1.0,,,1.0,,,1.0,0.3333333333333333,0.3333333333333333,2.0,,1.0,,0.5,1.0,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
100888-101039-201907-202640-204331,1611661321,"Plenette Pierson, Erin Phillips, Courtney Paris, Karima Christmas-Kelly, Brianna Kiesel","Pierson, Phillips, Paris, Christmas-Kelly, Kiesel",100888-101039-201907-202640-204331,DAL,99.0,2,2.0,2.0,2.0,2.0,,,4.0,1.0,1.0,,1.0,,,2.0,2.0,,4.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,4.0,,,1.0,1.0,1.0,,,,,,,,,,,58.18181818181819,23.0,26.5,23.0,26.5,0.5,1.0,1.0,,0.5,,,,0.5,0.4323,,9.55,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
100888-101039-202640-203400-203824,1611661321,"Plenette Pierson, Erin Phillips, Karima Christmas-Kelly, Skylar Diggins-Smith, Odyssey Sims","Pierson, Phillips, Christmas-Kelly, Diggins-Smith, Sims",100888-101039-202640-203400-203824,DAL,87.0,1,1.0,7.0,3.0,2.0,,,5.0,,,,,,,,1.0,2.0,7.0,,,,,,,1.0,,3.0,,,1.0,,1.0,,,,,,,,,7.0,,,,1.0,1.0,0.6666666666666666,,,,,1.0,,,,,82.75862068965517,17.666666666666668,17.0,17.666666666666668,17.0,,,,,,,,,0.6666666666666666,0.46976666666666667,,11.9,24.0,,,,,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,3.0,,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,0.5,1.0,1.0,,,,,,,,1.0,,,1.0,,,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
100888-101039-202640-203824-203835,1611661321,"Plenette Pierson, Erin Phillips, Karima Christmas-Kelly, Odyssey Sims, Jordan Hooper","Pierson, Phillips, Christmas-Kelly, Sims, Hooper",100888-101039-202640-203824-203835,DAL,55.0,1,1.0,,2.0,1.0,,,3.0,1.0,2.0,,,,,1.0,2.0,,2.0,2.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,2.0,1.0,1.0,0.5,0.5,0.5,,0.5,0.5,,,,,,,,78.54545454545455,17.5,20.0,17.5,20.0,1.0,0.5,1.0,1.0,,,,,1.0,0.60195,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
100888-101039-202640-203849-204331,1611661321,"Plenette Pierson, Erin Phillips, Karima Christmas-Kelly, Theresa Plaisance, Brianna Kiesel","Pierson, Phillips, Christmas-Kelly, Plaisance, Kiesel",100888-101039-202640-203849-204331,DAL,40.0,1,1.0,2.0,2.0,1.0,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,2.0,,,,,1.0,,,,,1.0,1.0,,,,,108.0,12.5,15.0,12.5,15.0,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,,2.0,,1.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2016,2016,False
