EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyPointsPct,ShortMidRangeAssists,LongMidRangeAssists,Fouls,Clear Path Fouls,ShortMidRangePctAssisted,LongMidRangePctAssisted,DeadBallTurnovers,ShootingFouls,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,BlockingFoulsDrawn,LongMidRangePctBlocked,Charge Fouls Drawn,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,3SecondViolations,team_id,year,season,team_vs
100445-1627644-1627648-201058-203833,1611661320,"Ann Wauters, Jelena Dubljevic, Evgeniia Belyakova, Sandrine Gruda, Chelsea Gray","Wauters, Dubljevic, Belyakova, Gruda, Gray",100445-1627644-1627648-201058-203833,LAS,131.0,1,2.0,2.0,5.0,5.0,1.0,5.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.4,1.0,0.4,1.0,0.2,1.0,0.75,0.5,0.75,0.5,1.0,0.5,1.0,1.0,109.92366412213741,10.6,15.6,9.8,15.6,0.2,1.0,1.0,0.2,0.4,0.5,0.5,0.2,1.0,1.0,1.0,0.4,0.4126,0.6996,0.2763,0.2,0.25,0.5,12.65,24.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2016,2016,True
100445-1627644-1627648-201058-204302,1611661320,"Ann Wauters, Jelena Dubljevic, Evgeniia Belyakova, Sandrine Gruda, Ana Dabovic","Wauters, Dubljevic, Belyakova, Gruda, Dabovic",100445-1627644-1627648-201058-204302,LAS,146.0,1,2.0,7.0,6.0,7.0,6.0,7.0,2.0,13.0,2.0,3.0,,,3.0,,,,,3.0,6.0,3.0,9.0,2.0,1.0,3.0,2.0,3.0,4.0,,3.0,,1.0,6.0,7.0,1.0,,1.0,2.0,4.0,,2.0,,,,7.0,6.0,0.5,0.3333333333333333,0.3333333333333333,0.2,0.4090909090909091,0.2,0.3333333333333333,1.0,,1.0,1.0,1.0,,,,,128.2191780821918,15.166666666666666,7.857142857142857,9.5,7.857142857142857,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,,,,,,,,0.6666666666666666,0.5182166666666667,0.44070000000000004,0.5182166666666667,0.18181818181818182,0.25,0.2222222222222222,4.25,23.366666666666664,1.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,6.0,3.0,9.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,9.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.4090909090909091,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.4,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2016,2016,True
100949-201058-201496-201502-201911,1611661320,"Alana Beard, Sandrine Gruda, Candace Parker, Essence Carson, Kristi Toliver","Beard, Gruda, Parker, Carson, Toliver",100949-201058-201496-201502-201911,LAS,164.0,1,3.0,2.0,5.0,4.0,4.0,,1.0,9.0,,,,,3.0,1.0,1.0,,,3.0,4.0,,6.0,4.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,2.0,,,,,,,6.0,4.0,0.75,,0.75,,0.75,,,1.0,1.0,,0.5,,,,,1.0,79.02439024390243,16.2,20.75,15.2,17.5,,,,0.75,0.25,1.0,1.0,,,,,,0.34515,,0.34515,,,,9.95,,0.8,,,2.0,,,,,,3.0,4.0,,6.0,6.0,,3.0,3.0,,6.0,,,2.0,2.0,,1.0,1.0,,6.0,1.0,1.0,0.75,0.75,0.75,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2016,2016,True
100949-201496-201502-201911-202650,1611661320,"Alana Beard, Candace Parker, Essence Carson, Kristi Toliver, Jantel Lavender","Beard, Parker, Carson, Toliver, Lavender",100949-201496-201502-201911-202650,LAS,58.0,1,1.0,-3.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,49.6551724137931,26.0,32.0,26.0,32.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2016,2016,True
100949-201496-201502-201911-203014,1611661320,"Alana Beard, Candace Parker, Essence Carson, Kristi Toliver, Nneka Ogwumike","Beard, Parker, Carson, Toliver, Ogwumike",100949-201496-201502-201911-203014,LAS,7007.0,9,117.0,-46.0,227.0,227.0,16.0,18.0,29.0,454.0,34.0,65.0,8.0,16.0,39.0,23.0,73.0,18.0,4.0,74.0,177.0,20.0,201.0,247.0,15.0,26.0,41.0,5.0,60.0,18.0,36.0,47.0,75.0,40.0,115.0,26.0,13.0,49.0,50.0,43.0,2.0,19.0,15.0,12.0,15.0,160.0,16.0,0.4180790960451977,0.5769230769230769,0.4137055837563452,0.5689655172413793,0.4608294930875576,0.6212121212121212,0.10152284263959391,0.5306122448979592,0.618421052631579,0.34951456310679613,0.6697247706422018,0.3389830508474576,0.3,0.4411764705882353,0.7619047619047619,0.7619047619047619,93.30098472955616,14.920704845814978,15.947136563876652,14.211453744493392,15.088105726872246,0.3299492385786802,0.5230769230769231,0.6296296296296297,0.19796954314720813,0.37055837563451777,0.3150684931506849,0.3150684931506849,0.09137055837563451,0.5517241379310345,0.5,0.23529411764705882,0.43147208121827413,0.4680177664974619,0.5197037037037037,0.5253617647058824,0.08878504672897196,0.0979381443298969,0.20398009950248755,9.754802259887006,23.509999999999998,0.07048458149779736,4.0,5.0,17.0,2.0,1.0,1.0,38.0,3.0,6.0,12.0,5.0,23.0,88.0,17.0,44.0,49.0,21.0,103.0,4.0,26.0,25.0,21.0,4.0,13.0,3.0,2.0,23.0,0.5945945945945946,0.6197183098591549,0.5,0.5294117647058824,0.6052631578947368,0.096045197740113,0.16923076923076924,0.15384615384615385,0.7878787878787878,0.26666666666666666,0.4838709677419355,0.2727272727272727,,0.7931034482758621,0.6176470588235294,0.4358974358974359,0.5151515151515151,0.01015228426395939,0.034482758620689655,0.29411764705882354,0.8,0.058823529411764705,0.11442786069651742,7.0,16.0,56.0,,0.4117647058823529,0.6956521739130435,23.0,23.0,1.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,8.0,2.0,15.0,6.0,4.0,1.0,5.0,4.0,1.0,2.0,3.0,7.0,4.0,2.0,2.0,3.0,3.0,7.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,7.0,1.0,3.0,2.0,1.0,0.25,0.3333333333333333,0.4,0.25,0.05,0.05555555555555555,0.6666666666666666,0.2857142857142857,0.75,0.03,0.4666666666666667,0.5,0.5,1.0,0.2222222222222222,0.23529411764705882,1.0,0.25,0.06896551724137931,0.5,1.0,1.0,0.25,0.2222222222222222,,,,,,,,,,,1611661320,2016,2016,True
100949-201496-201502-201911-203833,1611661320,"Alana Beard, Candace Parker, Essence Carson, Kristi Toliver, Chelsea Gray","Beard, Parker, Carson, Toliver, Gray",100949-201496-201502-201911-203833,LAS,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2016,2016,True
100949-201496-201502-202650-203833,1611661320,"Alana Beard, Candace Parker, Essence Carson, Jantel Lavender, Chelsea Gray","Beard, Parker, Carson, Lavender, Gray",100949-201496-201502-202650-203833,LAS,698.0,5,12.0,16.0,22.0,19.0,5.0,2.0,2.0,41.0,6.0,10.0,1.0,2.0,2.0,6.0,8.0,2.0,,12.0,20.0,2.0,29.0,13.0,1.0,2.0,2.0,,10.0,2.0,3.0,6.0,9.0,3.0,12.0,1.0,,2.0,6.0,3.0,1.0,2.0,,,,27.0,5.0,0.6,0.5,0.6136363636363636,0.5,0.6304347826086957,0.5,0.09090909090909091,0.5,1.0,0.375,0.8888888888888888,0.3333333333333333,,1.0,1.0,1.0,84.58452722063038,15.318181818181818,19.0,15.272727272727273,18.63157894736842,0.45454545454545453,0.6,0.6,0.09090909090909091,0.36363636363636365,0.75,0.75,0.09090909090909091,1.0,0.5,,0.5454545454545454,0.49222727272727274,0.6204,0.4817166666666666,0.08695652173913043,0.09523809523809523,0.06896551724137931,8.059999999999999,22.6,0.22727272727272727,1.0,3.0,,,,,2.0,,4.0,6.0,,8.0,14.0,,7.0,8.0,3.0,17.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,0.6666666666666666,,0.75,,,1.0,0.5,,,,,0.5,0.3333333333333333,,0.27586206896551724,,4.0,1.0,,,0.6666666666666666,1.0,,,,1.0,,,,1.0,,,,3.0,2.0,1.0,,1.0,1.0,,1.0,3.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,0.5,,,0.5,,,1.0,,,0.3333333333333333,,,,,0.5,0.5,1.0,,,,,,,0.5,1.0,,,,,,,,,,1611661320,2016,2016,True
100949-201496-201502-203014-203833,1611661320,"Alana Beard, Candace Parker, Essence Carson, Nneka Ogwumike, Chelsea Gray","Beard, Parker, Carson, Ogwumike, Gray",100949-201496-201502-203014-203833,LAS,1028.0,3,17.0,-1.0,27.0,29.0,15.0,6.0,2.0,56.0,7.0,8.0,,,8.0,3.0,5.0,5.0,2.0,13.0,21.0,5.0,35.0,36.0,,1.0,1.0,2.0,8.0,5.0,,4.0,6.0,2.0,8.0,,,1.0,6.0,7.0,,3.0,2.0,,2.0,34.0,15.0,0.6190476190476191,,0.5576923076923077,,0.5862068965517241,0.25,0.19230769230769232,,0.4,,0.42857142857142855,0.18181818181818182,,,0.4,0.4,78.44357976653697,18.0,18.689655172413794,17.62962962962963,17.862068965517242,0.3076923076923077,0.875,0.875,0.3076923076923077,0.19230769230769232,0.6,0.6,0.19230769230769232,,,0.14285714285714285,0.5,0.463514,0.3476,0.4865346153846154,0.10344827586206896,0.125,0.02857142857142857,8.038095238095238,26.32,0.5555555555555556,5.0,6.0,3.0,,,,6.0,,8.0,12.0,3.0,22.0,18.0,,9.0,10.0,6.0,21.0,2.0,2.0,2.0,2.0,,,,1.0,22.0,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.6785714285714286,0.7,,,,0.5,0.6666666666666666,,,,0.5,0.8571428571428571,0.375,0.375,,,0.42857142857142855,0.8333333333333334,,0.6285714285714286,1.0,2.0,5.0,,0.3333333333333333,0.6666666666666666,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,2.0,,,,,1.0,0.2,,0.5,0.2,,,,0.6666666666666666,,,,,,,0.2,0.2,1.0,,,,,,0.5,0.2,,,,,,,,,,,1611661320,2016,2016,True
100949-201496-201502-203014-204302,1611661320,"Alana Beard, Candace Parker, Essence Carson, Nneka Ogwumike, Ana Dabovic","Beard, Parker, Carson, Ogwumike, Dabovic",100949-201496-201502-203014-204302,LAS,89.0,1,1.0,-4.0,4.0,4.0,,,,8.0,1.0,1.0,,,1.0,,1.0,,,2.0,3.0,,4.0,8.0,,,,,4.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,4.0,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,1.0,1.0,,1.0,,,1.0,,,129.43820224719101,12.5,9.75,12.5,9.75,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,0.4193,,,,,,9.933333333333334,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2016,2016,True
100949-201496-201911-202650-203014,1611661320,"Alana Beard, Candace Parker, Kristi Toliver, Jantel Lavender, Nneka Ogwumike","Beard, Parker, Toliver, Lavender, Ogwumike",100949-201496-201911-202650-203014,LAS,488.0,1,8.0,3.0,14.0,15.0,1.0,8.0,2.0,29.0,5.0,8.0,2.0,2.0,2.0,1.0,2.0,1.0,,6.0,12.0,1.0,19.0,16.0,2.0,2.0,4.0,,4.0,1.0,2.0,1.0,6.0,2.0,8.0,1.0,1.0,1.0,4.0,4.0,,1.0,1.0,1.0,1.0,15.0,,0.5,1.0,0.5769230769230769,1.0,0.6333333333333333,1.0,0.07692307692307693,1.0,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.3333333333333333,,1.0,,,85.57377049180329,12.214285714285714,21.133333333333333,12.214285714285714,18.733333333333334,0.6153846153846154,0.625,0.625,0.15384615384615385,0.15384615384615385,0.5,0.5,0.07692307692307693,1.0,1.0,,0.6923076923076923,0.5451769230769231,0.7203,,0.07142857142857142,0.07692307692307693,0.21052631578947367,5.7,23.3,0.07142857142857142,,,,,,,4.0,,,,2.0,2.0,8.0,,4.0,5.0,3.0,11.0,,5.0,1.0,1.0,,,,,,0.6666666666666666,1.0,,,1.0,,,,0.625,,0.6666666666666666,,,0.8333333333333334,0.6,,,,,,,,0.10526315789473684,,1.0,5.0,,,1.0,,2.0,,,1.0,,,,1.0,,,,3.0,4.0,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,0.16666666666666666,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,1611661320,2016,2016,True
