EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyOffPoss,PenaltyDefPoss,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,HeaveAttempts,LostBallTurnovers,PenaltyTurnovers,RecoveredBlocks,PenaltyFg2Pct,PenaltyEfgPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,Corner3Assists,Travels,Loose Ball Fouls Drawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceTurnovers,OffShortMidRangeReboundPct,DefAtRimReboundPct,SecondChanceShotQualityAvg,Offensive Fouls Drawn,DefCorner3ReboundPct,Charge Fouls,Offensive Fouls,BadPassOutOfBoundsTurnovers,OffAtRimReboundPct,team_id,year,season,team_vs
100721-101030-202250-202670-203411,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Carolyn Swords, Sugar Rodgers","Cash, Wright, Charles, Swords, Rodgers",100721-101030-202250-202670-203411,NYL,694.0,1,12.0,21.0,22.0,43.0,4.0,5.0,4.0,6.0,4.0,6.0,1.0,3.0,12.0,17.0,1.0,3.0,2.0,29.0,29.0,12.0,12.0,3.0,3.0,1.0,6.0,6.0,1.0,2.0,3.0,12.0,1.0,4.0,1.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,29.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.7058823529411765,0.675,0.725,0.15,1.0,0.8,1.0,0.8333333333333334,1.0,1.0,89.22190201729107,15.80952380952381,16.454545454545453,15.80952380952381,16.181818181818183,0.25,0.8,0.8,0.25,0.3,0.6666666666666666,0.6666666666666666,0.5,0.3,0.6666666666666666,0.6666666666666666,0.75,0.15,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.42728,0.1,0.11764705882352941,10.064705882352941,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
101030-201919-202250-202259-202670,1611661313,"Tanisha Wright, Shavonte Zellous, Tina Charles, Epiphanny Prince, Carolyn Swords","Wright, Zellous, Charles, Prince, Swords",101030-201919-202250-202259-202670,NYL,111.0,1,2.0,4.0,3.0,7.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,2.0,2.0,4.0,2.0,,2.0,,1.0,,,,,,,,1.0,1.0,,2.0,4.0,,,,,1.0,,,1.0,2.0,,1.0,,,,,,,,,0.5,0.25,0.4,0.5,,1.0,1.0,1.0,1.0,1.0,90.8108108108108,17.0,14.333333333333334,16.5,14.333333333333334,0.25,1.0,1.0,,,,,,0.25,,,,0.25,,,0.75,,0.523175,0.2,0.3333333333333333,9.2,23.6,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.3333333333333333,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
101030-201919-202250-202259-203411,1611661313,"Tanisha Wright, Shavonte Zellous, Tina Charles, Epiphanny Prince, Sugar Rodgers","Wright, Zellous, Charles, Prince, Rodgers",101030-201919-202250-202259-203411,NYL,14.0,1,,1.0,1.0,2.0,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,2.0,,,,,,,1.0,,,,,,,,205.71428571428572,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
101030-201919-202250-202259-204329,1611661313,"Tanisha Wright, Shavonte Zellous, Tina Charles, Epiphanny Prince, Kiah Stokes","Wright, Zellous, Charles, Prince, Stokes",101030-201919-202250-202259-204329,NYL,128.0,1,2.0,4.0,5.0,9.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,,2.0,6.0,2.0,,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,,2.0,2.0,,,,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,1.0,1.0,,1.0,101.25,11.75,16.2,11.75,16.2,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,0.3333333333333333,,,0.6666666666666666,,0.3983,,,10.0,73.2,-4.0,,,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,4.0,1.0,,2.0,,2.0,4.0,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
101030-201919-202250-202670-203411,1611661313,"Tanisha Wright, Shavonte Zellous, Tina Charles, Carolyn Swords, Sugar Rodgers","Wright, Zellous, Charles, Swords, Rodgers",101030-201919-202250-202670-203411,NYL,586.0,1,10.0,19.0,18.0,37.0,1.0,5.0,2.0,2.0,3.0,4.0,3.0,6.0,6.0,11.0,4.0,7.0,4.0,28.0,21.0,8.0,4.0,3.0,6.0,3.0,4.0,7.0,1.0,,3.0,17.0,3.0,2.0,1.0,6.0,8.0,2.0,2.0,1.0,,1.0,2.0,5.0,3.0,4.0,,1.0,1.0,,1.0,25.0,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5454545454545454,0.6666666666666666,0.7,0.3888888888888889,1.0,0.5,1.0,0.7142857142857143,1.0,1.0,90.92150170648463,16.05263157894737,15.61111111111111,15.789473684210526,15.5,0.2777777777777778,0.2,0.2,1.0,0.1111111111111111,1.0,1.0,,0.2222222222222222,0.75,0.75,1.0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.4620527777777778,0.05263157894736842,0.08333333333333333,8.527272727272727,23.985714285714288,7.0,2.0,,1.0,1.0,,1.0,,3.0,,2.0,,2.0,,,,,0.75,0.75,,,0.6666666666666666,0.25,,0.6666666666666666,,0.05555555555555555,0.5,,0.10714285714285714,9.0,7.0,2.0,14.0,1.0,14.0,9.0,1.0,0.875,0.5,0.47368421052631576,,1.0,1.0,3.0,5.0,2.0,,,1.0,,0.6,0.8571428571428571,,,0.14285714285714285,,0.14285714285714285,0.40417857142857144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,,,,,,,,,,,1611661313,2016,2016,True
101030-201919-202250-203411-204329,1611661313,"Tanisha Wright, Shavonte Zellous, Tina Charles, Sugar Rodgers, Kiah Stokes","Wright, Zellous, Charles, Rodgers, Stokes",101030-201919-202250-203411-204329,NYL,111.0,1,2.0,3.0,3.0,6.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,3.0,,1.0,1.0,3.0,4.0,2.0,,,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,1.0,3.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,,,0.3333333333333333,0.25,0.375,0.25,,0.5,,0.5,,,77.83783783783784,21.333333333333332,15.666666666666666,14.666666666666666,7.0,0.25,1.0,1.0,1.0,0.25,,,,0.25,,,,0.25,,,0.5,,0.4284375,0.25,0.3333333333333333,8.166666666666666,24.4,-1.0,2.0,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,0.5,1.0,0.6666666666666666,,1.0,,,,,,1.0,1.0,,,,,1.0,,,,0.3333333333333333,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,0.50475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.4088,,,,,,,1611661313,2016,2016,True
101030-201919-202259-204320-204329,1611661313,"Tanisha Wright, Shavonte Zellous, Epiphanny Prince, Amanda Zahui B, Kiah Stokes","Wright, Zellous, Prince, Zahui B, Stokes",101030-201919-202259-204320-204329,NYL,10.0,1,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,144.0,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1611661313,2016,2016,True
101030-202250-202259-203411-204327,1611661313,"Tanisha Wright, Tina Charles, Epiphanny Prince, Sugar Rodgers, Brittany Boyd","Wright, Charles, Prince, Rodgers, Boyd",101030-202250-202259-203411-204327,NYL,9.0,1,,2.0,1.0,3.0,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,4.0,,,,,,4.0,,,,,,,1.0,,,,,,,,480.0,3.5,2.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
101030-202250-202259-203411-204329,1611661313,"Tanisha Wright, Tina Charles, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Wright, Charles, Prince, Rodgers, Stokes",101030-202250-202259-203411-204329,NYL,28.0,1,,1.0,3.0,4.0,,,,,,,,,,,,,2.0,2.0,4.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,2.0,,,,,,,1.0,,,,1.0,0.5,,1.0,205.71428571428572,1.0,9.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,True
201919-202250-202259-202670-204327,1611661313,"Shavonte Zellous, Tina Charles, Epiphanny Prince, Carolyn Swords, Brittany Boyd","Zellous, Charles, Prince, Swords, Boyd",201919-202250-202259-202670-204327,NYL,194.0,1,3.0,7.0,7.0,14.0,1.0,1.0,,1.0,2.0,3.0,,,3.0,5.0,,,1.0,7.0,10.0,4.0,2.0,,,,2.0,2.0,,,2.0,4.0,1.0,,,1.0,1.0,,,,,2.0,,,2.0,1.0,1.0,1.0,,,,7.0,0.6666666666666666,0.6666666666666666,,,0.6,0.6,0.7,,,,1.0,1.0,,,103.91752577319588,15.285714285714286,12.428571428571429,15.285714285714286,12.428571428571429,0.2,1.0,1.0,,0.2,,,,0.6,0.6666666666666666,0.6666666666666666,1.0,,,,0.2,,0.33856,0.2,0.2,13.12,,-3.0,,,,,,,,,,,,,,2.0,2.0,,,,1.0,,,,,,,,,,,4.0,7.0,,4.0,,4.0,4.0,,0.6666666666666666,0.5714285714285714,0.5714285714285714,,,,2.0,3.0,,,,1.0,,0.6666666666666666,0.6666666666666666,,,,,,0.33390000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1611661313,2016,2016,True
