EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,Loose Ball Fouls,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,ShortMidRangeFGM,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,Points,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,ShootingFouls,BlockingFouls,FoulsDrawn,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyDefPoss,DefThreePtRebounds,DeadBallTurnovers,Travels,Turnovers,DefThreePtReboundPct,DefCorner3ReboundPct,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,AtRimAssists,OffThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Offensive Fouls,FTA,Technical Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PenaltyCorner3FGM,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG3M,Corner3Assists,OffTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,LongMidRangeAssists,LongMidRangePctAssisted,HeaveAttempts,PtsPutbacks,SecondChanceShotQualityAvg,team_id,year,season,team_vs
100646-1627676-201503-201896-203018,1611661325,"Tamika Catchings, Tiffany Mitchell, Erlana Larkins, Briann January, Shenise Johnson","Catchings, Mitchell, Larkins, January, Johnson",100646-1627676-201503-201896-203018,IND,91.0,1,2.0,-2.0,2.0,2,4,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.5,63.2967032967033,16.5,29.0,16.5,20.5,0.5,0.5,0.3649,11.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,True
100646-1627676-201889-201896-203831,1611661325,"Tamika Catchings, Tiffany Mitchell, Marissa Coleman, Briann January, Natalie Achonwa","Catchings, Mitchell, Coleman, January, Achonwa",100646-1627676-201889-201896-203831,IND,92.0,1,2.0,1.0,2.0,3,5,1.0,,1.0,4.0,1.0,1.0,1.0,2.0,,1.0,0.5,,78.26086956521739,15.5,20.333333333333332,15.5,20.0,0.5,,0.49935,4.5,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,True
100646-1627676-201896-203018-203041,1611661325,"Tamika Catchings, Tiffany Mitchell, Briann January, Shenise Johnson, Lynetta Kizer","Catchings, Mitchell, January, Johnson, Kizer",100646-1627676-201896-203018-203041,IND,13.0,1,,,,1,1,,,,,1.0,1.0,1.0,,,1.0,0.5,,110.76923076923076,,11.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,True
100646-1627676-201896-203018-203831,1611661325,"Tamika Catchings, Tiffany Mitchell, Briann January, Shenise Johnson, Natalie Achonwa","Catchings, Mitchell, January, Johnson, Achonwa",100646-1627676-201896-203018-203831,IND,18.0,1,,,1.0,1,2,,,,,,1.0,1.0,,,,1.0,,160.0,1.0,17.0,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,True
100646-201503-201889-201896-203018,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Shenise Johnson","Catchings, Larkins, Coleman, January, Johnson",100646-201503-201889-201896-203018,IND,419.0,1,7.0,6.0,16.0,14,30,1.0,2.0,5.0,14.0,3.0,7.0,8.0,6.0,2.0,0.6,0.5,0.75,103.10262529832936,11.9375,16.285714285714285,11.9375,13.642857142857142,0.14285714285714285,0.2857142857142857,0.5039642857142858,7.8,,,1.0,3.0,,2.0,20.0,2.0,,1.0,,1.0,,1.0,,,2.0,1.0,,8.0,,,,,,19.0,0.3333333333333333,0.3333333333333333,,,,0.6,0.42857142857142855,0.6785714285714286,0.2857142857142857,,,,,,0.14285714285714285,,,,0.5714285714285714,,22.8,12.0,3.0,3.0,,3.0,0.42857142857142855,0.25,13.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,2.0,3.0,2.0,14.0,18.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,15.0,1.0,7.0,12.0,10.0,2.0,4.0,0.6666666666666666,0.4,0.5,0.7083333333333334,0.5,0.5,0.25,1.0,0.6666666666666666,0.2857142857142857,1.0,1.0,0.5,0.5,0.5,0.14285714285714285,0.4,1.0,0.2,0.2,0.55267,0.05,0.9,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,True
100646-201503-201889-201896-204365,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Erica Wheeler","Catchings, Larkins, Coleman, January, Wheeler",100646-201503-201889-201896-204365,IND,847.0,1,14.0,10.0,27.0,28,55,3.0,2.0,15.0,23.0,11.0,13.0,16.0,7.0,,0.8461538461538461,0.8666666666666667,1.0,93.5064935064935,14.62962962962963,16.142857142857142,14.074074074074074,15.607142857142858,0.13636363636363635,0.09090909090909091,0.5537613636363636,4.24,1.0,1.0,3.0,11.0,3.0,7.0,33.0,8.0,9.0,3.0,1.0,4.0,3.0,7.0,1.0,,17.0,3.0,,8.0,,1.0,1.0,1.0,,31.0,0.36363636363636365,0.36363636363636365,1.0,0.42857142857142855,0.42857142857142855,0.7333333333333333,0.7045454545454546,0.6875,0.3181818181818182,0.6,,0.3333333333333333,0.3333333333333333,,0.13636363636363635,0.3333333333333333,0.3333333333333333,1.0,0.7727272727272727,0.3333333333333333,25.585714285714285,7.0,2.0,1.0,,5.0,1.0,,11.0,3.0,9.0,10.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,,2.0,3.0,6.0,2.0,1.0,10.0,14.0,4.0,2.0,,3.0,2.0,2.0,1.0,3.0,,4.0,,1.0,10.0,11.0,,1.0,0.5,0.5625,1.0,0.5555555555555556,,0.5,0.375,0.5,1.0,0.45454545454545453,0.9,0.9,0.4444444444444444,0.5,0.5,0.18181818181818182,0.5,0.75,0.125,0.125,0.5092,0.06060606060606061,0.30303030303030304,0.4074074074074074,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,0.8,0.25,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.043478260869565216,0.0625,,,,,,,,1611661325,2016,2016,True
100646-201503-201896-203018-204365,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Shenise Johnson, Erica Wheeler","Catchings, Larkins, January, Johnson, Wheeler",100646-201503-201896-203018-204365,IND,57.0,1,1.0,,3.0,2,5,,,,,1.0,1.0,1.0,,,0.5,0.5,,126.31578947368422,6.333333333333333,19.0,6.333333333333333,14.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.3333333333333333,,,,1.0,,,,,,,,,1.0,,,,,,,1611661325,2016,2016,True
100646-201889-201896-203018-203041,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Shenise Johnson, Lynetta Kizer","Catchings, Coleman, January, Johnson, Kizer",100646-201889-201896-203018-203041,IND,127.0,1,2.0,-1.0,4.0,4,8,2.0,,2.0,6.0,,,,2.0,,,,,90.70866141732283,15.75,16.0,15.75,15.25,1.0,,0.34615,9.0,2.0,,,2.0,,,5.0,2.0,,,,1.0,,1.0,,1.0,2.0,2.0,,2.0,,,,,,5.0,0.5,0.5,,,,1.0,1.0,1.25,,,,1.0,1.0,0.5,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,0.5,0.5,,1.0,,,,,,1611661325,2016,2016,True
100646-201889-201896-203041-204365,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Lynetta Kizer, Erica Wheeler","Catchings, Coleman, January, Kizer, Wheeler",100646-201889-201896-203041-204365,IND,65.0,1,1.0,2.0,3.0,2,5,,2.0,2.0,3.0,,,,,,,,,110.76923076923077,13.666666666666666,12.0,13.666666666666666,12.0,,0.6666666666666666,0.28406666666666663,18.6,,,1.0,2.0,,1.0,5.0,2.0,,1.0,,1.0,,1.0,,,2.0,,,1.0,,,,,,5.0,0.5,0.5,,,,1.0,0.6666666666666666,0.8333333333333334,0.3333333333333333,,,,,,0.3333333333333333,,,,0.3333333333333333,,33.9,,,,,,,,2.0,,,,,,2.0,,,1.0,1.0,,,1.0,1.0,1.0,,2.0,2.0,,,,,,,,,,1.0,,,2.0,2.0,,,1.0,0.5,,0.5,,,,,,,,,,1.0,1.0,,,,,0.5,0.2492,,0.4,0.6666666666666666,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.3333333333333333,0.5,,1.0,1.0,0.5,,,,1611661325,2016,2016,True
100646-201889-201896-203831-204365,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Natalie Achonwa, Erica Wheeler","Catchings, Coleman, January, Achonwa, Wheeler",100646-201889-201896-203831-204365,IND,67.0,1,1.0,-4.0,2.0,2,4,,,,4.0,,,,,,,,,85.97014925373134,17.5,16.0,17.5,15.0,,,0.473625,,,,2.0,,,2.0,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,26.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.473625,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,True
