EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Loose Ball Fouls Drawn,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,FtPoints,OpponentPoints,SecondChanceFtPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,BlockingFouls,Fouls,BlockingFoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,Corner3FGA,Corner3Frequency,PenaltyDefPoss,PenaltyAtRimFGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTOffRebounds,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,ShortMidRangeFGA,AtRimAssists,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceTurnovers,Corner3FGM,Corner3Assists,LostBallOutOfBoundsTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeFGM,Defensive 3 Seconds Violations,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,DefAtRimReboundPct,SecondChanceAtRimPctAssisted,FTDefRebounds,DefFTReboundPct,team_id,year,season,team_vs
100646-1627676-201503-201896-203018,1611661325,"Tamika Catchings, Tiffany Mitchell, Erlana Larkins, Briann January, Shenise Johnson","Catchings, Mitchell, Larkins, January, Johnson",100646-1627676-201503-201896-203018,IND,91.0,1,2.0,2.0,2,2.0,2.0,4,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,0.3333333333333333,0.5,0.25,0.5,0.25,0.5,0.25,1.0,0.5,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,63.2967032967033,29.0,16.5,20.5,16.5,0.25,1.0,1.0,0.5,0.25,0.5,1.0,0.5,0.4874375,0.3657,1.0,12.533333333333333,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-201889-201896-203831,1611661325,"Tamika Catchings, Tiffany Mitchell, Marissa Coleman, Briann January, Natalie Achonwa","Catchings, Mitchell, Coleman, January, Achonwa",100646-1627676-201889-201896-203831,IND,92.0,1,2.0,-1.0,3,2.0,1.0,5,,1.0,,,1.0,1.0,1.0,2.0,1.0,4.0,,,2.0,,1.0,1.0,,,,1.0,1.0,2.0,,0.5,,0.3333333333333333,,0.5,1.0,0.3333333333333333,,,1.0,,0.5,,1.0,,,78.26086956521739,20.333333333333332,15.5,20.0,15.5,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,0.45059999999999995,,0.5,9.05,25.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-201896-203018-203041,1611661325,"Tamika Catchings, Tiffany Mitchell, Briann January, Shenise Johnson, Lynetta Kizer","Catchings, Mitchell, January, Johnson, Kizer",100646-1627676-201896-203018-203041,IND,13.0,1,,,1,,1.0,1,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,0.5,,,1.0,,0.5,,1.0,,,110.76923076923076,11.0,,10.0,,0.5,,,,0.5,1.0,,1.0,0.667225,,,0.1,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.667225,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-201896-203018-203831,1611661325,"Tamika Catchings, Tiffany Mitchell, Briann January, Shenise Johnson, Natalie Achonwa","Catchings, Mitchell, January, Johnson, Achonwa",100646-1627676-201896-203018-203831,IND,18.0,1,,,1,1.0,,2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,160.0,17.0,1.0,17.0,1.0,,,,,,,,1.0,0.62505,,,,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-201503-201889-201896-203018,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Shenise Johnson","Catchings, Larkins, Coleman, January, Johnson",100646-201503-201889-201896-203018,IND,419.0,1,7.0,-6.0,14,16.0,5.0,30,4.0,5.0,1.0,1.0,4.0,4.0,4.0,9.0,8.0,14.0,1.0,2.0,7.0,8.0,4.0,4.0,2.0,2.0,3.0,7.0,10.0,6.0,2.0,0.4444444444444444,0.5,0.3235294117647059,0.5,0.35,0.5,0.47058823529411764,1.0,0.4,0.5714285714285714,0.75,0.5,0.25,0.3333333333333333,1.0,1.0,103.10262529832936,16.285714285714285,11.9375,13.642857142857142,11.9375,0.29411764705882354,0.8,0.8,0.23529411764705882,0.23529411764705882,0.2,1.0,0.7647058823529411,0.5135411764705883,0.41463333333333335,0.5,8.566666666666666,24.25,,3.0,20.0,2.0,,,,1.0,,3.0,,8.0,,6.0,1.0,7.0,,,,,,,,0.05555555555555555,0.1,12.0,5.0,3.0,7.0,7.0,12.0,0.35714285714285715,0.21428571428571427,0.5357071428571428,0.8571428571428571,4.0,0.23529411764705882,13.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,14.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,14.0,4.0,2.0,1.0,0.125,0.3333333333333333,0.14285714285714285,0.125,0.5714285714285714,0.39285714285714285,0.4117647058823529,1.0,0.5,0.5,1.0,0.75,1.0,0.25,0.25,1.0,0.4,0.2,1.0,1.0,0.8,0.2857142857142857,0.3333333333333333,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-201503-201889-201896-204365,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Erica Wheeler","Catchings, Larkins, Coleman, January, Wheeler",100646-201503-201889-201896-204365,IND,847.0,1,14.0,-10.0,28,27.0,2.0,55,3.0,8.0,1.0,1.0,6.0,4.0,5.0,18.0,4.0,23.0,1.0,2.0,3.0,6.0,4.0,,2.0,3.0,5.0,2.0,7.0,7.0,,0.2777777777777778,0.5,0.36363636363636365,0.5,0.46,0.75,0.18181818181818182,0.75,0.15384615384615385,,0.625,0.13333333333333333,,,1.0,1.0,93.5064935064935,16.142857142857142,14.62962962962963,15.607142857142858,14.074074074074074,0.36363636363636365,0.375,0.42857142857142855,0.2727272727272727,0.18181818181818182,0.5,1.0,0.5454545454545454,0.48234090909090904,0.562,0.13043478260869565,8.394444444444444,25.725,2.0,7.0,33.0,1.0,4.0,1.0,2.0,4.0,1.0,10.0,,8.0,,7.0,3.0,20.0,0.4,0.4,0.05555555555555555,0.125,0.3333333333333333,0.3333333333333333,0.5,0.125,0.15,7.0,3.0,,5.0,,7.0,0.6,,0.525,0.25,,,11.0,1.0,,,2.0,,,,2.0,,,1.0,,4.0,6.0,6.0,,2.0,2.0,2.0,,2.0,2.0,2.0,5.0,,,1.0,6.0,1.0,,1.0,0.5,,,0.5,0.2,0.2,0.42857142857142855,0.4,,0.5,0.4,,0.5,0.5,0.5,1.0,,,,,0.3333333333333333,,,0.5,0.2608695652173913,4.0,1.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.18181818181818182,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-201503-201896-203018-204365,1611661325,"Tamika Catchings, Erlana Larkins, Briann January, Shenise Johnson, Erica Wheeler","Catchings, Larkins, January, Johnson, Wheeler",100646-201503-201896-203018-204365,IND,57.0,1,1.0,,2,3.0,1.0,5,,1.0,,,,,,2.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,0.5,,,0.5,,,,,126.31578947368422,19.0,6.333333333333333,14.5,6.333333333333333,0.5,,,,,,,0.5,0.5278,,,3.8,,,,,,,1.0,,,,,,1.0,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-201889-201896-203018-203041,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Shenise Johnson, Lynetta Kizer","Catchings, Coleman, January, Johnson, Kizer",100646-201889-201896-203018-203041,IND,127.0,1,2.0,1.0,4,4.0,1.0,8,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,6.0,,,2.0,2.0,1.0,1.0,1.0,,,2.0,2.0,2.0,,0.5,,0.3333333333333333,,0.6,1.0,0.3333333333333333,,1.0,1.0,,1.0,1.0,1.0,,,90.70866141732283,16.0,15.75,15.25,15.75,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,0.5725833333333333,,0.3333333333333333,8.65,24.5,,4.0,5.0,2.0,,,,,,,,2.0,,4.0,2.0,4.0,,,,,,,,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-201889-201896-203041-204365,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Lynetta Kizer, Erica Wheeler","Catchings, Coleman, January, Kizer, Wheeler",100646-201889-201896-203041-204365,IND,65.0,1,1.0,-2.0,2,3.0,,5,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,1.5,,1.5,,1.0,,,,,,,,,,110.76923076923077,12.0,13.666666666666666,12.0,13.666666666666666,,,,,,,,1.0,0.40155,,,,24.3,,,5.0,,,,,1.0,,3.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,3.0,,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1611661325,2016,2016,False
100646-201889-201896-203831-204365,1611661325,"Tamika Catchings, Marissa Coleman, Briann January, Natalie Achonwa, Erica Wheeler","Catchings, Coleman, January, Achonwa, Wheeler",100646-201889-201896-203831-204365,IND,67.0,1,1.0,4.0,2,2.0,1.0,4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,,,2.0,1.0,3.0,,,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,,,1.0,1.0,1.0,,1.0,,,85.97014925373134,16.0,17.5,15.0,17.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5208166666666666,,0.5,9.65,23.0,1.0,,,,2.0,,1.0,1.0,1.0,2.0,,1.0,,,,2.0,0.5,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
