EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,Corner3FGM,Corner3FGA,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,FTOffRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LostBallTurnovers,ShortMidRangeAssists,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFG3A,LostBallSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGA,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,OffThreePtRebounds,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,PenaltyArc3Frequency,SecondChanceCorner3FGA,SecondChanceFG3A,PenaltyTurnovers,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,Arc3Assists,DefCorner3ReboundPct,Arc3PctAssisted,BlockedShortMidRange,DefShortMidRangeReboundPct,SecondChanceArc3FGA,SelfOReb,Defensive 3 Seconds Violations,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,Travels,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFoulsDrawn,3SecondViolations,HeaveAttempts,team_id,year,season,team_vs
100812-200665-201477-202638-202664,1611661329,"Erika de Souza, Cappie Pondexter, Tamera Young, Jessica Breland, Courtney Vandersloot","de Souza, Pondexter, Young, Breland, Vandersloot",100812-200665-201477-202638-202664,CHI,657.0,3,11.0,-15.0,24.0,21.0,2.0,3.0,45.0,5.0,8.0,1.0,2.0,2.0,5.0,1.0,9.0,1.0,1.0,8.0,22.0,1.0,1.0,19.0,34.0,1.0,3.0,2.0,8.0,8.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,8.0,3.0,1.0,2.0,3.0,3.0,6.0,4.0,4.0,2.0,4.0,1.0,4.0,5.0,8.0,1.0,5.0,17.0,1.0,0.5,0.5,1.0,1.0,0.36363636363636365,0.3333333333333333,0.41304347826086957,0.3333333333333333,0.41304347826086957,0.3333333333333333,0.043478260869565216,0.045454545454545456,0.2,0.5,0.23076923076923078,1.0,0.6,0.23076923076923078,0.42857142857142855,0.5,0.5,1.0,98.63013698630138,13.208333333333334,16.19047619047619,12.625,16.0,0.34782608695652173,0.625,0.625,0.6,0.21739130434782608,0.4,0.5,0.391304347826087,0.1111111111111111,0.1111111111111111,1.0,0.043478260869565216,1.0,1.0,0.6666666666666666,0.5,0.391304347826087,1.0,0.4783282608695652,0.5380333333333334,0.10526315789473684,9.713636363636363,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-200665-201477-202638-203857,1611661329,"Erika de Souza, Cappie Pondexter, Tamera Young, Jessica Breland, Jamierra Faulkner","de Souza, Pondexter, Young, Breland, Faulkner",100812-200665-201477-202638-203857,CHI,224.0,1,4.0,-1.0,7.0,8.0,3.0,2.0,15.0,2.0,2.0,,,1.0,2.0,,1.0,,1.0,3.0,5.0,1.0,2.0,9.0,10.0,1.0,1.0,2.0,2.0,4.0,,1.0,,,1.0,2.0,1.0,,5.0,1.0,,1.0,2.0,2.0,4.0,,,,,,1.0,,1.0,,3.0,7.0,1.0,0.3333333333333333,0.5,0.5,0.5,0.6,1.0,0.6428571428571429,1.0,0.5625,1.0,0.2857142857142857,,,0.5,0.5,,0.5,0.3333333333333333,1.0,0.5,,,96.42857142857143,20.142857142857142,10.375,19.285714285714285,10.375,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,0.14285714285714285,,,,,0.5714285714285714,,0.48404285714285716,0.4471,0.2222222222222222,7.720000000000001,23.4,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.125,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-200665-201477-203857-204309,1611661329,"Erika de Souza, Cappie Pondexter, Tamera Young, Jamierra Faulkner, Clarissa Dos Santos","de Souza, Pondexter, Young, Faulkner, Dos Santos",100812-200665-201477-203857-204309,CHI,73.0,1,1.0,-4.0,2.0,2.0,,,4.0,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,6.0,,,,2.0,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,78.9041095890411,15.5,21.0,15.5,21.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,0.6319,,,2.1,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-200665-201516-202638-202664,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Jessica Breland, Courtney Vandersloot","de Souza, Pondexter, Quigley, Breland, Vandersloot",100812-200665-201516-202638-202664,CHI,73.0,1,1.0,-5.0,2.0,2.0,,,4.0,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,7.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,78.9041095890411,20.0,16.5,20.0,15.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,0.6299,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6299,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-200665-201516-202638-203857,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Jessica Breland, Jamierra Faulkner","de Souza, Pondexter, Quigley, Breland, Faulkner",100812-200665-201516-202638-203857,CHI,112.0,1,2.0,-4.0,4.0,5.0,4.0,,9.0,1.0,2.0,,,,,,1.0,,,1.0,3.0,,,2.0,6.0,,,,2.0,,,,,,1.0,1.0,1.0,,2.0,,,1.0,2.0,,2.0,,,,,,1.0,,,,,2.0,,1.0,1.0,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,0.5,,,0.5,,,,0.5,,115.71428571428571,16.5,9.2,16.5,7.2,0.6666666666666666,0.5,0.5,1.0,,,,0.3333333333333333,,,,,,,,,0.6666666666666666,,0.5914,,,8.0,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-200665-201516-203857-204309,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Jamierra Faulkner, Clarissa Dos Santos","de Souza, Pondexter, Quigley, Faulkner, Dos Santos",100812-200665-201516-203857-204309,CHI,272.0,1,5.0,-3.0,9.0,8.0,2.0,,17.0,1.0,2.0,,,1.0,2.0,1.0,5.0,,,3.0,9.0,,,6.0,9.0,,,,4.0,2.0,,,,2.0,2.0,2.0,,1.0,4.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,6.0,,0.6666666666666666,0.6666666666666666,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,0.2222222222222222,0.5,1.0,0.2,,0.5,0.2,,1.0,,,90.0,18.0,13.75,18.0,12.375,0.2222222222222222,0.5,1.0,,0.2222222222222222,0.5,1.0,0.5555555555555556,0.2,0.2,1.0,,,,,,0.2222222222222222,,0.40644444444444444,,,12.18888888888889,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-200665-201516-203857-204323,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Jamierra Faulkner, Cheyenne Parker","de Souza, Pondexter, Quigley, Faulkner, Parker",100812-200665-201516-203857-204323,CHI,292.0,2,5.0,4.0,11.0,11.0,10.0,1.0,22.0,4.0,7.0,1.0,1.0,,,1.0,2.0,,,5.0,9.0,2.0,2.0,16.0,12.0,1.0,1.0,2.0,6.0,4.0,,,,1.0,3.0,5.0,2.0,1.0,12.0,1.0,2.0,,2.0,1.0,3.0,2.0,1.0,,1.0,,1.0,,,,1.0,14.0,,0.6,0.75,1.0,1.0,0.5555555555555556,1.0,0.7272727272727273,1.0,0.7272727272727273,1.0,0.18181818181818182,0.1111111111111111,,,0.25,1.0,1.0,0.25,,,,1.0,108.49315068493152,12.272727272727273,14.272727272727273,12.181818181818182,14.272727272727273,0.6363636363636364,0.5714285714285714,0.6666666666666666,0.5,,,,0.18181818181818182,0.5,0.5,1.0,,,,1.0,1.0,0.8181818181818182,,0.5663363636363636,0.5689,0.125,4.711111111111111,23.1,2.0,2.0,6.0,2.0,2.0,2.0,,,,,,,,,1.0,,,,0.18181818181818182,1.0,1.0,1.0,,,5.0,2.0,2.0,2.0,3.0,10.0,10.0,5.0,0.6666666666666666,1.0,1.0,0.4,1.0,0.5445599999999999,0.625,0.45454545454545453,,,0.14285714285714285,0.3333333333333333,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-200665-202638-202664-204323,1611661329,"Erika de Souza, Cappie Pondexter, Jessica Breland, Courtney Vandersloot, Cheyenne Parker","de Souza, Pondexter, Breland, Vandersloot, Parker",100812-200665-202638-202664-204323,CHI,86.0,1,1.0,3.0,3.0,2.0,2.0,2.0,5.0,1.0,3.0,,1.0,,,,,,1.0,1.0,3.0,,1.0,4.0,1.0,,1.0,2.0,,2.0,,1.0,,1.0,,,,,,1.0,,1.0,1.0,2.0,3.0,,,,,,,1.0,1.0,,1.0,2.0,,,,,,0.3333333333333333,,0.25,,0.4,0.5,0.25,0.3333333333333333,,1.0,0.5,,1.0,0.6666666666666666,,1.0,,,83.72093023255813,17.666666666666668,16.5,17.0,16.5,0.75,0.3333333333333333,0.5,,,,,,,,,0.25,,,1.0,,1.0,,0.5832125,0.6361,0.5,2.033333333333333,23.8,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,0.3333333333333333,0.25,0.4,0.75,0.3333333333333333,0.5832125,1.0,1.0,,,0.3333333333333333,0.5,,,,,1.0,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-201477-201516-202638-202664,1611661329,"Erika de Souza, Tamera Young, Allie Quigley, Jessica Breland, Courtney Vandersloot","de Souza, Young, Quigley, Breland, Vandersloot",100812-201477-201516-202638-202664,CHI,14.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
100812-201477-201516-202664-204309,1611661329,"Erika de Souza, Tamera Young, Allie Quigley, Courtney Vandersloot, Clarissa Dos Santos","de Souza, Young, Quigley, Vandersloot, Dos Santos",100812-201477-201516-202664-204309,CHI,25.0,1,,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,2.0,,,,2.0,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,115.19999999999999,13.0,12.0,13.0,12.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,0.5456,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,False
