EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyCorner3FGM,PenaltyCorner3Accuracy,OffCorner3ReboundPct,Travels,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PtsUnassisted3s,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,Blocked3s,BlockedArc3,Charge Fouls Drawn,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Clear Path Fouls,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
100721-201919-202259-202670-204320,1611661313,"Swin Cash, Shavonte Zellous, Epiphanny Prince, Carolyn Swords, Amanda Zahui B","Cash, Zellous, Prince, Swords, Zahui B",100721-201919-202259-202670-204320,NYL,249.0,2,4.0,-3.0,7.0,7.0,3.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,5.0,8.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,1.0,0.3333333333333333,0.5,1.0,0.5,0.5,1.0,0.5,1.0,80.96385542168674,17.428571428571427,18.142857142857142,17.428571428571427,16.571428571428573,0.25,1.0,1.0,1.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.3866,0.39535,0.2,0.2,0.4,11.5,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
201919-202250-203411-204327-204329,1611661313,"Shavonte Zellous, Tina Charles, Sugar Rodgers, Brittany Boyd, Kiah Stokes","Zellous, Charles, Rodgers, Boyd, Stokes",201919-202250-203411-204327-204329,NYL,5689.0,24,95.0,8.0,185.0,190.0,62.0,75.0,375.0,35.0,51.0,10.0,16.0,49.0,10.0,37.0,67.0,137.0,38.0,196.0,188.0,19.0,42.0,61.0,66.0,9.0,33.0,41.0,20.0,6.0,90.0,18.0,15.0,46.0,64.0,23.0,87.0,1.0,12.0,25.0,48.0,43.0,50.0,16.0,6.0,5.0,6.0,179.0,60.0,61.0,0.4925373134328358,0.5,0.48905109489051096,0.4523809523809524,0.47878787878787876,0.4,0.5187165775401069,0.46923076923076923,0.06569343065693431,0.10204081632653061,0.8679245283018868,0.2647058823529412,0.6,0.782051282051282,0.2619047619047619,0.25925925925925924,0.8,0.65,94.92002109333802,14.864864864864865,15.468421052631578,14.135135135135135,14.98421052631579,0.3090909090909091,0.6862745098039216,0.7446808510638298,0.5714285714285714,0.296969696969697,0.22424242424242424,0.2702702702702703,0.2702702702702703,0.6,0.2909090909090909,0.625,0.47878787878787876,0.4549779141104294,0.4351169811320755,0.0903954802259887,0.10738255033557047,0.3112244897959184,8.356204379562044,0.33513513513513515,23.0,3.0,6.0,22.0,2.0,3.0,1.0,6.0,25.0,1.0,1.0,2.0,12.0,8.0,28.0,6.0,15.0,1.0,1.0,2.0,17.0,2.0,13.0,17.0,68.0,24.0,2.0,1.0,24.0,6.0,8.0,6.0,2.0,7.0,4.0,1.0,3.0,3.0,25.0,14.0,11.0,13.0,9.0,1.0,4.0,2.0,5.0,7.0,24.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,10.0,1.0,3.0,1.0,3.0,7.0,1.0,0.2857142857142857,1.0,0.15384615384615385,0.2962962962962963,0.4,0.46875,0.4722222222222222,0.1696969696969697,0.0784313725490196,0.52,1.0,0.16666666666666666,0.25,0.5,0.12,0.26666666666666666,0.7222222222222222,1.0,0.4,0.04,0.5,0.4489795918367347,0.5,0.3181818181818182,0.01818181818181818,0.6666666666666666,0.6666666666666666,1.0,0.15151515151515152,0.24,0.24,1.0,0.375,0.5,0.3333333333333333,0.0625,1.0,1.0,0.01818181818181818,0.21818181818181817,0.16666666666666666,0.25,0.4543107142857143,0.08673469387755102,26.482142857142858,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
100721-101030-201919-204296-204320,1611661313,"Swin Cash, Tanisha Wright, Shavonte Zellous, Rebecca Allen, Amanda Zahui B","Cash, Wright, Zellous, Allen, Zahui B",100721-101030-201919-204296-204320,NYL,277.0,2,5.0,-3.0,10.0,9.0,,,19.0,,,,,1.0,2.0,4.0,2.0,5.0,2.0,9.0,12.0,,,,2.0,,1.0,2.0,,1.0,5.0,1.0,3.0,2.0,5.0,1.0,6.0,,1.0,3.0,3.0,3.0,4.0,2.0,,,,9.0,,,0.5,0.5,0.4,,0.5833333333333334,,0.5625,,,,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,1.0,1.0,98.77256317689532,13.2,16.11111111111111,12.7,15.444444444444445,,,,,0.16666666666666666,0.6666666666666666,0.5,0.5,0.5,,,0.16666666666666666,0.3933416666666667,,0.25,0.2857142857142857,,16.380000000000003,,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,2.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,0.16666666666666666,,0.6666666666666666,,,,,0.5,,,1.0,1.0,,,,,,,,,,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,1.0,0.4287,,23.9,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
100721-101030-202250-203411-204327,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Sugar Rodgers, Brittany Boyd","Cash, Wright, Charles, Rodgers, Boyd",100721-101030-202250-203411-204327,NYL,2.0,1,,-1.0,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
100721-101030-202250-203411-204320,1611661313,"Swin Cash, Tanisha Wright, Tina Charles, Sugar Rodgers, Amanda Zahui B","Cash, Wright, Charles, Rodgers, Zahui B",100721-101030-202250-203411-204320,NYL,317.0,3,5.0,12.0,11.0,11.0,4.0,4.0,22.0,3.0,5.0,,1.0,2.0,,1.0,5.0,8.0,5.0,18.0,6.0,1.0,3.0,5.0,8.0,,4.0,5.0,2.0,,11.0,2.0,1.0,5.0,6.0,2.0,8.0,,1.0,2.0,3.0,7.0,5.0,2.0,1.0,1.0,1.0,13.0,5.0,4.0,0.8,1.0,0.625,0.3333333333333333,0.7222222222222222,0.3333333333333333,0.8181818181818182,0.625,,,0.5555555555555556,0.6666666666666666,1.0,0.6,0.6666666666666666,,0.5,1.0,99.93690851735016,12.181818181818182,16.636363636363637,11.363636363636363,14.454545454545455,0.5555555555555556,0.6,0.6,0.6666666666666666,0.2222222222222222,0.1111111111111111,,,,0.3333333333333333,,0.6666666666666666,0.4843111111111111,0.4165666666666667,0.2,0.2222222222222222,0.2777777777777778,5.8125,0.36363636363636365,2.0,1.0,2.0,2.0,,,,1.0,1.0,,,,,1.0,1.0,2.0,3.0,,,1.0,5.0,,,3.0,2.0,3.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.1111111111111111,,0.5,,,,1.0,,,0.8,,,0.3333333333333333,,1.0,1.0,1.0,,,,,0.1111111111111111,1.0,1.0,1.0,0.6666666666666666,0.5,,,,,,,,1.0,0.45470000000000005,0.2777777777777778,22.3,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
100721-201046-202250-203411-204329,1611661313,"Swin Cash, Lindsey Harding, Tina Charles, Sugar Rodgers, Kiah Stokes","Cash, Harding, Charles, Rodgers, Stokes",100721-201046-202250-203411-204329,NYL,214.0,2,4.0,3.0,8.0,8.0,5.0,8.0,16.0,,1.0,,1.0,1.0,,1.0,,3.0,7.0,10.0,7.0,,2.0,7.0,,1.0,,1.0,,,3.0,1.0,,2.0,2.0,1.0,3.0,,,1.0,2.0,4.0,8.0,2.0,2.0,1.0,2.0,8.0,7.0,5.0,,,,,0.375,0.5,0.625,0.7,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.3333333333333333,,,,107.66355140186916,11.25,15.5,11.125,14.5,0.25,,,,0.25,0.25,,,,0.3333333333333333,,0.5,0.502575,0.5371333333333334,0.3333333333333333,0.4,0.7,10.266666666666667,0.625,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,2.0,2.0,1.0,1.0,4.0,,3.0,,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,2.0,1.0,,,2.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,0.25,1.0,1.0,,,,1.0,,,,1.0,,,,,,,0.25,1.0,1.0,1.0,,,,,,,,,,,0.3333333333333333,,,,,0.2,22.6,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
100721-201919-202250-202670-204327,1611661313,"Swin Cash, Shavonte Zellous, Tina Charles, Carolyn Swords, Brittany Boyd","Cash, Zellous, Charles, Swords, Boyd",100721-201919-202250-202670-204327,NYL,415.0,4,7.0,-6.0,13.0,14.0,,,27.0,,,,,3.0,2.0,6.0,4.0,9.0,5.0,13.0,19.0,,,,2.0,,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,4.0,2.0,6.0,,,2.0,2.0,5.0,7.0,4.0,1.0,,1.0,13.0,,,0.25,0.25,0.4444444444444444,,0.3333333333333333,,0.43333333333333335,,,,0.5,0.2,0.75,0.6666666666666666,0.25,,,0.75,93.6867469879518,19.692307692307693,11.357142857142858,17.384615384615383,11.071428571428571,,,,,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,,,0.25,0.38248750000000004,,0.26666666666666666,0.3333333333333333,,13.3,,2.0,,,2.0,,1.0,,,2.0,,1.0,,,,3.0,,1.0,,1.0,,,,,,6.0,,,,2.0,,,,,,1.0,,,,1.0,1.0,,2.0,1.0,,1.0,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,0.25,,1.0,,,0.3333333333333333,,0.25,,,1.0,,,,0.6666666666666666,0.6666666666666666,,0.08333333333333333,,,,0.16666666666666666,,,,,,,0.5,,,,,,,0.3672,,24.566666666666666,,,1.0,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
100721-201919-202250-203411-204329,1611661313,"Swin Cash, Shavonte Zellous, Tina Charles, Sugar Rodgers, Kiah Stokes","Cash, Zellous, Charles, Rodgers, Stokes",100721-201919-202250-203411-204329,NYL,204.0,1,3.0,-1.0,6.0,7.0,,4.0,13.0,,1.0,,,3.0,,1.0,2.0,5.0,,4.0,5.0,,,,4.0,,2.0,2.0,,,4.0,,1.0,2.0,3.0,1.0,4.0,,,,1.0,,,,,,,4.0,,,1.0,1.0,0.4,,0.2857142857142857,,0.2857142857142857,,,,0.6666666666666666,,1.0,0.75,0.2,,1.0,,91.76470588235294,14.5,16.714285714285715,12.5,16.428571428571427,0.14285714285714285,,,,0.42857142857142855,0.14285714285714285,,,,,,0.42857142857142855,0.4629857142857143,,,,,8.459999999999999,,1.0,,,2.0,,,,,2.0,,,,,,2.0,,1.0,,,,,,,,,,,,2.0,,,,,2.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857142857142857,,,,,0.5,,,0.5,,,1.0,,,0.6666666666666666,0.6666666666666666,1.0,,,,,0.2857142857142857,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
100721-201919-202250-204320-204327,1611661313,"Swin Cash, Shavonte Zellous, Tina Charles, Amanda Zahui B, Brittany Boyd","Cash, Zellous, Charles, Zahui B, Boyd",100721-201919-202250-204320-204327,NYL,19.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.78947368421053,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
100721-201919-202259-203411-204320,1611661313,"Swin Cash, Shavonte Zellous, Epiphanny Prince, Sugar Rodgers, Amanda Zahui B","Cash, Zellous, Prince, Rodgers, Zahui B",100721-201919-202259-203411-204320,NYL,37.0,1,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,77.83783783783784,35.0,2.0,35.0,2.0,,,,,,,,,,,,1.0,0.41925,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2016,2016,False
