EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,Corner3Assists,SelfOReb,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,ShortMidRangeAssists,LostBallSteals,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,ShortMidRangePctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,BadPassTurnovers,OffLongMidRangeReboundPct,DefCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGA,Offensive Fouls Drawn,SecondChanceArc3Frequency,PtsUnassisted3s,PtsPutbacks,Charge Fouls,Loose Ball Fouls Drawn,BlockedLongMidRange,LostBallOutOfBoundsTurnovers,Offensive Fouls,Charge Fouls Drawn,Technical Free Throw Trips,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,BlockingFouls,Blocked3s,BlockedArc3,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,StepOutOfBoundsTurnovers,HeaveAttempts,BlockedCorner3,team_id,year,season,team_vs
1627670-1627671-203410-203823-203826,1611661323,"Morgan Tuck, Rachel Banham, Alex Bentley, Chiney Ogwumike, Alyssa Thomas","Tuck, Banham, Bentley, Ogwumike, Thomas",1627670-1627671-203410-203823-203826,CON,207.0,1,3.0,7.0,7.0,6.0,1.0,4.0,13,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,9.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,9.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5833333333333334,0.6428571428571429,1.0,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,90.43478260869564,18.0,13.5,18.0,13.5,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.4878833333333333,0.14285714285714285,0.2,0.2222222222222222,9.025,23.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-1627673-201067-202662,1611661323,"Morgan Tuck, Rachel Banham, Jonquel Jones, Camille Little, Jasmine Thomas","Tuck, Banham, Jones, Little, Thomas",1627670-1627671-1627673-201067-202662,CON,246.0,1,4.0,-9.0,8.0,9.0,8.0,7.0,17,2.0,3.0,,,,,1.0,3.0,4.0,,1.0,4.0,10.0,19.0,4.0,10.0,4.0,,1.0,,,2.0,,2.0,,2.0,,4.0,,,,,1.0,4.0,5.0,3.0,5.0,2.0,8.0,10.0,8.0,0.6666666666666666,0.6666666666666666,,,,0.75,0.6,0.7142857142857143,0.7142857142857143,0.2,,,,,,,,,99.51219512195122,13.75,15.11111111111111,12.375,13.0,0.6,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.2,,,,0.8,,0.55286,0.3333333333333333,0.4,1.0,2.675,23.7,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.6,1.0,0.5,1.0,0.5,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.6,0.6666666666666666,0.2,0.6395,0.55286,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-1627673-201067-203410,1611661323,"Morgan Tuck, Rachel Banham, Jonquel Jones, Camille Little, Alex Bentley","Tuck, Banham, Jones, Little, Bentley",1627670-1627671-1627673-201067-203410,CON,290.0,2,5.0,3.0,9.0,10.0,,,19,1.0,4.0,,3.0,1.0,1.0,1.0,1.0,9.0,2.0,2.0,2.0,10.0,7.0,,,2.0,6.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,,8.0,4.0,3.0,,7.0,10.0,,,3.0,2.0,1.0,5.0,,,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.36363636363636365,0.4166666666666667,,0.18181818181818182,0.2222222222222222,0.25,,0.6,0.8,0.7,,0.8,94.3448275862069,15.555555555555555,15.0,13.333333333333334,13.7,0.36363636363636365,0.25,0.3333333333333333,1.0,0.2727272727272727,,,,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.5454545454545454,1.0,0.48899999999999993,0.08333333333333333,0.1,,8.955555555555556,22.85,,3.0,,1.0,,,,2.0,,,1.0,5.0,,,,,3.0,3.0,,,,,,,,,,,,,,,0.75,,0.8333333333333334,,0.375,0.375,0.3333333333333333,0.18181818181818182,,,0.5,,,,,,0.70225,,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.16666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-1627673-203015-203408,1611661323,"Morgan Tuck, Rachel Banham, Jonquel Jones, Shekinna Stricklen, Kelly Faris","Tuck, Banham, Jones, Stricklen, Faris",1627670-1627671-1627673-203015-203408,CON,110.0,1,2.0,1.0,3.0,3.0,2.0,2.0,6,,1.0,,,,,1.0,,1.0,,1.0,4.0,4.0,3.0,2.0,2.0,,,1.0,,,,,,,,,,2.0,,,2.0,4.0,,1.0,3.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,0.5,0.5,0.5,,,,,1.0,1.0,,1.0,78.54545454545455,18.0,18.666666666666668,14.666666666666666,18.666666666666668,0.5,,,,,,,,,0.5,,,,1.0,,0.712875,0.5,0.6666666666666666,0.5,2.3,22.8,0.6666666666666666,1.0,,,,1.0,,,,,,2.0,,1.0,,,1.0,2.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,0.6006,0.5,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-1627673-203015-203410,1611661323,"Morgan Tuck, Rachel Banham, Jonquel Jones, Shekinna Stricklen, Alex Bentley","Tuck, Banham, Jones, Stricklen, Bentley",1627670-1627671-1627673-203015-203410,CON,203.0,3,3.0,9.0,9.0,7.0,8.0,5.0,16,2.0,3.0,,,,1.0,2.0,3.0,5.0,1.0,2.0,6.0,15.0,6.0,5.0,12.0,4.0,3.0,2.0,1.0,,2.0,1.0,3.0,1.0,1.0,,7.0,2.0,,,2.0,3.0,1.0,2.0,4.0,6.0,4.0,15.0,12.0,8.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.6,0.6428571428571429,0.8333333333333334,0.75,0.2857142857142857,,,,,1.0,0.6666666666666666,,1.0,113.49753694581281,13.11111111111111,12.142857142857142,11.555555555555555,10.142857142857142,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.2857142857142857,0.5,0.5,1.0,0.7142857142857143,0.5,0.5365428571428571,0.4444444444444444,0.5714285714285714,0.8,4.68,23.3,0.8888888888888888,1.0,,,2.0,3.0,1.0,2.0,2.0,,1.0,,2.0,4.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,2.0,,,,0.5,,0.5833333333333334,,,1.0,0.5,1.0,0.2857142857142857,0.5,0.5,,,,0.5,0.6666666666666666,0.3333333333333333,0.4411,0.5620333333333333,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-1627673-203408-203823,1611661323,"Morgan Tuck, Rachel Banham, Jonquel Jones, Kelly Faris, Chiney Ogwumike","Tuck, Banham, Jones, Faris, Ogwumike",1627670-1627671-1627673-203408-203823,CON,693.0,4,12.0,-5.0,28.0,25.0,6.0,3.0,53,2.0,8.0,,4.0,1.0,1.0,4.0,4.0,16.0,2.0,5.0,2.0,16.0,21.0,,5.0,2.0,6.0,4.0,1.0,,1.0,2.0,3.0,1.0,1.0,,8.0,5.0,3.0,2.0,10.0,12.0,1.0,3.0,5.0,2.0,1.0,16.0,5.0,6.0,0.25,0.25,1.0,0.4,0.4,0.25,0.3333333333333333,0.36363636363636365,0.5,0.23809523809523808,,,1.0,0.75,1.0,0.8888888888888888,1.0,1.0,110.12987012987013,15.571428571428571,10.28,15.285714285714286,9.92,0.38095238095238093,0.25,0.25,0.5,0.19047619047619047,,,,0.047619047619047616,0.19047619047619047,0.25,0.25,1.0,0.6190476190476191,0.25,0.45031666666666664,0.045454545454545456,0.058823529411764705,0.3125,6.725,24.28,0.21428571428571427,2.0,,1.0,,1.0,2.0,4.0,,,2.0,,1.0,4.0,1.0,6.0,2.0,2.0,3.0,3.0,7.0,1.0,3.0,,8.0,2.0,2.0,,,,,0.25,,0.5,,0.875,0.18181818181818182,0.14285714285714285,,0.19047619047619047,0.5,0.5,0.5,,,0.2,,,0.43775,0.39031,,1.0,,,,,,1.0,,,,,,,,,,1.0,,0.5,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,4.0,0.25,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-201067-203015-203408,1611661323,"Morgan Tuck, Rachel Banham, Camille Little, Shekinna Stricklen, Kelly Faris","Tuck, Banham, Little, Stricklen, Faris",1627670-1627671-201067-203015-203408,CON,150.0,1,2.0,1.0,5.0,4.0,,,9,1.0,1.0,,1.0,1.0,,,1.0,3.0,1.0,1.0,,5.0,4.0,,,,3.0,,,,,1.0,1.0,,,,3.0,2.0,,,2.0,2.0,1.0,1.0,,,,5.0,,,,,1.0,1.0,1.0,0.3333333333333333,0.625,0.625,,0.25,,,,,1.0,0.6666666666666666,,1.0,86.4,17.2,16.0,17.2,15.25,0.25,1.0,1.0,,0.25,,,,0.25,,,,,0.5,,0.5189875,,,,9.566666666666666,23.9,,,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-202623-203408-203823,1611661323,"Morgan Tuck, Rachel Banham, Aneika Morello, Kelly Faris, Chiney Ogwumike","Tuck, Banham, Morello, Faris, Ogwumike",1627670-1627671-202623-203408-203823,CON,181.0,1,3.0,,7.0,8.0,,,15,1.0,2.0,,,,,2.0,2.0,4.0,,2.0,,4.0,4.0,,,2.0,,2.0,,1.0,1.0,,1.0,,1.0,,2.0,1.0,3.0,,4.0,6.0,1.0,2.0,2.0,,,4.0,,,0.5,0.5,,,,0.5,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.25,0.5,,1.0,1.0,1.0,1.0,1.0,119.33701657458563,13.428571428571429,10.875,12.0,10.875,0.3333333333333333,0.5,1.0,1.0,,,,,,0.3333333333333333,,,,0.6666666666666666,,0.5078583333333333,,,,6.05,24.4,,1.0,,,,,1.0,2.0,,,,,,,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,3.0,,1.0,,,,,,,,,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,,,,,,,0.4086,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,0.5,0.5,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-202623-202662-203823,1611661323,"Morgan Tuck, Rachel Banham, Aneika Morello, Jasmine Thomas, Chiney Ogwumike","Tuck, Banham, Morello, Thomas, Ogwumike",1627670-1627671-202623-202662-203823,CON,54.0,1,1.0,,2.0,2.0,,,4,1.0,1.0,,,,,,1.0,1.0,,,,2.0,2.0,,,2.0,,,,,1.0,,1.0,,1.0,,2.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,106.66666666666666,10.5,16.5,10.5,16.5,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,0.7362,1.0,1.0,,0.7,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
1627670-1627671-202623-203410-203823,1611661323,"Morgan Tuck, Rachel Banham, Aneika Morello, Alex Bentley, Chiney Ogwumike","Tuck, Banham, Morello, Bentley, Ogwumike",1627670-1627671-202623-203410-203823,CON,170.0,1,3.0,-2.0,5.0,6.0,,3.0,11,1.0,1.0,,2.0,,,,1.0,5.0,,,,2.0,4.0,,,,,,,,,,,,,,,1.0,,1.0,2.0,2.0,1.0,1.0,,,,2.0,,,,,,,,0.2,0.2,0.2,,,,,1.0,,1.0,0.3333333333333333,,1.0,93.17647058823529,20.8,11.0,20.8,10.0,0.2,1.0,1.0,,0.4,,,,,,,,,0.2,,0.35242,,,,9.82,,,,,,,,,2.0,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2016,2016,True
