EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,PenaltyFG3M,PenaltyFG3A,Corner3Assists,ShortMidRangeAssists,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Charge Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,Corner3PctBlocked,Clear Path Fouls,Blocked3s,BlockedArc3,HeaveAttempts,BlockedLongMidRange,3SecondViolations,BlockedCorner3,team_id,year,season,team_vs
100646-1627676-201503-201889-204365,1611661325,"Tamika Catchings, Tiffany Mitchell, Erlana Larkins, Marissa Coleman, Erica Wheeler","Catchings, Mitchell, Larkins, Coleman, Wheeler",100646-1627676-201503-201889-204365,IND,2915.0,10,49.0,-4.0,94.0,94.0,4.0,14.0,13.0,188.0,18.0,37.0,4.0,8.0,1.0,4.0,9.0,19.0,3.0,1.0,9.0,22.0,2.0,27.0,60.0,9.0,25.0,16.0,97.0,101.0,5.0,11.0,3.0,3.0,13.0,1.0,2.0,2.0,4.0,24.0,30.0,24.0,3.0,4.0,22.0,9.0,9.0,12.0,8.0,20.0,8.0,7.0,5.0,48.0,6.0,11.0,6.0,17.0,4.0,27.0,17.0,44.0,1.0,10.0,6.0,4.0,9.0,2.0,3.0,11.0,1.0,6.0,1.0,1.0,20.0,3.0,1.0,13.0,1.0,30.0,1.0,2.0,24.0,2.0,2.0,1.0,1.0,18.0,2.0,2.0,9.0,3.0,1.0,2.0,3.0,2.0,84.0,4.0,4.0,2.0,0.4444444444444444,0.48,0.8888888888888888,0.36,0.36,0.45,0.45454545454545453,0.5,0.4764705882352941,0.35714285714285715,0.5,0.5163043478260869,0.4,0.6666666666666666,0.29411764705882354,0.15,0.1891891891891892,0.5,0.45,0.8,0.5862068965517241,0.34375,0.75,0.375,0.6216216216216216,0.3541666666666667,0.3333333333333333,0.5,0.3,0.3076923076923077,0.6666666666666666,0.375,0.6363636363636364,0.7,0.6666666666666666,1.0,0.02564102564102564,92.8713550600343,0.6666666666666666,15.159574468085106,15.851063829787234,14.106382978723405,14.96808510638298,0.43529411764705883,0.4864864864864865,0.6,0.3888888888888889,0.047058823529411764,0.2235294117647059,0.47368421052631576,0.47368421052631576,0.5555555555555556,0.03529411764705882,0.25882352941176473,0.4090909090909091,0.4090909090909091,0.8888888888888888,0.5714285714285714,0.5,0.25,0.07142857142857142,0.14285714285714285,0.5,0.7294117647058823,0.4090909090909091,0.5108941176470588,0.5444222222222223,0.4516,0.09782608695652174,0.13432835820895522,0.13402061855670103,0.041237113402061855,6.816666666666666,23.596,0.0425531914893617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-203016-203831-204365,1611661325,"Tamika Catchings, Tiffany Mitchell, Devereaux Peters, Natalie Achonwa, Erica Wheeler","Catchings, Mitchell, Peters, Achonwa, Wheeler",100646-1627676-203016-203831-204365,IND,226.0,1,4.0,7.0,8.0,7.0,,3.0,,15.0,3.0,5.0,,,,,1.0,1.0,,,,,,4.0,6.0,,,2.0,10.0,3.0,,,,,,,,,,6.0,2.0,,,,,,,3.0,,3.0,,3.0,,6.0,,,1.0,4.0,1.0,6.0,,6.0,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,2.0,,,,,3.0,1.0,,2.0,,,,,,10.0,,,,0.75,0.75,,,,0.6666666666666666,,,0.6666666666666666,,,0.7142857142857143,,,,,,,,0.5,0.6666666666666666,,1.0,,0.7142857142857143,,,,,,,1.0,0.3333333333333333,1.0,1.0,,,95.57522123893806,,12.625,17.857142857142858,12.625,15.428571428571429,0.8333333333333334,0.6,0.6,1.0,,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,0.8333333333333334,,0.5743333333333334,,,0.2857142857142857,0.2857142857142857,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-201503-201889-201896-204365,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Erica Wheeler","Catchings, Larkins, Coleman, January, Wheeler",100646-201503-201889-201896-204365,IND,4969.0,11,83.0,28.0,159.0,159.0,27.0,29.0,25.0,318.0,22.0,38.0,4.0,6.0,4.0,23.0,9.0,29.0,12.0,1.0,14.0,34.0,4.0,43.0,90.0,17.0,46.0,45.0,182.0,154.0,5.0,12.0,5.0,6.0,25.0,5.0,9.0,18.0,34.0,40.0,46.0,45.0,6.0,4.0,34.0,14.0,6.0,20.0,15.0,35.0,12.0,11.0,1.0,85.0,12.0,16.0,11.0,41.0,4.0,56.0,28.0,84.0,1.0,18.0,14.0,4.0,12.0,5.0,7.0,16.0,4.0,5.0,,1.0,28.0,5.0,7.0,14.0,3.0,28.0,,3.0,49.0,1.0,10.0,4.0,6.0,55.0,5.0,3.0,21.0,2.0,2.0,,2.0,2.0,157.0,30.0,25.0,3.0,0.46511627906976744,0.4878048780487805,0.8823529411764706,0.3695652173913043,0.3695652173913043,0.4777777777777778,0.4166666666666667,0.5555555555555556,0.5036764705882353,0.5588235294117647,0.5,0.5628930817610063,0.5681818181818182,0.6875,0.3382352941176471,0.06666666666666667,0.13157894736842105,0.043478260869565216,0.42857142857142855,0.8,0.7592592592592593,0.3404255319148936,0.7857142857142857,0.42857142857142855,0.7647058823529411,0.37333333333333335,0.3125,0.45454545454545453,0.3,0.47368421052631576,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8095238095238095,0.8333333333333334,0.5,0.014492753623188406,92.15536325216341,1.0,16.20125786163522,15.050314465408805,15.0,14.50314465408805,0.27941176470588236,0.5789473684210527,0.6666666666666666,0.5,0.16911764705882354,0.21323529411764705,0.3103448275862069,0.3103448275862069,0.1111111111111111,0.08823529411764706,0.25,0.4117647058823529,0.4117647058823529,0.8571428571428571,0.35294117647058826,0.6666666666666666,0.25,0.058823529411764705,0.23529411764705882,0.25,0.6176470588235294,0.4117647058823529,0.48235808823529414,0.518865,0.463421875,0.14473684210526316,0.19811320754716982,0.13736263736263737,0.18681318681318682,8.753333333333332,24.2,0.16981132075471697,3.0,12.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,7.0,3.0,8.0,1.0,1.0,7.0,4.0,0.6,0.2857142857142857,0.5217391304347826,0.5454545454545454,0.6666666666666666,0.25,0.25,1.0,1.0,1.0,0.5,1.0,0.75,0.1875,0.3333333333333333,0.25,0.25,0.021739130434782608,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-1627688-201503-203843,1611661325,"Tamika Catchings, Tiffany Mitchell, Brene Moseley, Erlana Larkins, Maggie Lucas","Catchings, Mitchell, Moseley, Larkins, Lucas",100646-1627676-1627688-201503-203843,IND,166.0,2,3.0,-4.0,6.0,6.0,2.0,5.0,,12.0,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,4.0,4.0,8.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,,,,,1.0,1.0,,1.0,,1.0,,,2.0,,1.0,2.0,1.0,2.0,,,3.0,1.0,,,1.0,4.0,,,,,,,,,4.0,2.0,2.0,,,,,,,,,,,,,0.5,,1.0,0.5,,,,0.5,,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,104.09638554216868,,11.333333333333334,16.333333333333332,11.333333333333334,16.333333333333332,,,,,,0.5,,,,0.5,,,,,,,,,,,0.5,,0.443975,,,,,,0.5,16.1,23.1,0.3333333333333333,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-201503-201896-203041,1611661325,"Tamika Catchings, Tiffany Mitchell, Erlana Larkins, Briann January, Lynetta Kizer","Catchings, Mitchell, Larkins, January, Kizer",100646-1627676-201503-201896-203041,IND,784.0,9,13.0,1.0,24.0,27.0,6.0,7.0,2.0,51.0,6.0,9.0,1.0,1.0,2.0,5.0,3.0,6.0,1.0,,1.0,2.0,1.0,13.0,20.0,1.0,3.0,4.0,33.0,32.0,1.0,1.0,1.0,,5.0,2.0,4.0,,4.0,18.0,8.0,3.0,,,2.0,1.0,,9.0,1.0,10.0,1.0,5.0,2.0,21.0,,2.0,2.0,2.0,,4.0,2.0,6.0,,7.0,4.0,3.0,2.0,,1.0,,,1.0,,,2.0,,1.0,2.0,,5.0,1.0,,4.0,,,,,4.0,1.0,1.0,2.0,1.0,1.0,,1.0,,28.0,4.0,6.0,1.0,0.6923076923076923,0.6923076923076923,1.0,0.3333333333333333,0.3333333333333333,0.65,1.0,0.5,0.6304347826086957,1.25,0.4,0.6666666666666666,1.25,0.4,0.13043478260869565,,,,1.0,,0.25,0.2857142857142857,0.5,,0.3333333333333333,0.2222222222222222,,1.0,0.3333333333333333,,,0.2857142857142857,,,0.6666666666666666,,,93.6734693877551,,14.458333333333334,16.185185185185187,13.833333333333334,15.37037037037037,0.391304347826087,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.21739130434782608,0.2608695652173913,0.5,0.5,0.6666666666666666,0.043478260869565216,0.08695652173913043,0.5,0.5,1.0,0.5,1.0,1.0,,0.5,0.4,0.5217391304347826,0.5,0.4986260869565218,0.57725,0.50227,0.08333333333333333,0.09523809523809523,0.15151515151515152,0.12121212121212122,8.495000000000001,22.96666666666667,0.25,1.0,4.0,,,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,1.0,,0.8,0.8,0.5,,,,,,1.0,1.0,0.5,,,0.2,,,1.0,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-201503-203843-204365,1611661325,"Tamika Catchings, Tiffany Mitchell, Erlana Larkins, Maggie Lucas, Erica Wheeler","Catchings, Mitchell, Larkins, Lucas, Wheeler",100646-1627676-201503-203843-204365,IND,21.0,1,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,2.0,,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,68.57142857142857,,,12.0,,12.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,0.6284,,,1.0,1.0,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-203018-203041-204365,1611661325,"Tamika Catchings, Tiffany Mitchell, Shenise Johnson, Lynetta Kizer, Erica Wheeler","Catchings, Mitchell, Johnson, Kizer, Wheeler",100646-1627676-203018-203041-204365,IND,551.0,4,9.0,2.0,19.0,17.0,5.0,3.0,2.0,36.0,4.0,5.0,,1.0,2.0,2.0,,2.0,,,,1.0,,6.0,9.0,,1.0,8.0,20.0,18.0,1.0,2.0,,,2.0,2.0,3.0,1.0,5.0,,12.0,,,,1.0,,,,,,,,,,1.0,1.0,2.0,2.0,,4.0,2.0,6.0,,2.0,2.0,,4.0,,2.0,4.0,,2.0,,1.0,8.0,,1.0,,,6.0,,2.0,8.0,,2.0,,2.0,9.0,1.0,,5.0,,,,,,18.0,5.0,5.0,1.0,,,,,,0.6666666666666666,0.5,0.6666666666666666,0.6,0.5,0.5,0.7142857142857143,0.5,0.5,0.1,,,,0.5,,0.5,0.5,0.6666666666666666,1.0,0.5714285714285714,0.6666666666666666,,,1.0,1.0,,1.0,,0.5,0.6666666666666666,,,94.08348457350272,,14.526315789473685,16.176470588235293,14.0,14.294117647058824,0.5,0.8,0.8,,0.2,0.2,,,,,0.1,,,,0.5,,,,,0.5,0.6,,0.51718,0.6851,0.59495,0.35714285714285715,0.38461538461538464,0.1,0.25,7.611111111111111,23.6,0.2631578947368421,1.0,2.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,0.5,,,0.25,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-1627676-203831-203843-204365,1611661325,"Tamika Catchings, Tiffany Mitchell, Natalie Achonwa, Maggie Lucas, Erica Wheeler","Catchings, Mitchell, Achonwa, Lucas, Wheeler",100646-1627676-203831-203843-204365,IND,50.0,1,1.0,2.0,1.0,2.0,,2.0,,3.0,,,,,,2.0,,,,,,,,2.0,2.0,,,,4.0,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,4.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,86.39999999999999,,24.0,13.0,24.0,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.3615,,,0.5,0.5,,,7.65,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-201503-201889-201896-203016,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Devereaux Peters","Catchings, Larkins, Coleman, January, Peters",100646-201503-201889-201896-203016,IND,247.0,3,4.0,,8.0,6.0,,1.0,1.0,14.0,,,,,,2.0,1.0,4.0,,,,,,2.0,6.0,,,2.0,6.0,6.0,1.0,1.0,,,2.0,,,,,2.0,2.0,,,,,,,1.0,,1.0,,,1.0,2.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,1.0,,1.0,1.0,,,1.0,,1.0,,,2.0,,,,1.0,5.0,,1.0,2.0,,,,,2.0,,,1.0,,,,,,4.0,,,,0.5,0.5,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,0.42857142857142855,1.0,,,,,,0.5,,0.5,0.25,1.0,,0.6666666666666666,0.25,,,0.3333333333333333,,,,1.0,,,1.0,,81.61943319838058,,16.75,18.833333333333332,15.875,17.166666666666668,,,,,0.3333333333333333,0.6666666666666666,0.25,0.25,1.0,,,,,,,,,,,,,,0.36073333333333335,0.3466,,0.14285714285714285,0.14285714285714285,0.3333333333333333,,14.866666666666667,,,,1.0,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2016,2016,False
100646-201503-201889-201896-203018,1611661325,"Tamika Catchings, Erlana Larkins, Marissa Coleman, Briann January, Shenise Johnson","Catchings, Larkins, Coleman, January, Johnson",100646-201503-201889-201896-203018,IND,4595.0,14,77.0,14.0,149.0,143.0,11.0,12.0,18.0,292.0,28.0,43.0,4.0,6.0,1.0,9.0,13.0,29.0,10.0,1.0,12.0,39.0,4.0,43.0,81.0,14.0,49.0,33.0,161.0,147.0,7.0,10.0,5.0,6.0,23.0,2.0,2.0,10.0,20.0,46.0,40.0,39.0,3.0,6.0,39.0,12.0,7.0,23.0,13.0,36.0,11.0,18.0,5.0,85.0,10.0,10.0,8.0,30.0,1.0,39.0,20.0,59.0,2.0,25.0,20.0,5.0,11.0,6.0,8.0,11.0,,3.0,,4.0,22.0,3.0,2.0,13.0,2.0,31.0,1.0,1.0,33.0,,2.0,4.0,3.0,37.0,4.0,,17.0,6.0,5.0,1.0,6.0,4.0,138.0,20.0,11.0,1.0,0.5348837209302325,0.575,0.9285714285714286,0.2857142857142857,0.2857142857142857,0.5308641975308642,0.7,1.0,0.49230769230769234,0.5666666666666667,1.25,0.5513698630136986,0.6388888888888888,1.1111111111111112,0.3769230769230769,0.08641975308641975,0.09302325581395349,0.2222222222222222,0.5,1.0,0.75,0.2631578947368421,0.6666666666666666,0.2857142857142857,0.7307692307692307,0.273972602739726,0.2,0.7142857142857143,0.125,0.2962962962962963,0.25,0.7692307692307693,0.625,0.7894736842105263,0.625,0.75,0.030303030303030304,91.50816104461371,0.6666666666666666,15.36241610738255,16.125874125874127,14.543624161073826,15.692307692307692,0.33076923076923076,0.6511627906976745,0.717948717948718,0.6428571428571429,0.06923076923076923,0.2230769230769231,0.4482758620689655,0.4642857142857143,0.38461538461538464,0.07692307692307693,0.3,0.3076923076923077,0.3076923076923077,0.9166666666666666,0.4,0.6666666666666666,0.5,0.06666666666666667,0.26666666666666666,0.25,0.7076923076923077,0.3076923076923077,0.5140796153846153,0.435135,0.497275,0.125,0.18085106382978725,0.14285714285714285,0.12422360248447205,8.219753086419752,23.814285714285717,0.0738255033557047,1.0,2.0,2.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,,1.0,2.0,3.0,0.2,1.0,0.2222222222222222,0.2857142857142857,,0.2,0.2,1.0,,,0.25,1.0,1.0,,,0.5,1.0,0.02,,0.034482758620689655,,,,,,,,,,,,,,,1611661325,2016,2016,False
