EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,OpponentPoints,Fg2aBlocked,LiveBallTurnovers,LostBallTurnovers,Turnovers,Blocked2s,BlockedLongMidRange,Blocks,Defensive 3 Seconds Violations,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,ShortMidRangeFrequency,LongMidRangeFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyArc3FGM,PenaltyFG3M,OffThreePtRebounds,BadPassTurnovers,PenaltyTurnovers,BlockingFouls,PenaltyFg3Pct,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,PenaltyArc3Accuracy,ShortMidRangeFGM,FTDefRebounds,SelfOReb,DeadBallTurnovers,SecondChanceTurnovers,Offensive Fouls,BlockedShortMidRange,RecoveredBlocks,DefFTReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Steals,BadPassSteals,BlockedAtRim,DefAtRimReboundPct,Corner3FGM,Corner3FGA,Corner3Assists,NonShootingPenaltyNonTakeFouls,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,ShortMidRangeAssists,Loose Ball Fouls,SecondChanceFg3Pct,LongMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,Fg3aBlocked,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,LostBallSteals,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,Travels,Charge Fouls,SecondChanceAtRimPctAssisted,3SecondViolations,SecondChanceCorner3FGA,3pt And 1 Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,Corner3PctBlocked,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedArc3,team_id,year,season,team_vs
200665-202638-202664-203857-204323,1611661329,"Cappie Pondexter, Jessica Breland, Courtney Vandersloot, Jamierra Faulkner, Cheyenne Parker","Pondexter, Breland, Vandersloot, Faulkner, Parker",200665-202638-202664-203857-204323,CHI,82.0,2,1.0,3.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,1.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,70.2439024390244,13.5,27.5,13.0,27.5,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4448666666666667,0.6524,0.4448666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,12.166666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
1627677-201516-202638-202664-204335,1611661329,"Imani McGee-Stafford, Allie Quigley, Jessica Breland, Courtney Vandersloot, Betnijah Laney","McGee-Stafford, Quigley, Breland, Vandersloot, Laney",1627677-201516-202638-202664-204335,CHI,81.0,1,1.0,-3.0,2.0,2.0,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,0.5,,0.5,,,0.5,71.1111111111111,16.0,24.5,16.0,24.5,,,,,,,,,,0.3959,,,,,,,9.9,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
1627677-200665-202664-203399-204309,1611661329,"Imani McGee-Stafford, Cappie Pondexter, Courtney Vandersloot, Elena Delle Donne, Clarissa Dos Santos","McGee-Stafford, Pondexter, Vandersloot, Delle Donne, Dos Santos",1627677-200665-202664-203399-204309,CHI,286.0,2,5.0,3.0,9.0,9.0,4.0,,,18.0,1.0,1.0,,,1.0,1.0,3.0,2.0,4.0,2.0,9.0,,,,,2.0,2.0,1.0,5.0,,,,1.0,3.0,,3.0,,,5.0,3.0,,,5.0,4.0,0.5,,1.0,0.4375,,0.6666666666666666,0.4444444444444444,,0.625,0.25,,0.5,,,0.3333333333333333,90.62937062937063,15.0,16.77777777777778,15.0,14.666666666666666,0.125,1.0,1.0,0.375,,,0.3333333333333333,1.0,0.625,0.4655875,,0.5060166666666667,,,,0.5555555555555556,13.5,0.4444444444444444,,6.0,,,,,,,,,,,,,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.25,0.25,1.0,0.3333333333333333,0.25,23.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
1627677-201516-202638-203857-204309,1611661329,"Imani McGee-Stafford, Allie Quigley, Jessica Breland, Jamierra Faulkner, Clarissa Dos Santos","McGee-Stafford, Quigley, Breland, Faulkner, Dos Santos",1627677-201516-202638-203857-204309,CHI,376.0,2,6.0,6.0,12.0,11.0,12.0,6.0,2.0,23.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0,10.0,2.0,18.0,2.0,3.0,,4.0,5.0,10.0,2.0,18.0,4.0,2.0,2.0,3.0,4.0,3.0,7.0,1.0,3.0,1.0,2.0,,1.0,18.0,12.0,0.5,0.6666666666666666,0.5,0.6153846153846154,0.6666666666666666,0.6153846153846154,0.6428571428571429,0.6666666666666666,0.6428571428571429,0.75,0.4,0.6666666666666666,0.5,,0.75,88.08510638297872,15.416666666666666,17.363636363636363,14.666666666666666,16.363636363636363,0.3076923076923077,0.25,1.0,0.38461538461538464,0.6666666666666666,0.5,0.3076923076923077,0.25,0.5384615384615384,0.3833423076923077,0.36355,0.3833423076923077,0.07142857142857142,0.09090909090909091,0.2222222222222222,1.0,9.940000000000001,1.0,1.0,12.0,3.0,1.0,,1.0,,,,,0.3,,1.0,0.07692307692307693,4.0,2.0,3.0,3.0,2.0,3.0,3.0,6.0,6.0,3.0,2.0,3.0,2.0,5.0,2.0,,3.0,12.0,1.0,,,,,14.0,,0.6,0.75,1.0,0.6666666666666666,0.6666666666666666,0.23076923076923078,0.5,0.5,,,0.8,0.8,0.75,0.23076923076923078,0.6666666666666666,0.6666666666666666,1.0,0.23076923076923078,0.6666666666666666,25.8,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
100812-200665-201477-201516-202638,1611661329,"Erika de Souza, Cappie Pondexter, Tamera Young, Allie Quigley, Jessica Breland","de Souza, Pondexter, Young, Quigley, Breland",100812-200665-201477-201516-202638,CHI,9.0,1,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
100812-200665-201477-202664-204309,1611661329,"Erika de Souza, Cappie Pondexter, Tamera Young, Courtney Vandersloot, Clarissa Dos Santos","de Souza, Pondexter, Young, Vandersloot, Dos Santos",100812-200665-201477-202664-204309,CHI,473.0,4,8.0,-10.0,14.0,15.0,9.0,1.0,4.0,29.0,1.0,3.0,,1.0,1.0,1.0,3.0,3.0,9.0,1.0,7.0,,2.0,,,3.0,5.0,1.0,7.0,4.0,,3.0,3.0,4.0,4.0,8.0,2.0,6.0,5.0,4.0,,2.0,7.0,9.0,0.3333333333333333,,0.6,0.2727272727272727,,0.42857142857142855,0.2692307692307692,,0.3888888888888889,0.375,0.5,0.375,0.5,,0.16666666666666666,88.28752642706131,15.285714285714286,17.266666666666666,13.785714285714286,15.333333333333334,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.5,,0.14285714285714285,1.0,0.45454545454545453,0.4764227272727272,0.56695,0.45555,0.15384615384615385,0.18181818181818182,,1.0,9.866666666666667,0.6428571428571429,3.0,17.0,,2.0,,5.0,1.0,,1.0,,,,0.4,0.2727272727272727,1.0,,2.0,2.0,,2.0,2.0,2.0,,2.0,,1.0,,1.0,,,1.0,2.0,,1.0,2.0,,,7.0,,0.3333333333333333,0.3333333333333333,,,,0.18181818181818182,,,,,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,,,,0.2857142857142857,,23.3,,,1.0,2.0,2.0,,,,0.5,1.0,0.5,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,0.125,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
100812-200665-201477-203857-204309,1611661329,"Erika de Souza, Cappie Pondexter, Tamera Young, Jamierra Faulkner, Clarissa Dos Santos","de Souza, Pondexter, Young, Faulkner, Dos Santos",100812-200665-201477-203857-204309,CHI,522.0,3,9.0,-3.0,17.0,18.0,5.0,5.0,,35.0,3.0,5.0,,,1.0,2.0,4.0,6.0,10.0,6.0,18.0,,,,,1.0,2.0,2.0,4.0,4.0,,,6.0,6.0,,6.0,2.0,3.0,4.0,7.0,1.0,3.0,4.0,5.0,0.6,,0.5,0.5,,0.3333333333333333,0.6,,0.5,0.6,,0.6,,,0.75,96.55172413793105,14.529411764705882,15.277777777777779,14.529411764705882,14.61111111111111,0.4166666666666667,0.6,0.6,0.3333333333333333,,,0.6666666666666666,0.5,0.5833333333333334,0.5048833333333334,,0.5848166666666667,0.21428571428571427,0.25,,0.2222222222222222,8.870000000000001,0.29411764705882354,1.0,21.0,,2.0,,2.0,3.0,,3.0,,,,1.0,0.08333333333333333,2.0,,2.0,1.0,,2.0,1.0,8.0,,2.0,,4.0,,4.0,,2.0,2.0,8.0,,1.0,,,1.0,18.0,1.0,0.6666666666666666,0.6666666666666666,,,,0.16666666666666666,,,,0.6666666666666666,0.5,0.5,1.0,0.16666666666666666,,,,0.3333333333333333,,23.25,,,,2.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,1.0,,0.3333333333333333,1.0,1.0,1.0,1.0,3.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
100812-200665-201516-203399-203857,1611661329,"Erika de Souza, Cappie Pondexter, Allie Quigley, Elena Delle Donne, Jamierra Faulkner","de Souza, Pondexter, Quigley, Delle Donne, Faulkner",100812-200665-201516-203399-203857,CHI,251.0,5,4.0,6.0,7.0,10.0,1.0,3.0,1.0,17.0,1.0,2.0,1.0,1.0,,,1.0,2.0,4.0,3.0,13.0,1.0,1.0,,2.0,,,,3.0,4.0,2.0,1.0,3.0,4.0,1.0,5.0,1.0,3.0,1.0,3.0,,1.0,3.0,1.0,0.5,1.0,,0.8333333333333334,1.0,1.5,0.8571428571428571,1.0,1.5,0.6,1.0,0.6666666666666666,1.0,,1.0,97.52988047808765,13.857142857142858,15.4,13.857142857142858,13.0,0.3333333333333333,0.5,0.5,0.16666666666666666,1.0,1.0,,,0.6666666666666666,0.49769166666666664,0.7074,0.558,0.14285714285714285,0.2,0.15384615384615385,0.23076923076923078,7.575,0.14285714285714285,1.0,7.0,,1.0,1.0,2.0,,,,,,,0.5,0.16666666666666666,,1.0,1.0,1.0,2.0,2.0,1.0,,6.0,1.0,1.0,,2.0,2.0,1.0,,,6.0,1.0,,,1.0,,11.0,,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,23.55,1.0,1.0,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,0.6666666666666666,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
100812-200665-202638-202664-204335,1611661329,"Erika de Souza, Cappie Pondexter, Jessica Breland, Courtney Vandersloot, Betnijah Laney","de Souza, Pondexter, Breland, Vandersloot, Laney",100812-200665-202638-202664-204335,CHI,487.0,2,8.0,-4.0,15.0,16.0,,,3.0,31.0,1.0,3.0,1.0,1.0,,,5.0,2.0,9.0,4.0,11.0,1.0,1.0,2.0,7.0,,,,,2.0,2.0,2.0,5.0,6.0,3.0,9.0,2.0,4.0,8.0,6.0,,3.0,,,0.2222222222222222,1.0,,0.2692307692307692,1.25,,0.34375,1.1666666666666667,,0.5555555555555556,0.2857142857142857,0.6,0.3,0.2,0.75,91.66324435318275,16.133333333333333,15.3125,15.666666666666666,13.625,0.23076923076923078,0.3333333333333333,0.5,0.38461538461538464,0.5,1.0,,,0.5384615384615384,0.5013692307692308,0.6063,,0.1875,0.25,0.6363636363636364,,10.399999999999999,,1.0,15.0,2.0,2.0,,2.0,,,,,0.2222222222222222,,1.0,0.07692307692307693,,1.0,3.0,,1.0,4.0,,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,,5.0,1.0,1.0,1.0,,,4.0,,0.5,1.0,1.0,0.25,0.25,0.3076923076923077,1.0,1.0,,,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,23.7,,,1.0,2.0,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,,1.0,,,,,,,,,,0.5,,,1.0,1.0,,,,0.3333333333333333,,1.0,,,0.07692307692307693,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
100812-200665-202638-203399-203857,1611661329,"Erika de Souza, Cappie Pondexter, Jessica Breland, Elena Delle Donne, Jamierra Faulkner","de Souza, Pondexter, Breland, Delle Donne, Faulkner",100812-200665-202638-203399-203857,CHI,3324.0,8,55.0,-5.0,102.0,102.0,,1.0,11.0,204.0,12.0,25.0,1.0,3.0,,,15.0,27.0,63.0,22.0,115.0,4.0,8.0,2.0,16.0,,,,,14.0,4.0,10.0,24.0,36.0,14.0,50.0,6.0,11.0,23.0,25.0,,10.0,,,0.42857142857142855,0.5,,0.4793814432989691,0.6363636363636364,,0.5231481481481481,0.6666666666666666,,0.6153846153846154,0.2777777777777778,0.7058823529411765,0.2545454545454545,0.25,0.6111111111111112,88.37545126353791,16.61764705882353,15.970588235294118,15.754901960784315,15.27450980392157,0.25773195876288657,0.48,0.7058823529411765,0.15463917525773196,0.2727272727272727,0.3333333333333333,,,0.6082474226804123,0.47291875,0.42180625,,0.10185185185185185,0.136986301369863,0.1391304347826087,,7.458730158730158,,23.0,120.0,11.0,5.0,3.0,10.0,2.0,,2.0,1.0,0.1746031746031746,0.08695652173913043,0.5,0.23711340206185566,11.0,13.0,32.0,,13.0,34.0,,40.0,33.0,32.0,13.0,20.0,11.0,31.0,11.0,9.0,8.0,73.0,12.0,1.0,,2.0,,99.0,,0.7407407407407407,0.8,0.8461538461538461,0.38235294117647056,0.38235294117647056,0.35051546391752575,1.0,1.0,1.0,0.75,0.7333333333333333,0.7857142857142857,0.7272727272727273,0.32989690721649484,0.40625,0.41935483870967744,0.8461538461538461,,0.40625,24.45294117647059,,,4.0,2.0,,,,0.32,0.21052631578947367,0.3076923076923077,0.17647058823529413,,4.0,,3.0,5.0,2.0,,,2.0,,0.2631578947368421,0.625,0.06818181818181818,1.0,0.17391304347826086,0.19047619047619047,6.0,6.0,2.0,0.6153846153846154,,2.0,,,0.020618556701030927,,,,2.0,3.0,2.0,3.0,3.0,2.0,0.6666666666666666,0.06666666666666667,0.75,0.2727272727272727,0.6666666666666666,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,0.029411764705882353,0.03125,0.5,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2016,2016,True
