EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Corner3FGM,Corner3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,DefThreePtRebounds,ShootingFouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,LongMidRangeFrequency,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,PenaltyFg3Pct,DefAtRimReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,ShortMidRangeFGA,PtsUnassisted2s,PtsUnassisted3s,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,BadPassTurnovers,PenaltyTurnovers,DefCorner3ReboundPct,DeadBallTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,SecondChanceOffPoss,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,Travels,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGA,Defensive 3 Seconds Violations,OffArc3ReboundPct,SecondChanceAtRimFrequency,LongMidRangeFGM,LongMidRangeAssists,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,BadPassSteals,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
1628248-1628263-201913-201919-203411,1611661313,"Nayo Raincock-Ekunwe, Lindsay Allen, Kia Vaughn, Shavonte Zellous, Sugar Rodgers","Raincock-Ekunwe, Allen, Vaughn, Zellous, Rodgers",1628248-1628263-201913-201919-203411,NYL,64.0,1,1.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.5,1.25,1.0,1.0,1.0,1.0,1.0,112.5,10.666666666666666,16.0,10.666666666666666,16.0,1.0,1.0,1.0,1.0,1.0,0.5544,0.5,1.0,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
1628248-1628263-201913-202259-203411,1611661313,"Nayo Raincock-Ekunwe, Lindsay Allen, Kia Vaughn, Epiphanny Prince, Sugar Rodgers","Raincock-Ekunwe, Allen, Vaughn, Prince, Rodgers",1628248-1628263-201913-202259-203411,NYL,65.0,1,1.0,3.0,2.0,3.0,5.0,,,,,2.0,4.0,1.0,,,1.0,,2.0,,1.0,1.0,,,,1.0,1.0,2.0,1.0,4.0,,,,1.0,1.0,,,,1.0,,110.76923076923077,14.0,12.333333333333334,14.0,12.333333333333334,,,,,1.0,0.5209,0.5,0.5,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5209,0.5,2.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
1628248-1628263-202259-203411-204329,1611661313,"Nayo Raincock-Ekunwe, Lindsay Allen, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Raincock-Ekunwe, Allen, Prince, Rodgers, Stokes",1628248-1628263-202259-203411-204329,NYL,26.0,1,,-4.0,1.0,2.0,3.0,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,166.15384615384616,13.0,6.5,13.0,6.5,,,,,,0.4046,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
1628248-1628263-203411-204296-204320,1611661313,"Nayo Raincock-Ekunwe, Lindsay Allen, Sugar Rodgers, Rebecca Allen, Amanda Zahui B","Raincock-Ekunwe, Allen, Rodgers, Allen, Zahui B",1628248-1628263-203411-204296-204320,NYL,71.0,1,1.0,5.0,3.0,2.0,5.0,,,1.0,2.0,,5.0,,3.0,1.0,2.0,,5.0,1.0,2.0,2.0,,,,1.0,,,,5.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.6666666666666666,,1.0,1.0,,101.40845070422534,7.333333333333333,24.5,7.333333333333333,24.5,,,,,1.0,0.5671666666666667,,,26.4,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,,5.0,3.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.5671666666666667,1.0,1.2,1.0,,,,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
1628248-201919-202250-202259-203411,1611661313,"Nayo Raincock-Ekunwe, Shavonte Zellous, Tina Charles, Epiphanny Prince, Sugar Rodgers","Raincock-Ekunwe, Zellous, Charles, Prince, Rodgers",1628248-201919-202250-202259-203411,NYL,252.0,1,4.0,1.0,7.0,7.0,14.0,,,1.0,3.0,,7.0,6.0,,,,,,2.0,3.0,3.0,,,,4.0,,,,7.0,,0.3333333333333333,0.3333333333333333,0.5,0.5,0.42857142857142855,,0.6666666666666666,0.75,,80.0,16.0,20.0,16.0,18.285714285714285,,,,,0.7142857142857143,0.4092857142857143,,,24.599999999999998,,,1.0,2.0,,,2.0,4.0,,,,,,,1.0,2.0,,,,,0.5,,,,1.0,1.0,0.2857142857142857,0.5,0.5,,,,,,7.75,,,1.0,,,1.0,3.0,,,,,3.0,1.0,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,1.0,2.0,4.0,3.0,1.0,0.2857142857142857,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
1628248-201919-202250-202259-203829,1611661313,"Nayo Raincock-Ekunwe, Shavonte Zellous, Tina Charles, Epiphanny Prince, Bria Hartley","Raincock-Ekunwe, Zellous, Charles, Prince, Hartley",1628248-201919-202250-202259-203829,NYL,104.0,1,2.0,3.0,2.0,3.0,5.0,,,1.0,1.0,,5.0,2.0,,,1.0,,2.0,1.0,1.0,1.0,,,,2.0,,,,5.0,,1.0,1.0,1.25,1.25,0.5,,0.3333333333333333,0.25,,69.23076923076923,13.0,26.0,13.0,20.666666666666668,,,,,1.0,0.56875,,,22.6,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,,,5.0,2.0,1.0,1.0,1.0,1.0,1.25,1.25,,,0.5,1.0,1.0,1.0,0.5,1.0,0.56875,1.0,0.9,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.5,0.5,1.0,1.0,,0.5,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
1628248-202250-202259-203411-203829,1611661313,"Nayo Raincock-Ekunwe, Tina Charles, Epiphanny Prince, Sugar Rodgers, Bria Hartley","Raincock-Ekunwe, Charles, Prince, Rodgers, Hartley",1628248-202250-202259-203411-203829,NYL,100.0,1,2.0,-2.0,3.0,3.0,6.0,,,,,,2.0,4.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,2.0,,,,0.5,0.5,,1.0,,1.0,,86.39999999999999,11.666666666666666,21.666666666666668,11.666666666666666,21.666666666666668,,,,,1.0,0.5229,,,,3.0,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,1.0,,2.0,3.0,,,0.5,0.5,0.5,0.5,1.0,,1.0,0.5,0.5,,1.0,0.5,0.5229,1.0,2.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
1628263-201913-202250-202259-204296,1611661313,"Lindsay Allen, Kia Vaughn, Tina Charles, Epiphanny Prince, Rebecca Allen","Allen, Vaughn, Charles, Prince, Allen",1628263-201913-202250-202259-204296,NYL,43.0,1,1.0,-2.0,1.0,2.0,3.0,,,,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,100.46511627906976,15.0,14.0,15.0,8.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
1628263-202250-202259-203411-204329,1611661313,"Lindsay Allen, Tina Charles, Epiphanny Prince, Sugar Rodgers, Kiah Stokes","Allen, Charles, Prince, Rodgers, Stokes",1628263-202250-202259-203411-204329,NYL,46.0,1,1.0,2.0,1.0,1.0,2.0,,,,,,2.0,,,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,2.0,,,,1.0,1.0,,,0.5,0.3333333333333333,,62.60869565217391,5.0,41.0,5.0,26.0,,,,,1.0,0.6642,,,,,,1.0,1.0,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,1.8,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2017,2017,False
201913-201919-202250-202259-203829,1611661313,"Kia Vaughn, Shavonte Zellous, Tina Charles, Epiphanny Prince, Bria Hartley","Vaughn, Zellous, Charles, Prince, Hartley",201913-201919-202250-202259-203829,NYL,363.0,1,6.0,2.0,11.0,11.0,22.0,,1.0,1.0,3.0,,9.0,7.0,3.0,1.0,1.0,,3.0,3.0,7.0,9.0,2.0,1.0,3.0,,1.0,,,6.0,1.0,0.3333333333333333,0.3333333333333333,0.45,0.45,0.3,0.6666666666666666,0.6,0.7777777777777778,,87.27272727272728,16.818181818181817,16.181818181818183,15.636363636363637,15.636363636363637,0.1,,,,0.6,0.49551,,,24.8,,,2.0,3.0,,,3.0,7.0,,,,,,,4.0,,,,,,0.42857142857142855,,,,1.0,1.0,0.3,0.6666666666666666,1.0,,,,,,9.37142857142857,,3.0,,,0.3,1.0,2.0,,,,,2.0,1.0,1.0,,1.0,0.2,0.5,0.5,1.0,,,0.5,1.0,1.0,6.0,,,0.1,1.0,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.75,0.75,0.14285714285714285,0.3333333333333333,0.25,0.5,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.5158,0.3333333333333333,,,,,,,,,,,,,,1611661313,2017,2017,False
