EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Offensive Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,LostBallTurnovers,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG3A,PtsUnassisted3s,LostBallSteals,Offensive Fouls Drawn,Technical Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyArc3FGA,PenaltyArc3Frequency,PtsPutbacks,Loose Ball Fouls,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,Corner3FGM,Corner3Assists,NonShootingFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3FGM,PenaltyFG3M,HeaveAttempts,SelfOReb,Blocked3s,BlockedArc3,PenaltyFg3Pct,SelfORebPct,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangePctBlocked,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,Charge Fouls,Arc3PctBlocked,3SecondViolations,StepOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1628242-201507-202658-203398-203855,1611661317,"Emma Cannon, Leilani Mitchell, Danielle Robinson, Brittney Griner, Stephanie Talbot","Cannon, Mitchell, Robinson, Griner, Talbot",1628242-201507-202658-203398-203855,PHO,575.0,3,10.0,3.0,16.0,16.0,4.0,5.0,2.0,32.0,5.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,10.0,2.0,4.0,18.0,15.0,1.0,1.0,1.0,2.0,3.0,2.0,6.0,4.0,10.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,9.0,2.0,11.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,3.0,6.0,1.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,17.0,6.0,4.0,1.0,0.2857142857142857,0.2857142857142857,0.7,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6428571428571429,0.25,0.75,0.16666666666666666,0.1,0.14285714285714285,1.0,0.5,1.0,0.8,0.6153846153846154,0.5,1.0,0.6666666666666666,0.6666666666666666,0.8,80.1391304347826,1.0,16.875,19.0625,16.5,17.875,0.5833333333333334,0.7142857142857143,0.8333333333333334,0.4,0.16666666666666666,0.5,0.5,0.08333333333333333,1.0,1.0,0.16666666666666666,1.0,0.6666666666666666,1.0,0.75,0.4725375,0.5118,0.38553333333333334,0.2857142857142857,0.3333333333333333,0.05555555555555555,0.3333333333333333,5.279999999999999,24.55,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
200673-201067-201507-202657-203389,1611661317,"Monique Currie, Camille Little, Leilani Mitchell, Angel Robinson, Yvonne Turner","Currie, Little, Mitchell, Robinson, Turner",200673-201067-201507-202657-203389,PHO,299.0,1,5.0,2.0,8.0,9.0,,,1.0,17.0,,2.0,,,2.0,3.0,1.0,2.0,2.0,1.0,3.0,7.0,2.0,,9.0,7.0,1.0,,,,,,,4.0,2.0,2.0,2.0,2.0,3.0,,7.0,1.0,1.0,4.0,,5.0,2.0,7.0,,,1.0,,,,,,1.0,,,,,,,,,9.0,,,,0.6666666666666666,0.6666666666666666,0.42857142857142855,,0.5,,0.5,,,0.2222222222222222,0.2857142857142857,1.0,,0.6666666666666666,0.25,0.5,0.625,0.4,,1.0,1.0,1.0,81.87290969899665,,18.125,17.11111111111111,13.375,15.444444444444445,0.2222222222222222,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.5,0.5,0.2222222222222222,1.0,,,0.4444444444444444,0.4558944444444444,0.39795,,,,,,8.785714285714286,23.95,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-1628297-201507-203398,1611661317,"Diana Taurasi, Emma Cannon, Alexis Prince, Leilani Mitchell, Brittney Griner","Taurasi, Cannon, Prince, Mitchell, Griner",100940-1628242-1628297-201507-203398,PHO,45.0,1,1.0,1.0,2.0,2.0,,,,4.0,,,,,,,,,,,,,,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,2.0,,4.0,,2.0,,,,,4.0,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,,128.0,,11.0,11.5,11.0,11.5,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-200673-201067-201507,1611661317,"Diana Taurasi, Emma Cannon, Monique Currie, Camille Little, Leilani Mitchell","Taurasi, Cannon, Currie, Little, Mitchell",100940-1628242-200673-201067-201507,PHO,153.0,1,3.0,-4.0,5.0,5.0,,,,10.0,,,,,,1.0,1.0,2.0,,,1.0,3.0,,,2.0,6.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,1.0,,2.0,,,,,,,,,,,2.0,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,,,,,,94.11764705882354,,16.0,14.6,16.0,14.6,,,,,0.3333333333333333,,,0.6666666666666666,0.5,0.5,,,,,,0.3662,,,,,,,16.2,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-201062-201067-201507,1611661317,"Diana Taurasi, Emma Cannon, Shay Murphy, Camille Little, Leilani Mitchell","Taurasi, Cannon, Murphy, Little, Mitchell",100940-1628242-201062-201067-201507,PHO,107.0,1,2.0,-4.0,3.0,4.0,,,,7.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,3.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2056074766355,,11.333333333333334,18.25,11.333333333333334,18.25,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-201062-203389-203398,1611661317,"Diana Taurasi, Emma Cannon, Shay Murphy, Yvonne Turner, Brittney Griner","Taurasi, Cannon, Murphy, Turner, Griner",100940-1628242-201062-203389-203398,PHO,596.0,2,10.0,-4.0,18.0,18.0,3.0,2.0,2.0,36.0,2.0,5.0,1.0,1.0,2.0,6.0,1.0,3.0,3.0,,5.0,14.0,4.0,2.0,15.0,19.0,,,2.0,2.0,3.0,,4.0,8.0,2.0,3.0,2.0,4.0,4.0,1.0,8.0,3.0,2.0,3.0,,5.0,4.0,9.0,2.0,,4.0,,2.0,1.0,5.0,,4.0,,2.0,1.0,1.0,,,,,13.0,4.0,3.0,,0.8,0.8,0.35714285714285715,0.6666666666666666,0.3611111111111111,0.5,0.3888888888888889,1.0,0.5,0.2222222222222222,0.14285714285714285,0.2,,0.75,0.3333333333333333,1.0,0.8333333333333334,0.36363636363636365,0.3333333333333333,1.0,1.0,1.0,86.97986577181207,,16.0,17.11111111111111,15.555555555555555,17.055555555555557,0.2777777777777778,0.4,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,,0.25,1.0,0.5,0.43780277777777776,0.684,0.522275,0.05555555555555555,0.07142857142857142,0.13333333333333333,0.26666666666666666,8.27142857142857,24.35,0.16666666666666666,1.0,1.0,,1.0,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,0.25,0.25,0.5,0.5,,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,3.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,0.05555555555555555,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628297-201067-202658-204297,1611661317,"Diana Taurasi, Alexis Prince, Camille Little, Danielle Robinson, Cayla George","Taurasi, Prince, Little, Robinson, George",100940-1628297-201067-202658-204297,PHO,255.0,2,4.0,2.0,8.0,7.0,5.0,,,15.0,,,,,,1.0,2.0,3.0,2.0,,2.0,4.0,3.0,,4.0,2.0,,,,1.0,2.0,,2.0,2.0,2.0,2.0,,1.0,1.0,,2.0,,,4.0,,4.0,,4.0,,,,,,,2.0,,,,,,,,,,,4.0,2.0,5.0,,0.5,0.5,0.5,0.5,0.2857142857142857,0.25,0.2857142857142857,,0.25,0.42857142857142855,,,,0.8,,,0.8,,,1.0,0.6666666666666666,,84.70588235294117,,15.375,18.857142857142858,15.375,16.428571428571427,,,,,0.14285714285714285,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.2857142857142857,,,,0.42857142857142855,0.42984285714285714,,0.44295,,,,0.5,17.425,24.233333333333334,0.625,,,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,0.14285714285714285,,,,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-200673-202657-202658-204297,1611661317,"Diana Taurasi, Monique Currie, Angel Robinson, Danielle Robinson, Cayla George","Taurasi, Currie, Robinson, Robinson, George",100940-200673-202657-202658-204297,PHO,23.0,1,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,62.60869565217391,,23.0,,23.0,,1.0,,,,,,,,,,,,1.0,,1.0,0.422,,0.422,,,,,0.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-201062-201067-201507-203398,1611661317,"Diana Taurasi, Shay Murphy, Camille Little, Leilani Mitchell, Brittney Griner","Taurasi, Murphy, Little, Mitchell, Griner",100940-201062-201067-201507-203398,PHO,349.0,3,6.0,-1.0,11.0,8.0,,1.0,2.0,19.0,3.0,3.0,,,1.0,1.0,,,5.0,,4.0,4.0,6.0,3.0,11.0,12.0,,,2.0,,,,,6.0,2.0,5.0,,3.0,3.0,2.0,6.0,,1.0,,,1.0,2.0,3.0,,,2.0,,1.0,,3.0,,2.0,,4.0,1.0,1.0,,,,,9.0,,,,0.75,1.0,1.0,,0.4,,0.5,1.0,,0.6,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,78.39541547277938,,13.545454545454545,25.0,13.181818181818182,25.0,0.3,1.0,1.0,0.6666666666666666,0.1,1.0,1.0,,,,0.5,,,,0.9,0.5474300000000001,,,0.18181818181818182,0.25,0.18181818181818182,,2.575,24.05,,,,,,,,1.0,,2.0,2.0,2.0,1.0,,,,,1.0,0.3333333333333333,,0.2,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,0.1,1.0,1.0,,,,,2.0,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-201062-201507-203398-204297,1611661317,"Diana Taurasi, Shay Murphy, Leilani Mitchell, Brittney Griner, Cayla George","Taurasi, Murphy, Mitchell, Griner, George",100940-201062-201507-203398-204297,PHO,538.0,3,9.0,5.0,16.0,18.0,,,,34.0,4.0,4.0,,,2.0,4.0,1.0,2.0,2.0,,7.0,10.0,4.0,1.0,18.0,13.0,,,,,,,,12.0,2.0,2.0,,6.0,7.0,4.0,15.0,,2.0,4.0,,6.0,,6.0,,,2.0,,2.0,1.0,4.0,,6.0,1.0,1.0,,,3.0,1.0,3.0,1.0,18.0,,,,0.8571428571428571,0.8571428571428571,0.7,,0.6071428571428571,,0.6428571428571429,,,0.2857142857142857,,,,0.6666666666666666,,1.0,0.75,,,0.5,0.5,1.0,91.00371747211896,0.3333333333333333,15.6875,15.944444444444445,15.6875,14.777777777777779,0.2857142857142857,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,0.14285714285714285,0.5,0.5,0.14285714285714285,,,,0.5714285714285714,0.4829464285714286,,,0.07142857142857142,,,,6.32,23.3,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,1.0,0.25,0.25,1.0,,,,0.5,1.0,0.5,0.5,1.0,0.5,2.0,3.0,3.0,,,,,2.0,,,,,,,2.0,,,,,,1.0,,0.14285714285714285,,,,,,,,,1.0,,0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
