EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,FtPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,LiveBallTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsUnassisted3s,PtsPutbacks,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Loose Ball Fouls,3SecondViolations,DefAtRimReboundPct,Charge Fouls,AtRimPctBlocked,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1627670-1627671-1627673-1627675-203410,1611661323,"Morgan Tuck, Rachel Banham, Jonquel Jones, Courtney Williams, Alex Bentley","Tuck, Banham, Jones, Williams, Bentley",1627670-1627671-1627673-1627675-203410,CON,99.0,1,2,1.0,4,3,7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,101.81818181818183,11.25,18.0,11.25,18.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.4705166666666667,10.1,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2017,2017,False
1627670-1627673-1627675-202662-203410,1611661323,"Morgan Tuck, Jonquel Jones, Courtney Williams, Jasmine Thomas, Alex Bentley","Tuck, Jones, Williams, Thomas, Bentley",1627670-1627673-1627675-202662-203410,CON,120.0,1,2,3.0,4,4,8,2.0,2.0,1.0,,,2.0,3.0,,,5.0,2.0,,,,,,,2.0,,4.0,1.0,,1.0,1.0,,,5.0,,,,0.6666666666666666,0.6666666666666666,0.625,,,,,1.0,0.5,1.0,96.0,14.25,15.75,14.25,13.75,0.6666666666666666,1.0,1.0,0.3333333333333333,,,,,0.6666666666666666,,0.5865666666666667,5.833333333333333,,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2017,2017,False
1627673-1627675-202653-202662-203410,1611661323,"Jonquel Jones, Courtney Williams, Kayla Pedersen, Jasmine Thomas, Alex Bentley","Jones, Williams, Pedersen, Thomas, Bentley",1627673-1627675-202653-202662-203410,CON,232.0,1,4,,5,7,12,1.0,1.0,1.0,,1.0,3.0,3.0,,1.0,8.0,8.0,6.0,,1.0,,,,,,,1.0,,2.0,2.0,,1.0,8.0,,,,1.0,0.75,0.8,0.25,,,,1.0,0.5,1.0,74.48275862068965,19.2,19.428571428571427,19.2,19.142857142857142,0.25,1.0,1.0,0.25,0.25,,,,0.5,,0.4597,9.133333333333333,23.3,2.0,,,,,,,4.0,,2.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,1.0,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2017,2017,False
1627673-1627675-202662-203015-203826,1611661323,"Jonquel Jones, Courtney Williams, Jasmine Thomas, Shekinna Stricklen, Alyssa Thomas","Jones, Williams, Thomas, Stricklen, Thomas",1627673-1627675-202662-203015-203826,CON,970.0,1,16,2.0,33,32,65,9.0,13.0,10.0,3.0,7.0,14.0,26.0,3.0,8.0,41.0,39.0,22.0,6.0,7.0,3.0,,2.0,5.0,2.0,12.0,4.0,1.0,11.0,21.0,3.0,7.0,34.0,0.6666666666666666,0.375,0.375,0.5384615384615384,0.5441176470588235,0.5394736842105263,0.23529411764705882,,,1.0,1.0,0.9090909090909091,1.0,96.49484536082474,14.454545454545455,15.40625,13.06060606060606,15.40625,0.38235294117647056,0.6923076923076923,0.6923076923076923,0.29411764705882354,0.20588235294117646,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6176470588235294,0.42857142857142855,0.4975,8.373076923076923,24.2125,4.0,6.0,3.0,2.0,3.0,2.0,7.0,9.0,2.0,8.0,3.0,0.21428571428571427,0.23076923076923078,0.42857142857142855,0.2222222222222222,0.08108108108108109,0.10344827586206896,4.0,4.0,3.0,3.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.3333333333333333,0.8571428571428571,1.0,0.08823529411764706,1.0,1.0,0.2,0.2,0.0975609756097561,0.12121212121212122,8.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,8.0,1.0,1.0,7.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,6.0,10.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.375,0.5,0.3333333333333333,0.25,0.3181818181818182,0.5454545454545454,1.0,0.6666666666666666,0.75,0.42857142857142855,1.0,1.0,1.0,1.0,0.3333333333333333,0.029411764705882353,0.5555555555555556,0.4,0.5,0.1111111111111111,0.25,1.0,0.5,0.5562375,0.371825,0.17073170731707318,,,,,,,1611661323,2017,2017,False
1627673-1627675-202662-203410-203826,1611661323,"Jonquel Jones, Courtney Williams, Jasmine Thomas, Alex Bentley, Alyssa Thomas","Jones, Williams, Thomas, Bentley, Thomas",1627673-1627675-202662-203410-203826,CON,414.0,1,7,-3.0,14,13,27,3.0,7.0,3.0,,1.0,4.0,11.0,,1.0,13.0,16.0,4.0,,1.0,,,,2.0,,4.0,3.0,,6.0,8.0,2.0,5.0,9.0,,,,0.36363636363636365,0.3333333333333333,0.43333333333333335,0.08333333333333333,,,,1.0,0.75,1.0,93.91304347826086,15.428571428571429,15.23076923076923,15.285714285714286,14.0,0.5833333333333334,0.42857142857142855,0.42857142857142855,0.25,0.08333333333333333,,,,0.6666666666666666,,0.5215791666666666,6.2,25.3,5.0,4.0,2.0,2.0,,,1.0,4.0,,6.0,3.0,0.5,0.6666666666666666,,0.6666666666666666,0.2,0.21428571428571427,1.0,5.0,,1.0,1.0,,,3.0,,,,,,1.0,,,0.6,,0.08333333333333333,,,0.3333333333333333,0.3333333333333333,,0.07142857142857142,2.0,1.0,1.0,,1.0,,,,1.0,1.0,,2.0,4.0,,1.0,,,2.0,,,2.0,2.0,,,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,0.2857142857142857,,0.25,0.5,,,,0.5,1.0,,,1.0,1.0,,,1.0,,,0.4002,0.5269,0.3076923076923077,1.0,1.0,1.0,,,,1611661323,2017,2017,False
1627673-202653-202662-203410-203826,1611661323,"Jonquel Jones, Kayla Pedersen, Jasmine Thomas, Alex Bentley, Alyssa Thomas","Jones, Pedersen, Thomas, Bentley, Thomas",1627673-202653-202662-203410-203826,CON,44.0,1,1,,2,1,3,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,98.18181818181819,11.0,22.0,11.0,22.0,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,0.5,,,,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1611661323,2017,2017,False
1627673-202662-203015-203410-203826,1611661323,"Jonquel Jones, Jasmine Thomas, Shekinna Stricklen, Alex Bentley, Alyssa Thomas","Jones, Thomas, Stricklen, Bentley, Thomas",1627673-202662-203015-203410-203826,CON,473.0,1,8,-9.0,14,15,29,2.0,5.0,1.0,,5.0,4.0,8.0,,5.0,9.0,18.0,4.0,,5.0,,1.0,,2.0,,4.0,3.0,,6.0,8.0,2.0,5.0,9.0,,,,0.5,0.3076923076923077,0.32142857142857145,0.38461538461538464,0.125,,,1.0,1.0,1.0,88.28752642706131,14.357142857142858,18.133333333333333,14.142857142857142,17.2,0.38461538461538464,0.4,0.5,0.07692307692307693,0.38461538461538464,,,,0.7692307692307693,,0.4975576923076923,5.5875,23.66,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,0.5,0.5,1.0,0.5,0.07142857142857142,0.1111111111111111,10.0,10.0,1.0,2.0,1.0,1.0,5.0,3.0,,,,,5.0,10.0,,0.25,1.0,1.0,0.15384615384615385,0.5,0.5,1.0,1.0,0.5555555555555556,0.7142857142857143,1.0,,1.0,,3.0,,,3.0,,1.0,,,,2.0,6.0,3.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,1.0,,2.0,,0.3333333333333333,,0.2222222222222222,,0.3333333333333333,0.2,0.25,0.3333333333333333,,0.2,,,1.0,1.0,,1.0,,,,0.3333333333333333,,0.3333333333333333,0.6811,0.4711333333333333,,,,1.0,,0.2,,1611661323,2017,2017,False
202653-202662-203015-203410-203826,1611661323,"Kayla Pedersen, Jasmine Thomas, Shekinna Stricklen, Alex Bentley, Alyssa Thomas","Pedersen, Thomas, Stricklen, Bentley, Thomas",202653-202662-203015-203410-203826,CON,48.0,1,1,1.0,1,2,3,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,0.5,,,,,,,,90.0,17.0,15.5,17.0,15.5,,,,,,,,,,,,,,2.0,,,,,,,2.0,,4.0,1.0,,,,,1.0,1.0,1.0,2.0,,,,2.0,2.0,,1.0,,,,2.0,1.0,1.0,0.5,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1611661323,2017,2017,False
