EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,3SecondViolations,Corner3PctBlocked,PtsUnassisted3s,Offensive Fouls Drawn,Charge Fouls Drawn,SecondChanceTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,HeaveAttempts,StepOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,team_id,year,season,team_vs
1627676-200676-201503-201896-203018,1611661325,"Tiffany Mitchell, Candice Dupree, Erlana Larkins, Briann January, Shenise Johnson","Mitchell, Dupree, Larkins, January, Johnson",1627676-200676-201503-201896-203018,IND,2556.0,9,43.0,-20.0,81.0,83.0,18.0,28.0,12.0,164.0,16.0,22.0,3.0,4.0,2.0,2.0,3.0,10.0,6.0,19.0,1.0,3.0,1.0,5.0,12.0,1.0,1.0,3.0,3.0,25.0,51.0,6.0,15.0,20.0,88.0,108.0,4.0,10.0,1.0,1.0,4.0,15.0,3.0,6.0,3.0,4.0,8.0,23.0,24.0,26.0,18.0,4.0,12.0,5.0,4.0,2.0,12.0,6.0,18.0,5.0,1.0,6.0,2.0,4.0,42.0,4.0,10.0,1.0,6.0,18.0,2.0,26.0,15.0,41.0,1.0,5.0,4.0,1.0,10.0,2.0,6.0,7.0,1.0,4.0,1.0,17.0,5.0,13.0,1.0,32.0,1.0,4.0,1.0,26.0,1.0,1.0,30.0,2.0,1.0,11.0,5.0,3.0,1.0,2.0,3.0,2.0,73.0,23.0,18.0,5.0,4.0,0.48,0.5217391304347826,1.0,0.4,1.0,0.75,0.4,0.49019607843137253,0.4,0.5,0.5151515151515151,0.5,0.75,0.54375,0.5357142857142857,0.71875,0.22727272727272727,0.13333333333333333,0.0784313725490196,0.045454545454545456,0.2,0.05263157894736842,0.16666666666666666,0.5882352941176471,1.0,0.25,0.5806451612903226,0.38461538461538464,0.6666666666666666,0.4444444444444444,0.6,0.4,0.5,0.42857142857142855,0.3076923076923077,0.42857142857142855,0.5,0.6,0.5,0.6,0.625,1.0,0.034482758620689655,92.39436619718309,0.6666666666666666,15.62962962962963,15.542168674698795,14.592592592592593,14.060240963855422,0.3333333333333333,0.7272727272727273,0.7619047619047619,0.375,0.15151515151515152,0.3,0.375,0.6666666666666666,0.2878787878787879,0.3157894736842105,0.3333333333333333,0.6666666666666666,0.045454545454545456,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,0.4166666666666667,0.5,1.0,0.36363636363636365,0.75,0.09090909090909091,1.0,1.0,0.2,1.0,0.1,0.3,1.0,0.5606060606060606,0.4166666666666667,0.47024393939393944,0.48464999999999997,0.42773000000000005,0.14666666666666667,0.18333333333333332,0.17045454545454544,0.26136363636363635,9.094117647058823,23.853333333333335,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627676-1627681-200676-201503-201896,1611661325,"Tiffany Mitchell, Jazmon Gwathmey, Candice Dupree, Erlana Larkins, Briann January","Mitchell, Gwathmey, Dupree, Larkins, January",1627676-1627681-200676-201503-201896,IND,1157.0,9,19.0,-6.0,36.0,39.0,11.0,16.0,3.0,75.0,6.0,9.0,,,3.0,5.0,2.0,4.0,,4.0,2.0,3.0,,2.0,7.0,1.0,1.0,,2.0,8.0,17.0,4.0,10.0,12.0,40.0,46.0,1.0,2.0,1.0,1.0,1.0,6.0,4.0,6.0,,2.0,5.0,13.0,6.0,10.0,12.0,2.0,7.0,2.0,2.0,1.0,3.0,4.0,7.0,2.0,2.0,3.0,,,18.0,,3.0,,,12.0,,12.0,3.0,15.0,,3.0,,3.0,4.0,2.0,3.0,4.0,,1.0,,8.0,1.0,6.0,1.0,9.0,1.0,,,13.0,,1.0,14.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,34.0,13.0,11.0,1.0,1.0,0.375,0.42857142857142855,1.0,0.4,1.0,,0.4,0.47058823529411764,0.5,0.6666666666666666,0.5185185185185185,0.8333333333333334,0.5,0.6060606060606061,1.0,0.5909090909090909,0.37037037037037035,0.1,0.11764705882352941,0.1111111111111111,0.25,,,0.5,,,0.8,0.3333333333333333,,,0.75,0.2,,0.5,0.5,,,1.0,0.5,0.8571428571428571,,,,93.3448573898012,0.5,16.194444444444443,14.717948717948717,15.5,13.538461538461538,0.3333333333333333,0.6666666666666666,0.75,0.5,0.14814814814814814,0.5,0.6666666666666666,,0.14814814814814814,,,,0.1111111111111111,0.6666666666666666,1.0,1.0,0.25925925925925924,0.2857142857142857,0.2857142857142857,1.0,,,0.3333333333333333,1.0,1.0,0.625,0.6,,0.25,,0.7037037037037037,0.2857142857142857,0.4961907407407407,0.43506666666666666,0.52836875,0.16129032258064516,0.23809523809523808,0.15,0.325,6.688235294117647,24.18,0.3055555555555556,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627676-1627681-200676-202656-203831,1611661325,"Tiffany Mitchell, Jazmon Gwathmey, Candice Dupree, Jeanette Pohlen-Mavunga, Natalie Achonwa","Mitchell, Gwathmey, Dupree, Pohlen-Mavunga, Achonwa",1627676-1627681-200676-202656-203831,IND,243.0,2,4.0,-8.0,6.0,8.0,,1.0,1.0,14.0,1.0,1.0,,,,,,,,,,,,,4.0,,1.0,,,1.0,1.0,,4.0,3.0,5.0,13.0,,,,1.0,,,,,,,,,2.0,,,,4.0,,,,1.0,,1.0,,,1.0,,,2.0,2.0,,,,2.0,,2.0,2.0,4.0,,,,,,,,2.0,,,,2.0,,4.0,,7.0,,1.0,1.0,3.0,2.0,,3.0,,1.0,1.0,,,,,,,5.0,,,1.0,,1.0,1.0,,,,,,1.0,,,0.2,,,0.3333333333333333,,,0.8,,,,,,,,,,0.6666666666666666,,,0.5,0.6666666666666666,0.5,,,,0.5,,,0.5,1.0,,,,82.96296296296296,,20.333333333333332,15.125,19.333333333333332,14.0,0.2,1.0,1.0,1.0,,,,,,,,,,,,,0.8,,,,,,1.0,,,,,,,,1.0,,0.49768,0.59925,,0.16666666666666666,0.5,,,2.1,25.575,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627676-1627681-200676-203845-204365,1611661325,"Tiffany Mitchell, Jazmon Gwathmey, Candice Dupree, Jennifer Hamson, Erica Wheeler","Mitchell, Gwathmey, Dupree, Hamson, Wheeler",1627676-1627681-200676-203845-204365,IND,219.0,2,4.0,3.0,6.0,7.0,,,1.0,13.0,3.0,4.0,,1.0,,,,,,2.0,,,,1.0,1.0,,,,,3.0,6.0,1.0,1.0,,9.0,6.0,,1.0,,,,,,,,,,,6.0,,,,1.0,1.0,,,3.0,,3.0,,,3.0,,,6.0,,1.0,,,2.0,,2.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,9.0,,,,,1.0,1.0,,1.0,,,1.0,0.5,,,0.6428571428571429,,,0.6428571428571429,,,0.14285714285714285,,,,,,,,,,1.0,0.3333333333333333,,,1.0,0.3333333333333333,,,0.5,,,1.0,,1.0,,,,85.47945205479452,,15.166666666666666,18.285714285714285,12.833333333333334,18.285714285714285,0.5714285714285714,0.75,0.75,1.0,,,,,0.2857142857142857,,,,,,,,0.14285714285714285,1.0,1.0,,1.0,,,,,,,,,,0.7142857142857143,1.0,0.5932428571428572,0.6843,,,,,,7.116666666666667,23.6,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627676-1628286-201503-201889-204365,1611661325,"Tiffany Mitchell, Erica McCall, Erlana Larkins, Marissa Coleman, Erica Wheeler","Mitchell, McCall, Larkins, Coleman, Wheeler",1627676-1628286-201503-201889-204365,IND,252.0,3,4.0,-1.0,9.0,9.0,3.0,6.0,1.0,18.0,1.0,4.0,,1.0,,2.0,,,1.0,2.0,,,,,,,,,,2.0,6.0,,,4.0,8.0,9.0,,1.0,,,,,1.0,3.0,,,2.0,4.0,2.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,2.0,,1.0,,1.0,2.0,,3.0,1.0,4.0,,,,,2.0,,1.0,,,1.0,,2.0,,1.0,,2.0,,1.0,,5.0,,,4.0,,,2.0,,2.0,2.0,,2.0,1.0,8.0,4.0,3.0,1.0,,0.5,0.5,,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,,0.5,,,,,,,,1.0,,,1.0,0.25,1.0,,1.0,0.25,0.3333333333333333,,,,,1.0,,1.0,1.0,,,102.85714285714285,0.5,13.333333333333334,14.666666666666666,13.11111111111111,14.666666666666666,0.6666666666666666,0.25,0.25,1.0,,,,,0.3333333333333333,0.5,0.5,,,,,,,,,,1.0,,,,,0.6666666666666666,,,,,0.6666666666666666,,0.4938,0.5033,0.4873,0.25,0.25,,0.5,6.8999999999999995,,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627676-1628286-201889-201896-203831,1611661325,"Tiffany Mitchell, Erica McCall, Marissa Coleman, Briann January, Natalie Achonwa","Mitchell, McCall, Coleman, January, Achonwa",1627676-1628286-201889-201896-203831,IND,214.0,2,4.0,10.0,7.0,6.0,1.0,,,13.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,2.0,3.0,,,,,2.0,2.0,3.0,4.0,,13.0,3.0,,,,,,,1.0,1.0,,,,2.0,2.0,2.0,9.0,,3.0,2.0,,,1.0,3.0,4.0,2.0,1.0,1.0,,,11.0,,,,,3.0,,3.0,,3.0,,,,,,,,1.0,,,,1.0,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,13.0,2.0,1.0,,,0.5,0.5,1.0,0.75,,,0.75,1.0,,1.0,1.0833333333333333,,1.0,1.0833333333333333,,1.0,0.6666666666666666,,,,,,,,,,0.75,,,,0.6,,,,,,,,,0.75,,,,87.47663551401868,,16.0,17.0,16.0,16.666666666666668,0.16666666666666666,1.0,1.0,1.0,,,,,0.16666666666666666,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,0.8333333333333334,0.6666666666666666,0.45621666666666666,,0.3631,,,,0.15384615384615385,8.3,24.025,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627676-200676-201503-201896-202656,1611661325,"Tiffany Mitchell, Candice Dupree, Erlana Larkins, Briann January, Jeanette Pohlen-Mavunga","Mitchell, Dupree, Larkins, January, Pohlen-Mavunga",1627676-200676-201503-201896-202656,IND,378.0,7,6.0,-9.0,10.0,14.0,,2.0,,24.0,2.0,7.0,,,,1.0,,1.0,,,,,,,2.0,,,,,2.0,8.0,,2.0,,4.0,13.0,,,,,,,,1.0,,,,,4.0,,,,2.0,,1.0,,2.0,,2.0,,,2.0,,,4.0,,1.0,,2.0,3.0,,5.0,1.0,6.0,,2.0,1.0,1.0,,,,1.0,,,,1.0,,3.0,1.0,5.0,,,1.0,2.0,,1.0,,,,,,,,,,,4.0,,,,,1.0,1.0,,,,,,0.25,,,0.2,,,0.2,,,0.2,,0.125,0.14285714285714285,,,,,,,0.75,0.16666666666666666,0.6666666666666666,,0.7142857142857143,0.125,0.2,,,,,,,1.0,1.0,0.5,,91.42857142857143,,16.4,15.285714285714286,16.4,14.642857142857142,0.7,0.2857142857142857,0.3333333333333333,1.0,0.1,,,,,,,,,,,,0.2,,,,,,,,,1.0,,,,,0.9,,0.60833,,0.6267,,,,,3.2,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627681-1628286-201503-201889-204365,1611661325,"Jazmon Gwathmey, Erica McCall, Erlana Larkins, Marissa Coleman, Erica Wheeler","Gwathmey, McCall, Larkins, Coleman, Wheeler",1627681-1628286-201503-201889-204365,IND,328.0,3,5.0,3.0,11.0,12.0,5.0,5.0,2.0,23.0,,2.0,,1.0,,,,4.0,,1.0,,1.0,,,,,,,,,7.0,,1.0,8.0,8.0,5.0,,1.0,,,,,,3.0,,,4.0,4.0,,,,,,,2.0,,,,,,,,,,,,2.0,,2.0,4.0,,6.0,2.0,8.0,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,7.0,,,10.0,,,4.0,1.0,,,,,,8.0,2.0,4.0,1.0,,,,,,,,,,,,,,,0.3076923076923077,,0.3333333333333333,0.125,,0.2857142857142857,,0.5,,,,,,0.6666666666666666,0.2857142857142857,1.0,,0.75,0.25,0.5,,1.0,,,,1.0,0.5,1.0,,,100.97560975609755,,13.090909090909092,15.333333333333334,12.636363636363637,12.5,0.25,,,,0.5,,,,0.125,,,,0.125,,,,,,,,1.0,,,,,,,,,,0.375,,0.4597375,0.631,0.37989999999999996,0.3333333333333333,0.36363636363636365,,0.5,8.814285714285715,23.6,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627681-1628286-201889-203831-204365,1611661325,"Jazmon Gwathmey, Erica McCall, Marissa Coleman, Natalie Achonwa, Erica Wheeler","Gwathmey, McCall, Coleman, Achonwa, Wheeler",1627681-1628286-201889-203831-204365,IND,90.0,1,2.0,3.0,4.0,4.0,,,,8.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,2.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,3.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,3.0,,,,,,,,,,,,0.5,,,0.3333333333333333,,,0.375,,,0.3333333333333333,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,,128.0,,8.0,14.5,8.0,14.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,0.6666666666666666,,0.4827166666666667,,,0.25,0.3333333333333333,,,7.5,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
1627681-1628287-200676-203831-204365,1611661325,"Jazmon Gwathmey, Jennie Simms, Candice Dupree, Natalie Achonwa, Erica Wheeler","Gwathmey, Simms, Dupree, Achonwa, Wheeler",1627681-1628287-200676-203831-204365,IND,143.0,2,2.0,,5.0,5.0,,1.0,,10.0,,1.0,,,,,,,,2.0,,,,1.0,2.0,,,,,,3.0,1.0,2.0,,3.0,3.0,,,,,,,,,,,,,,,3.0,,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,,3.0,,,,1.0,2.0,,3.0,,3.0,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,1.0,0.5,,,0.5,,,,0.3,,,0.3,,,0.4,,0.6666666666666666,1.0,,0.5,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,1.0,1.0,,,100.69930069930071,,14.4,14.2,14.4,14.2,0.2,,,,,,,,0.4,,,,,,,,0.4,0.5,0.5,1.0,,,,,,,,,,,0.6,0.5,0.44399,,,,,,,12.1,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,1611661325,2017,2017,True
