EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,BlockingFouls,Offensive Fouls,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,ThreePtAssists,Corner3Assists,Charge Fouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,OffAtRimReboundPct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyFG2M,PenaltyFG2A,LongMidRangeAssists,LostBallTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg2Pct,PenaltyEfgPct,DefArc3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,OffThreePtRebounds,SecondChanceTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,PenaltyTurnovers,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGM,PenaltyCorner3FGA,FTOffRebounds,BadPassSteals,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockedLongMidRange,OffFTReboundPct,DefShortMidRangeReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsPutbacks,Fg2aBlocked,SelfOReb,FG2APctBlocked,AtRimPctBlocked,SelfORebPct,BlockingFoulsDrawn,PtsUnassisted3s,SecondChanceArc3FGM,SecondChanceArc3FGA,HeaveAttempts,Fg3aBlocked,StepOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
100940-1628242-200673-201067-201507,1611661317,"Diana Taurasi, Emma Cannon, Monique Currie, Camille Little, Leilani Mitchell","Taurasi, Cannon, Currie, Little, Mitchell",100940-1628242-200673-201067-201507,PHO,127.0,1,2,-4.0,4,5,1.0,9,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,102.04724409448819,15.25,13.2,15.25,13.2,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4750833333333333,9.85,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-200673-201067-202658,1611661317,"Diana Taurasi, Emma Cannon, Monique Currie, Camille Little, Danielle Robinson","Taurasi, Cannon, Currie, Little, Robinson",100940-1628242-200673-201067-202658,PHO,357.0,2,6,-7.0,10,13,3.0,23,1.0,1.0,2.0,,2.0,5.0,3.0,7.0,14.0,2.0,1.0,1.0,,2.0,2.0,,3.0,5.0,1.0,1.0,,,2.0,4.0,7.0,3.0,4.0,,0.5,0.5,0.4,0.25,0.35,0.375,,,0.5,0.6,1.0,92.77310924369748,15.6,15.461538461538462,14.7,15.153846153846153,0.125,1.0,1.0,,0.25,,0.5,0.4376875,8.82,23.666666666666668,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,0.75,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,0.5,1.0,0.25,0.5,0.5,1.0,0.375,1.0,1.0,1.0,0.6172,0.28275,0.2,0.16666666666666666,0.25,0.42857142857142855,0.2857142857142857,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-200673-201507-203398,1611661317,"Diana Taurasi, Emma Cannon, Monique Currie, Leilani Mitchell, Brittney Griner","Taurasi, Cannon, Currie, Mitchell, Griner",100940-1628242-200673-201507-203398,PHO,41.0,1,1,3.0,2,1,,3,,1.0,,1.0,,2.0,1.0,3.0,,,,1.0,,3.0,1.0,,1.0,3.0,,,,,1.0,,1.0,,,,,,,0.5,0.5,0.3333333333333333,,,1.0,1.0,1.0,105.36585365853658,12.0,17.0,5.0,17.0,0.3333333333333333,,,,,0.3333333333333333,0.6666666666666666,0.49248333333333333,7.15,23.6,,1.0,,1.0,,1.0,,,,,1.0,,3.0,,,,,,,2.0,,2.0,,1.0,,,,,,,,,,0.75,0.75,,1.0,,1.0,,,,0.3333333333333333,,,,,0.5,,,0.560725,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-200673-202658-203398,1611661317,"Diana Taurasi, Emma Cannon, Monique Currie, Danielle Robinson, Brittney Griner","Taurasi, Cannon, Currie, Robinson, Griner",100940-1628242-200673-202658-203398,PHO,360.0,4,6,2.0,10,10,3.0,20,2.0,4.0,4.0,,5.0,10.0,,11.0,9.0,8.0,4.0,4.0,2.0,8.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,,1.0,1.0,5.0,3.0,11.0,,0.8,0.8,0.5,0.5,0.55,,1.0,1.0,1.0,0.75,1.0,80.0,15.0,21.0,14.7,19.7,0.4,0.5,0.5,1.0,0.4,,0.4,0.46336000000000005,9.22,,4.0,1.0,,1.0,1.0,2.0,,,1.0,,1.0,,,,1.0,5.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,5.0,4.0,,,,0.625,0.2,0.5,0.2,,1.0,,0.2,0.5,0.5,1.0,,1.0,,,0.5891,0.5339,0.1,0.1,,,0.45454545454545453,0.4,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-201067-201507-203389,1611661317,"Diana Taurasi, Emma Cannon, Camille Little, Leilani Mitchell, Yvonne Turner","Taurasi, Cannon, Little, Mitchell, Turner",100940-1628242-201067-201507-203389,PHO,168.0,1,3,,4,5,5.0,9,,,1.0,,1.0,1.0,2.0,5.0,5.0,2.0,1.0,1.0,,2.0,2.0,,2.0,3.0,,,,,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.6666666666666666,,,1.0,1.0,1.0,77.14285714285715,19.5,18.0,16.25,18.0,,,,,0.3333333333333333,,0.6666666666666666,0.4193833333333334,15.4,23.65,1.0,1.0,,,,,2.0,,3.0,,,,,,,2.0,,2.0,,,,1.0,,1.0,,,,3.0,,1.0,2.0,1.0,,,,1.0,,,0.5,,1.0,,,,,,0.6666666666666666,,,,,0.3088,0.25,,0.3333333333333333,,0.4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-201507-202657-203389,1611661317,"Diana Taurasi, Emma Cannon, Leilani Mitchell, Angel Robinson, Yvonne Turner","Taurasi, Cannon, Mitchell, Robinson, Turner",100940-1628242-201507-202657-203389,PHO,60.0,1,1,-2.0,2,2,2.0,4,,,,,,,1.0,3.0,5.0,,,1.0,,3.0,,,,,,,1.0,,1.0,1.0,1.0,,3.0,,,,,1.5,1.5,1.0,1.0,,,,,96.0,10.0,20.0,10.0,20.0,,,,,,,1.0,0.4485,,24.0,2.0,,,,,,1.0,1.0,,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,3.0,2.0,,,,1.5,,,,,,,,,,,1.0,,,1.0,,0.4485,,,,,1.0,1.0,,,,1.0,,,3.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-1628242-201507-203389-203398,1611661317,"Diana Taurasi, Emma Cannon, Leilani Mitchell, Yvonne Turner, Brittney Griner","Taurasi, Cannon, Mitchell, Turner, Griner",100940-1628242-201507-203389-203398,PHO,292.0,2,5,6.0,8,9,3.0,17,,1.0,,,2.0,3.0,2.0,12.0,6.0,4.0,2.0,3.0,,7.0,,3.0,5.0,6.0,,,1.0,1.0,1.0,1.0,2.0,3.0,12.0,1.0,1.0,1.0,0.6666666666666666,0.7,0.75,0.4,1.0,1.0,,0.6666666666666666,,83.83561643835617,19.375,15.222222222222221,19.0,14.555555555555555,0.2,,,,,,0.6,0.47487,9.433333333333334,24.25,5.0,,,,2.0,2.0,2.0,1.0,5.0,,,,,1.0,3.0,5.0,,2.0,2.0,1.0,2.0,1.0,,,,,,7.0,2.0,,5.0,5.0,,,,0.5,1.0,0.6666666666666666,0.5,,,1.0,0.4,1.0,1.0,1.0,0.4,,,0.3333333333333333,,0.5147666666666667,0.2857142857142857,0.4,,,0.4166666666666667,0.625,,,,1.0,,,3.0,1.0,,,1.0,0.5,,0.5,1.0,,,,,,,,,1.0,,1.0,2.0,,,,,,,,0.5,0.3333333333333333,0.5,,,,,0.3333333333333333,,,,,,1.0,,,1.0,1.0,1.0,,0.5,0.5,1.0,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-200673-201067-201507-203398,1611661317,"Diana Taurasi, Monique Currie, Camille Little, Leilani Mitchell, Brittney Griner","Taurasi, Currie, Little, Mitchell, Griner",100940-200673-201067-201507-203398,PHO,772.0,3,13,11.0,28,26,17.0,54,1.0,3.0,4.0,2.0,6.0,15.0,7.0,34.0,23.0,6.0,3.0,7.0,1.0,18.0,7.0,2.0,12.0,14.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,12.0,31.0,2.0,0.5,0.5,0.4,0.5454545454545454,0.6071428571428571,0.3181818181818182,0.6666666666666666,1.0,0.875,0.7142857142857143,0.8,100.72538860103627,14.964285714285714,13.576923076923077,14.321428571428571,13.038461538461538,0.13636363636363635,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,0.09090909090909091,0.45454545454545453,0.4373022727272727,8.806666666666667,23.8,11.0,2.0,,1.0,4.0,8.0,5.0,3.0,10.0,,1.0,,3.0,4.0,5.0,14.0,6.0,5.0,1.0,1.0,3.0,2.0,,1.0,,1.0,,13.0,4.0,,12.0,10.0,,0.75,0.75,0.7,0.1111111111111111,0.5,0.08333333333333333,,1.0,,0.36363636363636365,0.5,0.5,0.25,0.22727272727272727,0.5,,0.42857142857142855,0.571175,0.42424999999999996,0.16666666666666666,0.23529411764705882,,0.08823529411764706,0.4117647058823529,0.39285714285714285,2.0,1.0,1.0,4.0,1.0,1.0,12.0,4.0,2.0,,1.0,0.5714285714285714,1.0,0.5714285714285714,,0.25,1.0,1.0,1.0,0.5,1.0,1.0,,1.0,1.0,,3.0,1.0,,2.0,2.0,1.0,2.0,2.0,,0.6428571428571429,0.5,1.0,0.25,0.25,1.0,0.14285714285714285,,,,,,2.0,2.0,3.0,2.0,2.0,1.0,0.75,0.4,0.4,1.0,0.6666666666666666,0.4,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-200673-201067-202658-203398,1611661317,"Diana Taurasi, Monique Currie, Camille Little, Danielle Robinson, Brittney Griner","Taurasi, Currie, Little, Robinson, Griner",100940-200673-201067-202658-203398,PHO,561.0,4,9,1.0,16,15,2.0,31,2.0,6.0,2.0,,6.0,13.0,3.0,14.0,13.0,6.0,3.0,3.0,1.0,6.0,5.0,1.0,8.0,11.0,,,1.0,1.0,2.0,1.0,6.0,5.0,8.0,,0.5,0.75,0.46153846153846156,0.375,0.4117647058823529,0.1875,0.5,1.0,0.8333333333333334,0.875,0.6666666666666666,79.57219251336899,18.6875,17.466666666666665,18.0,16.933333333333334,0.375,0.3333333333333333,0.5,0.5,0.125,,0.5625,0.473665625,6.946153846153846,24.46666666666667,,3.0,1.0,1.0,4.0,5.0,3.0,,2.0,3.0,3.0,,6.0,,,,6.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,,,1.0,2.0,1.0,,,,1.0,1.0,1.0,,0.42857142857142855,1.0,0.3,,1.0,,0.3125,0.8,0.8,0.5,0.1875,0.3333333333333333,1.0,,0.46869999999999995,,0.058823529411764705,0.07142857142857142,,0.42857142857142855,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,2.0,2.0,2.0,1.0,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,4.0,2.0,1.0,0.15384615384615385,0.3333333333333333,0.125,,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
100940-200673-201067-203398-203855,1611661317,"Diana Taurasi, Monique Currie, Camille Little, Brittney Griner, Stephanie Talbot","Taurasi, Currie, Little, Griner, Talbot",100940-200673-201067-203398-203855,PHO,205.0,1,3,-2.0,6,5,,11,,,1.0,,1.0,3.0,1.0,5.0,7.0,2.0,1.0,2.0,,5.0,1.0,,1.0,1.0,1.0,,2.0,1.0,2.0,,1.0,4.0,5.0,,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,1.0,,1.0,1.0,,77.26829268292683,16.833333333333332,20.8,16.833333333333332,20.8,,,,,0.25,,0.25,0.4065625,7.966666666666666,23.8,3.0,,,,1.0,2.0,1.0,1.0,,,,,,1.0,,5.0,,1.0,1.0,,,,,,,,,,,,5.0,3.0,,,,0.8333333333333334,,,,,,,0.5,0.5,0.5,1.0,0.25,,,0.3333333333333333,,0.4214833333333334,,,,,1.0,0.5,,,,1.0,,,3.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,0.5,0.8333333333333334,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1611661317,2017,2017,False
