EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Offensive Fouls Drawn,SecondChanceOffPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,BlockingFouls,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,AtRimFGM,Fg2aBlocked,OffTwoPtRebounds,LostBallSteals,Loose Ball Fouls,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PtsPutbacks,DeadBallTurnovers,Travels,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyDefPoss,Blocked2s,BlockedShortMidRange,Blocks,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimAssists,AtRimPctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,Technical Free Throw Trips,Offensive Fouls,FTDefRebounds,BlockingFoulsDrawn,RecoveredBlocks,DefFTReboundPct,BlocksRecoveredPct,Charge Fouls,SelfOReb,OffAtRimReboundPct,SelfORebPct,HeaveAttempts,BlockedAtRim,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,SecondChanceCorner3FGA,LongMidRangePctBlocked,SecondChanceCorner3Frequency,PenaltyCorner3FGM,FTOffRebounds,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,3SecondViolations,OffFTReboundPct,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,BlockedLongMidRange,BlockedArc3,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627669-1628269-202652-203405-203825,1611661319,"Moriah Jefferson, Nia Coffey, Alex Montgomery, Kayla Alexander, Kayla McBride","Jefferson, Coffey, Montgomery, Alexander, McBride",1627669-1628269-202652-203405-203825,SAN,126.0,1,2.0,3.0,4.0,4.0,2.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,4.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.875,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,1.0,1.0,91.42857142857143,15.0,16.5,15.0,15.75,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.4328,0.3365,0.25,0.3333333333333333,0.5714285714285714,10.35,23.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
1627669-201062-202652-203405-204324,1611661319,"Moriah Jefferson, Shay Murphy, Alex Montgomery, Kayla Alexander, Dearica Hamby","Jefferson, Murphy, Montgomery, Alexander, Hamby",1627669-201062-202652-203405-204324,SAN,14.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,102.85714285714286,,14.0,,14.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
100812-1628276-201530-202641-204324,1611661319,"Erika de Souza, Kelsey Plum, Sequoia Holmes, Sydney Colson, Dearica Hamby","de Souza, Plum, Holmes, Colson, Hamby",100812-1628276-201530-202641-204324,SAN,308.0,1,5.0,-1.0,9.0,10.0,,19.0,,1.0,1.0,2.0,2.0,5.0,1.0,3.0,,7.0,8.0,,,,,2.0,,2.0,1.0,1.0,2.0,,5.0,,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,,5.0,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.4,,0.4375,,0.4375,,0.375,0.5,,0.5,,,88.83116883116882,15.444444444444445,16.9,14.444444444444445,16.2,0.125,,,,0.25,0.5,0.5,0.5,0.5,0.38369375,,,,,12.059999999999999,24.5,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,1.0,1.0,0.125,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,1.0,0.349,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
1628269-201530-202641-203825-204324,1611661319,"Nia Coffey, Sequoia Holmes, Sydney Colson, Kayla McBride, Dearica Hamby","Coffey, Holmes, Colson, McBride, Hamby",1628269-201530-202641-203825-204324,SAN,181.0,1,3.0,-2.0,5.0,5.0,,10.0,1.0,2.0,,,2.0,5.0,,1.0,,4.0,6.0,,,,,,,,,,,,,,,,2.0,,2.0,,,,,2.0,,,,,,,0.4,,0.3333333333333333,,0.3333333333333333,,0.16666666666666666,,,,,,79.55801104972376,19.4,16.8,17.2,15.6,0.3333333333333333,0.5,0.5,,,,,0.5,,0.4817916666666667,,,,,6.2,25.1,,,2.0,2.0,,1.0,1.0,1.0,2.0,2.0,4.0,,,,,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,0.5,0.5,0.5,1.0,1.0,0.5,,,0.3333333333333333,0.16666666666666666,,,,0.16666666666666666,,0.46085,0.5,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.3333333333333333,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
100812-1628269-1628276-202641-202652,1611661319,"Erika de Souza, Nia Coffey, Kelsey Plum, Sydney Colson, Alex Montgomery","de Souza, Coffey, Plum, Colson, Montgomery",100812-1628269-1628276-202641-202652,SAN,80.0,1,1.0,,3.0,3.0,2.0,6.0,1.0,1.0,,,1.0,1.0,,,2.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,,,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,3.0,1.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,,1.0,,1.0,,,108.0,9.0,17.666666666666668,9.0,17.666666666666668,1.0,1.0,1.0,1.0,,,,,,0.458,0.458,0.5,0.5,0.75,4.6,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
100812-1628269-200673-201530-203863,1611661319,"Erika de Souza, Nia Coffey, Monique Currie, Sequoia Holmes, Haley Peters","de Souza, Coffey, Currie, Holmes, Peters",100812-1628269-200673-201530-203863,SAN,176.0,1,3.0,-1.0,5.0,5.0,,10.0,,,,,1.0,3.0,,,3.0,5.0,6.0,,,,,,,,,,,,,,,,2.0,1.0,3.0,2.0,,4.0,2.0,1.0,,,,,,,0.3333333333333333,,0.3333333333333333,,0.5,,,,,,,,81.81818181818183,17.6,17.6,15.8,15.6,,,,,,,,0.3333333333333333,,0.4103333333333334,,0.4,0.4,,12.233333333333334,,,,2.0,1.0,,2.0,,1.0,1.0,4.0,2.0,,,,,,2.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,1.0,0.5,,1.0,,,0.3333333333333333,0.6666666666666666,,,,,,0.518,0.8,1.0,,2.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
100812-1628276-200673-203825-204324,1611661319,"Erika de Souza, Kelsey Plum, Monique Currie, Kayla McBride, Dearica Hamby","de Souza, Plum, Currie, McBride, Hamby",100812-1628276-200673-203825-204324,SAN,147.0,1,2.0,3.0,4.0,5.0,,9.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,5.0,2.0,,,,,,,1.0,1.0,,1.0,,3.0,1.0,,1.0,3.0,,1.0,,,,,3.0,,,,,0.5,0.5,0.3333333333333333,,0.5,,0.5,,0.4,,1.0,0.3333333333333333,,,88.16326530612244,22.25,11.6,21.5,9.8,0.2,,,,0.2,1.0,1.0,0.6,1.0,0.497,,,,,9.5,23.35,,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,,,2.0,1.0,1.0,,,,1.0,,1.0,0.5,0.5,0.5,,,0.6666666666666666,,,0.2,0.2,,,,0.2,1.0,0.50625,0.4,1.0,,2.0,,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,2.0,1.0,,0.5,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
100812-200673-201530-202641-204330,1611661319,"Erika de Souza, Monique Currie, Sequoia Holmes, Sydney Colson, Isabelle Harrison","de Souza, Currie, Holmes, Colson, Harrison",100812-200673-201530-202641-204330,SAN,32.0,1,1.0,,1.0,1.0,,2.0,,,,,1.0,1.0,,,,2.0,2.0,,,,,2.0,,,,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,90.0,6.0,26.0,,26.0,,,,,,,,1.0,,0.4739,,,,,3.0,,,,1.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,0.4739,1.0,1.0,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
100812-200673-201530-202652-203863,1611661319,"Erika de Souza, Monique Currie, Sequoia Holmes, Alex Montgomery, Haley Peters","de Souza, Currie, Holmes, Montgomery, Peters",100812-200673-201530-202652-203863,SAN,475.0,1,8.0,2.0,18.0,16.0,9.0,34.0,1.0,2.0,3.0,4.0,4.0,6.0,3.0,4.0,6.0,23.0,21.0,3.0,5.0,3.0,12.0,8.0,3.0,4.0,3.0,4.0,6.0,1.0,14.0,1.0,3.0,4.0,6.0,1.0,3.0,5.0,1.0,6.0,2.0,20.0,12.0,9.0,1.0,1.0,0.75,0.75,0.6666666666666666,0.6,0.85,0.75,0.8846153846153846,0.8571428571428571,0.4,0.75,1.0,0.8,1.0,,103.07368421052631,12.166666666666666,16.0,11.833333333333334,15.875,0.2,0.5,1.0,1.0,0.4,0.75,0.75,0.8,0.75,0.514145,0.513575,0.18181818181818182,0.2857142857142857,0.5217391304347826,3.266666666666667,24.175,0.5,,2.0,4.0,,,,,,3.0,,6.0,2.0,2.0,,1.0,2.0,3.0,1.0,2.0,2.0,,7.0,,0.6666666666666666,,1.5,1.5,0.2857142857142857,1.0,0.6666666666666666,1.0,,0.4,,,,,,0.6666666666666666,,0.13043478260869565,3.0,1.0,1.0,2.0,,0.16666666666666666,,0.5,,,0.75,0.75,2.0,1.0,0.6666666666666666,,,,,5.0,2.0,,,3.0,,,,1.0,1.0,3.0,1.0,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.6666666666666666,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
100812-200673-201530-202652-204330,1611661319,"Erika de Souza, Monique Currie, Sequoia Holmes, Alex Montgomery, Isabelle Harrison","de Souza, Currie, Holmes, Montgomery, Harrison",100812-200673-201530-202652-204330,SAN,242.0,2,4.0,1.0,5.0,6.0,5.0,11.0,1.0,2.0,,1.0,1.0,2.0,,1.0,6.0,8.0,7.0,1.0,2.0,4.0,6.0,2.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,3.0,4.0,,6.0,2.0,8.0,6.0,5.0,1.0,1.0,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5,0.3333333333333333,,,,,,65.45454545454545,20.2,23.5,20.2,22.833333333333332,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,0.3333333333333333,,0.41391666666666665,0.41391666666666665,0.4,0.5,0.75,9.25,23.4,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2017,2017,True
