EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Arc3FGA,FG3A,NonHeaveArc3FGA,Loose Ball Fouls Drawn,FG3APct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,DefTwoPtRebounds,DefRebounds,BadPassOutOfBoundsTurnovers,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsPutbacks,OffArc3ReboundPct,DefCorner3ReboundPct,SelfOReb,Travels,SecondChanceTurnovers,SelfORebPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceFg3Pct,Corner3PctBlocked,OffAtRimReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,3SecondViolations,StepOutOfBoundsTurnovers,Transition Take Fouls,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,Transition Take Fouls Drawn,Clear Path Fouls,LongMidRangePctBlocked,team_id,year,season,team_vs
1627676-1628280-1630112-1631007-203826,1611661323,"Tiffany Mitchell, Brionna Jones, Tyasha Harris, Veronica Burton, Alyssa Thomas","Mitchell, Jones, Harris, Burton, Thomas",1627676-1628280-1630112-1631007-203826,CON,177.0,1,3.0,-3.0,4.0,4.0,3.0,1.0,8.0,2.0,3.0,2.0,3.0,2.0,6.0,9.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,0.75,1.0,1.0,1.0,1.0,65.08474576271186,20.0,24.25,17.0,21.25,1.0,0.6666666666666666,0.6666666666666666,0.5,0.37033333333333335,0.3462,0.25,0.25,0.3333333333333333,6.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1627669-1627671-1628280-1630096-203826,1611661323,"Moriah Jefferson, Rachel Banham, Brionna Jones, DiJonai Carrington, Alyssa Thomas","Jefferson, Banham, Jones, Carrington, Thomas",1627669-1627671-1628280-1630096-203826,CON,31.0,1,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,92.9032258064516,16.0,15.0,16.0,15.0,,,,,0.4581,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1627671-1627676-1628280-1631007-201886,1611661323,"Rachel Banham, Tiffany Mitchell, Brionna Jones, Veronica Burton, DeWanna Bonner","Banham, Mitchell, Jones, Burton, Bonner",1627671-1627676-1628280-1631007-201886,CON,177.0,2,3.0,-2.0,5.0,6.0,,,11.0,,,1.0,1.0,,2.0,4.0,,,,,2.0,,,,,,,2.0,2.0,2.0,,,2.0,,,1.0,1.0,1.0,2.0,,,1.0,,0.3333333333333333,,0.3333333333333333,,,,,89.4915254237288,20.0,12.833333333333334,20.0,11.5,,,,,0.5491,,,,,3.2,1.0,2.0,1.0,,0.6666666666666666,0.3333333333333333,1.0,23.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.4908,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1628280-1629497-1630096-1630112-203826,1611661323,"Brionna Jones, Marina Mabrey, DiJonai Carrington, Tyasha Harris, Alyssa Thomas","Jones, Mabrey, Carrington, Harris, Thomas",1628280-1629497-1630096-1630112-203826,CON,3006.0,12,50.0,-1.0,98.0,96.0,23.0,4.0,194.0,10.0,19.0,25.0,53.0,23.0,91.0,92.0,1.0,3.0,3.0,32.0,18.0,16.0,21.0,6.0,47.0,3.0,4.0,41.0,8.0,17.0,8.0,18.0,25.0,27.0,12.0,6.0,2.0,6.0,88.0,0.64,0.64,0.4716981132075472,0.3333333333333333,0.4722222222222222,0.3333333333333333,0.5416666666666666,0.375,0.10714285714285714,0.1,0.2222222222222222,92.93413173652695,15.244897959183673,15.75,14.989795918367347,15.322916666666666,0.2638888888888889,0.5263157894736842,0.5882352941176471,0.6,0.4720729166666666,0.57195,0.14814814814814814,0.1935483870967742,0.03296703296703297,8.803773584905661,16.0,19.0,16.0,3.0,0.2638888888888889,0.2222222222222222,0.5,24.83157894736842,35.0,12.0,17.0,2.0,5.0,3.0,3.0,15.0,25.0,27.0,37.0,4.0,6.0,25.0,35.0,0.2,0.3409090909090909,0.44642857142857145,0.7297297297297297,0.72,0.7333333333333333,0.6666666666666666,1.0,0.2361111111111111,0.7058823529411765,0.8571428571428571,0.041666666666666664,0.22727272727272727,0.4,0.46356363636363634,0.27472527472527475,0.35714285714285715,1.0,2.0,3.0,17.0,1.0,1.0,3.0,5.0,2.0,4.0,6.0,1.0,3.0,7.0,10.0,15.0,3.0,5.0,5.0,1.0,5.0,4.0,1.0,7.0,3.0,1.0,9.0,1.0,9.0,6.0,3.0,9.0,5.0,2.0,4.0,9.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,0.8333333333333334,0.3157894736842105,0.42857142857142855,0.3157894736842105,0.05263157894736842,0.09433962264150944,0.17647058823529413,0.10526315789473684,0.0625,0.5294117647058824,1.0,0.6923076923076923,0.08333333333333333,0.07142857142857142,1.0,0.75,0.6923076923076923,0.5833333333333334,0.2361111111111111,0.17647058823529413,0.17647058823529413,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3125,0.3333333333333333,0.8,0.6666666666666666,0.5,1.0,0.13636363636363635,0.3333333333333333,0.18181818181818182,0.5,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1629497-1630096-1631007-1631135-203838,1611661323,"Marina Mabrey, DiJonai Carrington, Veronica Burton, Olivia Nelson-Ododa, Astou Ndour-Fall","Mabrey, Carrington, Burton, Nelson-Ododa, Ndour-Fall",1629497-1630096-1631007-1631135-203838,CON,274.0,2,5.0,-1.0,8.0,8.0,1.0,2.0,16.0,,4.0,1.0,5.0,,8.0,9.0,1.0,2.0,2.0,,2.0,,2.0,,6.0,1.0,2.0,5.0,,,1.0,1.0,1.0,,,3.0,3.0,3.0,6.0,,,0.2,0.5,0.4,0.5,0.4,0.5,0.25,0.2857142857142857,0.25,84.08759124087592,17.625,16.625,15.75,16.125,0.4,,,,0.48482000000000003,0.7849,,,0.25,5.5200000000000005,4.0,5.0,4.0,,0.5,0.4,0.6,23.98,,1.0,1.0,,,1.0,,,,3.0,3.0,,1.0,,,,,,0.6,0.6,0.5,1.0,0.3333333333333333,0.1,1.0,1.0,0.1,,,,,,1.0,1.0,,,1.0,,,1.0,,,2.0,,,,,6.0,,1.0,3.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.4,,0.4,,0.6,,0.75,,,,,0.3333333333333333,,,,,,,,,,1.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,,,,,,0.25,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1627676-1630112-1631007-201886-203826,1611661323,"Tiffany Mitchell, Tyasha Harris, Veronica Burton, DeWanna Bonner, Alyssa Thomas","Mitchell, Harris, Burton, Bonner, Thomas",1627676-1630112-1631007-201886-203826,CON,319.0,1,5.0,-3.0,12.0,10.0,,,22.0,1.0,1.0,4.0,4.0,,11.0,14.0,,,,6.0,2.0,3.0,4.0,1.0,9.0,,,4.0,3.0,5.0,1.0,1.0,3.0,2.0,1.0,,,,11.0,0.75,0.75,1.0,,0.9166666666666666,,0.7857142857142857,,,,,99.3103448275862,15.083333333333334,13.8,15.083333333333334,13.8,0.16666666666666666,1.0,1.0,1.0,0.47700000000000004,,0.14285714285714285,0.2,,9.175,1.0,2.0,1.0,,0.3333333333333333,0.16666666666666666,0.6666666666666666,23.9,,2.0,2.0,,,1.0,,,,1.0,4.0,3.0,,,,,,,1.0,1.0,1.0,,,0.3333333333333333,1.0,1.0,0.16666666666666666,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,3.0,,,,,1.0,,1.0,2.0,,,2.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,,1.0,0.5,,0.5,,,,,,0.4,1.0,1.0,,,,,,1.0,0.16666666666666666,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1628280-1629497-1630096-1631007-1631135,1611661323,"Brionna Jones, Marina Mabrey, DiJonai Carrington, Veronica Burton, Olivia Nelson-Ododa","Jones, Mabrey, Carrington, Burton, Nelson-Ododa",1628280-1629497-1630096-1631007-1631135,CON,18.0,1,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,160.0,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1627669-1628280-1630096-201886-203826,1611661323,"Moriah Jefferson, Brionna Jones, DiJonai Carrington, DeWanna Bonner, Alyssa Thomas","Jefferson, Jones, Carrington, Bonner, Thomas",1627669-1628280-1630096-201886-203826,CON,118.0,1,2.0,-3.0,4.0,3.0,,,7.0,,1.0,,2.0,,,3.0,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,85.42372881355932,17.75,15.666666666666666,17.75,13.333333333333334,0.25,,,,0.5243,,,,,3.75,2.0,2.0,2.0,,0.5,0.5,0.75,25.5,,,1.0,,,,,,,1.0,1.0,,,,,,,,0.3333333333333333,0.25,0.5,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1627671-1627676-1628280-201886-203826,1611661323,"Rachel Banham, Tiffany Mitchell, Brionna Jones, DeWanna Bonner, Alyssa Thomas","Banham, Mitchell, Jones, Bonner, Thomas",1627671-1627676-1628280-201886-203826,CON,329.0,3,5.0,-3.0,9.0,10.0,,1.0,19.0,,2.0,2.0,5.0,2.0,9.0,12.0,,,,4.0,,2.0,2.0,,4.0,1.0,1.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,,,,,9.0,1.0,1.0,0.4,,0.5833333333333334,,0.6428571428571429,,0.3333333333333333,0.3333333333333333,0.5,83.16109422492401,15.0,19.4,14.88888888888889,19.4,0.3333333333333333,,,,0.37726666666666664,,,,,11.1,1.0,1.0,1.0,,0.16666666666666666,0.16666666666666666,0.3333333333333333,30.4,8.0,1.0,1.0,1.0,1.0,,2.0,5.0,9.0,2.0,4.0,,,9.0,8.0,0.4,0.5833333333333334,0.6428571428571429,1.0,1.0,1.0,1.0,,0.16666666666666666,1.0,1.0,,0.16666666666666666,1.0,0.37726666666666664,1.0,0.8888888888888888,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,3.0,1.0,,,,,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,1.0,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,0.3333333333333333,,1.0,,,,,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,,,,1.0,1.0,,,,,,,0.16666666666666666,1.0,1.0,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2024,2024,True
1628280-1630096-1631007-201886-203826,1611661323,"Brionna Jones, DiJonai Carrington, Veronica Burton, DeWanna Bonner, Alyssa Thomas","Jones, Carrington, Burton, Bonner, Thomas",1628280-1630096-1631007-201886-203826,CON,2734.0,13,46.0,-15.0,84.0,81.0,31.0,11.0,165.0,1.0,14.0,18.0,42.0,13.0,76.0,91.0,2.0,4.0,17.0,28.0,8.0,14.0,22.0,1.0,52.0,6.0,11.0,35.0,13.0,21.0,12.0,26.0,18.0,14.0,3.0,4.0,2.0,5.0,59.0,0.7777777777777778,0.8235294117647058,0.42857142857142855,0.5,0.4632352941176471,0.8,0.5135135135135135,0.85,0.25,0.275,0.23076923076923078,86.90563277249451,15.714285714285714,17.45679012345679,14.952380952380953,15.703703703703704,0.20588235294117646,0.07142857142857142,0.07142857142857142,1.0,0.4829194029850747,0.4820642857142857,0.056338028169014086,0.06818181818181818,0.2236842105263158,8.05,19.0,26.0,18.0,2.0,0.38235294117647056,0.27941176470588236,0.6470588235294118,25.388461538461538,34.0,13.0,18.0,5.0,8.0,7.0,6.0,15.0,31.0,15.0,24.0,2.0,3.0,29.0,33.0,0.4,0.375,0.484375,0.5,0.5238095238095238,0.6428571428571429,0.25,0.6,0.2647058823529412,0.7222222222222222,0.8125,0.10294117647058823,0.2857142857142857,0.625,0.48612407407407404,0.40789473684210525,0.40476190476190477,2.0,2.0,4.0,10.0,2.0,1.0,4.0,7.0,2.0,9.0,9.0,1.0,3.0,13.0,10.0,24.0,3.0,7.0,2.0,1.0,8.0,7.0,1.0,11.0,2.0,5.0,7.0,2.0,6.0,5.0,1.0,8.0,6.0,,2.0,6.0,2.0,,4.0,1.0,,1.0,3.0,1.0,6.0,2.0,0.8888888888888888,0.34615384615384615,0.23076923076923078,0.36,0.038461538461538464,0.047619047619047616,0.1111111111111111,,,0.38095238095238093,1.0,0.5833333333333334,0.3125,0.16666666666666666,0.6,0.4166666666666667,0.7777777777777778,0.8461538461538461,0.14705882352941177,0.4,0.4,0.5,0.2857142857142857,0.3333333333333333,0.5,0.3684210526315789,0.3684210526315789,1.0,0.2,1.0,0.5,0.14285714285714285,0.25,0.32142857142857145,0.2222222222222222,0.3888888888888889,2.0,0.18181818181818182,,,2.0,1.0,,2.0,2.0,2.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.14285714285714285,0.4,0.2,1.0,0.5,0.4,0.5,1.0,0.037037037037037035,,,,,,,,,,,,1611661323,2024,2024,True
