EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,SelfOReb,PenaltyFg2Pct,PenaltyEfgPct,SelfORebPct,Steals,BadPassSteals,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,PtsPutbacks,Corner3Assists,AtRimAssists,OffThreePtRebounds,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,DefFTReboundPct,DefAtRimReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,NonShootingPenaltyNonTakeFouls,OffCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,Transition Take Fouls,Charge Fouls Drawn,team_id,year,season,team_vs
1628276-1628932-1629484-1629498-203026,1611661319,"Kelsey Plum, A'ja Wilson, Megan Gustafson, Jackie Young, Tiffany Hayes","Plum, Wilson, Gustafson, Young, Hayes",1628276-1628932-1629484-1629498-203026,LVA,548.0,3,9.0,-7.0,18.0,19.0,7.0,1.0,37.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0,6.0,1.0,5.0,4.0,11.0,18.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,5.0,3.0,8.0,1.0,9.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,9.0,4.0,7.0,1.0,1.0,1.0,1.0,0.2,0.2,0.3333333333333333,1.0,0.3181818181818182,1.0,0.39285714285714285,1.0,0.4,0.45454545454545453,0.16666666666666666,0.2,0.5,0.5,0.25,1.0,0.7272727272727273,0.125,0.25,0.4,1.0,1.0,1.0,97.22627737226279,0.6666666666666666,13.666666666666666,15.894736842105264,13.555555555555555,15.210526315789474,0.45454545454545453,0.2,0.25,1.0,0.09090909090909091,1.0,1.0,1.0,0.45454545454545453,0.2,0.2,1.0,1.0,0.45454545454545453,0.2,0.4337,0.3954,0.5235,0.15384615384615385,0.25,0.18181818181818182,0.36363636363636365,8.866666666666667,26.32,0.3888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-1629484-1629498-203833,1611661319,"Kelsey Plum, A'ja Wilson, Megan Gustafson, Jackie Young, Chelsea Gray","Plum, Wilson, Gustafson, Young, Gray",1628276-1628932-1629484-1629498-203833,LVA,95.0,2,2.0,2.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0,,,,1.0,,1.0,2.0,,1.0,2.0,4.0,2.0,,,2.0,,,2.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,2.0,2.0,1.0,,,,,,,0.5,,0.3333333333333333,,0.5,1.0,1.0,0.3333333333333333,,,,,1.0,1.0,1.0,0.5,1.0,,,1.0,,75.78947368421053,,20.0,17.5,20.0,17.5,0.6666666666666666,0.5,0.5,,,,,,0.3333333333333333,,,,,0.3333333333333333,,0.34226666666666666,,0.411,0.25,0.3333333333333333,0.5,0.5,4.65,31.7,0.3333333333333333,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-1629484-203026-203833,1611661319,"Kelsey Plum, A'ja Wilson, Megan Gustafson, Tiffany Hayes, Chelsea Gray","Plum, Wilson, Gustafson, Hayes, Gray",1628276-1628932-1629484-203026-203833,LVA,219.0,1,4.0,-1.0,7.0,7.0,,1.0,14.0,2.0,4.0,1.0,1.0,,1.0,,3.0,5.0,,1.0,,6.0,7.0,,1.0,,,,,6.0,,1.0,,2.0,3.0,,3.0,,2.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,6.0,,,,1.0,1.0,,,,0.6,,0.5,,0.5,,,0.16666666666666666,0.4,0.5,0.5,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,1.0,,1.0,,92.05479452054794,1.0,15.0,16.285714285714285,13.285714285714286,16.285714285714285,0.6666666666666666,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,,0.16666666666666666,,0.4330583333333333,0.3614,,,,,,7.9,25.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-1629498-202252-203026,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Alysha Clark, Tiffany Hayes","Plum, Wilson, Young, Clark, Hayes",1628276-1628932-1629498-202252-203026,LVA,928.0,5,15.0,3.0,31.0,32.0,1.0,2.0,63.0,6.0,12.0,,1.0,2.0,6.0,,11.0,20.0,3.0,8.0,4.0,35.0,32.0,2.0,5.0,4.0,,,,8.0,9.0,6.0,2.0,,4.0,3.0,7.0,2.0,3.0,,17.0,3.0,6.0,5.0,11.0,5.0,16.0,4.0,4.0,1.0,,5.0,1.0,2.0,6.0,6.0,6.0,3.0,,3.0,,,3.0,3.0,1.0,,31.0,,1.0,,0.36363636363636365,0.4,1.0,0.375,0.375,0.55,0.4,0.5535714285714286,0.4,0.5645161290322581,0.4,,0.2857142857142857,,,0.8,0.5555555555555556,0.3333333333333333,1.0,0.7333333333333333,0.35714285714285715,0.3333333333333333,0.5,0.6666666666666666,1.0,1.0,97.75862068965517,0.3333333333333333,14.774193548387096,14.6875,13.838709677419354,14.0,0.42857142857142855,0.5,0.5,0.5,0.03571428571428571,,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,,0.5357142857142857,0.3333333333333333,0.48910178571428575,0.43642000000000003,,0.0967741935483871,0.13043478260869565,0.11428571428571428,,5.91,24.775,0.03225806451612903,11.0,,,,14.0,,,,,4.0,4.0,5.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.4,0.5,0.5,0.25,0.7142857142857143,0.7142857142857143,0.2,0.07142857142857142,0.5,0.5,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-1629498-202252-203833,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Alysha Clark, Chelsea Gray","Plum, Wilson, Young, Clark, Gray",1628276-1628932-1629498-202252-203833,LVA,3612.0,5,60.0,-7.0,111.0,113.0,12.0,8.0,224.0,21.0,44.0,3.0,6.0,12.0,29.0,4.0,32.0,62.0,13.0,37.0,12.0,115.0,122.0,2.0,4.0,7.0,4.0,3.0,10.0,40.0,30.0,29.0,12.0,3.0,20.0,10.0,30.0,9.0,14.0,2.0,70.0,6.0,22.0,21.0,44.0,7.0,51.0,6.0,5.0,6.0,1.0,12.0,3.0,14.0,27.0,19.0,15.0,7.0,1.0,6.0,1.0,1.0,2.0,7.0,2.0,,108.0,10.0,12.0,1.0,0.625,0.6451612903225806,0.7692307692307693,0.35135135135135137,0.35135135135135137,0.5161290322580645,0.5,0.5202020202020202,0.5,0.5424528301886793,0.5,0.45454545454545453,0.37373737373737376,0.04838709677419355,0.045454545454545456,0.5,0.525,0.20689655172413793,0.7857142857142857,0.6323529411764706,0.1320754716981132,0.21739130434782608,0.45454545454545453,0.7142857142857143,0.8076923076923077,0.5,89.30232558139535,0.2857142857142857,15.396396396396396,16.84070796460177,14.945945945945946,15.504424778761061,0.4444444444444444,0.4772727272727273,0.5,0.6666666666666666,0.06060606060606061,0.5,0.6,0.6666666666666666,0.29292929292929293,0.41379310344827586,0.41379310344827586,0.75,0.4444444444444444,0.494949494949495,0.41379310344827586,0.4843646464646465,0.6014928571428572,0.42427777777777775,0.06666666666666667,0.10294117647058823,0.06086956521739131,0.08695652173913043,6.687096774193549,25.008108108108107,0.10810810810810811,18.0,,2.0,5.0,24.0,3.0,0.4,0.3888888888888889,0.058823529411764705,6.0,5.0,8.0,12.0,1.0,2.0,1.0,8.0,2.0,1.0,4.0,1.0,2.0,,3.0,0.041666666666666664,0.25,0.058823529411764705,0.12121212121212122,0.6666666666666666,0.6666666666666666,0.5,0.08080808080808081,0.125,0.125,1.0,0.2857142857142857,0.5,1.0,3.0,1.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.3333333333333333,0.25,0.16666666666666666,1.0,0.5454545454545454,0.42857142857142855,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-1629498-203026-203833,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Tiffany Hayes, Chelsea Gray","Plum, Wilson, Young, Hayes, Gray",1628276-1628932-1629498-203026-203833,LVA,928.0,5,15.0,7.0,33.0,28.0,14.0,3.0,61.0,4.0,10.0,1.0,1.0,3.0,10.0,5.0,7.0,14.0,3.0,11.0,13.0,36.0,29.0,,,3.0,6.0,9.0,19.0,10.0,3.0,10.0,3.0,2.0,5.0,1.0,6.0,1.0,3.0,,13.0,2.0,3.0,6.0,12.0,4.0,16.0,2.0,2.0,1.0,,3.0,1.0,3.0,8.0,8.0,14.0,4.0,3.0,1.0,,,1.0,1.0,,,33.0,19.0,14.0,3.0,0.7142857142857143,0.7142857142857143,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.5,,0.46,0.75,0.5625,0.75,0.6785714285714286,0.44,0.14285714285714285,0.2,0.6666666666666666,0.6,0.2857142857142857,0.6,0.6,0.26666666666666666,0.3333333333333333,0.8,0.3333333333333333,0.75,,94.6551724137931,,14.484848484848484,16.071428571428573,14.090909090909092,14.75,0.4,0.4,0.5,0.75,0.04,1.0,1.0,,0.4,0.3,0.3,0.3333333333333333,0.5555555555555556,0.56,0.3,0.446462,0.6378,0.4850888888888889,0.13793103448275862,0.2222222222222222,0.08333333333333333,0.5277777777777778,6.735714285714286,25.454545454545453,0.42424242424242425,14.0,,2.0,3.0,4.0,2.0,0.6666666666666666,0.5555555555555556,0.15384615384615385,,,2.0,3.0,,,,1.0,,,2.0,2.0,,,,0.25,,0.14285714285714285,0.12,0.6666666666666666,0.6666666666666666,1.0,0.04,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,6.0,3.0,,1.0,,,,2.0,,,0.5,0.3333333333333333,,1.0,0.5,1.0,0.5,1.0,0.4,1.0,1.0,1.0,3.0,1.0,0.1111111111111111,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-1629498-203026-204329,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Tiffany Hayes, Kiah Stokes","Plum, Wilson, Young, Hayes, Stokes",1628276-1628932-1629498-203026-204329,LVA,160.0,2,3.0,4.0,4.0,5.0,2.0,,9.0,2.0,3.0,,,,,,2.0,3.0,1.0,1.0,2.0,9.0,5.0,,,,1.0,1.0,4.0,2.0,3.0,,,1.0,1.0,1.0,2.0,,1.0,,5.0,,1.0,,1.0,,1.0,,,,,,,,1.0,3.0,3.0,2.0,,,,,,,,,9.0,4.0,2.0,,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,,0.875,,0.9,,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,,,,1.0,0.5,,,,,,1.0,81.0,,18.5,17.2,18.5,13.2,0.75,0.6666666666666666,1.0,0.5,,,,,,,,,,0.25,,0.48995,,0.6032,0.4,0.5,,0.4444444444444444,5.533333333333334,23.2,0.5,2.0,,,1.0,2.0,,,0.75,,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,0.25,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-1629498-203833-204329,1611661319,"Kelsey Plum, A'ja Wilson, Jackie Young, Chelsea Gray, Kiah Stokes","Plum, Wilson, Young, Gray, Stokes",1628276-1628932-1629498-203833-204329,LVA,2327.0,4,39.0,-3.0,74.0,73.0,5.0,4.0,147.0,15.0,31.0,4.0,6.0,9.0,22.0,1.0,20.0,38.0,10.0,24.0,11.0,81.0,84.0,2.0,3.0,4.0,1.0,2.0,2.0,28.0,24.0,22.0,9.0,2.0,14.0,8.0,22.0,7.0,11.0,2.0,52.0,4.0,11.0,21.0,32.0,5.0,37.0,8.0,4.0,4.0,1.0,12.0,2.0,3.0,8.0,12.0,11.0,6.0,,7.0,,,6.0,7.0,6.0,,77.0,2.0,5.0,,0.7,0.7368421052631579,0.8,0.4166666666666667,0.4166666666666667,0.5263157894736842,0.6666666666666666,0.5645161290322581,0.5,0.6044776119402985,0.5,0.3333333333333333,0.3870967741935484,0.05263157894736842,0.06451612903225806,0.6666666666666666,0.875,0.2222222222222222,0.8461538461538461,0.8648648648648649,0.16129032258064516,0.1875,0.8666666666666667,0.8888888888888888,0.8888888888888888,0.75,90.96691018478728,0.8571428571428571,16.445945945945947,15.205479452054794,16.054054054054053,15.082191780821917,0.5,0.4838709677419355,0.5172413793103449,0.7333333333333333,0.0967741935483871,0.6666666666666666,0.6666666666666666,0.5,0.3548387096774194,0.4090909090909091,0.42857142857142855,0.7777777777777778,0.5,0.4032258064516129,0.4090909090909091,0.4459870967741935,0.4535666666666667,0.27225,0.08955223880597014,0.13953488372093023,0.04938271604938271,0.024691358024691357,9.218421052631578,25.333333333333332,0.06756756756756757,6.0,,,1.0,12.0,1.0,,,0.034482758620689655,2.0,2.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,0.07692307692307693,,0.08333333333333333,0.016129032258064516,1.0,1.0,1.0,0.03225806451612903,0.5,0.5,1.0,,,,1.0,,,1.0,,6.0,,,3.0,,4.0,,,1.0,,,,,,,0.25,,,,,,,1.0,,,,,,,1.0,1.0,0.041666666666666664,0.045454545454545456,0.5,,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-202252-202641-203026,1611661319,"Kelsey Plum, A'ja Wilson, Alysha Clark, Sydney Colson, Tiffany Hayes","Plum, Wilson, Clark, Colson, Hayes",1628276-1628932-202252-202641-203026,LVA,413.0,2,7.0,1.0,14.0,15.0,2.0,,29.0,1.0,5.0,,,1.0,5.0,2.0,3.0,7.0,1.0,7.0,,9.0,8.0,,,,2.0,,5.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,,,7.0,,2.0,5.0,7.0,,7.0,1.0,1.0,,,1.0,,3.0,3.0,4.0,,,,,,,,,,,9.0,5.0,2.0,,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,0.16666666666666666,0.42857142857142855,,0.32142857142857145,,0.32142857142857145,,0.8333333333333334,0.5,0.14285714285714285,0.2,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,101.1138014527845,,13.642857142857142,14.8,13.642857142857142,14.8,0.35714285714285715,0.2,0.25,,,,,,0.35714285714285715,0.2,0.2,1.0,0.6666666666666666,0.6428571428571429,0.25,0.5084923076923077,,0.54715,,,,0.5555555555555556,5.771428571428571,27.785714285714285,0.14285714285714285,,,1.0,1.0,2.0,,1.0,0.8333333333333334,,1.0,,2.0,2.0,,,,2.0,,,2.0,,,,3.0,,,,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,0.5,,,,,,,0.5,1.0,1.0,,,,0.3333333333333333,1.0,,,,,,,,,1.0,,,,,,,,,,,,1611661319,2024,2024,False
1628276-1628932-202252-203026-203833,1611661319,"Kelsey Plum, A'ja Wilson, Alysha Clark, Tiffany Hayes, Chelsea Gray","Plum, Wilson, Clark, Hayes, Gray",1628276-1628932-202252-203026-203833,LVA,1758.0,6,29.0,10.0,54.0,54.0,11.0,10.0,108.0,15.0,24.0,,1.0,3.0,13.0,4.0,20.0,31.0,4.0,23.0,4.0,56.0,46.0,4.0,7.0,12.0,5.0,2.0,12.0,24.0,12.0,13.0,3.0,3.0,12.0,4.0,16.0,3.0,8.0,,36.0,4.0,8.0,15.0,23.0,11.0,34.0,4.0,4.0,6.0,,10.0,1.0,3.0,9.0,10.0,6.0,3.0,1.0,,,,,,,,44.0,12.0,11.0,1.0,0.6,0.6666666666666666,1.0,0.17391304347826086,0.17391304347826086,0.6451612903225806,0.5714285714285714,0.48148148148148145,0.4583333333333333,0.5,0.5,0.4,0.42592592592592593,0.0967741935483871,0.08333333333333333,0.4,0.7894736842105263,0.36363636363636365,0.6153846153846154,0.71875,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.625,0.625,0.6,88.46416382252559,,15.222222222222221,17.333333333333332,14.018518518518519,16.74074074074074,0.4444444444444444,0.625,0.6818181818181818,0.5333333333333333,0.018518518518518517,,,,0.24074074074074073,0.23076923076923078,0.23076923076923078,1.0,0.2857142857142857,0.5370370370370371,0.23076923076923078,0.48635185185185187,0.56315,0.47734642857142856,0.05454545454545454,0.09375,0.21428571428571427,0.21428571428571427,6.190322580645161,25.35217391304348,0.2037037037037037,2.0,1.0,5.0,9.0,16.0,2.0,0.5555555555555556,0.35714285714285715,0.07407407407407407,8.0,6.0,5.0,6.0,3.0,4.0,1.0,10.0,4.0,1.0,4.0,6.0,,2.0,1.0,0.3157894736842105,1.0,0.4,0.1111111111111111,0.8333333333333334,0.8333333333333334,0.8,0.18518518518518517,0.1,0.1,1.0,0.3333333333333333,0.75,,1.0,,1.0,5.0,,,,2.0,2.0,3.0,,,2.0,2.0,,0.2,,1.0,,1.0,0.08333333333333333,,,,1.0,2.0,1.0,,0.2222222222222222,0.14285714285714285,0.5,0.07142857142857142,,,,,,,,,1.0,4.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.25,1.0,,,,1611661319,2024,2024,False
