EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyPointsPct,PenaltyOffPossPct,Minutes,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,Avg2ptShotDistance,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,DefPoss,AtRimFGM,AtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Fouls,Offensive Fouls,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,ShootingFouls,PenaltyDefPoss,SecondChanceOffPoss,LongMidRangeFGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,OffRebounds,BadPassSteals,Charge Fouls Drawn,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceCorner3FGA,SecondChanceFG3A,FTDefRebounds,DefFTReboundPct,DefShortMidRangeReboundPct,SecondChanceCorner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,2pt And 1 Free Throw Trips,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,Fg3aBlocked,OffThreePtRebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Fg2aBlocked,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,LongMidRangeAssists,SelfOReb,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Corner3Assists,Corner3PctAssisted,Technical Free Throw Trips,Travels,HeaveAttempts,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceCorner3PctAssisted,Corner3PctBlocked,FTOffRebounds,Transition Take Fouls Drawn,OffFTReboundPct,StepOutOfBoundsTurnovers,BlockedLongMidRange,Charge Fouls,Transition Take Fouls,Defensive 3 Seconds Violations,3SecondViolations,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1628278-1628279-1628878-1630459-1631022,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Ariel Atkins, DiDi Richards, Shakira Austin","Walker-Kimbrough, Sykes, Atkins, Richards, Austin",1628278-1628279-1628878-1630459-1631022,WAS,1.0,1,2.0,1.0,1.0,1,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1440.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628279-1628317-1628899-1642210-1642290,1611661322,"Brittney Sykes, Karlie Samuelson, Myisha Hines-Allen, Julie Vanloo, Aaliyah Edwards","Sykes, Samuelson, Hines-Allen, Vanloo, Edwards",1628279-1628317-1628899-1642210-1642290,WAS,31.0,1,2.0,1.0,,1,,2.0,,,,,,2.0,,,,1.0,,46.4516129032258,15.0,15.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4191,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628279-1628317-1628878-1631083-1642290,1611661322,"Brittney Sykes, Karlie Samuelson, Ariel Atkins, Emily Engstler, Aaliyah Edwards","Sykes, Samuelson, Atkins, Engstler, Edwards",1628279-1628317-1628878-1631083-1642290,WAS,20.0,1,,1.0,1.0,1,,,,,,,,,,1.0,,,,72.0,15.0,15.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628278-1628279-1628878-1630459-1642290,1611661322,"Shatori Walker-Kimbrough, Brittney Sykes, Ariel Atkins, DiDi Richards, Aaliyah Edwards","Walker-Kimbrough, Sykes, Atkins, Richards, Edwards",1628278-1628279-1628878-1630459-1642290,WAS,1.0,1,2.0,1.0,1.0,1,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1440.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628878-1628899-1642210-1642290-203828,1611661322,"Ariel Atkins, Myisha Hines-Allen, Julie Vanloo, Aaliyah Edwards, Stefanie Dolson","Atkins, Hines-Allen, Vanloo, Edwards, Dolson",1628878-1628899-1642210-1642290-203828,WAS,307.0,1,,11.0,7.0,21,3.0,13.0,2.0,7.0,2.0,4.0,,13.0,7.0,7.0,,0.8125,0.7,98.50162866449512,14.636363636363637,14.636363636363637,0.5384615384615384,0.6363636363636364,5.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,,8.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.5,0.5,,0.46728333333333333,5.3,1.0,,4.0,3.0,0.25,10.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,13.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.625,0.5,1.0,1.0,1.0,1.0,1.0,14.6,14.6,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,0.25,0.25,1.0,0.6666666666666666,1.0,0.4370875,0.25,0.4,24.900000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628279-1628878-1630134-1631021-1631083,1611661322,"Brittney Sykes, Ariel Atkins, Sug Sutton, Sika Koné, Emily Engstler","Sykes, Atkins, Sutton, Koné, Engstler",1628279-1628878-1630134-1631021-1631083,WAS,3.0,1,-2.0,,,1,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628317-1630134-1631021-1631141-1642290,1611661322,"Karlie Samuelson, Sug Sutton, Sika Koné, Jade Melbourne, Aaliyah Edwards","Samuelson, Sutton, Koné, Melbourne, Edwards",1628317-1630134-1631021-1631141-1642290,WAS,223.0,1,-1.0,8.0,,15,2.0,6.0,,,2.0,2.0,,4.0,,,,0.42857142857142855,,96.8609865470852,14.25,11.125,,,4.0,,,2.0,6.0,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,0.6001333333333333,9.1,3.0,2.0,3.0,,1.0,7.0,2.0,3.0,,,,,,,,,7.0,,,,,4.0,,,,,,,,1.0,1.0,3.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,0.3333333333333333,,0.25,,,15.571428571428571,15.285714285714286,0.5,0.6666666666666666,0.6666666666666666,,,,,,,,,,0.5,,,0.14285714285714285,0.14285714285714285,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.5,0.5,0.4031,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628878-1630459-1631141-1642210-1642290,1611661322,"Ariel Atkins, DiDi Richards, Jade Melbourne, Julie Vanloo, Aaliyah Edwards","Atkins, Richards, Melbourne, Vanloo, Edwards",1628878-1630459-1631141-1642210-1642290,WAS,143.0,1,6.0,7.0,,13,2.0,6.0,,,1.0,2.0,,6.0,,,,0.6,,130.9090909090909,7.428571428571429,6.571428571428571,,,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.55715,4.25,1.0,1.0,2.0,,0.5,6.0,,,1.0,,,1.0,,,,2.0,,,,,,,,1.0,,,,,,4.0,5.0,5.0,1.0,,1.0,1.0,,,,1.0,,,,,,,0.5,1.0,,1.0,1.0,,15.166666666666666,15.166666666666666,,,,,0.25,0.25,,,,,,,0.5,,,0.2,0.3333333333333333,24.45,,1.0,1.0,,,,,,,1.0,,,,,,,,0.3867,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628278-1628878-1631021-1642210-1642290,1611661322,"Shatori Walker-Kimbrough, Ariel Atkins, Sika Koné, Julie Vanloo, Aaliyah Edwards","Walker-Kimbrough, Atkins, Koné, Vanloo, Edwards",1628278-1628878-1631021-1642210-1642290,WAS,54.0,1,,2.0,,4,2.0,2.0,,,1.0,2.0,,2.0,,,,0.5,,106.66666666666666,13.5,13.5,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,0.5412,4.0,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,13.5,13.5,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
1628279-1628317-1631083-1631141-1642290,1611661322,"Brittney Sykes, Karlie Samuelson, Emily Engstler, Jade Melbourne, Aaliyah Edwards","Sykes, Samuelson, Engstler, Melbourne, Edwards",1628279-1628317-1631083-1631141-1642290,WAS,140.0,1,5.0,6.0,3.0,12,4.0,10.0,3.0,7.0,3.0,4.0,,10.0,7.0,3.0,,0.8333333333333334,1.1666666666666667,123.42857142857142,11.5,11.5,0.7,0.5,2.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,,4.0,0.6666666666666666,0.6666666666666666,0.75,0.6,0.2,1.0,1.0,,0.55944,4.425,,,,,,6.0,2.0,3.0,1.0,,,,,,,1.0,5.0,2.0,2.0,,,2.0,,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,,2.0,,3.0,,,,,1.0,1.0,0.2,,1.0,1.0,,1.0,11.833333333333334,11.833333333333334,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,,,,,,,,0.8,,0.56045,0.5,0.6,22.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661322,2024,2024,True
