EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,OpponentPoints,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyDefPoss,FTDefRebounds,DefRebounds,Rebounds,DefFTReboundPct,PenaltyOffPoss,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefTwoPtRebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyFG3M,Loose Ball Fouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,PtsUnassisted3s,2pt And 1 Free Throw Trips,Travels,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,Corner3FGM,Corner3Assists,LongMidRangeAssists,Offensive Fouls,Technical Free Throw Trips,RecoveredBlocks,AtRimPctBlocked,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BlockedAtRim,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,SecondChanceCorner3FGA,SecondChanceFtPoints,SecondChanceCorner3Frequency,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,PenaltyCorner3Frequency,LongMidRangePctBlocked,Loose Ball Fouls Drawn,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Transition Take Fouls,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,3SecondViolations,ThreePtShootingFoulsDrawnPct,Transition Take Fouls Drawn,Corner3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1628244-1628927-1629496-1641651-203400,1611661328,"Sami Whitcomb, Victoria Vivians, Ezi Magbegor, Jordan Horston, Skylar Diggins-Smith","Whitcomb, Vivians, Magbegor, Horston, Diggins-Smith",1628244-1628927-1629496-1641651-203400,SEA,55.0,1,1.0,-2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,78.54545454545455,17.5,20.0,17.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628244-1628920-1629496-1641651-1642299,1611661328,"Sami Whitcomb, Mercedes Russell, Ezi Magbegor, Jordan Horston, Nika Mühl","Whitcomb, Russell, Magbegor, Horston, Mühl",1628244-1628920-1629496-1641651-1642299,SEA,4.0,1,,,,1.0,1.0,,,,,,,,360.0,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628244-1628920-1630461-1641651-1641675,1611661328,"Sami Whitcomb, Mercedes Russell, Kiana Williams, Jordan Horston, Dulcy Fankam Mendjiadeu","Whitcomb, Russell, Williams, Horston, Fankam Mendjiadeu",1628244-1628920-1630461-1641651-1641675,SEA,32.0,1,1.0,-2.0,1.0,1.0,2.0,2.0,,,,,,,90.0,18.0,14.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628244-1628920-1628927-1630115-1630461,1611661328,"Sami Whitcomb, Mercedes Russell, Victoria Vivians, Joyner Holmes, Kiana Williams","Whitcomb, Russell, Vivians, Holmes, Williams",1628244-1628920-1628927-1630115-1630461,SEA,30.0,1,,-3.0,,1.0,1.0,3.0,,,,,,,48.0,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628931-1629496-1630115-1641651-204319,1611661328,"Gabby Williams, Ezi Magbegor, Joyner Holmes, Jordan Horston, Jewell Loyd","Williams, Magbegor, Holmes, Horston, Loyd",1628931-1629496-1630115-1641651-204319,SEA,39.0,1,1.0,,1.0,2.0,3.0,,,,,1.0,1.0,,110.76923076923076,14.0,12.5,14.0,12.5,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1641651-1641675-203014-203400-204319,1611661328,"Jordan Horston, Dulcy Fankam Mendjiadeu, Nneka Ogwumike, Skylar Diggins-Smith, Jewell Loyd","Horston, Fankam Mendjiadeu, Ogwumike, Diggins-Smith, Loyd",1641651-1641675-203014-203400-204319,SEA,140.0,1,2.0,,6.0,6.0,12.0,4.0,,,,1.0,1.0,,123.42857142857142,13.666666666666666,9.666666666666666,13.666666666666666,7.833333333333333,2.0,,3.0,3.0,,6.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,0.4,0.4,0.25,0.5,1.0,0.75,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.4224375,0.4224375,1.0,13.166666666666666,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628927-1630115-1641651-1642299,1611661328,"Mercedes Russell, Victoria Vivians, Joyner Holmes, Jordan Horston, Nika Mühl","Russell, Vivians, Holmes, Horston, Mühl",1628920-1628927-1630115-1641651-1642299,SEA,584.0,3,10.0,1.0,20.0,18.0,38.0,20.0,3.0,1.0,1.0,1.0,4.0,0.75,93.69863013698631,14.6,16.22222222222222,13.95,15.777777777777779,4.0,,6.0,11.0,,1.0,,,1.0,0.05,3.0,,2.0,7.0,,5.0,11.0,8.0,2.0,21.0,1.0,1.0,,,2.0,4.0,7.0,4.0,2.0,,3.0,2.0,2.0,,,,,11.0,2.0,,0.45454545454545453,1.0,0.5,1.0,0.525,1.0,0.42105263157894735,0.4,0.6666666666666666,0.5454545454545454,,0.6,1.0,0.15789473684210525,0.10526315789473684,,,0.3684210526315789,,0.7368421052631579,0.49223684210526314,0.308,0.09523809523809523,6.736363636363635,24.75,4.0,4.0,6.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,10.0,6.0,9.0,4.0,3.0,3.0,3.0,6.0,3.0,2.0,1.0,15.0,3.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,0.6,1.0,1.0,0.375,1.0,0.375,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6,0.45454545454545453,1.0,0.5,1.0,0.5,0.3333333333333333,0.18181818181818182,0.3157894736842105,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.05263157894736842,0.42857142857142855,0.42857142857142855,1.0,0.6,0.6666666666666666,0.4,1.0,1.0,0.42857142857142855,0.5556166666666666,0.05,0.08333333333333333,0.47619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628931-1641651-203014-203400,1611661328,"Mercedes Russell, Gabby Williams, Jordan Horston, Nneka Ogwumike, Skylar Diggins-Smith","Russell, Williams, Horston, Ogwumike, Diggins-Smith",1628920-1628931-1641651-203014-203400,SEA,485.0,2,8.0,17.0,15.0,15.0,30.0,7.0,,,,1.0,1.0,,89.0721649484536,15.8,16.533333333333335,15.133333333333333,16.533333333333335,6.0,,7.0,8.0,,8.0,1.0,,8.0,0.5333333333333333,2.0,,,5.0,3.0,8.0,9.0,5.0,2.0,24.0,4.0,4.0,3.0,2.0,13.0,12.0,5.0,,7.0,,3.0,3.0,2.0,,,,,22.0,13.0,,0.8888888888888888,1.0,0.7857142857142857,0.7857142857142857,0.8,0.8125,0.35714285714285715,1.0,,1.0,1.0,,,0.14285714285714285,,,,0.35714285714285715,0.42857142857142855,0.8571428571428571,0.5548178571428571,0.5244285714285714,0.5416666666666666,4.077777777777778,25.16,1.0,7.0,7.0,1.0,1.0,1.0,,2.0,,,2.0,1.0,1.0,,,2.0,4.0,6.0,,2.0,2.0,2.0,4.0,2.0,1.0,1.0,10.0,1.0,,1.0,,3.0,2.0,1.0,,1.0,0.25,0.25,1.0,0.4,,0.4,1.0,1.0,1.0,,0.3333333333333333,0.25,,0.3333333333333333,,1.0,1.0,,0.5,1.0,1.0,0.14285714285714285,0.5,0.5,1.0,,0.4,0.4,1.0,1.0,1.0,,,,0.4,,0.06666666666666667,0.1,0.08333333333333333,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.42857142857142855,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628927-1628931-1630115-1641651,1611661328,"Mercedes Russell, Victoria Vivians, Gabby Williams, Joyner Holmes, Jordan Horston","Russell, Vivians, Williams, Holmes, Horston",1628920-1628927-1628931-1630115-1641651,SEA,228.0,1,4.0,6.0,6.0,7.0,13.0,6.0,,,,,,,82.10526315789474,18.833333333333332,16.428571428571427,18.833333333333332,15.857142857142858,,,3.0,3.0,,,,,,,1.0,,,3.0,,3.0,3.0,4.0,,12.0,,,,,,2.0,3.0,1.0,2.0,,,2.0,1.0,,1.0,1.0,1.0,12.0,,,1.0,,0.8571428571428571,,0.8571428571428571,,0.5714285714285714,0.6666666666666666,1.0,0.75,1.0,1.0,,0.14285714285714285,,,,0.42857142857142855,,0.8571428571428571,0.5369857142857143,,,5.466666666666666,24.7,,2.0,2.0,,,1.0,1.0,2.0,,,2.0,,,,,,4.0,,,2.0,2.0,,2.0,,2.0,,4.0,,,,,1.0,,1.0,,1.0,0.6666666666666666,0.6666666666666666,,0.5,,0.5,,,,,,,,,,,0.5,,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,,0.14285714285714285,0.6666666666666666,0.6666666666666666,,,,,,,0.6666666666666666,,0.14285714285714285,0.3333333333333333,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628927-1628931-203014-203400,1611661328,"Mercedes Russell, Victoria Vivians, Gabby Williams, Nneka Ogwumike, Skylar Diggins-Smith","Russell, Vivians, Williams, Ogwumike, Diggins-Smith",1628920-1628927-1628931-203014-203400,SEA,80.0,1,1.0,,2.0,2.0,4.0,2.0,,,,1.0,1.0,,72.0,14.0,26.0,14.0,23.0,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,1.0,0.5,,1.0,,,,,,,,1.0,0.677,,,2.6,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
