EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,Blocked3s,BlockedArc3,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PtsPutbacks,NonHeaveArc3FGA,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFGM,PenaltyAtRimFGA,Steals,BadPassSteals,LostBallSteals,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyDefPoss,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,FTDefRebounds,DeadBallTurnovers,Travels,ShootingFouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Transition Take Fouls Drawn,Loose Ball Fouls,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
100940-1627674-1628881-1642298-203398,1611661317,"Diana Taurasi, Kahleah Copper, Monique Billings, Celeste Taylor, Brittney Griner","Taurasi, Copper, Billings, Taylor, Griner",100940-1627674-1628881-1642298-203398,PHO,130.0,2,2.0,8.0,5.0,5.0,1.0,10,4.0,4.0,1.0,1.0,5.0,5.0,10.0,2.0,1.0,1.0,2.0,8.0,2.0,4.0,4.0,3.0,1.0,8.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,10.0,2.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.76923076923077,12.2,13.8,12.2,13.8,0.8,1.0,1.0,0.75,0.2,1.0,1.0,1.0,0.8,0.58068,0.2859,0.2,2.7199999999999998,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1627674-1628881-203398-204333,1611661317,"Diana Taurasi, Kahleah Copper, Monique Billings, Brittney Griner, Natasha Cloud","Taurasi, Copper, Billings, Griner, Cloud",100940-1627674-1628881-203398-204333,PHO,284.0,1,5.0,-12.0,10.0,10.0,3.0,20,,1.0,1.0,1.0,2.0,6.0,6.0,18.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,5.0,1.0,,,,2.0,2.0,3.0,0.5,1.0,0.3333333333333333,0.5,0.2222222222222222,0.3333333333333333,0.3,0.3333333333333333,1.0,1.0,1.0,,1.0,1.0,101.40845070422534,18.7,9.7,16.3,9.7,0.1111111111111111,,,,0.1111111111111111,1.0,1.0,1.0,0.4444444444444444,0.4456611111111111,0.4222333333333333,0.3333333333333333,13.85,0.3,3.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.4444444444444444,0.25,0.25,0.3333333333333333,0.5,0.3333333333333333,0.5385,0.1,0.14285714285714285,0.6666666666666666,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1627674-1629482-1630442-203398,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Natasha Mack, Brittney Griner","Taurasi, Copper, Cunningham, Mack, Griner",100940-1627674-1629482-1630442-203398,PHO,115.0,1,2.0,2.0,3.0,3.0,,6,,,1.0,1.0,2.0,2.0,4.0,2.0,,,,4.0,,2.0,2.0,,1.0,4.0,,1.0,1.0,1.0,,,,,4.0,,,1.0,1.0,1.0,,0.6666666666666666,,0.6666666666666666,,1.0,,0.5,1.0,,,75.13043478260869,17.666666666666668,20.666666666666668,17.666666666666668,15.666666666666666,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.4585666666666666,,,10.5,,,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,25.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1627674-1629482-1630442-204333,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Natasha Mack, Natasha Cloud","Taurasi, Copper, Cunningham, Mack, Cloud",100940-1627674-1629482-1630442-204333,PHO,114.0,1,2.0,-4.0,3.0,4.0,3.0,7,,,,1.0,,1.0,2.0,6.0,,1.0,2.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,2.0,2.0,3.0,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,1.0,,,1.0,88.42105263157895,17.0,15.75,17.0,15.75,,,,,0.5,,,,0.5,0.514825,0.514825,1.0,7.8,1.0,,,,,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,2.0,,,,,0.5,,,,,,,,,,,0.5,,0.5,,,,,24.8,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1627674-1629482-1642298-203398,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Celeste Taylor, Brittney Griner","Taurasi, Copper, Cunningham, Taylor, Griner",100940-1627674-1629482-1642298-203398,PHO,115.0,1,2.0,4.0,4.0,3.0,3.0,7,1.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,4.0,4.0,,2.0,2.0,1.0,1.0,4.0,,,,,1.0,,,,6.0,4.0,3.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,,,,,,,87.65217391304347,14.5,19.0,14.5,19.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5800500000000001,0.5800500000000001,0.6666666666666666,2.95,0.75,,,,,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,2.0,1.0,,,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.25,0.3333333333333333,,24.1,,,,,,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1627674-1629482-203398-204333,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Brittney Griner, Natasha Cloud","Taurasi, Copper, Cunningham, Griner, Cloud",100940-1627674-1629482-203398-204333,PHO,1735.0,2,29.0,15.0,57.0,58.0,4.0,115,12.0,17.0,5.0,10.0,21.0,40.0,75.0,60.0,,1.0,7.0,32.0,10.0,16.0,22.0,9.0,4.0,50.0,10.0,11.0,23.0,31.0,9.0,,,3.0,68.0,7.0,4.0,0.7619047619047619,0.8421052631578947,0.525,,0.5833333333333334,0.75,0.646551724137931,0.875,0.7857142857142857,1.0,0.875,0.5,1.0,1.0,95.44668587896253,15.403508771929825,14.775862068965518,14.333333333333334,14.551724137931034,0.3148148148148148,0.7058823529411765,0.8,0.75,0.18518518518518517,0.5,0.5555555555555556,0.8,0.5740740740740741,0.5080527777777778,0.48025,0.09333333333333334,8.9075,0.07017543859649122,6.0,2.0,4.0,13.0,13.0,1.0,14.0,12.0,3.0,6.0,1.0,7.0,1.0,4.0,13.0,4.0,4.0,8.0,,5.0,4.0,1.0,7.0,,17.0,12.0,4.0,0.5,0.42857142857142855,0.5,0.25925925925925924,0.7142857142857143,0.21052631578947367,0.5714285714285714,0.3076923076923077,,0.5714285714285714,,0.24074074074074073,0.3076923076923077,0.36363636363636365,0.24074074074074073,0.2857142857142857,0.5,0.44628333333333337,0.07142857142857142,0.09523809523809523,0.09333333333333334,24.07857142857143,3.0,0.75,4.0,2.0,2.0,,,5.0,2.0,3.0,,,9.0,2.0,1.0,1.0,6.0,1.0,1.0,7.0,1.0,1.0,18.0,3.0,6.0,5.0,6.0,5.0,1.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,0.8571428571428571,0.5,1.0,0.5,0.125,0.11764705882352941,0.1,0.15384615384615385,1.0,0.6,0.2,0.8,1.0,0.6666666666666666,0.018518518518518517,1.0,1.0,1.0,0.46153846153846156,0.46153846153846156,0.8333333333333334,1.0,0.14285714285714285,1.0,0.46153846153846156,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1627674-1630114-203398-204333,1611661317,"Diana Taurasi, Kahleah Copper, Mikiah Herbert Harrigan, Brittney Griner, Natasha Cloud","Taurasi, Copper, Herbert Harrigan, Griner, Cloud",100940-1627674-1630114-203398-204333,PHO,121.0,1,2.0,8.0,4.0,4.0,,8,1.0,1.0,,,1.0,1.0,8.0,,,,,2.0,,1.0,3.0,1.0,,8.0,1.0,2.0,3.0,3.0,1.0,,,,8.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,95.20661157024794,11.0,19.25,11.0,19.25,0.25,1.0,1.0,1.0,,,,,1.0,0.598725,,,1.9,,,,,,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,0.25,,,,,,,23.166666666666668,,,,,,,,1.0,1.0,,,,,,2.0,2.0,,,,2.0,,,6.0,,,,2.0,,2.0,,,,1.0,,,,,,,,,,1.0,0.6666666666666666,,0.6666666666666666,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1627674-1630442-1642298-204333,1611661317,"Diana Taurasi, Kahleah Copper, Natasha Mack, Celeste Taylor, Natasha Cloud","Taurasi, Copper, Mack, Taylor, Cloud",100940-1627674-1630442-1642298-204333,PHO,9.0,1,,-2.0,1.0,1.0,1.0,2,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,320.0,3.0,6.0,3.0,6.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1628881-1629482-1630442-204333,1611661317,"Diana Taurasi, Monique Billings, Sophie Cunningham, Natasha Mack, Natasha Cloud","Taurasi, Billings, Cunningham, Mack, Cloud",100940-1628881-1629482-1630442-204333,PHO,198.0,1,3.0,,5.0,6.0,2.0,11,,,1.0,2.0,1.0,2.0,8.0,8.0,,,5.0,2.0,,1.0,2.0,,1.0,5.0,1.0,1.0,2.0,2.0,2.0,,,,8.0,5.0,2.0,1.0,1.0,0.5,,0.625,1.5,0.8,1.25,1.0,1.0,1.0,1.0,,1.0,80.0,21.0,15.5,21.0,15.5,,,,,0.5,0.5,0.5,1.0,0.5,0.4229,0.45465,0.625,8.3,0.4,,,,,,,2.0,3.0,,,,,1.0,,,,,,,,,,,,2.0,3.0,2.0,,,,0.5,,,,,,,,,,,,,,,0.4,0.6666666666666666,,23.1,,,2.0,,,,,1.0,,1.0,,,1.0,,1.0,2.0,,,,1.0,,1.0,3.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,0.5,1.0,0.5,,,,,,,,,,,0.5,0.5,0.5,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1611661317,2024,2024,True
100940-1628881-1629482-203398-204333,1611661317,"Diana Taurasi, Monique Billings, Sophie Cunningham, Brittney Griner, Natasha Cloud","Taurasi, Billings, Cunningham, Griner, Cloud",100940-1628881-1629482-203398-204333,PHO,232.0,1,4.0,-1.0,8.0,8.0,8.0,16,1.0,1.0,,,2.0,2.0,10.0,11.0,2.0,2.0,10.0,4.0,,2.0,3.0,1.0,,7.0,,,,,1.0,,,,10.0,10.0,8.0,1.0,1.0,1.0,1.0,0.875,0.875,0.7142857142857143,0.7142857142857143,,,,,,,99.3103448275862,16.375,12.625,16.375,12.625,0.25,1.0,1.0,1.0,,,,,0.75,0.543025,0.543025,1.0,9.4,1.0,,,1.0,1.0,1.0,1.0,2.0,3.0,,,,,2.0,,1.0,,,,,,,,1.0,1.0,4.0,6.0,2.0,,,,0.5,,,,,,,,0.25,1.0,1.0,0.25,,0.25,,0.3333333333333333,0.5,,23.35,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,,0.25,1.0,,,1.0,1.0,,,,1.0,,1.0,3.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,1.0,0.5,0.5,0.5,,,,,,,,,,,0.25,1.0,1.0,1.0,,,,,,,,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,1611661317,2024,2024,True
