EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,Corner3FGM,Corner3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceOffPoss,ShortMidRangeFGA,FG2A,OffTwoPtRebounds,OffRebounds,SelfOReb,DeadBallTurnovers,SecondChanceTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,Avg2ptShotDistance,AtRimFGA,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3A,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,LostBallSteals,LostBallTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,OffAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,AtRimFGM,FG2M,PtsUnassisted2s,DefThreePtRebounds,Fg2Pct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,Fg2aBlocked,TwoPtAssists,ShortMidRangeAssists,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,LongMidRangePctBlocked,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Transition Take Fouls,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,DefCorner3ReboundPct,SecondChancePointsPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3A,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,SecondChanceFtPoints,FTDefRebounds,Loose Ball Fouls,DefFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
1628244-1628927-1628931-1630115-204319,1611661328,"Sami Whitcomb, Victoria Vivians, Gabby Williams, Joyner Holmes, Jewell Loyd","Whitcomb, Vivians, Williams, Holmes, Loyd",1628244-1628927-1628931-1630115-204319,SEA,5.0,1,1,1,288.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628244-1630115-1641651-203014-203400,1611661328,"Sami Whitcomb, Joyner Holmes, Jordan Horston, Nneka Ogwumike, Skylar Diggins-Smith","Whitcomb, Holmes, Horston, Ogwumike, Diggins-Smith",1628244-1630115-1641651-203014-203400,SEA,92.0,1,3,6,93.91304347826086,20.333333333333332,20.333333333333332,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.5,1.25,1.0,1.0,1.0,1.0,1.0,10.333333333333334,10.333333333333334,1.0,1.0,1.0,1.0,1.0,0.5208,0.5,1.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628927-1628931-1641651-203400,1611661328,"Mercedes Russell, Victoria Vivians, Gabby Williams, Jordan Horston, Skylar Diggins-Smith","Russell, Vivians, Williams, Horston, Diggins-Smith",1628920-1628927-1628931-1641651-203400,SEA,40.0,1,1,2,72.0,16.0,16.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,24.0,13.0,,,,,,0.2206,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628931-1629496-1641651-203400,1611661328,"Mercedes Russell, Gabby Williams, Ezi Magbegor, Jordan Horston, Skylar Diggins-Smith","Russell, Williams, Magbegor, Horston, Diggins-Smith",1628920-1628931-1629496-1641651-203400,SEA,178.0,1,6,11,88.98876404494382,12.833333333333334,12.833333333333334,3.0,-4.0,5.0,,,1.0,3.0,,3.0,7.0,3.0,1.0,1.0,,3.0,2.0,2.0,4.0,1.0,,2.0,1.0,2.0,,,,3.0,1.0,0.3333333333333333,0.3333333333333333,0.3,0.3,0.6,1.0,1.0,1.0,1.0,20.2,16.8,,,,,0.8,0.50753,,,25.566666666666666,1.0,1.0,2.0,2.0,2.0,1.0,,,1.0,0.5,1.0,0.25,0.2,3.85,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,0.590775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628931-1629496-1641651-204319,1611661328,"Mercedes Russell, Gabby Williams, Ezi Magbegor, Jordan Horston, Jewell Loyd","Russell, Williams, Magbegor, Horston, Loyd",1628920-1628931-1629496-1641651-204319,SEA,91.0,1,4,8,126.5934065934066,11.75,11.25,2.0,-3.0,4.0,,,,,,2.0,5.0,,,,,,1.0,2.0,2.0,,,2.0,2.0,2.0,,,,2.0,,,,0.5,0.5,,1.0,1.0,1.0,1.0,11.0,11.0,,,,,0.5,0.4573,,,,,1.0,2.0,,,,,,,,,,0.5,5.7,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628931-1641651-203014-203400,1611661328,"Mercedes Russell, Gabby Williams, Jordan Horston, Nneka Ogwumike, Skylar Diggins-Smith","Russell, Williams, Horston, Ogwumike, Diggins-Smith",1628920-1628931-1641651-203014-203400,SEA,520.0,1,16,31,85.84615384615385,14.0625,13.5,9.0,3.0,15.0,1.0,1.0,2.0,2.0,3.0,23.0,20.0,3.0,1.0,3.0,,7.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,23.0,0.5,1.0,1.0,0.8333333333333334,0.8846153846153846,0.16666666666666666,0.6666666666666666,0.6,0.42857142857142855,0.5,19.666666666666668,19.666666666666668,0.08333333333333333,1.0,1.0,,0.16666666666666666,0.3729166666666666,0.15384615384615385,0.18181818181818182,24.75,,6.0,10.0,,,,1.0,,,,,,0.5,11.5,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,4.0,,,,,,,,,0.08333333333333333,1.0,1.0,1.0,,,1.0,,,7.0,10.0,,0.7,,,,,4.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,0.2857142857142857,0.2857142857142857,0.5,0.5,0.6666666666666666,0.1,0.25,1.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.75,1.0,0.31295,0.17391304347826086,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628931-1641651-203014-204319,1611661328,"Mercedes Russell, Gabby Williams, Jordan Horston, Nneka Ogwumike, Jewell Loyd","Russell, Williams, Horston, Ogwumike, Loyd",1628920-1628931-1641651-203014-204319,SEA,269.0,2,7,15,80.29739776951672,19.428571428571427,16.571428571428573,4.0,-2.0,8.0,,,,1.0,1.0,9.0,11.0,,,1.0,,2.0,2.0,3.0,5.0,,,1.0,,1.0,1.0,1.0,1.0,7.0,,,,0.4444444444444444,0.5,0.1111111111111111,1.0,0.5,0.6,0.5,16.625,15.375,,,,,0.1111111111111111,0.399,0.1111111111111111,0.125,24.2,2.0,8.0,8.0,2.0,2.0,,,,0.5,0.4,0.5,,0.8888888888888888,6.5375,,,,1.0,,2.0,,1.0,,,,1.0,1.0,2.0,2.0,,2.0,1.0,,,0.5,,0.1111111111111111,,,,,,,0.38655,,4.0,6.0,1.0,0.5,1.0,,,,,,4.0,,,,,,,2.0,,1.0,1.0,1.0,,,1.0,,,0.25,0.3333333333333333,,,,0.125,,,0.5,0.5714285714285714,0.25,,,,,,,1.0,2.0,2.0,1.0,2.0,0.5,0.5,0.5,0.125,1.0,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1628931-203014-203400-204319,1611661328,"Mercedes Russell, Gabby Williams, Nneka Ogwumike, Skylar Diggins-Smith, Jewell Loyd","Russell, Williams, Ogwumike, Diggins-Smith, Loyd",1628920-1628931-203014-203400-204319,SEA,1532.0,2,50,100,93.99477806788511,15.24,14.5,26.0,,50.0,,1.0,3.0,12.0,7.0,46.0,46.0,6.0,2.0,13.0,,28.0,15.0,22.0,31.0,5.0,4.0,3.0,3.0,5.0,5.0,8.0,3.0,40.0,0.6666666666666666,0.25,0.25,0.39,0.42592592592592593,0.24,0.6,0.75,0.7096774193548387,0.6923076923076923,15.4,14.3,0.02,,,,0.28,0.442629,0.05660377358490566,0.07317073170731707,25.708333333333332,7.0,33.0,38.0,6.0,9.0,2.0,2.0,,0.2608695652173913,0.25,0.2,0.06666666666666667,0.66,7.342105263157895,2.0,2.0,3.0,11.0,2.0,6.0,3.0,11.0,3.0,2.0,1.0,,3.0,6.0,5.0,1.0,5.0,4.0,1.0,0.8333333333333334,0.8,0.04,0.22,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2727272727272727,0.4897642857142857,1.0,15.0,8.0,7.0,0.39473684210526316,0.6363636363636364,0.625,0.5,0.5,7.0,,13.0,1.0,3.0,3.0,6.0,1.0,7.0,22.0,3.0,2.0,11.0,9.0,1.0,,,7.0,7.0,0.7333333333333333,0.7857142857142857,0.5,0.3,0.3181818181818182,0.05263157894736842,,1.0,0.3939393939393939,0.41935483870967744,0.6923076923076923,0.06,0.3333333333333333,0.3333333333333333,0.46904500000000005,0.15217391304347827,0.14,3.0,6.0,2.0,,4.0,0.5,0.3333333333333333,0.3333333333333333,0.06060606060606061,0.6666666666666666,0.13043478260869565,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.5,0.25,1.0,1.0,0.5,1.0,0.1111111111111111,0.2,0.5,0.1,0.3,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1629496-1641651-203400-204319,1611661328,"Mercedes Russell, Ezi Magbegor, Jordan Horston, Skylar Diggins-Smith, Jewell Loyd","Russell, Magbegor, Horston, Diggins-Smith, Loyd",1628920-1629496-1641651-203400-204319,SEA,41.0,1,1,2,70.2439024390244,27.0,27.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.5,0.5,,14.0,14.0,,,,,,0.3795,,,,,1.0,1.0,,,,,,,,,,1.0,5.8,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,True
1628920-1641651-203014-203400-204319,1611661328,"Mercedes Russell, Jordan Horston, Nneka Ogwumike, Skylar Diggins-Smith, Jewell Loyd","Russell, Horston, Ogwumike, Diggins-Smith, Loyd",1628920-1641651-203014-203400-204319,SEA,100.0,1,3,6,86.39999999999999,21.0,21.0,2.0,,3.0,,,,,,2.0,2.0,,,1.0,,2.0,2.0,2.0,2.0,,,,,1.0,,,,2.0,,,,0.5,0.5,,,1.0,1.0,1.0,12.333333333333334,12.333333333333334,,,,,,0.39155,,,,,2.0,2.0,,,,1.0,,,,,,1.0,9.15,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,1.0,,,,,,,2.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1611661328,2024,2024,True
