EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,TotalPoss,OpponentPoints,ShootingFouls,Fouls,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,ShortMidRangeFGA,FG2A,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,ShortMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PtsUnassisted2s,PtsPutbacks,LostBallSteals,Offensive Fouls,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimAccuracy,PtsUnassisted3s,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,ShortMidRangeAssists,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,HeaveAttempts,Travels,PenaltyTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyArc3Frequency,Defensive 3 Seconds Violations,PenaltyFtPoints,NonShootingFoulsDrawn,FTDefRebounds,LostBallOutOfBoundsTurnovers,DefFTReboundPct,SecondChanceFtPoints,OffThreePtRebounds,Charge Fouls,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceFg3Pct,PenaltyFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceArc3FGM,Charge Fouls Drawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Transition Take Fouls,Fg3aBlocked,Transition Take Fouls Drawn,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1627672-1628269-1628886-1630471-204323,1611661330,"Aerial Powers, Nia Coffey, Jordin Canada, Maya Caldwell, Cheyenne Parker-Tyus","Powers, Coffey, Canada, Caldwell, Parker-Tyus",1627672-1628269-1628886-1630471-204323,ATL,20.0,1,-2.0,1.0,1.0,2.0,1.0,1.0,72.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1627672-1628886-1630471-1631044-204323,1611661330,"Aerial Powers, Jordin Canada, Maya Caldwell, Naz Hillmon, Cheyenne Parker-Tyus","Powers, Canada, Caldwell, Hillmon, Parker-Tyus",1627672-1628886-1630471-1631044-204323,ATL,46.0,1,-2.0,1.0,2.0,2.0,,,62.60869565217391,20.0,20.0,1.0,1.0,1.0,1.0,26.0,26.0,1.0,0.304,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628277-1628886-1631044-1641650-202250,1611661330,"Allisha Gray, Jordin Canada, Naz Hillmon, Haley Jones, Tina Charles","Gray, Canada, Hillmon, Jones, Charles",1628277-1628886-1631044-1641650-202250,ATL,654.0,2,-2.0,22.0,43.0,22.0,3.0,5.0,94.6788990825688,14.909090909090908,13.863636363636363,11.0,21.0,3.0,16.0,15.523809523809524,14.619047619047619,0.15789473684210525,0.5128789473684211,7.175,1.0,4.0,5.0,3.0,9.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,6.0,2.0,3.0,2.0,20.0,1.0,2.0,2.0,12.0,6.0,2.0,1.0,3.0,6.0,2.0,8.0,1.0,1.0,3.0,3.0,18.0,5.0,5.0,4.0,9.0,5.0,14.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,6.0,3.0,5.0,1.0,4.0,2.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.375,0.5,0.47368421052631576,0.5,0.47619047619047616,0.5,0.15789473684210525,0.1875,0.2222222222222222,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.5,1.0,0.75,0.5,0.5,0.6666666666666666,1.0,0.4,1.0,1.0,1.0,0.14285714285714285,0.47368421052631576,0.3333333333333333,0.42857142857142855,1.0,0.21052631578947367,0.75,0.75,1.0,0.05263157894736842,1.0,1.0,1.0,0.10526315789473684,0.5,0.5,1.0,0.5,0.631578947368421,0.5,0.50245,0.09523809523809523,0.1111111111111111,0.1,23.96666666666667,0.047619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1628277-1641656-202250-204323,1611661330,"Nia Coffey, Allisha Gray, Laeticia Amihere, Tina Charles, Cheyenne Parker-Tyus","Coffey, Gray, Amihere, Charles, Parker-Tyus",1628269-1628277-1641656-202250-204323,ATL,5.0,1,,1.0,1.0,,,,288.0,5.0,5.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1628277-1628886-1641650-204323,1611661330,"Nia Coffey, Allisha Gray, Jordin Canada, Haley Jones, Cheyenne Parker-Tyus","Coffey, Gray, Canada, Jones, Parker-Tyus",1628269-1628277-1628886-1641650-204323,ATL,33.0,1,2.0,1.0,2.0,,,,87.27272727272727,9.0,9.0,1.0,1.0,,1.0,24.0,24.0,,0.3239,17.3,,,,,,,1.0,1.0,,,,,1.0,,,,2.0,,,,2.0,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1627672-1630101-1631009-202250-204323,1611661330,"Aerial Powers, Crystal Dangerfield, Rhyne Howard, Tina Charles, Cheyenne Parker-Tyus","Powers, Dangerfield, Howard, Charles, Parker-Tyus",1627672-1630101-1631009-202250-204323,ATL,459.0,2,9.0,14.0,29.0,11.0,3.0,7.0,90.98039215686273,18.642857142857142,17.857142857142858,8.0,15.0,2.0,8.0,13.2,12.866666666666667,0.16666666666666666,0.5508041666666667,6.3875,,1.0,2.0,5.0,5.0,1.0,1.0,1.0,,,2.0,4.0,6.0,2.0,4.0,2.0,20.0,2.0,2.0,4.0,6.0,6.0,4.0,2.0,,3.0,2.0,5.0,2.0,,3.0,,12.0,2.0,2.0,5.0,7.0,2.0,9.0,1.0,2.0,1.0,3.0,,3.0,1.0,,4.0,,1.0,,2.0,1.0,2.0,1.0,2.0,16.0,,,0.5,0.6,1.0,0.5,0.5,0.75,1.0,0.75,1.0,0.7692307692307693,1.0,0.3333333333333333,,,,0.75,0.7142857142857143,1.0,1.0,0.7777777777777778,0.5,,1.0,1.0,0.5,1.0,1.0,,0.25,0.4166666666666667,1.0,1.0,0.6,0.08333333333333333,1.0,1.0,,,,,,0.3333333333333333,0.5,0.5,1.0,0.5,0.75,0.5,0.4893,0.07692307692307693,0.1111111111111111,0.2,24.5,,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1628277-1631044-1641650-204323,1611661330,"Nia Coffey, Allisha Gray, Naz Hillmon, Haley Jones, Cheyenne Parker-Tyus","Coffey, Gray, Hillmon, Jones, Parker-Tyus",1628269-1628277-1631044-1641650-204323,ATL,32.0,1,-1.0,2.0,3.0,1.0,1.0,1.0,135.0,6.0,6.0,1.0,1.0,,1.0,20.0,20.0,,0.5754,2.3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628277-1631009-1641650-1641656-202250,1611661330,"Allisha Gray, Rhyne Howard, Haley Jones, Laeticia Amihere, Tina Charles","Gray, Howard, Jones, Amihere, Charles",1628277-1631009-1641650-1641656-202250,ATL,53.0,1,-2.0,3.0,6.0,4.0,1.0,1.0,163.0188679245283,10.666666666666666,10.666666666666666,1.0,3.0,,1.0,7.0,7.0,,0.646,2.5,,3.0,,1.0,1.0,,,,,,,,1.0,,,,2.0,,,,2.0,,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,,2.0,,1.0,,1.0,2.0,,,,,,,,,2.0,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1628269-1628886-1630471-1631044-204323,1611661330,"Nia Coffey, Jordin Canada, Maya Caldwell, Naz Hillmon, Cheyenne Parker-Tyus","Coffey, Canada, Caldwell, Hillmon, Parker-Tyus",1628269-1628886-1630471-1631044-204323,ATL,66.0,1,5.0,2.0,4.0,,,,87.27272727272727,25.0,25.0,1.0,2.0,,1.0,8.0,8.0,,0.702975,1.1,,2.0,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,5.0,,,,,,1.0,1.0,1.0,,1.25,,1.25,,0.5,,,,,1.0,,,1.0,,,,,1.0,,,,,0.5,1.0,1.0,,,,,,0.5,1.0,1.0,,,,,,,1.0,,,,,,23.5,,,2.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
1627672-1628269-1630101-1631044-204323,1611661330,"Aerial Powers, Nia Coffey, Crystal Dangerfield, Naz Hillmon, Cheyenne Parker-Tyus","Powers, Coffey, Dangerfield, Hillmon, Parker-Tyus",1627672-1628269-1630101-1631044-204323,ATL,259.0,3,-4.0,8.0,17.0,12.0,,2.0,94.51737451737452,14.25,14.25,4.0,9.0,3.0,8.0,16.11111111111111,14.222222222222221,0.375,0.41905,9.3,4.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,,,,,3.0,,,2.0,8.0,1.0,2.0,2.0,4.0,,,,2.0,2.0,,2.0,,,1.0,,4.0,2.0,,1.0,1.0,2.0,3.0,,,,,,,1.0,,1.0,1.0,2.0,,4.0,2.0,,,,6.0,4.0,,0.6666666666666666,0.6666666666666666,,,,0.375,0.5,0.375,0.5,0.4,0.5,,0.25,0.3333333333333333,0.3333333333333333,,1.0,0.4,,0.5,0.4,0.5,0.5,,,1.0,,,,0.375,0.3333333333333333,0.5,1.0,0.25,0.5,0.5,,,,,,,,,,0.5,0.375,,0.47185,0.2,0.2,0.25,,0.4444444444444444,1.0,2.0,,,,,,,1.0,,1.0,2.0,1.0,3.0,5.0,6.0,1.0,1.0,6.0,0.6,0.6,0.6,0.3333333333333333,0.5,1.0,1.0,0.4,0.5,0.46146000000000004,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2024,2024,False
