EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Corner3FGA,LongMidRangeFrequency,Corner3Frequency,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,Steals,BadPassSteals,BadPassTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGA,PenaltyFG3A,OffThreePtRebounds,NonShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3Frequency,ShortMidRangeFGM,LongMidRangeFGM,PenaltyArc3FGM,PenaltyFG3M,LostBallSteals,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3Accuracy,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PtsUnassisted3s,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,AtRimPctBlocked,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,3SecondViolations,PenaltyCorner3Accuracy,HeaveAttempts,Fg3aBlocked,Charge Fouls,FG3APctBlocked,Corner3PctBlocked,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Transition Take Fouls,Technical Free Throw Trips,BlockedLongMidRange,Blocked3s,BlockedArc3,Charge Fouls Drawn,Transition Take Fouls Drawn,LongMidRangePctBlocked,Arc3PctBlocked,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1629479-1629480-1629481-1630149-1642244,1611661321,"Teaira McCowan, Kalani Brown, Arike Ogunbowale, Satou Sabally, Sevgi Uzun","McCowan, Brown, Ogunbowale, Sabally, Uzun",1629479-1629480-1629481-1630149-1642244,DAL,236.0,1,4.0,3.0,6.0,7.0,5.0,5.0,2.0,13.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,7.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,3.0,3.0,6.0,5.0,0.5,1.0,0.5,1.0,0.5,0.4,1.0,0.5,0.4375,1.0,0.5,0.2,0.25,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,79.3220338983051,18.666666666666668,17.714285714285715,18.5,17.714285714285715,0.4,1.0,1.0,0.5,0.4,0.2,1.0,1.0,0.5,1.0,0.6,0.56133,0.7859,0.571875,0.375,0.42857142857142855,0.5714285714285714,0.8571428571428571,3.4,23.9,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1629480-1630149-1641661-1642244-203827,1611661321,"Kalani Brown, Satou Sabally, Lou Lopez Sénéchal, Sevgi Uzun, Natasha Howard","Brown, Sabally, Lopez Sénéchal, Uzun, Howard",1629480-1630149-1641661-1642244-203827,DAL,,1,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1629479-1641654-1642240-1642244-203827,1611661321,"Teaira McCowan, Stephanie Soares, Jaelyn Brown, Sevgi Uzun, Natasha Howard","McCowan, Soares, Brown, Uzun, Howard",1629479-1641654-1642240-1642244-203827,DAL,6.0,1,,-1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1629480-1629481-1641661-1642244-203827,1611661321,"Kalani Brown, Arike Ogunbowale, Lou Lopez Sénéchal, Sevgi Uzun, Natasha Howard","Brown, Ogunbowale, Lopez Sénéchal, Uzun, Howard",1629480-1629481-1641661-1642244-203827,DAL,145.0,2,2.0,-8.0,6.0,4.0,,4.0,1.0,10.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,2.0,2.0,4.0,12.0,1.0,1.0,,2.0,,,,,,2.0,2.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,,,,,0.3333333333333333,1.0,,0.2,1.0,,0.3333333333333333,1.0,,0.4,,,,,,0.5,,,0.25,1.0,,,,,99.3103448275862,17.333333333333332,10.25,17.166666666666668,10.25,0.2,1.0,1.0,,0.2,0.2,1.0,1.0,,,0.6,0.45187,0.6794,,0.16666666666666666,0.25,0.5,,9.466666666666667,24.15,,1.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1629480-1629481-1641661-203824-203827,1611661321,"Kalani Brown, Arike Ogunbowale, Lou Lopez Sénéchal, Odyssey Sims, Natasha Howard","Brown, Ogunbowale, Lopez Sénéchal, Sims, Howard",1629480-1629481-1641661-203824-203827,DAL,47.0,1,1.0,-2.0,2.0,1.0,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.91489361702128,21.5,4.0,21.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1628881-1629479-1641654-1642244-1642292,1611661321,"Monique Billings, Teaira McCowan, Stephanie Soares, Sevgi Uzun, Jacy Sheldon","Billings, McCowan, Soares, Uzun, Sheldon",1628881-1629479-1641654-1642244-1642292,DAL,18.0,1,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,160.0,6.0,12.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1629479-1629481-1641654-203824-203827,1611661321,"Teaira McCowan, Arike Ogunbowale, Stephanie Soares, Odyssey Sims, Natasha Howard","McCowan, Ogunbowale, Soares, Sims, Howard",1629479-1629481-1641654-203824-203827,DAL,171.0,1,3.0,2.0,6.0,6.0,,,1.0,12.0,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,2.0,10.0,8.0,,,,3.0,,,,,2.0,,,1.0,,1.0,3.0,1.0,8.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,,,,2.0,2.0,1.0,7.0,,,1.0,1.0,0.5,,,1.0,1.5,,1.0,1.5,,0.5,,,,,1.0,1.0,,1.0,1.0,,,,,,101.05263157894737,12.5,16.0,11.666666666666666,16.0,0.25,1.0,1.0,1.0,,0.25,,,,,0.75,0.5551625,0.67095,,0.2,0.3333333333333333,0.3,,11.1,25.0,,1.0,1.0,0.25,0.25,1.0,,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1629481-1641652-1641661-1642240-203827,1611661321,"Arike Ogunbowale, Maddy Siegrist, Lou Lopez Sénéchal, Jaelyn Brown, Natasha Howard","Ogunbowale, Siegrist, Lopez Sénéchal, Brown, Howard",1629481-1641652-1641661-1642240-203827,DAL,25.0,1,,-2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,1.0,,,1.0,,,,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,115.19999999999999,4.0,21.0,4.0,21.0,,,,,1.0,,,,,,,0.2439,,0.2439,,,,,12.3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1629479-1629481-1641652-1641661-203827,1611661321,"Teaira McCowan, Arike Ogunbowale, Maddy Siegrist, Lou Lopez Sénéchal, Natasha Howard","McCowan, Ogunbowale, Siegrist, Lopez Sénéchal, Howard",1629479-1629481-1641652-1641661-203827,DAL,164.0,1,3.0,1.0,6.0,6.0,4.0,,1.0,12.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,4.0,1.0,3.0,7.0,6.0,,,2.0,2.0,1.0,2.0,2.0,4.0,4.0,,,1.0,,2.0,2.0,2.0,4.0,1.0,,,2.0,,2.0,2.0,4.0,,,2.0,2.0,,,2.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,0.5,,0.5,0.4,,0.3333333333333333,0.5,1.0,0.5,0.2,,,,,1.0,0.5,,1.0,0.6666666666666666,,1.0,1.0,,,105.36585365853658,15.5,11.833333333333334,14.5,11.833333333333334,0.4,1.0,1.0,1.0,,0.2,,,0.3333333333333333,1.0,0.6,0.49566999999999994,,0.4524166666666667,0.16666666666666666,0.2,0.2857142857142857,0.5714285714285714,11.525,25.0,0.6666666666666666,2.0,,0.4,,2.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
1628881-1629479-1629481-1641661-203824,1611661321,"Monique Billings, Teaira McCowan, Arike Ogunbowale, Lou Lopez Sénéchal, Odyssey Sims","Billings, McCowan, Ogunbowale, Lopez Sénéchal, Sims",1628881-1629479-1629481-1641661-203824,DAL,350.0,2,6.0,4.0,11.0,11.0,4.0,6.0,,22.0,1.0,2.0,,,1.0,1.0,3.0,1.0,5.0,6.0,1.0,3.0,16.0,12.0,,,,,2.0,2.0,1.0,8.0,,10.0,,1.0,,,1.0,,3.0,,,2.0,,1.0,3.0,,3.0,,2.0,2.0,,3.0,5.0,3.0,4.0,1.0,16.0,8.0,4.0,,,0.8333333333333334,,1.0,0.9285714285714286,,1.1666666666666667,0.8888888888888888,,1.0,0.14285714285714285,,,1.0,,,,0.6666666666666666,0.2857142857142857,,,,,0.6666666666666666,,90.51428571428572,12.272727272727273,19.545454545454547,12.272727272727273,18.181818181818183,0.2857142857142857,0.5,0.5,,0.42857142857142855,0.14285714285714285,,,0.3333333333333333,1.0,0.42857142857142855,0.5183071428571429,,0.5734166666666667,0.125,0.14285714285714285,,0.5,8.933333333333334,25.5,0.36363636363636365,1.0,,0.14285714285714285,,,,,,,,1.0,1.0,,,3.0,1.0,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,0.3333333333333333,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661321,2024,2024,False
