EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,LongMidRangeFGM,FG2M,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg2Pct,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Transition Take Fouls,BlockedAtRim,DefensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,PenaltyArc3FGM,PenaltyFG3M,SecondChanceTurnovers,Blocked3s,BlockedCorner3,PenaltyFg3Pct,AtRimPctBlocked,PenaltyArc3Accuracy,Travels,3SecondViolations,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedLongMidRange,Charge Fouls Drawn,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Transition Take Fouls Drawn,Clear Path Fouls,team_id,year,season,team_vs
1629574-1630101-1630996-1641660-204324,1611661320,"Li Yueru, Crystal Dangerfield, Rae Burrell, Zia Cooke, Dearica Hamby","Yueru, Dangerfield, Burrell, Cooke, Hamby",1629574-1630101-1630996-1641660-204324,LAS,227.0,2,4.0,-4.0,8.0,7.0,2.0,2.0,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,9.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,0.5,0.5,0.5,0.625,0.6666666666666666,0.25,1.0,1.0,1.0,1.0,95.15418502202644,1.0,15.25,15.0,15.25,15.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.41853333333333337,0.3022,0.25,0.5,20.4,24.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1628915-1629574-1642288-203406-204324,1611661320,"Kia Nurse, Li Yueru, Rickea Jackson, Layshia Clarendon, Dearica Hamby","Nurse, Yueru, Jackson, Clarendon, Hamby",1628915-1629574-1642288-203406-204324,LAS,334.0,4,6.0,5.0,12.0,10.0,,,22,2.0,1.0,1.0,2.0,4.0,1.0,3.0,,11.0,6.0,,,2.0,1.0,2.0,6.0,6.0,1.0,1.0,3.0,,4.0,,,3.0,1.0,,,1.0,1.0,1.0,1.0,11.0,,0.3333333333333333,0.3333333333333333,0.7857142857142857,0.7857142857142857,0.42857142857142855,0.25,1.0,0.8571428571428571,1.0,1.0,94.8502994011976,1.0,12.416666666666666,18.5,12.416666666666666,18.5,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.5,0.5,0.7142857142857143,0.5,0.5470428571428572,,,,8.875,24.099999999999998,,2.0,2.0,2.0,4.0,6.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,4.0,2.0,1.0,0.75,0.75,1.0,1.0,0.8,0.75,1.0,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1628915-1630462-1642288-203855-204324,1611661320,"Kia Nurse, Aari McDonald, Rickea Jackson, Stephanie Talbot, Dearica Hamby","Nurse, McDonald, Jackson, Talbot, Hamby",1628915-1630462-1642288-203855-204324,LAS,3476.0,10,58.0,25.0,114.0,111.0,16.0,15.0,225,11.0,4.0,14.0,27.0,63.0,15.0,31.0,20.0,141.0,116.0,12.0,6.0,27.0,14.0,18.0,40.0,53.0,13.0,8.0,10.0,,23.0,3.0,12.0,26.0,28.0,26.0,12.0,2.0,2.0,2.0,2.0,123.0,16.0,0.4838709677419355,0.4838709677419355,0.6436170212765957,0.6714285714285714,0.32978723404255317,0.5652173913043478,0.782608695652174,0.7450980392156863,0.6666666666666666,0.7272727272727273,93.21058688147296,1.0,14.403508771929825,16.52252252252252,13.780701754385966,15.945945945945946,0.11702127659574468,0.0425531914893617,0.2872340425531915,0.5185185185185185,0.5185185185185185,0.5957446808510638,0.5185185185185185,0.5053132978723405,0.49001,0.125,0.16666666666666666,6.852380952380952,24.961290322580645,0.14035087719298245,21.0,25.0,3.0,38.0,46.0,30.0,39.0,23.0,13.0,36.0,12.0,13.0,,85.0,20.0,2.0,3.0,0.6052631578947368,0.6571428571428571,0.8666666666666667,0.6031746031746031,0.7142857142857143,0.68,1.0,0.26595744680851063,0.84,0.84,0.6190476190476191,0.2727272727272727,0.2727272727272727,,0.8571428571428571,10.0,4.0,5.0,4.0,4.0,14.0,27.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,8.0,2.0,3.0,2.0,18.0,9.0,3.0,2.0,20.0,6.0,1.0,1.0,10.0,4.0,8.0,1.0,2.0,13.0,5.0,13.0,7.0,6.0,2.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,20.0,1.0,1.0,0.6666666666666666,0.625,0.75,0.7272727272727273,0.6,0.6923076923076923,0.625,0.015873015873015872,0.037037037037037035,1.0,0.5,0.32,0.26666666666666666,0.3,0.5,0.38461538461538464,0.125,0.25,0.3333333333333333,1.0,0.1282051282051282,0.2872340425531915,0.5185185185185185,0.5384615384615384,0.7142857142857143,0.25,0.25,1.0,0.45454545454545453,0.8,0.25,0.09090909090909091,0.18181818181818182,1.0,1.0,0.26666666666666666,1.0,0.06666666666666667,0.13333333333333333,0.5043,0.03125,0.1276595744680851,0.14184397163120568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1628915-1628922-1630101-1641660-204324,1611661320,"Kia Nurse, Azurá Stevens, Crystal Dangerfield, Zia Cooke, Dearica Hamby","Nurse, Stevens, Dangerfield, Cooke, Hamby",1628915-1628922-1630101-1641660-204324,LAS,61.0,1,1.0,5.0,2.0,2.0,,,4,,,1.0,1.0,,1.0,1.0,2.0,5.0,,,,1.0,1.0,,2.0,2.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,5.0,,1.0,1.0,1.5,1.25,1.0,,,0.5,,,94.42622950819673,,9.5,21.0,9.5,21.0,,,1.0,1.0,1.0,1.0,1.0,0.507,,0.5,1.0,,31.1,,,,,,,,3.0,,1.0,1.0,1.0,,,3.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1628915-1629574-1641660-203406-204324,1611661320,"Kia Nurse, Li Yueru, Zia Cooke, Layshia Clarendon, Dearica Hamby","Nurse, Yueru, Cooke, Clarendon, Hamby",1628915-1629574-1641660-203406-204324,LAS,50.0,1,1.0,2.0,1.0,1.0,,,2,,,,,1.0,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,1.0,1.0,,1.0,57.599999999999994,,27.0,23.0,27.0,23.0,,,,,,1.0,,0.5741,,,,1.8,,,1.0,1.0,,1.0,2.0,,,1.0,,1.0,,1.0,,2.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1628915-1641660-1642288-203855-204324,1611661320,"Kia Nurse, Zia Cooke, Rickea Jackson, Stephanie Talbot, Dearica Hamby","Nurse, Cooke, Jackson, Talbot, Hamby",1628915-1641660-1642288-203855-204324,LAS,479.0,2,8.0,-10.0,16.0,16.0,1.0,7.0,32,3.0,,1.0,2.0,11.0,1.0,2.0,1.0,8.0,18.0,1.0,,2.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,,4.0,,1.0,7.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,8.0,1.0,0.5,0.5,0.2692307692307692,0.3076923076923077,0.15384615384615385,0.5,0.2,0.2857142857142857,,0.5,96.20041753653445,0.3333333333333333,16.4375,13.5,15.6875,12.6875,0.23076923076923078,,0.15384615384615385,0.5,0.5,0.3076923076923077,0.5,0.4691846153846154,0.4274,0.07692307692307693,0.09090909090909091,9.945454545454545,26.45,0.0625,1.0,2.0,,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,,5.0,1.0,,2.0,0.5,0.5,1.0,0.18181818181818182,0.5,0.5,,0.15384615384615385,0.5,0.5,,,,,1.0,1.0,,,,,1.0,6.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,3.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,0.1111111111111111,,0.1,,0.2,,,,,,0.46153846153846156,0.16666666666666666,0.16666666666666666,1.0,,,,,,,,,,,,,,,0.3877,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1630462-1630996-203406-203855-204324,1611661320,"Aari McDonald, Rae Burrell, Layshia Clarendon, Stephanie Talbot, Dearica Hamby","McDonald, Burrell, Clarendon, Talbot, Hamby",1630462-1630996-203406-203855-204324,LAS,63.0,1,1.0,,3.0,2.0,1.0,1.0,5,,,,,2.0,,,1.0,3.0,3.0,,,,,,1.0,2.0,,,1.0,,1.0,,,1.0,1.0,2.0,,,,,,1.0,,,,0.5,0.5,,,,0.5,,,114.28571428571428,,8.666666666666666,18.5,7.666666666666667,18.0,,,,,,0.5,,0.5254,,,,7.8,,0.3333333333333333,1.0,1.0,,1.0,2.0,,,1.0,,1.0,,1.0,,2.0,1.0,,,1.0,1.0,,0.5,0.5,0.5,,0.5,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,1.0,0.5,,,,,1.0,,1.0,,1.0,,,,,,0.5,,,,,,,1.0,1.0,1.0,,,,,,,,,0.6524,,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1628922-1629574-1630101-1641660-203855,1611661320,"Azurá Stevens, Li Yueru, Crystal Dangerfield, Zia Cooke, Stephanie Talbot","Stevens, Yueru, Dangerfield, Cooke, Talbot",1628922-1629574-1630101-1641660-203855,LAS,48.0,1,1.0,1.0,,1.0,,,1,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,0.25,1.0,,,,,,30.0,,,21.0,,21.0,,,1.0,,,1.0,,0.5889,,0.5,1.0,,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1630462-1630996-1641660-1642288-204324,1611661320,"Aari McDonald, Rae Burrell, Zia Cooke, Rickea Jackson, Dearica Hamby","McDonald, Burrell, Cooke, Jackson, Hamby",1630462-1630996-1641660-1642288-204324,LAS,465.0,3,8.0,10.0,16.0,14.0,3.0,4.0,30,,2.0,2.0,6.0,8.0,2.0,8.0,5.0,19.0,9.0,,3.0,6.0,2.0,4.0,9.0,14.0,1.0,1.0,1.0,,2.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,2.0,16.0,3.0,0.25,0.25,0.4375,0.5277777777777778,0.5,0.5,0.8,0.8181818181818182,1.0,0.5,92.90322580645162,0.6666666666666666,14.75,16.357142857142858,13.0625,15.571428571428571,,0.125,0.375,0.3333333333333333,0.3333333333333333,0.875,0.3333333333333333,0.5547625,,0.16666666666666666,0.3,3.525,23.975,0.1875,4.0,6.0,,4.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,,7.0,5.0,,1.0,0.5,0.6666666666666666,0.5,0.5,0.8333333333333334,0.8333333333333334,,0.375,0.6666666666666666,0.6666666666666666,0.5,,,,0.5,2.0,1.0,2.0,,,,2.0,,2.0,,,,,1.0,3.0,,2.0,1.0,3.0,,,,,2.0,,,,3.0,2.0,,,5.0,,,,,,,,1.0,,,1.0,,,,1.0,,,0.3333333333333333,,0.2,,0.3,,,,,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,,,0.125,,,,,,,0.4,0.5,,0.4,,,,,,,,0.5128666666666667,,0.15789473684210525,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
1628915-1629574-1630462-1642288-203406,1611661320,"Kia Nurse, Li Yueru, Aari McDonald, Rickea Jackson, Layshia Clarendon","Nurse, Yueru, McDonald, Jackson, Clarendon",1628915-1629574-1630462-1642288-203406,LAS,32.0,1,1.0,,1.0,2.0,,,3,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,135.0,,9.0,11.5,9.0,11.5,,,1.0,,,1.0,,0.6024,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2024,2024,True
