EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PtsAssisted2s,TwoPtAssists,AtRimAssists,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyDefPoss,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2A,PtsPutbacks,LongMidRangeAssists,SecondChanceFg2Pct,SecondChanceEfgPct,DefAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Corner3FGM,Corner3FGA,Corner3Assists,ShortMidRangeAssists,ShootingFouls,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG3M,OffTwoPtRebounds,DeadBallTurnovers,SecondChanceTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,PenaltyArc3Accuracy,Steals,BadPassSteals,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,SecondChanceShotQualityAvg,Fg2aBlocked,SelfOReb,LostBallTurnovers,2pt And 1 Free Throw Trips,FG2APctBlocked,ShortMidRangePctBlocked,SelfORebPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,AtRimPctBlocked,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LostBallSteals,Offensive Fouls Drawn,DefLongMidRangeReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,Charge Fouls,Technical Free Throw Trips,SecondChanceArc3Frequency,Fg3aBlocked,Travels,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,OffAtRimReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,LostBallOutOfBoundsTurnovers,3SecondViolations,Transition Take Fouls,BlockedLongMidRange,SecondChanceAtRimPctAssisted,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Arc3PctBlocked,LongMidRangePctBlocked,Charge Fouls Drawn,Transition Take Fouls Drawn,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
100940-1629482-1630134-204296-204333,1611661317,"Diana Taurasi, Sophie Cunningham, Sug Sutton, Rebecca Allen, Natasha Cloud","Taurasi, Cunningham, Sutton, Allen, Cloud",100940-1629482-1630134-204296-204333,PHO,155.0,1,3.0,4.0,5.0,3.0,2.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,0.5,0.5,1.0,0.8333333333333334,0.875,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,74.32258064516128,18.2,21.333333333333332,18.2,18.333333333333332,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,0.6666666666666666,0.5,0.3866,0.4065,0.25,0.5,0.2857142857142857,0.2857142857142857,7.2,25.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
1627674-1630442-1631056-203398-204333,1611661317,"Kahleah Copper, Natasha Mack, Amy Atwell, Brittney Griner, Natasha Cloud","Copper, Mack, Atwell, Griner, Cloud",1627674-1630442-1631056-203398-204333,PHO,27.0,1,,2.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,53.33333333333333,7.0,,7.0,,,,,,,,,,1.0,,0.6127,,,,,,2.5,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
1629482-1630114-1641700-204296-204333,1611661317,"Sophie Cunningham, Mikiah Herbert Harrigan, Liz Dixon, Rebecca Allen, Natasha Cloud","Cunningham, Herbert Harrigan, Dixon, Allen, Cloud",1629482-1630114-1641700-204296-204333,PHO,11.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
1627674-1629482-1630134-1630442-203398,1611661317,"Kahleah Copper, Sophie Cunningham, Sug Sutton, Natasha Mack, Brittney Griner","Copper, Cunningham, Sutton, Mack, Griner",1627674-1629482-1630134-1630442-203398,PHO,194.0,2,3.0,4.0,6.0,5.0,1.0,1.0,11.0,1.0,2.0,,1.0,,4.0,5.0,,1.0,,8.0,4.0,,2.0,,,,6.0,,1.0,,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,6.0,,1.0,,,,0.8,0.6666666666666666,0.6666666666666666,1.0,,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,81.64948453608247,14.166666666666666,21.8,14.166666666666666,21.8,0.3333333333333333,0.5,0.5,0.16666666666666666,,,,,0.5,,0.499725,0.4344,,,0.25,,6.82,23.5,0.16666666666666666,2.0,2.0,2.0,1.0,,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
100940-1627674-1642298-203398-204296,1611661317,"Diana Taurasi, Kahleah Copper, Celeste Taylor, Brittney Griner, Rebecca Allen","Taurasi, Copper, Taylor, Griner, Allen",100940-1627674-1642298-203398-204296,PHO,58.0,1,1.0,1.0,2.0,1.0,,,3.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,5.0,4.0,,,,,,,3.0,,,1.0,2.0,,5.0,,,,,,,,,,,,,,,5.0,,,1.0,1.0,1.0,1.0,1.25,1.25,,,0.5,,,,,,,,,,74.48275862068965,12.0,34.0,12.0,33.0,0.5,1.0,1.0,,,,,,0.5,,0.520875,,,,,,4.0,23.5,,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
1629482-1630134-1630442-203398-204333,1611661317,"Sophie Cunningham, Sug Sutton, Natasha Mack, Brittney Griner, Natasha Cloud","Cunningham, Sutton, Mack, Griner, Cloud",1629482-1630134-1630442-203398-204333,PHO,171.0,2,3.0,-3.0,7.0,6.0,7.0,1.0,13.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,,7.0,10.0,,,2.0,,7.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,,,1.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,,,7.0,7.0,7.0,1.0,0.5,0.5,0.4,0.5,0.5,,0.5,0.2857142857142857,,1.0,,,1.0,0.25,,1.0,,109.47368421052632,15.428571428571429,10.5,14.571428571428571,10.5,0.7142857142857143,0.4,0.4,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,0.5,0.41075,0.41075,,,,1.0,7.640000000000001,24.8,1.0,,,2.0,1.0,,4.0,0.5,0.5,,,,,6.0,1.0,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.4,0.5,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
1630114-1630442-1641700-1642294-204333,1611661317,"Mikiah Herbert Harrigan, Natasha Mack, Liz Dixon, Charisma Osborne, Natasha Cloud","Herbert Harrigan, Mack, Dixon, Osborne, Cloud",1630114-1630442-1641700-1642294-204333,PHO,189.0,1,3.0,-4.0,7.0,6.0,6.0,1.0,13.0,,1.0,,1.0,1.0,,3.0,,1.0,2.0,2.0,6.0,,,1.0,2.0,2.0,,,1.0,,,,,,,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,,2.0,,2.0,2.0,6.0,,,,,,0.2,,0.2,0.25,1.0,0.5,1.0,,0.6666666666666666,0.3333333333333333,,0.5,1.0,99.04761904761905,16.857142857142858,11.833333333333334,15.714285714285714,11.833333333333334,0.25,,,0.25,,,,0.25,0.25,,0.333325,0.333325,,,,1.0,14.9,23.6,0.8571428571428571,,,,,,2.0,,,,,,,6.0,,,,,,2.0,,1.0,3.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,0.5,,,1.0,1.0,1.0,1.0,1.0,0.5,0.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
1627674-1630134-1630442-204296-204333,1611661317,"Kahleah Copper, Sug Sutton, Natasha Mack, Rebecca Allen, Natasha Cloud","Copper, Sutton, Mack, Allen, Cloud",1627674-1630134-1630442-204296-204333,PHO,208.0,2,3.0,12.0,7.0,6.0,,2.0,13.0,1.0,3.0,1.0,2.0,,2.0,5.0,2.0,3.0,4.0,14.0,2.0,1.0,1.0,,,,,6.0,2.0,1.0,2.0,4.0,1.0,10.0,1.0,2.0,3.0,5.0,3.0,8.0,1.0,,1.0,,3.0,,4.0,2.0,13.0,,,1.0,0.6666666666666666,0.6666666666666666,0.4,0.625,0.7,0.25,,0.375,1.0,0.75,1.0,1.0,0.8333333333333334,0.75,1.0,1.0,1.0,90.0,14.428571428571429,17.833333333333332,12.857142857142858,17.333333333333332,0.375,0.3333333333333333,0.5,0.25,0.5,0.5,1.0,,0.375,0.5,0.45995,,0.2222222222222222,0.3333333333333333,0.07142857142857142,,10.440000000000001,24.46666666666667,,,,4.0,2.0,,1.0,1.0,1.0,,,,,2.0,,,,,1.0,2.0,,1.0,,,1.0,,,1.0,,0.25,0.5,0.5,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,,,,2.0,,1.0,,,,,,0.6666666666666666,0.5,,,,,1.0,,1.0,0.2636,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
1628881-1629482-1642298-203398-204333,1611661317,"Monique Billings, Sophie Cunningham, Celeste Taylor, Brittney Griner, Natasha Cloud","Billings, Cunningham, Taylor, Griner, Cloud",1628881-1629482-1642298-203398-204333,PHO,254.0,2,4.0,-10.0,7.0,10.0,2.0,,17.0,1.0,2.0,,2.0,,1.0,2.0,1.0,3.0,3.0,8.0,18.0,,,1.0,,5.0,2.0,3.0,2.0,,1.0,1.0,,3.0,,1.0,1.0,2.0,,2.0,,,1.0,,3.0,,4.0,1.0,8.0,5.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,,1.25,0.6,,0.5,1.0,,0.6666666666666666,,,1.0,1.0,96.37795275590551,20.285714285714285,11.2,20.285714285714285,10.4,0.4,0.5,0.5,0.4,,,,,0.6,,0.49558,0.408975,0.16666666666666666,0.3333333333333333,,0.625,6.45,25.7,0.2857142857142857,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,3.0,,0.2,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.25,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
1628881-1630114-1642298-203398-204333,1611661317,"Monique Billings, Mikiah Herbert Harrigan, Celeste Taylor, Brittney Griner, Natasha Cloud","Billings, Herbert Harrigan, Taylor, Griner, Cloud",1628881-1630114-1642298-203398-204333,PHO,94.0,1,2.0,-5.0,3.0,3.0,,,6.0,,,,1.0,,1.0,1.0,,2.0,,2.0,7.0,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,,,,,,,,,,91.91489361702128,13.0,18.333333333333332,13.0,18.333333333333332,,,,0.3333333333333333,,,,,1.0,,0.53115,,,,,,3.9,24.4,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,True
