EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,TotalPoss,LongMidRangeFGA,FG2A,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,Minutes,PlusMinus,DefPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,Points,OpponentPoints,PtsUnassisted2s,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,DefThreePtRebounds,DefRebounds,Rebounds,LostBallSteals,LostBallTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,Arc3PctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyOffPoss,PenaltyDefPoss,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedLongMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,AtRimFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGA,PtsPutbacks,FTOffRebounds,Transition Take Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,ShortMidRangePctBlocked,OffFTReboundPct,Corner3Frequency,AtRimFGM,SecondChanceAtRimFGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Travels,Technical Free Throw Trips,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Offensive Fouls,NonShootingPenaltyNonTakeFoulsDrawn,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,Corner3Assists,FTDefRebounds,PenaltyTurnovers,Loose Ball Fouls Drawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGA,OffAtRimReboundPct,PenaltyArc3Frequency,team_id,year,season,team_vs
1628244-1628927-1628931-1630115-204319,1611661328,"Sami Whitcomb, Victoria Vivians, Gabby Williams, Joyner Holmes, Jewell Loyd","Whitcomb, Vivians, Williams, Holmes, Loyd",1628244-1628927-1628931-1630115-204319,SEA,5.0,1,1,1,1.0,1.0,288.0,5.0,5.0,1.0,0.2506,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628244-1630115-1641651-203014-203400,1611661328,"Sami Whitcomb, Joyner Holmes, Jordan Horston, Nneka Ogwumike, Skylar Diggins-Smith","Whitcomb, Holmes, Horston, Ogwumike, Diggins-Smith",1628244-1630115-1641651-203014-203400,SEA,92.0,1,3,6,,2.0,93.91304347826086,20.333333333333332,20.333333333333332,,0.28595,6.45,2.0,-3.0,3.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,10.333333333333334,10.333333333333334,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628920-1628927-1628931-1641651-203400,1611661328,"Mercedes Russell, Victoria Vivians, Gabby Williams, Jordan Horston, Skylar Diggins-Smith","Russell, Vivians, Williams, Horston, Diggins-Smith",1628920-1628927-1628931-1641651-203400,SEA,40.0,1,1,2,,,72.0,16.0,16.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,24.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628920-1628931-1629496-1641651-203400,1611661328,"Mercedes Russell, Gabby Williams, Ezi Magbegor, Jordan Horston, Skylar Diggins-Smith","Russell, Williams, Magbegor, Horston, Diggins-Smith",1628920-1628931-1629496-1641651-203400,SEA,178.0,1,6,11,1.0,3.0,88.98876404494382,12.833333333333334,12.833333333333334,0.25,0.384925,11.700000000000001,3.0,4.0,5.0,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,,1.0,,,7.0,0.3333333333333333,0.625,0.7,1.0,20.2,16.8,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,0.5,1.0,0.25,1.0,1.0,0.25,1.0,0.2,0.25,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628920-1628931-1629496-1641651-204319,1611661328,"Mercedes Russell, Gabby Williams, Ezi Magbegor, Jordan Horston, Jewell Loyd","Russell, Williams, Magbegor, Horston, Loyd",1628920-1628931-1629496-1641651-204319,SEA,91.0,1,4,8,,2.0,126.5934065934066,11.75,11.25,,0.4404625,8.8,2.0,3.0,4.0,1.0,2.0,1.0,5.0,2.0,,2.0,2.0,,,,,,3.0,0.5,0.625,0.625,,11.0,11.0,0.5,0.5,0.5,1.0,2.0,1.0,2.0,,,2.0,1.0,,,1.0,1.0,,,,,,0.5,0.5,0.5,,,,1.0,,0.5,0.5,0.5,0.5,0.5,,,24.75,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4167,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628920-1628931-1641651-203014-203400,1611661328,"Mercedes Russell, Gabby Williams, Jordan Horston, Nneka Ogwumike, Skylar Diggins-Smith","Russell, Williams, Horston, Ogwumike, Diggins-Smith",1628920-1628931-1641651-203014-203400,SEA,520.0,1,16,31,2.0,11.0,85.84615384615385,14.0625,13.5,0.14285714285714285,0.4269142857142857,10.10909090909091,9.0,-3.0,15.0,4.0,8.0,6.0,20.0,23.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,16.0,0.5454545454545454,0.5357142857142857,0.625,0.5,19.666666666666668,19.666666666666668,0.5714285714285714,0.5,0.5,1.0,3.0,1.0,3.0,5.0,,3.0,1.0,,,2.0,6.0,1.0,1.0,4.0,5.0,3.0,0.3333333333333333,0.3333333333333333,0.21428571428571427,,,,1.0,,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.1875,0.23076923076923078,25.366666666666664,5.0,,1.0,4.0,8.0,3.0,4.0,1.0,5.0,1.0,2.0,11.0,2.0,0.6666666666666666,0.6666666666666666,1.0,,,0.6666666666666666,1.0,1.0,0.5,1.0,0.6334,0.2,1.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.4,1.0,0.5714285714285714,0.5,1.0,0.14285714285714285,0.07142857142857142,1.0,1.0,1.0,1.0,0.3345,0.1,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628920-1628931-1641651-203014-204319,1611661328,"Mercedes Russell, Gabby Williams, Jordan Horston, Nneka Ogwumike, Jewell Loyd","Russell, Williams, Horston, Ogwumike, Loyd",1628920-1628931-1641651-203014-204319,SEA,269.0,2,7,15,,6.0,80.29739776951672,19.428571428571427,16.571428571428573,,0.45616666666666666,6.05,4.0,2.0,8.0,2.0,6.0,2.0,11.0,9.0,4.0,1.0,,,,,1.0,1.0,9.0,0.3333333333333333,0.5555555555555556,0.55,,16.625,15.375,0.6666666666666666,0.3333333333333333,0.5,2.0,2.0,2.0,3.0,1.0,,2.0,2.0,2.0,1.0,3.0,6.0,1.0,,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,1.0,0.6,1.0,0.2222222222222222,1.0,1.0,0.3333333333333333,1.0,0.1111111111111111,0.16666666666666666,24.03333333333333,1.0,1.0,2.0,2.0,,6.0,,2.0,2.0,2.0,,6.0,2.0,,,1.0,0.5,0.5,0.5,0.5,0.5,,1.0,0.3688,0.18181818181818182,,,,,,,,,,,,2.0,3.0,,,,,,1.0,1.0,,1.0,,,,0.5,,0.4,0.5,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628920-1628931-203014-203400-204319,1611661328,"Mercedes Russell, Gabby Williams, Nneka Ogwumike, Skylar Diggins-Smith, Jewell Loyd","Russell, Williams, Ogwumike, Diggins-Smith, Loyd",1628920-1628931-203014-203400-204319,SEA,1532.0,2,50,100,12.0,37.0,93.99477806788511,15.24,14.5,0.24,0.458281,9.981081081081081,26.0,,50.0,10.0,23.0,17.0,46.0,46.0,16.0,3.0,3.0,5.0,4.0,7.0,3.0,5.0,36.0,0.4594594594594595,0.4,0.4326923076923077,0.7142857142857143,15.4,14.3,0.46,0.43478260869565216,0.5263157894736842,2.0,10.0,2.0,13.0,6.0,,10.0,2.0,5.0,7.0,24.0,33.0,,1.0,6.0,6.0,3.0,0.15384615384615385,0.15384615384615385,0.26,0.13513513513513514,0.08333333333333333,0.7777777777777778,0.75,0.75,0.2,0.2,0.2,0.3,0.2,0.057692307692307696,0.07692307692307693,24.700000000000003,7.0,3.0,6.0,10.0,18.0,6.0,9.0,2.0,11.0,2.0,6.0,24.0,17.0,0.5294117647058824,0.6,1.0,0.5,0.5,0.5555555555555556,0.7391304347826086,0.8,0.6,1.0,0.45,0.21739130434782608,,7.0,2.0,2.0,6.0,1.0,,,,3.0,4.0,5.0,9.0,1.0,,2.0,,,1.0,2.0,,2.0,,,,0.25,0.36363636363636365,0.2903225806451613,0.3076923076923077,0.375,0.038461538461538464,0.04,0.5,0.5454545454545454,0.5,0.2222222222222222,,,,3.0,4.0,,,,2.0,0.17391304347826086,,0.06,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,1.0,0.5,0.5,0.5,0.5,0.1111111111111111,0.2222222222222222,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628920-1629496-1641651-203400-204319,1611661328,"Mercedes Russell, Ezi Magbegor, Jordan Horston, Skylar Diggins-Smith, Jewell Loyd","Russell, Magbegor, Horston, Diggins-Smith, Loyd",1628920-1629496-1641651-203400-204319,SEA,41.0,1,1,2,2.0,2.0,70.2439024390244,27.0,27.0,1.0,0.32825,18.2,1.0,,1.0,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
1628920-1641651-203014-203400-204319,1611661328,"Mercedes Russell, Jordan Horston, Nneka Ogwumike, Skylar Diggins-Smith, Jewell Loyd","Russell, Horston, Ogwumike, Diggins-Smith, Loyd",1628920-1641651-203014-203400-204319,SEA,100.0,1,3,6,,2.0,86.39999999999999,21.0,21.0,,0.37175,7.05,2.0,,3.0,,2.0,,2.0,2.0,,,,,,,,,2.0,,,0.3333333333333333,,12.333333333333334,12.333333333333334,1.0,,,,,,,2.0,,,,,,1.0,1.0,,,2.0,2.0,1.0,,,,,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661328,2024,2024,False
