EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg3aBlocked,FoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,ShortMidRangeFGM,Arc3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceOffPoss,Corner3FGA,SecondChanceFG2A,OffThreePtRebounds,OffRebounds,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Corner3Frequency,SecondChanceShotQualityAvg,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,LiveBallTurnoverPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Corner3Assists,OffTwoPtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,DefCorner3ReboundPct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,LongMidRangeAssists,FTDefRebounds,Charge Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,OffLongMidRangeReboundPct,Transition Take Fouls,OffArc3ReboundPct,SecondChanceFtPoints,SecondChanceArc3FGM,SecondChanceFG3M,Loose Ball Fouls Drawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
100940-1627674-1628881-1642298-203398,1611661317,"Diana Taurasi, Kahleah Copper, Monique Billings, Celeste Taylor, Brittney Griner","Taurasi, Copper, Billings, Taylor, Griner",100940-1627674-1628881-1642298-203398,PHO,130.0,2,2.0,-8.0,5.0,5.0,1.0,10,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,10.0,2.0,2.0,1.0,1.0,2.0,0.3333333333333333,0.2,0.2,0.4,0.5,0.5,110.76923076923077,13.8,12.2,13.8,12.2,0.2,0.4,0.5,0.5,0.4,0.4,0.40013,13.533333333333333,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1628881-203398-204333,1611661317,"Diana Taurasi, Kahleah Copper, Monique Billings, Brittney Griner, Natasha Cloud","Taurasi, Copper, Billings, Griner, Cloud",100940-1627674-1628881-203398-204333,PHO,284.0,1,5.0,12.0,10.0,10.0,3.0,20,1.0,,1.0,5.0,3.0,4.0,5.0,18.0,6.0,2.0,5.0,,1.0,18.0,0.75,1.0,1.0,0.5555555555555556,,,101.40845070422534,9.7,18.7,9.7,16.3,0.1111111111111111,0.1111111111111111,,,0.5555555555555556,0.7777777777777778,0.520988888888889,9.125,24.06,2.0,2.0,1.0,4.0,4.0,4.0,3.0,9.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.25,0.8,0.8,0.5,0.6666666666666666,0.5714285714285714,1.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,1.0,1.0,0.5,1.0,1.0,1.0,0.8,0.8,0.25,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1629482-1630442-203398,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Natasha Mack, Brittney Griner","Taurasi, Copper, Cunningham, Mack, Griner",100940-1627674-1629482-1630442-203398,PHO,115.0,1,2.0,-2.0,3.0,3.0,,6,2.0,,,,1.0,2.0,1.0,2.0,4.0,,,,,2.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,75.13043478260869,20.666666666666668,17.666666666666668,15.666666666666666,17.666666666666668,0.6666666666666666,,,,,0.3333333333333333,0.39805,10.65,22.7,,,1.0,,,2.0,,,,1.0,,1.0,,,1.0,2.0,1.0,,1.0,2.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,0.5,0.5,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1629482-1630442-204333,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Natasha Mack, Natasha Cloud","Taurasi, Copper, Cunningham, Mack, Cloud",100940-1627674-1629482-1630442-204333,PHO,114.0,1,2.0,4.0,4.0,3.0,3.0,7,1.0,,,1.0,3.0,3.0,1.0,6.0,2.0,,1.0,,1.0,6.0,1.0,0.75,0.75,0.25,,,88.42105263157895,15.75,17.0,15.75,17.0,0.25,,,,0.25,0.75,0.5187875,4.166666666666667,23.4,2.0,2.0,1.0,,,6.0,,,,3.0,,3.0,,2.0,1.0,6.0,1.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1629482-1642298-203398,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Celeste Taylor, Brittney Griner","Taurasi, Copper, Cunningham, Taylor, Griner",100940-1627674-1629482-1642298-203398,PHO,115.0,1,2.0,-4.0,3.0,4.0,3.0,7,1.0,,,,1.0,1.0,,2.0,6.0,,,,1.0,2.0,1.0,1.0,1.0,,,,87.65217391304347,19.0,14.5,19.0,14.5,1.0,,,,,,0.3938,8.1,,,,1.0,,,2.0,,,,1.0,,1.0,,,1.0,2.0,1.0,,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1629482-203398-204333,1611661317,"Diana Taurasi, Kahleah Copper, Sophie Cunningham, Brittney Griner, Natasha Cloud","Taurasi, Copper, Cunningham, Griner, Cloud",100940-1627674-1629482-203398-204333,PHO,1735.0,2,29.0,-15.0,58.0,57.0,4.0,115,7.0,,5.0,14.0,16.0,30.0,17.0,60.0,75.0,12.0,14.0,,9.0,60.0,0.5333333333333333,0.5638297872340425,0.58,0.3617021276595745,,,95.44668587896253,14.775862068965518,15.403508771929825,14.551724137931034,14.333333333333334,0.14893617021276595,0.10638297872340426,,,0.2978723404255319,0.7446808510638298,0.531645744680851,5.7733333333333325,24.023529411764706,13.0,18.0,3.0,5.0,7.0,20.0,15.0,6.0,5.0,10.0,5.0,15.0,3.0,7.0,3.0,35.0,3.0,15.0,18.0,21.0,5.0,4.0,1.0,6.0,2.0,11.0,4.0,17.0,0.625,0.625,0.7142857142857143,0.4117647058823529,0.4117647058823529,0.7894736842105263,0.42857142857142855,0.6923076923076923,0.4,1.0,0.42857142857142855,0.3829787234042553,0.7222222222222222,0.8125,0.5384615384615384,0.42857142857142855,0.5,1.0,0.35714285714285715,0.35714285714285715,0.6,0.35714285714285715,3.0,3.0,,,3.0,,0.125,,0.06382978723404255,0.416775,2.0,0.8,5.0,2.0,3.0,0.45454545454545453,9.0,1.0,3.0,2.0,1.0,1.0,1.0,7.0,2.0,2.0,6.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,10.0,1.0,2.0,3.0,1.0,5.0,2.0,2.0,1.0,5.0,3.0,5.0,9.0,0.3333333333333333,0.2857142857142857,0.3125,0.1,0.1111111111111111,0.14285714285714285,0.21428571428571427,0.2,0.5,0.047619047619047616,0.6,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.42857142857142855,0.3333333333333333,0.14285714285714285,0.4939571428571429,0.08,0.09375,0.05555555555555555,0.08333333333333333,0.15517241379310345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1630114-203398-204333,1611661317,"Diana Taurasi, Kahleah Copper, Mikiah Herbert Harrigan, Brittney Griner, Natasha Cloud","Taurasi, Copper, Herbert Harrigan, Griner, Cloud",100940-1627674-1630114-203398-204333,PHO,121.0,1,2.0,-8.0,4.0,4.0,,8,2.0,,,1.0,,2.0,1.0,,8.0,,1.0,,1.0,,,,,0.3333333333333333,,,95.20661157024794,19.25,11.0,19.25,11.0,0.6666666666666666,,,,0.3333333333333333,0.3333333333333333,0.401,9.1,25.5,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1627674-1630442-1642298-204333,1611661317,"Diana Taurasi, Kahleah Copper, Natasha Mack, Celeste Taylor, Natasha Cloud","Taurasi, Copper, Mack, Taylor, Cloud",100940-1627674-1630442-1642298-204333,PHO,9.0,1,,2.0,1.0,1.0,1.0,2,,,,,1.0,1.0,,2.0,,2.0,,,,2.0,1.0,1.0,1.0,,,,320.0,6.0,3.0,6.0,3.0,,,,,,1.0,0.6307,1.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,0.6307,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1628881-1629482-1630442-204333,1611661317,"Diana Taurasi, Monique Billings, Sophie Cunningham, Natasha Mack, Natasha Cloud","Taurasi, Billings, Cunningham, Mack, Cloud",100940-1628881-1629482-1630442-204333,PHO,198.0,1,3.0,,6.0,5.0,2.0,11,1.0,,,3.0,1.0,2.0,3.0,8.0,8.0,2.0,3.0,,2.0,8.0,0.5,0.8,0.8,0.6,,,80.0,15.5,21.0,15.5,21.0,0.2,,,,0.6,0.8,0.4593,7.95,24.833333333333332,1.0,1.0,,2.0,2.0,,6.0,,2.0,,2.0,2.0,2.0,,,6.0,1.0,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,,,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,,,,0.2,1.0,1.0,,,,,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,1.5,1.5,,,,,,,,,,,,,,,,1.0,0.3315,,,,0.375,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
100940-1628881-1629482-203398-204333,1611661317,"Diana Taurasi, Monique Billings, Sophie Cunningham, Brittney Griner, Natasha Cloud","Taurasi, Billings, Cunningham, Griner, Cloud",100940-1628881-1629482-203398-204333,PHO,232.0,1,4.0,1.0,8.0,8.0,8.0,16,1.0,1.0,1.0,1.0,3.0,3.0,2.0,11.0,10.0,2.0,1.0,,1.0,9.0,1.0,0.9,0.9166666666666666,0.4,,,99.3103448275862,12.625,16.375,12.625,16.375,0.2,0.2,1.0,1.0,0.2,0.6,0.46565,8.333333333333334,23.1,1.0,1.0,1.0,1.0,1.0,4.0,3.0,,1.0,2.0,1.0,3.0,1.0,,1.0,7.0,1.0,,2.0,3.0,,,,1.0,,3.0,2.0,4.0,0.6666666666666666,1.0,1.0,0.5,0.5,,1.0,1.0,,,1.0,0.2,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,1.0,,2.0,2.0,,0.6666666666666666,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.25,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,,,,,,,,,,,,,,,,,1611661317,2024,2024,False
