EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,HeaveAttempts,NonHeaveArc3FGA,Steals,BadPassSteals,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,FG2M,FG2A,FG3M,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,AtRimFGM,AtRimFGA,AtRimAssists,DefTwoPtRebounds,DefRebounds,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFGM,FtPoints,SecondChanceFtPoints,PtsUnassisted2s,LongMidRangeAssists,DefThreePtRebounds,SelfOReb,LostBallSteals,FoulsDrawn,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,DefThreePtReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefArc3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,Corner3FGA,FTDefRebounds,BadPassOutOfBoundsTurnovers,DefFTReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,2pt And 1 Free Throw Trips,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Fg2aBlocked,LostBallTurnovers,FG2APctBlocked,ShortMidRangePctBlocked,Travels,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,Corner3FGM,Corner3Assists,Charge Fouls,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,SecondChanceTurnovers,Blocked3s,BlockedCorner3,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Loose Ball Fouls Drawn,AtRimPctBlocked,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,BlockedArc3,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1628269-1630136-1630462-1631009-201913,1611661330,"Nia Coffey, Megan Walker, Aari McDonald, Rhyne Howard, Kia Vaughn","Coffey, Walker, McDonald, Howard, Vaughn",1628269-1630136-1630462-1631009-201913,ATL,54.0,1,1.0,-3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,106.66666666666666,19.5,7.5,19.5,7.5,1.0,1.0,1.0,0.5223,0.5223,33.266666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1628269-1630462-1631009-1631044-201913,1611661330,"Nia Coffey, Aari McDonald, Rhyne Howard, Naz Hillmon, Kia Vaughn","Coffey, McDonald, Howard, Hillmon, Vaughn",1628269-1630462-1631009-1631044-201913,ATL,143.0,1,2.0,-3.0,4.0,4.0,1.0,2.0,8.0,2.0,,2.0,8.0,,,2.0,,,1.0,0.4,80.55944055944056,21.0,14.75,18.5,12.0,0.4,,0.4,0.44981,0.43405,25.1,0.25,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.4,0.5,0.5,1.0,0.2,0.5,0.5,1.0,0.5,0.4632,0.4,0.4,8.200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1628929-1630136-1630462-1631009-201913,1611661330,"Kristy Wallace, Megan Walker, Aari McDonald, Rhyne Howard, Kia Vaughn","Wallace, Walker, McDonald, Howard, Vaughn",1628929-1630136-1630462-1631009-201913,ATL,39.0,1,1.0,2.0,1.0,2.0,,2.0,3.0,,,,,,,,,,,,110.76923076923076,16.0,11.5,16.0,11.5,,,1.0,0.706,,,,,,,,,1.0,1.0,,2.0,,,,,,,2.0,,,1.0,,1.0,,,2.0,,,,1.0,,,,,,,2.0,,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1628881-1630136-1630462-204323-204365,1611661330,"Monique Billings, Megan Walker, Aari McDonald, Cheyenne Parker, Erica Wheeler","Billings, Walker, McDonald, Parker, Wheeler",1628881-1630136-1630462-204323-204365,ATL,247.0,2,4.0,-2.0,8.0,9.0,1.0,1.0,17.0,4.0,1.0,4.0,11.0,1.0,,4.0,1.0,,1.0,0.5714285714285714,99.1093117408907,15.875,13.333333333333334,15.75,13.333333333333334,0.5714285714285714,1.0,0.8571428571428571,0.5557142857142857,0.55695,24.25,0.125,1.0,,,1.0,1.0,2.0,3.0,1.0,9.0,,,2.0,,,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,5.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,7.0,,,0.5,0.5,1.0,0.25,0.25,0.6666666666666666,,,0.5,,,0.5625,1.0,,1.0,1.0,,0.25,,,,,,,0.14285714285714285,0.25,0.25,1.0,0.25,,0.2222222222222222,,8.433333333333334,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1628269-1630136-1631009-204323-204365,1611661330,"Nia Coffey, Megan Walker, Rhyne Howard, Cheyenne Parker, Erica Wheeler","Coffey, Walker, Howard, Parker, Wheeler",1628269-1630136-1631009-204323-204365,ATL,37.0,1,1.0,,,1.0,,,1.0,,,,,,,,,,,,38.91891891891892,,28.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,,,,,,,,,,,1.0,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1630136-1630462-1631009-1631044-204323,1611661330,"Megan Walker, Aari McDonald, Rhyne Howard, Naz Hillmon, Cheyenne Parker","Walker, McDonald, Howard, Hillmon, Parker",1630136-1630462-1631009-1631044-204323,ATL,284.0,3,5.0,1.0,10.0,10.0,5.0,1.0,20.0,3.0,1.0,3.0,12.0,1.0,,3.0,3.0,1.0,5.0,0.3333333333333333,101.40845070422534,12.7,15.7,11.5,14.2,0.3333333333333333,0.5,0.8888888888888888,0.60960625,0.3808,30.733333333333334,0.5,2.0,,1.0,,1.0,4.0,6.0,1.0,13.0,1.0,1.0,5.0,,1.0,2.0,4.0,,1.0,2.0,,2.0,,,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,8.0,2.0,,0.5,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,,0.6111111111111112,1.25,,0.65,1.25,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,,1.0,0.1111111111111111,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.6852,0.38461538461538464,0.15384615384615385,2.0833333333333335,4.0,5.0,2.0,,1.0,,0.25,,0.5555555555555556,0.8,0.8,0.5,,2.0,,4.0,,1.0,1.0,2.0,1.0,,2.0,,0.5,1.0,,0.3333333333333333,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1628269-1628929-1630136-1630462-1631044,1611661330,"Nia Coffey, Kristy Wallace, Megan Walker, Aari McDonald, Naz Hillmon","Coffey, Wallace, Walker, McDonald, Hillmon",1628269-1628929-1630136-1630462-1631044,ATL,219.0,1,4.0,-1.0,8.0,8.0,,7.0,16.0,5.0,,6.0,7.0,,,5.0,1.0,,,0.75,105.2054794520548,16.875,10.5,16.75,10.5,0.625,,0.875,0.46015625,,25.416666666666668,,1.0,,1.0,,2.0,,2.0,2.0,6.0,,1.0,,,,,,6.0,2.0,,2.0,2.0,2.0,,6.0,1.0,,1.0,5.0,,,1.0,3.0,4.0,,6.0,,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,,,0.375,,,0.375,,,,,0.25,0.16666666666666666,,,0.125,,,,,0.4,0.4,1.0,0.4,,,,7.1,,1.0,,1.0,4.0,1.0,1.0,,0.125,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,0.16666666666666666,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1628881-1628929-1630462-1631009-1631044,1611661330,"Monique Billings, Kristy Wallace, Aari McDonald, Rhyne Howard, Naz Hillmon","Billings, Wallace, McDonald, Howard, Hillmon",1628881-1628929-1630462-1631009-1631044,ATL,32.0,1,1.0,2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,,90.0,11.0,21.0,11.0,10.0,,,1.0,0.6793,0.6793,,1.0,,,,,,1.0,1.0,,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,2.0,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.6,1.0,1.0,,,1.0,,0.5,,1.0,1.0,1.0,,,,,2.0,,1.0,,,1.0,,1.0,1.0,0.5,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1628881-1630136-1630462-1631009-1631044,1611661330,"Monique Billings, Megan Walker, Aari McDonald, Rhyne Howard, Naz Hillmon","Billings, Walker, McDonald, Howard, Hillmon",1628881-1630136-1630462-1631009-1631044,ATL,223.0,1,4.0,-4.0,7.0,7.0,2.0,2.0,14.0,1.0,,1.0,8.0,,,1.0,2.0,2.0,2.0,0.2,90.40358744394618,19.714285714285715,12.142857142857142,19.714285714285715,12.0,0.2,,0.4,0.39164,0.2485,24.3,0.2857142857142857,,,1.0,2.0,,2.0,4.0,,4.0,,,,1.0,1.0,2.0,2.0,,,1.0,,1.0,,,2.0,,,,1.0,2.0,,2.0,1.0,1.0,,4.0,2.0,,0.5,0.5,,,,0.5,,1.0,0.4,,1.0,0.4,,1.0,1.0,,,,,,0.2,,,,0.4,,,,,,,0.5,11.225,1.0,1.0,,,1.0,,0.5,,0.2,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,0.5,,,,0.5,0.5,1.0,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
1628881-1628929-1629492-1630462-1631009,1611661330,"Monique Billings, Kristy Wallace, Beatrice Mompremier, Aari McDonald, Rhyne Howard","Billings, Wallace, Mompremier, McDonald, Howard",1628881-1628929-1629492-1630462-1631009,ATL,165.0,2,3.0,,5.0,5.0,1.0,,10.0,1.0,,1.0,3.0,,,1.0,1.0,1.0,1.0,0.3333333333333333,87.27272727272727,16.4,16.6,16.4,14.8,0.3333333333333333,,0.3333333333333333,0.43873333333333336,0.4066,24.9,0.2,,,1.0,1.0,,,2.0,,3.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,4.0,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,0.3,,,,0.5,,0.3333333333333333,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,12.5,,,,2.0,3.0,0.6666666666666666,0.6,,,,,,,3.0,,,,1.0,,,3.0,,4.0,2.0,0.5,,,,,,,0.4,0.5,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661330,2022,2022,True
