EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,AtRimAssists,OffThreePtRebounds,OffRebounds,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,SecondChanceFg3Pct,SecondChanceEfgPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg2aBlocked,Steals,BadPassSteals,Blocked2s,BlockedShortMidRange,Blocks,FG2APctBlocked,ShortMidRangePctBlocked,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,OffTwoPtRebounds,SecondChanceFg2Pct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,LongMidRangeFGA,LostBallSteals,DefAtRimReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,Charge Fouls,2pt And 1 Free Throw Trips,AtRimPctBlocked,OffAtRimReboundPct,LongMidRangeFGM,Travels,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangeAssists,SecondChanceTurnovers,Offensive Fouls Drawn,BlockedAtRim,LongMidRangePctAssisted,PenaltyArc3FGM,PenaltyFG3M,StepOutOfBoundsTurnovers,Offensive Fouls,PenaltyFg3Pct,PenaltyArc3Accuracy,LostBallTurnovers,Charge Fouls Drawn,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,PtsUnassisted3s,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Loose Ball Fouls,Arc3PctBlocked,OffLongMidRangeReboundPct,FTOffRebounds,OffFTReboundPct,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Technical Free Throw Trips,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,3SecondViolations,HeaveAttempts,Clear Path Fouls,team_id,year,season,team_vs
1628932-1629498-203029-203833-203849,1611661319,"A'ja Wilson, Jackie Young, Riquna Williams, Chelsea Gray, Theresa Plaisance","Wilson, Young, Williams, Gray, Plaisance",1628932-1629498-203029-203833-203849,LVA,261.0,1,4.0,-5.0,10.0,10.0,5.0,10.0,20.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,1.0,4.0,7.0,12.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,7.0,2.0,5.0,1.0,0.5,0.5,1.0,0.25,0.25,0.4,1.0,0.3888888888888889,0.25,0.3888888888888889,0.25,0.4444444444444444,0.25,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.3448275862069,16.2,9.9,16.2,9.9,0.1111111111111111,0.4444444444444444,0.5,0.5,0.5,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.25,0.5,0.5555555555555556,0.3333333333333333,0.4455944444444444,0.456075,0.2857142857142857,4.9399999999999995,24.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1631006-1631013-203833-203849-204329,1611661319,"Kierstan Bell, Aisha Sheppard, Chelsea Gray, Theresa Plaisance, Kiah Stokes","Bell, Sheppard, Gray, Plaisance, Stokes",1631006-1631013-203833-203849-204329,LVA,59.0,1,1.0,3.0,2.0,2.0,2.0,,4.0,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,3.0,,1.0,1.0,1.0,3.0,2.0,,,1.0,,,1.0,,1.0,,,2.0,,1.0,,1.0,2.0,,,,,,,,2.0,3.0,2.0,,1.0,1.0,,,,1.0,1.0,0.5,0.5,0.5,0.5,0.5,,,,,0.5,,0.3333333333333333,0.5,,,97.6271186440678,13.5,16.0,13.5,15.0,0.5,,,,,,0.5,,,,,0.5,1.0,,0.616175,0.616175,1.0,0.8,28.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1628932-1629498-202641-203833-204324,1611661319,"A'ja Wilson, Jackie Young, Sydney Colson, Chelsea Gray, Dearica Hamby","Wilson, Young, Colson, Gray, Hamby",1628932-1629498-202641-203833-204324,LVA,48.0,2,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,60.0,10.0,38.0,10.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1628932-1629498-1631013-203833-203849,1611661319,"A'ja Wilson, Jackie Young, Aisha Sheppard, Chelsea Gray, Theresa Plaisance","Wilson, Young, Sheppard, Gray, Plaisance",1628932-1629498-1631013-203833-203849,LVA,37.0,1,1.0,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,1.0,1.0,,,2.0,2.0,,,,,2.0,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,77.83783783783784,24.0,13.0,24.0,13.0,1.0,,,,,,,,,,,,1.0,,0.6461,,,2.1,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1629498-202641-203833-203849-204329,1611661319,"Jackie Young, Sydney Colson, Chelsea Gray, Theresa Plaisance, Kiah Stokes","Young, Colson, Gray, Plaisance, Stokes",1629498-202641-203833-203849-204329,LVA,74.0,1,1.0,-2.0,2.0,2.0,,,4.0,,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,77.83783783783784,15.0,22.0,15.0,22.0,,1.0,,,,,,,,,,,,,0.3812,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1628276-1628932-1631013-203029-204324,1611661319,"Kelsey Plum, A'ja Wilson, Aisha Sheppard, Riquna Williams, Dearica Hamby","Plum, Wilson, Sheppard, Williams, Hamby",1628276-1628932-1631013-203029-204324,LVA,39.0,1,1.0,3.0,1.0,1.0,,,2.0,,,,1.0,,1.0,1.0,,,,1.0,2.0,3.0,,,,,,,,3.0,1.0,1.0,,,1.0,1.0,1.0,,3.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,1.0,0.5,0.5,,,0.75,,0.75,,1.0,,,,,,1.0,1.0,,,1.0,73.84615384615384,10.0,29.0,7.0,29.0,,,,,,0.5,0.5,1.0,1.0,1.0,,,1.0,1.0,0.54045,,,,22.75,,1.0,,,,,,3.0,,,1.0,1.0,,,,,,1.5,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1628276-1628932-1631006-202641-203849,1611661319,"Kelsey Plum, A'ja Wilson, Kierstan Bell, Sydney Colson, Theresa Plaisance","Plum, Wilson, Bell, Colson, Plaisance",1628276-1628932-1631006-202641-203849,LVA,58.0,1,1.0,-3.0,2.0,2.0,,,4.0,,,2.0,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,99.3103448275862,16.0,13.0,16.0,13.0,,1.0,,,,,,,,,,,,,0.48245,,,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1629498-1631013-203833-204324-204329,1611661319,"Jackie Young, Aisha Sheppard, Chelsea Gray, Dearica Hamby, Kiah Stokes","Young, Sheppard, Gray, Hamby, Stokes",1629498-1631013-203833-204324-204329,LVA,233.0,1,4.0,-1.0,8.0,8.0,4.0,2.0,16.0,2.0,3.0,6.0,,,,2.0,1.0,5.0,8.0,,2.0,10.0,11.0,3.0,5.0,1.0,6.0,,10.0,,2.0,,,,,,,,,1.0,1.0,,2.0,4.0,,,,,,2.0,2.0,6.0,6.0,4.0,,,,,,,0.625,0.6,0.5,0.5,0.5,0.5,0.2,,,,,1.0,1.0,1.0,,1.0,1.0,98.88412017167381,15.375,13.75,15.375,13.75,0.2,0.6,0.5,0.6,,,0.2,,,,,0.16666666666666666,0.4,,0.40720999999999996,0.42044166666666666,0.6,7.025,28.1,0.5,2.0,2.0,2.0,2.0,,,4.0,,,,2.0,,,,,,1.0,,0.4,,1.0,1.0,,0.3333333333333333,1.0,0.4,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,0.125,0.16666666666666666,2.0,2.0,2.0,2.0,4.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.44515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1628276-1628932-203849-204324-204329,1611661319,"Kelsey Plum, A'ja Wilson, Theresa Plaisance, Dearica Hamby, Kiah Stokes","Plum, Wilson, Plaisance, Hamby, Stokes",1628276-1628932-203849-204324-204329,LVA,194.0,2,3.0,1.0,7.0,8.0,6.0,6.0,15.0,,,2.0,,,,,,,3.0,,,3.0,2.0,,2.0,,3.0,,,,,,,,,,,,,3.0,2.0,,5.0,5.0,,,1.0,1.0,1.0,,1.0,3.0,3.0,6.0,1.0,,,,,,,,,,0.3,0.375,,,,,,1.0,1.0,1.0,,1.0,1.0,111.34020618556701,14.428571428571429,11.625,14.428571428571429,11.625,,0.6666666666666666,,,,,,,,,,,,,0.33126666666666665,0.3025,1.0,12.5,,0.8571428571428571,,,,,3.0,,,3.0,,,,2.0,,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
1629498-1631013-203833-203849-204324,1611661319,"Jackie Young, Aisha Sheppard, Chelsea Gray, Theresa Plaisance, Dearica Hamby","Young, Sheppard, Gray, Plaisance, Hamby",1629498-1631013-203833-203849-204324,LVA,120.0,2,2.0,2.0,5.0,4.0,2.0,3.0,9.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,,1.0,4.0,2.0,1.0,2.0,,3.0,2.0,,,,,,1.0,,1.0,,1.0,2.0,,1.0,,1.0,2.0,,,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,,1.0,1.0,,,,0.5,0.5,0.3333333333333333,0.5,0.5,0.75,0.3333333333333333,,,,,0.5,,0.5,1.0,,,108.0,12.8,14.0,11.0,14.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,,,0.6666666666666666,,0.5262666666666667,0.54415,0.75,2.9,24.5,0.4,1.0,,,1.0,2.0,1.0,3.0,1.0,,,1.0,2.0,,3.0,,,1.5,,0.5,,,,,0.5,,0.75,2.0,0.5,0.6666666666666666,1.0,,,,,,,1.0,,,,,,1.0,2.0,1.0,,,,0.5,,,,1.0,1.0,,1.0,1.0,1.0,,,,0.2285,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661319,2022,2022,True
