EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,LongMidRangeAssists,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyFG3M,Fg3aBlocked,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyArc3Accuracy,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,BlockedLongMidRange,Charge Fouls,LongMidRangePctBlocked,Defensive 3 Seconds Violations,Charge Fouls Drawn,HeaveAttempts,3SecondViolations,Blocked3s,BlockedArc3,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1628279-1628882-1628886-202633-203014,1611661320,"Brittney Sykes, Lexie Brown, Jordin Canada, Liz Cambage, Nneka Ogwumike","Sykes, Brown, Canada, Cambage, Ogwumike",1628279-1628882-1628886-202633-203014,LAS,4337.0,9,72.0,6.0,144.0,145.0,18.0,21.0,17.0,289.0,27.0,41.0,6.0,6.0,3.0,4.0,13.0,31.0,3.0,13.0,1.0,7.0,1.0,16.0,34.0,5.0,5.0,3.0,43.0,85.0,17.0,41.0,20.0,157.0,151.0,7.0,8.0,5.0,5.0,3.0,32.0,4.0,8.0,4.0,3.0,11.0,58.0,28.0,48.0,3.0,6.0,34.0,16.0,7.0,29.0,16.0,45.0,15.0,1.0,17.0,12.0,106.0,5.0,13.0,12.0,32.0,4.0,48.0,18.0,66.0,4.0,17.0,14.0,3.0,20.0,1.0,15.0,8.0,1.0,5.0,1.0,28.0,2.0,8.0,17.0,32.0,1.0,2.0,28.0,1.0,3.0,23.0,5.0,13.0,1.0,6.0,4.0,2.0,6.0,3.0,125.0,11.0,18.0,2.0,1.0,0.6744186046511628,0.725,0.9411764705882353,0.4146341463414634,1.0,0.4146341463414634,0.5058823529411764,0.875,0.5,0.5436507936507936,1.1153846153846154,0.3333333333333333,0.5814814814814815,1.0666666666666667,0.4230769230769231,0.3253968253968254,0.08235294117647059,0.12195121951219512,0.06451612903225806,0.7142857142857143,1.0,0.7619047619047619,0.30952380952380953,0.8,0.20833333333333334,0.7719298245614035,0.2727272727272727,0.2857142857142857,0.3333333333333333,0.3,0.16666666666666666,0.3333333333333333,0.6153846153846154,0.6666666666666666,1.0,0.7857142857142857,1.0,0.06779661016949153,95.95572976712013,0.5,15.340277777777779,14.675862068965516,14.8125,14.331034482758621,0.3253968253968254,0.6585365853658537,0.75,0.6296296296296297,0.24603174603174602,0.41935483870967744,0.4482758620689655,0.9230769230769231,0.10317460317460317,0.23076923076923078,0.23076923076923078,0.05555555555555555,0.14285714285714285,0.14285714285714285,1.0,0.2698412698412698,0.47058823529411764,0.47058823529411764,0.9375,0.46153846153846156,1.0,0.3333333333333333,0.38461538461538464,1.0,1.0,0.3333333333333333,0.75,0.08333333333333333,0.25,0.6507936507936508,0.47058823529411764,0.5300746031746032,0.5834272727272727,0.4918208333333333,0.09701492537313433,0.13978494623655913,0.20382165605095542,0.07006369426751592,6.982352941176471,24.807317073170733,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628279-1628886-1630996-203014-203823,1611661320,"Brittney Sykes, Jordin Canada, Rae Burrell, Nneka Ogwumike, Chiney Ogwumike","Sykes, Canada, Burrell, Ogwumike, Ogwumike",1628279-1628886-1630996-203014-203823,LAS,303.0,2,5.0,-6.0,10.0,8.0,1.0,,1.0,18.0,2.0,3.0,,,,,,1.0,,2.0,,2.0,1.0,,2.0,,1.0,,2.0,6.0,,4.0,1.0,5.0,11.0,,,,2.0,,,,,1.0,,,4.0,,,,,2.0,,,2.0,,2.0,,,2.0,,4.0,2.0,1.0,,2.0,,2.0,3.0,5.0,,,,,1.0,,1.0,,,,,1.0,1.0,,1.0,2.0,,,3.0,,1.0,2.0,,1.0,,,,,,,5.0,,1.0,,,1.0,1.0,,,,,0.3333333333333333,,,0.2,,,0.22727272727272727,,,0.4,,,,1.0,,1.0,0.25,,0.6666666666666666,0.6666666666666666,0.42857142857142855,,,0.5,0.5,1.0,1.0,1.0,,,,,85.54455445544555,,19.1,14.0,17.7,14.0,0.3,0.6666666666666666,0.6666666666666666,1.0,0.1,,,,0.2,,,0.2,,,,0.2,,,,,,,0.5,,,,,1.0,,0.7,,0.5221250000000001,0.52035,0.3333,0.09090909090909091,0.14285714285714285,,,8.466666666666667,23.6,0.1,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628882-1630150-1630444-202633-203014,1611661320,"Lexie Brown, Chennedy Carter, Jasmine Walker, Liz Cambage, Nneka Ogwumike","Brown, Carter, Walker, Cambage, Ogwumike",1628882-1630150-1630444-202633-203014,LAS,242.0,2,4.0,-1.0,7.0,8.0,4.0,,1.0,15.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,,9.0,10.0,,,1.0,1.0,,3.0,2.0,2.0,1.0,,4.0,6.0,,,3.0,,3.0,1.0,,3.0,,3.0,,,1.0,1.0,6.0,,1.0,1.0,2.0,,3.0,1.0,4.0,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,6.0,4.0,4.0,,,1.0,1.0,,0.3333333333333333,1.0,0.3333333333333333,0.75,,1.0,0.6428571428571429,1.5,0.6666666666666666,0.6428571428571429,1.5,0.6666666666666666,0.42857142857142855,,,,1.0,,1.0,1.0,1.0,,1.0,0.3333333333333333,,,1.0,,,,,1.0,1.0,,,89.25619834710744,,16.571428571428573,15.75,15.285714285714286,15.75,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,,0.3333333333333333,1.0,,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.5035714285714286,0.43725,0.596,,,0.3333333333333333,0.4444444444444444,11.975,24.366666666666664,0.5714285714285714,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628882-1628886-1630444-203014-203823,1611661320,"Lexie Brown, Jordin Canada, Jasmine Walker, Nneka Ogwumike, Chiney Ogwumike","Brown, Canada, Walker, Ogwumike, Ogwumike",1628882-1628886-1630444-203014-203823,LAS,167.0,2,3.0,-1.0,5.0,4.0,,,2.0,9.0,1.0,4.0,,2.0,,,,1.0,,1.0,,,,,,,,,1.0,6.0,,,1.0,3.0,4.0,,3.0,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,1.0,,2.0,,3.0,,2.0,,2.0,3.0,5.0,1.0,,,,2.0,,1.0,,,1.0,,2.0,,,,,,,2.0,1.0,,2.0,,1.0,,1.0,1.0,,1.0,1.0,3.0,,,,,1.0,1.0,,,,,0.16666666666666666,,,0.16666666666666666,,,0.21428571428571427,,,,,,,1.0,,1.0,0.6,,,1.0,0.6,0.6666666666666666,1.0,,,,1.0,1.0,,,,0.2,77.60479041916167,1.0,22.8,13.25,20.6,13.25,0.6666666666666666,0.25,0.25,1.0,0.16666666666666666,,,,0.16666666666666666,,,,,,,,,,,0.6666666666666666,,,,,,,,,,0.6666666666666666,,0.5743166666666667,0.5490333333333334,,0.14285714285714285,0.14285714285714285,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628279-1628882-1630150-1630444-203823,1611661320,"Brittney Sykes, Lexie Brown, Chennedy Carter, Jasmine Walker, Chiney Ogwumike","Sykes, Brown, Carter, Walker, Ogwumike",1628279-1628882-1630150-1630444-203823,LAS,13.0,1,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628279-1628882-1629478-1630444-203014,1611661320,"Brittney Sykes, Lexie Brown, Katie Lou Samuelson, Jasmine Walker, Nneka Ogwumike","Sykes, Brown, Lou Samuelson, Walker, Ogwumike",1628279-1628882-1629478-1630444-203014,LAS,96.0,2,2.0,-6.0,4.0,4.0,1.0,1.0,1.0,8.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,3.0,,,1.0,1.0,7.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,0.125,0.5,,,,,,,,1.0,0.3333333333333333,,,1.0,0.3333333333333333,1.0,,,,,,1.0,,,,,120.0,,11.25,12.75,11.25,12.75,0.3333333333333333,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.42873333333333336,,,0.25,0.25,1.0,,8.766666666666667,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628279-1630150-1630444-1631135-202633,1611661320,"Brittney Sykes, Chennedy Carter, Jasmine Walker, Olivia Nelson-Ododa, Liz Cambage","Sykes, Carter, Walker, Nelson-Ododa, Cambage",1628279-1630150-1630444-1631135-202633,LAS,52.0,1,1.0,,1.0,2.0,,,1.0,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,1.0,0.5,,,1.0,0.5,0.5,,,,,,,1.0,,,1.0,83.07692307692308,,18.0,17.0,16.0,17.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,0.5882,0.5464,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628279-1630150-1630444-1630996-202633,1611661320,"Brittney Sykes, Chennedy Carter, Jasmine Walker, Rae Burrell, Liz Cambage","Sykes, Carter, Walker, Burrell, Cambage",1628279-1630150-1630444-1630996-202633,LAS,73.0,1,1.0,-2.0,2.0,2.0,,,,4.0,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,0.5,,,,,,,,,,,1.0,,78.9041095890411,,20.5,16.0,20.5,13.0,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,0.5,,0.45855,,,,,,,20.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628882-1628886-1630150-202633-203823,1611661320,"Lexie Brown, Jordin Canada, Chennedy Carter, Liz Cambage, Chiney Ogwumike","Brown, Canada, Carter, Cambage, Ogwumike",1628882-1628886-1630150-202633-203823,LAS,310.0,3,5.0,-9.0,10.0,9.0,5.0,3.0,2.0,19.0,,4.0,,2.0,,1.0,,,1.0,2.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,6.0,1.0,3.0,1.0,6.0,15.0,,2.0,,,,,,1.0,3.0,1.0,4.0,2.0,,3.0,,,1.0,,3.0,1.0,1.0,2.0,,1.0,,,5.0,1.0,2.0,1.0,1.0,,2.0,3.0,5.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,2.0,,,1.0,3.0,1.0,,4.0,,,2.0,,,1.0,,,,,,6.0,4.0,5.0,,1.0,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.16666666666666666,,,0.2777777777777778,,0.375,0.3,,0.4,0.3333333333333333,0.5,0.75,,0.5,,1.0,0.4,1.0,0.5,1.0,0.42857142857142855,0.5,,,1.0,,,,1.0,1.0,,,88.25806451612902,,18.8,13.555555555555555,17.7,12.777777777777779,0.4444444444444444,,,,,,,,0.2222222222222222,0.5,0.5,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,,,,1.0,,,,,,0.25,,0.5,0.25,0.7777777777777778,,0.5284,0.7471,0.442625,,,,0.6666666666666666,6.966666666666666,23.066666666666666,0.5,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
1628279-1628882-1630444-202633-203823,1611661320,"Brittney Sykes, Lexie Brown, Jasmine Walker, Liz Cambage, Chiney Ogwumike","Sykes, Brown, Walker, Cambage, Ogwumike",1628279-1628882-1630444-202633-203823,LAS,45.0,1,1.0,-1.0,1.0,2.0,,2.0,,3.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,2.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,96.0,,11.0,17.0,11.0,17.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.3978,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661320,2022,2022,True
