EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,TotalPoss,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,Blocked2s,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,FG2M,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg3aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,LostBallSteals,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,Arc3PctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,BadPassTurnovers,AtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,BadPassSteals,Travels,Loose Ball Fouls,Assisted3sPct,SecondChanceFg3Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,AtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,Corner3Assists,AtRimAssists,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,SecondChanceFG2M,SecondChanceFG2A,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,OffLongMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,LongMidRangeFGM,LongMidRangeAssists,FTDefRebounds,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Loose Ball Fouls Drawn,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,PenaltyArc3FGM,PtsPutbacks,SecondChanceTurnovers,PenaltyArc3Accuracy,SecondChanceCorner3FGA,FTOffRebounds,Charge Fouls Drawn,Technical Free Throw Trips,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Charge Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,BlockedCorner3,BlockedLongMidRange,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,team_id,year,season,team_vs
1627673-1627675-1628280-1630096-202662,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, DiJonai Carrington, Jasmine Thomas","Jones, Williams, Jones, Carrington, Thomas",1627673-1627675-1628280-1630096-202662,CON,25.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,115.19999999999999,11.0,14.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1627673-1628280-201886-202662-203826,1611661323,"Jonquel Jones, Brionna Jones, DeWanna Bonner, Jasmine Thomas, Alyssa Thomas","Jones, Jones, Bonner, Thomas, Thomas",1627673-1628280-201886-202662-203826,CON,182.0,1,6.0,6.0,12,1.0,2.0,1.0,,3.0,,94.94505494505495,15.333333333333334,15.0,15.333333333333334,14.0,3.0,-6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,9.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.375,0.375,0.5,0.5,0.5,1.0,0.5,0.3333333333333333,1.0,1.0,0.25,0.25,0.5,0.5,0.5,1.0,0.5,0.5,0.45245,0.30435,11.05,25.15,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1628304-1629567-1630096-1630115-1631002,1611661323,"Yvonne Anderson, Natisha Hiedeman, DiJonai Carrington, Joyner Holmes, Nia Clouden","Anderson, Hiedeman, Carrington, Holmes, Clouden",1628304-1629567-1630096-1630115-1631002,CON,169.0,1,7.0,8.0,15,,1.0,1.0,,4.0,,127.81065088757396,9.285714285714286,13.0,9.0,13.0,3.0,7.0,7.0,3.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,10.0,3.0,1.0,,1.0,,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,,,,8.0,7.0,,,0.6666666666666666,0.7142857142857143,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,,0.38126666666666664,0.38126666666666664,5.2,24.3,1.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,6.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8.0,1.0,3.0,10.0,3.0,0.5,0.5,1.0,1.0,0.6666666666666666,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1627673-1628280-1631002-202662-203826,1611661323,"Jonquel Jones, Brionna Jones, Nia Clouden, Jasmine Thomas, Alyssa Thomas","Jones, Jones, Clouden, Thomas, Thomas",1627673-1628280-1631002-202662-203826,CON,139.0,1,4.0,4.0,8,,1.0,,,1.0,,82.87769784172662,22.25,12.5,22.25,12.5,2.0,-5.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,6.0,,,1.0,,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,0.16666666666666666,0.5,1.0,1.0,,1.0,,,1.0,0.5,,0.5,,,,0.5,,0.392125,,12.9,23.8,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1627673-1629567-1630096-202662-203826,1611661323,"Jonquel Jones, Natisha Hiedeman, DiJonai Carrington, Jasmine Thomas, Alyssa Thomas","Jones, Hiedeman, Carrington, Thomas, Thomas",1627673-1629567-1630096-202662-203826,CON,369.0,2,11.0,12.0,23,3.0,5.0,7.0,2.0,5.0,1.0,89.7560975609756,14.454545454545455,17.5,13.727272727272727,16.25,6.0,4.0,,2.0,2.0,1.0,2.0,1.0,1.0,,5.0,1.0,1.0,8.0,4.0,,,1.0,1.0,,4.0,4.0,2.0,6.0,2.0,,1.0,,,,3.0,,1.0,1.0,0.25,0.4444444444444444,0.16666666666666666,0.4,0.6666666666666666,,0.5,0.4,,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.0,1.0,,0.5,1.0,0.5078583333333333,,7.88,24.3,,,,5.0,2.0,5.0,,,,,,,,,1.0,,3.0,,3.0,2.0,,6.0,3.0,,,,,,,,,1.25,,,,,,,,,0.3333333333333333,0.375,0.625,,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5,0.2,0.5,0.4,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.41745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1627675-1628280-1628304-1629567-1630115,1611661323,"Courtney Williams, Brionna Jones, Yvonne Anderson, Natisha Hiedeman, Joyner Holmes","Williams, Jones, Anderson, Hiedeman, Holmes",1627675-1628280-1628304-1629567-1630115,CON,13.0,1,1.0,,1,1.0,1.0,,,,,110.76923076923076,13.0,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1627675-1628280-1630096-202662-203826,1611661323,"Courtney Williams, Brionna Jones, DiJonai Carrington, Jasmine Thomas, Alyssa Thomas","Williams, Jones, Carrington, Thomas, Thomas",1627675-1628280-1630096-202662-203826,CON,43.0,1,1.0,2.0,3,,1.0,1.0,,1.0,,100.46511627906976,11.0,16.0,11.0,5.5,1.0,-2.0,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1628280-1628304-1630096-202662-203826,1611661323,"Brionna Jones, Yvonne Anderson, DiJonai Carrington, Jasmine Thomas, Alyssa Thomas","Jones, Anderson, Carrington, Thomas, Thomas",1628280-1628304-1630096-202662-203826,CON,159.0,1,4.0,4.0,8,1.0,1.0,3.0,,4.0,,72.45283018867924,24.25,15.5,24.25,12.75,3.0,-4.0,1.0,2.0,,1.0,1.0,,,,2.0,,,3.0,7.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,3.0,1.0,,,,0.375,,,0.3333333333333333,,0.3333333333333333,,,,0.5,0.5,,,,,,,0.3622,0.3688,14.1,,0.25,,,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,4.0,2.0,,1.0,,,,,,,,0.25,,,,,,,,0.5,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1628280-1629567-1630096-202662-203826,1611661323,"Brionna Jones, Natisha Hiedeman, DiJonai Carrington, Jasmine Thomas, Alyssa Thomas","Jones, Hiedeman, Carrington, Thomas, Thomas",1628280-1629567-1630096-202662-203826,CON,188.0,1,7.0,6.0,13,1.0,3.0,1.0,,1.0,1.0,99.57446808510639,14.428571428571429,14.5,14.428571428571429,11.5,3.0,-5.0,5.0,,,,,,1.0,1.0,2.0,1.0,2.0,5.0,10.0,1.0,,1.0,,,1.0,1.0,,1.0,2.0,1.0,,2.0,,2.0,5.0,5.0,0.5,0.5,0.625,0.625,0.5,0.6666666666666666,0.3333333333333333,,0.25,,,0.3333333333333333,,,0.25,,,0.5,1.0,,0.5859375,0.56755,1.7,24.1,0.7142857142857143,,1.0,,,,,1.0,,,2.0,,,1.0,2.0,,5.0,,,,3.0,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,1.0,2.0,,,,,3.0,,1.0,,,,,,1.0,,,,,,,,,0.5,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,0.25,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
1627673-1627675-1628280-1628304-1630096,1611661323,"Jonquel Jones, Courtney Williams, Brionna Jones, Yvonne Anderson, DiJonai Carrington","Jones, Williams, Jones, Anderson, Carrington",1627673-1627675-1628280-1628304-1630096,CON,188.0,2,5.0,5.0,10,,,1.0,,1.0,,76.59574468085107,23.4,14.2,22.2,14.2,3.0,-3.0,,,1.0,2.0,1.0,1.0,2.0,,4.0,1.0,2.0,7.0,10.0,,3.0,2.0,1.0,,,,1.0,1.0,,,1.0,,,,5.0,,0.5,0.5,0.5833333333333334,0.5833333333333334,0.3333333333333333,,,,,0.3333333333333333,,,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.5,,0.5,0.5,0.46810833333333335,,9.275,26.0,,1.0,2.0,,,2.0,,,,,4.0,,,2.0,2.0,1.0,4.0,,,,,1.0,1.0,,,,1.0,1.0,0.5,,,1.0,,,,,,0.5,0.5,1.0,0.16666666666666666,0.25,0.2857142857142857,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,0.5,,,,0.16666666666666666,,,,,0.5238,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2022,2022,True
