EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,Corner3Assists,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,DefLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShortMidRangeFGM,LongMidRangeFGA,ShortMidRangeAssists,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyDefPoss,PenaltyArc3FGA,FTDefRebounds,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,Fg2aBlocked,Blocked3s,BlockedArc3,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,BlocksRecoveredPct,LostBallSteals,DefShortMidRangeReboundPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SelfOReb,LostBallTurnovers,SecondChanceTurnovers,SelfORebPct,DeadBallTurnovers,DefCorner3ReboundPct,Fg3aBlocked,BadPassOutOfBoundsTurnovers,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,SecondChanceFtPoints,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,Offensive Fouls,Loose Ball Fouls,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LongMidRangeAssists,SecondChanceFg3Pct,OffArc3ReboundPct,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Offensive Fouls Drawn,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Travels,OffShortMidRangeReboundPct,ShortMidRangePctBlocked,BlockedLongMidRange,StepOutOfBoundsTurnovers,team_id,year,season,team_vs
1628244-1629477-1629546-203827-203828,1611661313,"Sami Whitcomb, Sabrina Ionescu, Marine Johannes, Natasha Howard, Stefanie Dolson","Whitcomb, Ionescu, Johannes, Howard, Dolson",1628244-1629477-1629546-203827-203828,NYL,218.0,1,4.0,5.0,7,7,1.0,14,3.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,1.0,13.0,8.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,11.0,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6,1.0,0.75,1.0,0.8125,1.0,0.375,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,92.4770642201835,17.714285714285715,13.428571428571429,17.714285714285715,13.428571428571429,0.5,0.75,0.75,0.3333333333333333,0.125,0.375,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.875,0.6666666666666666,0.582475,0.6879,0.25,0.2,0.3333333333333333,0.15384615384615385,2.88,23.833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-1629546-203827-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Marine Johannes, Natasha Howard, Betnijah Laney","Whitcomb, Ionescu, Johannes, Howard, Laney",1628244-1629477-1629546-203827-204335,NYL,46.0,1,1.0,,2,2,,4,,,,,1.0,,,,1.0,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,2.0,,,,,2.0,,,,,,,,,,0.5,,,,,,1.0,1.0,,,,1.0,125.21739130434781,10.0,13.0,10.0,13.0,,,,,1.0,,,,,,,,,0.4059,,,,,,12.1,,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,0.4059,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-1629546-203828-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Marine Johannes, Stefanie Dolson, Betnijah Laney","Whitcomb, Ionescu, Johannes, Dolson, Laney",1628244-1629477-1629546-203828-204335,NYL,168.0,2,3.0,2.0,5,5,,10,2.0,2.0,,,,,1.0,2.0,2.0,1.0,2.0,1.0,8.0,6.0,,,,,4.0,3.0,,,1.0,,,1.0,1.0,,,3.0,,1.0,2.0,3.0,,3.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,8.0,,,1.0,0.5,0.5,1.0,,0.875,,1.0,,0.5,1.0,0.5,,1.0,0.6,,,,1.0,85.71428571428572,14.2,19.4,14.2,13.6,0.5,1.0,1.0,,,0.25,,,,,,1.0,,0.63025,,0.25,0.5,,,0.75,23.8,3.0,1.0,,5.0,,,5.0,3.0,,1.25,0.6111,0.625,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-1629566-1630139-203827,1611661313,"Sami Whitcomb, Sabrina Ionescu, Han Xu, Jocelyn Willoughby, Natasha Howard","Whitcomb, Ionescu, Xu, Willoughby, Howard",1628244-1629477-1629566-1630139-203827,NYL,118.0,1,2.0,,3,2,,5,,,,,1.0,,1.0,1.0,2.0,,1.0,,2.0,2.0,,,,2.0,,,,,1.0,,1.0,,1.0,,,2.0,,,1.0,1.0,,1.0,,,,,,1.0,2.0,1.0,,,,,,2.0,1.0,1.0,,,,0.5,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,1.0,,,1.0,,,,,61.016949152542374,25.0,21.5,25.0,21.5,,,,,0.3333333333333333,0.3333333333333333,,,,,,0.3333333333333333,,0.3177166666666667,,,,,,12.25,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-1629566-1630446-1630459,1611661313,"Sami Whitcomb, Sabrina Ionescu, Han Xu, Michaela Onyenwere, DiDi Richards","Whitcomb, Ionescu, Xu, Onyenwere, Richards",1628244-1629477-1629566-1630446-1630459,NYL,132.0,1,2.0,-4.0,5,6,1.0,11,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,3.0,,2.0,6.0,1.0,1.0,2.0,2.0,,,,,1.0,,1.0,,1.0,,1.0,2.0,1.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,,,,0.5,1.0,0.2,1.0,0.2,1.0,0.6,1.0,,1.0,,,0.25,,,,119.99999999999999,18.0,7.0,17.0,7.0,0.2,1.0,1.0,1.0,,0.2,,,,1.0,1.0,0.8,,0.532,0.7393,,,,1.0,7.55,23.400000000000002,2.0,,,,,,,2.0,,,0.4863,,0.4,,,,2.0,,,,,1.0,,1.0,,,,,,,,0.4,,,,,,,,,1.0,,,,,0.2,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-1629566-1630446-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Han Xu, Michaela Onyenwere, Betnijah Laney","Whitcomb, Ionescu, Xu, Onyenwere, Laney",1628244-1629477-1629566-1630446-204335,NYL,110.0,1,2.0,3.0,4,4,1.0,8,1.0,2.0,,,2.0,1.0,1.0,2.0,4.0,1.0,1.0,,7.0,4.0,,1.0,,4.0,,3.0,,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,3.0,1.0,4.0,,,,,,1.0,1.0,,,,,,,7.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.7,,0.7,,0.2,,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,104.72727272727273,7.5,20.0,6.0,19.25,0.4,0.5,1.0,1.0,0.4,0.2,1.0,1.0,1.0,,,0.6,1.0,0.53443,0.4408,,,,,5.575,23.2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,1.0,,1.0,0.5,0.5,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,0.25,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-1629566-204296-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Han Xu, Rebecca Allen, Betnijah Laney","Whitcomb, Ionescu, Xu, Allen, Laney",1628244-1629477-1629566-204296-204335,NYL,112.0,1,2.0,1.0,4,4,,8,,2.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,5.0,4.0,,,,2.0,,,3.0,,1.0,1.0,1.0,,1.0,,,2.0,,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,5.0,1.0,1.0,,1.0,1.0,0.3333333333333333,,0.625,,0.625,,0.25,,1.0,,,1.0,,,,,102.85714285714286,15.0,13.0,15.0,13.0,0.5,,,,0.25,0.25,1.0,1.0,,,,0.75,1.0,0.4979375,,,,,,5.833333333333333,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,0.3333333333333333,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-1630139-203827-203828,1611661313,"Sami Whitcomb, Sabrina Ionescu, Jocelyn Willoughby, Natasha Howard, Stefanie Dolson","Whitcomb, Ionescu, Willoughby, Howard, Dolson",1628244-1629477-1630139-203827-203828,NYL,161.0,1,3.0,6.0,6,6,,12,3.0,3.0,,,,,1.0,4.0,4.0,,1.0,2.0,10.0,4.0,,,,2.0,6.0,,,,1.0,,1.0,,1.0,,1.0,2.0,,2.0,2.0,4.0,,4.0,,,,,,1.0,1.0,1.0,2.0,,,1.0,,10.0,0.25,0.25,,,,1.0,,0.8,,0.8333333333333334,,0.2,,1.0,,1.0,1.0,,,1.0,1.0,107.32919254658385,11.333333333333334,15.5,11.333333333333334,15.5,0.6,1.0,1.0,0.3333333333333333,,0.2,,,,,,0.8,,0.61707,,0.16666666666666666,0.2,,,6.025,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.2,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-203827-203828-204296,1611661313,"Sami Whitcomb, Sabrina Ionescu, Natasha Howard, Stefanie Dolson, Rebecca Allen","Whitcomb, Ionescu, Howard, Dolson, Allen",1628244-1629477-203827-203828-204296,NYL,104.0,1,2.0,,3,2,,5,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,0.5,,,,,69.23076923076923,19.0,23.5,19.0,16.5,,,,,0.5,0.5,,,,,,0.5,,0.4417,,,,,,11.1,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
1628244-1629477-203827-203828-204335,1611661313,"Sami Whitcomb, Sabrina Ionescu, Natasha Howard, Stefanie Dolson, Betnijah Laney","Whitcomb, Ionescu, Howard, Dolson, Laney",1628244-1629477-203827-203828-204335,NYL,111.0,1,2.0,4.0,4,4,1.0,8,2.0,3.0,,,1.0,,,3.0,4.0,,,,6.0,2.0,,,,4.0,2.0,,,,,,2.0,,2.0,,1.0,4.0,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,6.0,0.6666666666666666,0.6666666666666666,,,,0.75,,0.75,,0.75,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,103.78378378378378,13.0,14.75,11.75,14.75,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,,,,,,,0.75,,0.628625,,,,,,3.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2022,2022,True
