EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,SecondChanceOffPoss,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,FoulsDrawn,FTA,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,PenaltyDefPoss,SecondChanceArc3FGA,SecondChanceFG3A,AtRimAssists,FTDefRebounds,Loose Ball Fouls,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,PtsPutbacks,Fg3aBlocked,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,HeaveAttempts,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,Charge Fouls Drawn,Defensive 3 Seconds Violations,BlockedCorner3,Clear Path Fouls,HeaveMakes,Corner3PctBlocked,team_id,year,season,team_vs
1630113-1630389-201496-202664-203822,1611661329,"Ruthy Hebard, Dana Evans, Candace Parker, Courtney Vandersloot, Rebekah Gardner","Hebard, Evans, Parker, Vandersloot, Gardner",1630113-1630389-201496-202664-203822,CHI,76.0,1,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,113.6842105263158,12.0,13.333333333333334,12.0,11.333333333333334,0.5,1.0,1.0,0.5,0.5,0.46035,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1630113-1630389-1630993-201496-202664,1611661329,"Ruthy Hebard, Dana Evans, Anneli Maley, Candace Parker, Courtney Vandersloot","Hebard, Evans, Maley, Parker, Vandersloot",1630113-1630389-1630993-201496-202664,CHI,466.0,2,8.0,15.0,14.0,29.0,,1.0,8.0,3.0,10.0,10.0,6.0,,1.0,3.0,,,10.0,0.3,0.32142857142857145,0.32142857142857145,89.6137339055794,15.333333333333334,16.857142857142858,15.0,16.285714285714285,0.07142857142857142,,,0.5714285714285714,0.35714285714285715,0.4331785714285714,9.49,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,1.0,2.0,7.0,9.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.25,0.25,0.2857142857142857,0.1,0.125,0.6666666666666666,0.875,0.2,1.0,0.9,0.125,1.0,0.75,1.0,1.0,1.0,0.5,0.375,0.42857142857142855,1.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3798,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1630389-201496-202664-203416-203822,1611661329,"Dana Evans, Candace Parker, Courtney Vandersloot, Emma Meesseman, Rebekah Gardner","Evans, Parker, Vandersloot, Meesseman, Gardner",1630389-201496-202664-203416-203822,CHI,428.0,3,7.0,12.0,13.0,25.0,2.0,2.0,3.0,3.0,5.0,15.0,17.0,,,,4.0,,15.0,0.6,0.5454545454545454,0.5769230769230769,84.11214953271028,17.666666666666668,16.615384615384617,17.0,15.23076923076923,0.18181818181818182,1.0,1.0,0.2727272727272727,0.7272727272727273,0.5339318181818181,6.659999999999999,-2.0,1.0,1.0,,1.0,2.0,5.0,2.0,6.0,3.0,,6.0,6.0,5.0,2.0,,3.0,2.0,5.0,2.0,1.0,12.0,1.0,,,1.0,1.0,2.0,3.0,3.0,,,,,3.0,4.0,,,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5454545454545454,,,,,0.5,,,0.16666666666666666,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,0.09090909090909091,0.45454545454545453,0.4,0.4,1.0,0.4,0.56955,23.53333333333333,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.15384615384615385,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1627674-201496-201516-202664-203416,1611661329,"Kahleah Copper, Candace Parker, Allie Quigley, Courtney Vandersloot, Emma Meesseman","Copper, Parker, Quigley, Vandersloot, Meesseman",1627674-201496-201516-202664-203416,CHI,20214.0,23,337.0,677.0,675.0,1352.0,151.0,217.0,138.0,241.0,415.0,765.0,701.0,116.0,37.0,102.0,108.0,6.0,697.0,0.5807228915662651,0.5610367892976589,0.5891472868217055,96.31344612644702,14.385524372230428,15.518518518518519,13.97341211225997,15.068148148148149,0.362876254180602,0.695852534562212,0.7438423645320197,0.23076923076923078,0.6688963210702341,0.5308726588628763,6.34722891566265,64.0,59.0,67.0,60.0,36.0,45.0,147.0,63.0,183.0,94.0,45.0,366.0,177.0,147.0,45.0,21.0,183.0,59.0,242.0,41.0,47.0,543.0,40.0,75.0,186.0,270.0,67.0,337.0,58.0,47.0,65.0,48.0,17.0,7.0,123.0,116.0,5.0,31.0,19.0,32.0,24.0,0.7593360995850622,0.8061674008810573,0.9365079365079365,0.3442622950819672,0.3442622950819672,0.3060200668896321,0.05060240963855422,0.050724637681159424,0.6372549019607843,0.768595041322314,0.23391812865497075,0.8064516129032258,0.7791044776119403,0.23103448275862068,0.17142857142857143,0.7157894736842105,0.825,0.7761194029850746,0.8,0.75,0.4855072463768116,0.5114503816793893,0.7014925373134329,0.10033444816053512,0.06020066889632107,0.24581939799331104,0.30612244897959184,0.3082191780821918,0.9111111111111111,0.30612244897959184,0.5531686046511628,24.105464480874318,48.0,12.0,13.0,117.0,9.0,10.0,54.0,4.0,0.9,0.2714285714285714,0.7748344370860927,0.20689655172413793,0.08517350157728706,0.1197339246119734,47.0,21.0,27.0,13.0,19.0,23.0,18.0,1.0,1.0,2.0,3.0,10.0,28.0,2.0,6.0,68.0,17.0,32.0,3.0,11.0,19.0,62.0,12.0,28.0,1.0,18.0,19.0,27.0,12.0,11.0,13.0,5.0,3.0,6.0,4.0,44.0,2.0,4.0,12.0,18.0,11.0,1.0,1.0,1.0,11.0,54.0,42.0,5.0,0.15384615384615385,0.2727272727272727,0.6222222222222222,0.53125,0.5344827586206896,0.5,0.5666666666666667,0.5740740740740741,0.00546448087431694,0.06451612903225806,0.006802721088435374,0.226890756302521,0.22727272727272727,0.2079207920792079,0.3333333333333333,0.8260869565217391,0.04477611940298507,0.38333333333333336,0.38333333333333336,0.8260869565217391,0.5,0.5,1.0,0.46551724137931033,0.7777777777777778,0.3333333333333333,0.017241379310344827,0.16666666666666666,1.0,0.4418604651162791,0.6842105263157895,0.023255813953488372,0.23255813953488372,0.3,0.4987093023255814,0.08888888888888889,0.08104575163398693,0.06942392909896603,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1629574-1630113-1630389-201516-203822,1611661329,"Li Yueru, Ruthy Hebard, Dana Evans, Allie Quigley, Rebekah Gardner","Yueru, Hebard, Evans, Quigley, Gardner",1629574-1630113-1630389-201516-203822,CHI,260.0,1,4.0,7.0,9.0,16.0,2.0,3.0,1.0,2.0,4.0,6.0,7.0,2.0,1.0,1.0,1.0,,6.0,0.5,0.3333333333333333,0.42857142857142855,88.61538461538463,19.0,14.11111111111111,19.0,14.11111111111111,0.5,0.6666666666666666,1.0,0.16666666666666666,0.8333333333333334,0.52181,2.875,-1.0,,,,,,2.0,,2.0,2.0,,2.0,,1.0,,1.0,1.0,,1.0,,,2.0,,3.0,2.0,6.0,,6.0,,,,,,,3.0,2.0,,,,,,0.5,0.5,,,,0.3333333333333333,0.25,,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,0.3333333333333333,,,,,,40.6,1.0,,,1.0,1.0,,1.0,,1.0,,0.5,,0.14285714285714285,0.2,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1627674-1630389-201496-203416-203822,1611661329,"Kahleah Copper, Dana Evans, Candace Parker, Emma Meesseman, Rebekah Gardner","Copper, Evans, Parker, Meesseman, Gardner",1627674-1630389-201496-203416-203822,CHI,380.0,3,6.0,11.0,12.0,23.0,,,,4.0,4.0,14.0,13.0,,,2.0,3.0,,12.0,1.0,0.7777777777777778,0.7777777777777778,87.15789473684211,14.0,18.833333333333332,12.909090909090908,16.5,,,,,0.5555555555555556,0.4308,16.625,1.0,1.0,,4.0,1.0,1.0,4.0,2.0,5.0,,1.0,8.0,3.0,4.0,1.0,,4.0,1.0,5.0,,,11.0,,1.0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,,,3.0,,,1.0,,1.0,,1.0,1.0,0.5,0.4,0.4,0.5555555555555556,,,1.0,0.4,,1.0,0.5,0.3333333333333333,,,,0.6666666666666666,1.0,,,,,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.25,0.25,,0.25,,25.6,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,1.0,,,2.0,,,,,,,3.0,,,1.0,4.0,1.0,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,0.3333333333333333,,0.3333333333333333,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1628273-1630113-1630389-1630479-203416,1611661329,"Kaela Davis, Ruthy Hebard, Dana Evans, Sparkle Taylor, Emma Meesseman","Davis, Hebard, Evans, Taylor, Meesseman",1628273-1630113-1630389-1630479-203416,CHI,112.0,1,2.0,4.0,5.0,9.0,,,1.0,1.0,2.0,4.0,7.0,,,2.0,3.0,,4.0,0.5,0.5,0.6666666666666666,115.71428571428571,15.25,10.2,14.5,10.2,,,,0.5,,0.3976,13.1,-3.0,1.0,1.0,1.0,,,,,,2.0,,2.0,,,,,1.0,,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,3.0,,,2.0,2.0,,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,1.0,0.5,1.0,,0.5,1.0,1.0,0.5,,,,,1.0,1.0,1.0,0.5,,,,,,,,,3.0,,,,1.0,,1.0,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395,,,0.5,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1628922-1630113-1630389-1630993-202664,1611661329,"Azurá Stevens, Ruthy Hebard, Dana Evans, Anneli Maley, Courtney Vandersloot","Stevens, Hebard, Evans, Maley, Vandersloot",1628922-1630113-1630389-1630993-202664,CHI,113.0,1,2.0,2.0,2.0,4.0,,,,,1.0,,,,1.0,1.0,2.0,,,,,,50.97345132743363,21.5,35.0,21.5,25.0,,,,,0.5,0.410575,20.2,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,0.5,,,,1.0,,,0.3333333333333333,,,1.0,,,,,,,,0.5,,0.5,,,,,,23.4,2.0,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,0.410575,,,1.0,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1627674-1628922-1630113-1630389-201516,1611661329,"Kahleah Copper, Azurá Stevens, Ruthy Hebard, Dana Evans, Allie Quigley","Copper, Stevens, Hebard, Evans, Quigley",1627674-1628922-1630113-1630389-201516,CHI,142.0,1,2.0,6.0,5.0,11.0,1.0,2.0,1.0,2.0,3.0,7.0,5.0,2.0,1.0,1.0,1.0,,7.0,0.6666666666666666,0.6666666666666666,0.7,111.54929577464789,14.333333333333334,11.2,14.333333333333334,9.6,0.6666666666666666,0.5,1.0,0.3333333333333333,0.6666666666666666,0.4530666666666667,4.666666666666667,2.0,,1.0,,,,,,,3.0,,2.0,,,,1.0,1.0,,1.0,,1.0,2.0,,2.0,,2.0,,2.0,1.0,1.0,,,,,2.0,4.0,,,,1.0,1.0,0.5,0.5,,,,,0.3333333333333333,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,6.0,,,1.0,2.0,,,,,,,,,,,,2.0,3.0,,,3.0,7.0,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,1.0,,,7.0,6.0,2.0,,,,0.6666666666666666,,0.6666666666666666,,0.7,,0.5,,,,,,1.0,,,,,,,,,,,,,,0.6666666666666666,0.5,,,,0.4530666666666667,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
1627674-1630113-202664-203416-203822,1611661329,"Kahleah Copper, Ruthy Hebard, Courtney Vandersloot, Emma Meesseman, Rebekah Gardner","Copper, Hebard, Vandersloot, Meesseman, Gardner",1627674-1630113-202664-203416-203822,CHI,492.0,4,8.0,15.0,16.0,31.0,6.0,10.0,2.0,8.0,13.0,23.0,13.0,6.0,2.0,2.0,5.0,,19.0,0.6153846153846154,0.6875,0.71875,90.73170731707317,13.8,17.8125,13.466666666666667,17.0625,0.625,0.6,0.75,0.125,0.8125,0.560334375,3.853846153846154,10.0,3.0,1.0,1.0,,2.0,3.0,2.0,3.0,1.0,3.0,10.0,6.0,3.0,2.0,2.0,5.0,2.0,7.0,2.0,,16.0,3.0,4.0,3.0,7.0,3.0,10.0,3.0,3.0,,,,,2.0,1.0,,,,,,0.625,0.7142857142857143,1.0,0.6666666666666666,0.6666666666666666,0.1875,0.15384615384615385,,,0.6,0.6,0.8,0.7,0.5,,0.3333333333333333,1.0,1.0,0.75,,0.5,0.5,,0.0625,,0.1875,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6243333333333333,23.400000000000002,3.0,,,4.0,,,1.0,,,1.0,0.6666666666666666,,0.0625,0.07692307692307693,4.0,2.0,3.0,1.0,2.0,1.0,,,,,1.0,2.0,2.0,,,4.0,1.0,3.0,1.0,2.0,,5.0,,2.0,,,1.0,,,,1.0,,,1.0,,5.0,,,,1.0,,,,,,5.0,4.0,,,0.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.5,,0.2,,,0.5,,,1.0,,1.0,1.0,1.0,,,,1.0,0.6666666666666666,0.5,,,,0.4,0.5,,0.4,0.5,0.54704,0.17391304347826086,0.21739130434782608,0.26666666666666666,,,,,,,,,,,,,,,,,,,,1611661329,2022,2022,False
