EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,NonShootingPenaltyNonTakeFouls,FTDefRebounds,DefFTReboundPct,BlockedLongMidRange,PtsUnassisted3s,Charge Fouls Drawn,HeaveAttempts,StepOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,Technical Free Throw Trips,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1628890-201516-202650-202664-204323,1611661329,"Diamond DeShields, Allie Quigley, Jantel Lavender, Courtney Vandersloot, Cheyenne Parker","DeShields, Quigley, Lavender, Vandersloot, Parker",1628890-201516-202650-202664-204323,CHI,4202.0,18,70.0,42.0,141.0,135.0,31.0,16.0,23.0,276.0,27.0,46.0,10.0,16.0,8.0,10.0,10.0,26.0,13.0,22.0,1.0,12.0,1.0,2.0,2.0,8.0,26.0,2.0,2.0,6.0,50.0,94.0,9.0,38.0,36.0,163.0,121.0,12.0,22.0,1.0,4.0,4.0,31.0,12.0,26.0,2.0,8.0,14.0,44.0,44.0,56.0,27.0,12.0,26.0,8.0,11.0,22.0,9.0,31.0,8.0,1.0,15.0,4.0,3.0,71.0,10.0,18.0,14.0,31.0,45.0,28.0,73.0,5.0,18.0,10.0,8.0,9.0,4.0,5.0,13.0,1.0,4.0,2.0,22.0,1.0,8.0,34.0,3.0,1.0,2.0,28.0,1.0,1.0,41.0,3.0,1.0,15.0,2.0,5.0,5.0,1.0,1.0,3.0,2.0,6.0,3.0,132.0,44.0,31.0,4.0,0.44,0.5,1.0,0.23684210526315788,0.25,0.25,0.23684210526315788,0.5319148936170213,0.5454545454545454,0.46153846153846156,0.4810606060606061,0.5192307692307693,0.4411764705882353,0.5433333333333333,0.5535714285714286,0.5365853658536586,0.2878787878787879,0.11702127659574468,0.10869565217391304,0.23076923076923078,0.4090909090909091,0.7560975609756098,0.4186046511627907,0.6363636363636364,0.3448275862068966,0.7142857142857143,0.3888888888888889,0.5263157894736842,0.26666666666666666,0.4444444444444444,0.3888888888888889,0.2727272727272727,0.8823529411764706,0.7142857142857143,0.6470588235294118,0.6470588235294118,0.6,0.08064516129032258,94.58353165159448,0.5,14.907801418439716,15.555555555555555,13.687943262411348,14.792592592592593,0.3484848484848485,0.5869565217391305,0.6585365853658537,0.5555555555555556,0.19696969696969696,0.38461538461538464,0.5,0.4,0.16666666666666666,0.5909090909090909,0.5909090909090909,0.23076923076923078,0.09090909090909091,0.08333333333333333,0.08333333333333333,1.0,0.19696969696969696,0.3076923076923077,0.3076923076923077,1.0,0.6153846153846154,0.625,0.4,0.07692307692307693,0.5,1.0,0.07692307692307693,0.29411764705882354,0.8,0.058823529411764705,0.17647058823529413,0.3333333333333333,0.6363636363636364,0.3076923076923077,0.507769696969697,0.5496027777777778,0.47818970588235293,0.11724137931034483,0.14150943396226415,0.05128205128205128,0.1901840490797546,0.26993865030674846,7.209574468085107,24.278947368421054,0.2198581560283688,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628890-1628931-1629478-203828,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Katie Lou Samuelson, Stefanie Dolson","Copper, DeShields, Williams, Lou Samuelson, Dolson",1627674-1628890-1628931-1629478-203828,CHI,83.0,1,1.0,,3.0,3.0,,,,6.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,104.09638554216868,,13.333333333333334,14.333333333333334,13.333333333333334,14.333333333333334,0.5,1.0,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,0.564525,,,,,,,,1.4,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628890-1628931-1629478-203838,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Katie Lou Samuelson, Astou Ndour","Copper, DeShields, Williams, Lou Samuelson, Ndour",1627674-1628890-1628931-1629478-203838,CHI,46.0,1,1.0,-1.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,3.0,4.0,,,,,,,1.0,1.0,,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,1.0,,,,,,,,3.0,3.0,2.0,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,0.75,,0.75,,,,,,,,,,,,,,,,,,,,,,,125.21739130434781,,13.0,10.0,13.0,10.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3883,,0.3883,,,,,1.0,7.2,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628890-1628931-201516-204323,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Allie Quigley, Cheyenne Parker","Copper, DeShields, Williams, Quigley, Parker",1627674-1628890-1628931-201516-204323,CHI,405.0,1,7.0,-10.0,14.0,16.0,,5.0,,30.0,1.0,1.0,,,,,1.0,3.0,1.0,2.0,,1.0,,,,1.0,3.0,,,,3.0,6.0,1.0,4.0,2.0,11.0,21.0,,,,,,,,,,,,,,6.0,3.0,,3.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,2.0,2.0,5.0,,5.0,,1.0,,1.0,3.0,,2.0,,,1.0,,3.0,,2.0,2.0,,,,2.0,,,2.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,11.0,,,,,,1.0,0.25,,,0.25,0.5,,,0.45,,,0.5,,,0.4,,,,1.0,0.6666666666666666,,1.0,,0.8,,,,,,,0.5,1.0,,1.0,1.0,,106.66666666666667,1.0,16.357142857142858,11.0,16.357142857142858,11.0,0.1,1.0,1.0,,0.3,0.3333333333333333,0.3333333333333333,,0.2,0.5,0.5,,0.1,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,0.5,0.3333333333333333,0.45965999999999996,,,0.09090909090909091,0.14285714285714285,,,,11.200000000000001,23.75,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628890-1628931-202650-203838,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Jantel Lavender, Astou Ndour","Copper, DeShields, Williams, Lavender, Ndour",1627674-1628890-1628931-202650-203838,CHI,4.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,35.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628890-1628931-202664-203838,1611661329,"Kahleah Copper, Diamond DeShields, Gabby Williams, Courtney Vandersloot, Astou Ndour","Copper, DeShields, Williams, Vandersloot, Ndour",1627674-1628890-1628931-202664-203838,CHI,18.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628890-201516-203828-203838,1611661329,"Kahleah Copper, Diamond DeShields, Allie Quigley, Stefanie Dolson, Astou Ndour","Copper, DeShields, Quigley, Dolson, Ndour",1627674-1628890-201516-203828-203838,CHI,49.0,1,1.0,,1.0,2.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,88.16326530612245,,20.0,14.5,20.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628890-202650-203857-204323,1611661329,"Kahleah Copper, Diamond DeShields, Jantel Lavender, Jamierra Faulkner, Cheyenne Parker","Copper, DeShields, Lavender, Faulkner, Parker",1627674-1628890-202650-203857-204323,CHI,117.0,1,2.0,,3.0,4.0,2.0,2.0,1.0,7.0,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,1.0,4.0,,,,2.0,2.0,,1.0,,,,,1.0,2.0,,,,2.0,2.0,,,,,,,1.0,,1.0,,,,,1.0,2.0,,1.0,,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,,,,,,0.25,,0.5,0.25,,0.5,0.25,,0.5,,,,,,1.0,0.3333333333333333,,,0.5,0.3333333333333333,,0.5,,,,,,1.0,,,,86.15384615384616,1.0,17.0,16.5,15.333333333333334,13.5,,,,,0.5,,,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,0.421525,0.4339,0.41925,,,,,1.0,12.225,,0.6666666666666666,,,,1.0,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628931-1629478-1629505-203838,1611661329,"Kahleah Copper, Gabby Williams, Katie Lou Samuelson, Chloe Jackson, Astou Ndour","Copper, Williams, Lou Samuelson, Jackson, Ndour",1627674-1628931-1629478-1629505-203838,CHI,58.0,1,1.0,3.0,2.0,3.0,2.0,,,5.0,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,,,1.0,2.0,,3.0,,,,,,,,,,1.0,2.0,,3.0,,,3.0,,2.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,,,1.0,0.5,,0.5,0.5,,,,0.75,,0.75,0.75,,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,124.13793103448276,,12.0,11.333333333333334,12.0,11.333333333333334,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,1.0,0.5,1.0,0.5,0.44715,,0.44715,,,,,1.0,,24.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
1627674-1628931-1629478-201516-202650,1611661329,"Kahleah Copper, Gabby Williams, Katie Lou Samuelson, Allie Quigley, Jantel Lavender","Copper, Williams, Lou Samuelson, Quigley, Lavender",1627674-1628931-1629478-201516-202650,CHI,56.0,1,1.0,4.0,3.0,2.0,,,,5.0,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,,1.0,,4.0,,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,,0.6666666666666666,,,0.6666666666666666,,,0.3333333333333333,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,128.57142857142856,,6.333333333333333,18.5,6.333333333333333,18.5,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,0.6591166666666667,,,,,,,,1.15,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,1611661329,2019,2019,True
