EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BlockedLongMidRange,HeaveAttempts,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,team_id,year,season,team_vs
1628279-201904-202638-203026-204322,1611661330,"Brittney Sykes, Renee Montgomery, Jessica Breland, Tiffany Hayes, Elizabeth Williams","Sykes, Montgomery, Breland, Hayes, Williams",1628279-201904-202638-203026-204322,ATL,16633.0,27,277.0,-5.0,527.0,527.0,56.0,74.0,79.0,1054.0,77.0,161.0,22.0,42.0,8.0,17.0,35.0,113.0,38.0,94.0,7.0,27.0,1.0,4.0,31.0,106.0,3.0,10.0,1.0,6.0,150.0,368.0,38.0,133.0,73.0,487.0,492.0,30.0,69.0,3.0,11.0,27.0,96.0,10.0,34.0,1.0,10.0,25.0,48.0,180.0,120.0,99.0,15.0,30.0,106.0,31.0,49.0,90.0,33.0,123.0,26.0,7.0,47.0,20.0,23.0,279.0,27.0,74.0,81.0,140.0,10.0,231.0,101.0,332.0,14.0,42.0,24.0,18.0,44.0,11.0,30.0,45.0,5.0,14.0,3.0,3.0,89.0,7.0,10.0,47.0,108.0,4.0,3.0,11.0,95.0,3.0,10.0,3.0,93.0,9.0,3.0,40.0,1.0,8.0,38.0,1.0,1.0,22.0,16.0,39.0,18.0,1.0,391.0,43.0,53.0,4.0,5.0,0.6,0.6666666666666666,0.868421052631579,0.2857142857142857,0.2727272727272727,0.1,0.2857142857142857,0.4076086956521739,0.43478260869565216,0.29411764705882354,0.41317365269461076,0.43125,0.26136363636363635,0.44824399260628467,0.510752688172043,0.4067796610169492,0.2654690618762475,0.1331521739130435,0.19254658385093168,0.1504424778761062,0.010638297872340425,0.4943820224719101,0.7692307692307693,0.7291666666666666,0.34418604651162793,0.7864077669902912,0.28421052631578947,0.7491525423728813,0.3258064516129032,0.27710843373493976,0.42857142857142855,0.32727272727272727,0.26666666666666666,0.35,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.7721518987341772,0.8333333333333334,0.05343511450381679,91.24992484819336,0.46153846153846156,15.282732447817837,16.278937381404173,14.396584440227704,15.578747628083491,0.3213572854291417,0.4782608695652174,0.5923076923076923,0.6103896103896104,0.22554890219560877,0.30973451327433627,0.3645833333333333,0.5714285714285714,0.18762475049900199,0.40425531914893614,0.40860215053763443,0.6052631578947368,0.05389221556886228,0.25925925925925924,0.25925925925925924,1.0,0.21157684630738524,0.29245283018867924,0.29245283018867924,0.8387096774193549,0.525,0.5238095238095238,0.18181818181818182,0.0125,0.125,0.3,1.0,0.38636363636363635,0.47058823529411764,0.09090909090909091,0.13636363636363635,0.16666666666666666,0.5868263473053892,0.29245283018867924,0.5091245508982036,0.5356803278688524,0.49927272727272726,0.07692307692307693,0.10025062656641603,0.007462686567164179,0.1971252566735113,0.09856262833675565,7.961413043478261,24.24360902255639,0.1062618595825427,,,,,,,,,,,,,,1611661330,2019,2019,True
1628269-201904-202638-203026-204322,1611661330,"Nia Coffey, Renee Montgomery, Jessica Breland, Tiffany Hayes, Elizabeth Williams","Coffey, Montgomery, Breland, Hayes, Williams",1628269-201904-202638-203026-204322,ATL,3492.0,8,58.0,52.0,111.0,111.0,12.0,15.0,20.0,222.0,20.0,29.0,5.0,8.0,,,5.0,16.0,6.0,18.0,2.0,12.0,1.0,2.0,17.0,31.0,3.0,3.0,1.0,2.0,31.0,63.0,19.0,43.0,18.0,137.0,85.0,5.0,11.0,3.0,4.0,4.0,23.0,,4.0,1.0,4.0,5.0,8.0,32.0,30.0,51.0,6.0,6.0,31.0,17.0,1.0,16.0,17.0,33.0,15.0,2.0,10.0,4.0,2.0,83.0,10.0,9.0,14.0,30.0,3.0,47.0,19.0,66.0,2.0,18.0,14.0,4.0,8.0,1.0,4.0,5.0,,4.0,1.0,1.0,13.0,3.0,2.0,11.0,30.0,,3.0,,23.0,1.0,1.0,2.0,26.0,2.0,1.0,11.0,,3.0,8.0,,,2.0,5.0,8.0,5.0,,114.0,8.0,12.0,4.0,2.0,0.5161290322580645,0.5714285714285714,0.8947368421052632,0.4418604651162791,0.75,0.25,0.4418604651162791,0.49206349206349204,0.45454545454545453,,0.5613207547169812,0.6333333333333333,0.1875,0.576271186440678,0.6764705882352942,0.36363636363636365,0.4056603773584906,0.015873015873015872,,0.0625,,0.6153846153846154,0.75,0.6818181818181818,0.2903225806451613,0.8235294117647058,0.4166666666666667,0.7213114754098361,0.34545454545454546,0.1111111111111111,0.4,0.3333333333333333,0.42857142857142855,0.4,0.5384615384615384,0.7692307692307693,0.7222222222222222,0.9090909090909091,0.6666666666666666,0.037037037037037035,91.54639175257732,0.625,14.9009009009009,16.55855855855856,13.936936936936936,15.693693693693694,0.27358490566037735,0.6896551724137931,0.6896551724137931,0.5,0.1509433962264151,0.3125,0.3333333333333333,0.8,0.16981132075471697,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.11320754716981132,0.16666666666666666,0.16666666666666666,1.0,0.29245283018867924,0.5483870967741935,0.5483870967741935,0.8823529411764706,0.5333333333333333,0.625,0.2,0.06666666666666667,0.2,1.0,0.6666666666666666,,,0.25,0.25,0.5,0.6792452830188679,0.5483870967741935,0.5355254716981133,0.5635428571428571,0.468375,0.09565217391304348,0.1527777777777778,,0.1678832116788321,0.058394160583941604,7.776190476190476,24.020930232558143,0.10810810810810811,1.0,,,,,,,,,,,,,1611661330,2019,2019,True
1628279-201904-202638-203410-204322,1611661330,"Brittney Sykes, Renee Montgomery, Jessica Breland, Alex Bentley, Elizabeth Williams","Sykes, Montgomery, Breland, Bentley, Williams",1628279-201904-202638-203410-204322,ATL,4014.0,11,67.0,53.0,129.0,127.0,7.0,12.0,16.0,256.0,22.0,29.0,7.0,9.0,1.0,2.0,19.0,33.0,9.0,20.0,,3.0,,,12.0,37.0,1.0,4.0,,3.0,50.0,82.0,12.0,40.0,22.0,158.0,105.0,11.0,15.0,1.0,4.0,,25.0,2.0,3.0,,3.0,5.0,9.0,62.0,38.0,36.0,,10.0,36.0,12.0,3.0,31.0,12.0,43.0,12.0,,12.0,14.0,5.0,98.0,8.0,15.0,20.0,36.0,,56.0,23.0,79.0,3.0,9.0,7.0,2.0,8.0,4.0,6.0,12.0,2.0,2.0,,,20.0,1.0,1.0,6.0,20.0,1.0,,4.0,27.0,1.0,1.0,1.0,24.0,1.0,,7.0,1.0,4.0,4.0,1.0,1.0,2.0,,5.0,2.0,,133.0,9.0,7.0,2.0,2.0,0.62,0.6888888888888889,1.0,0.3,0.25,,0.3076923076923077,0.6097560975609756,0.7333333333333333,0.6666666666666666,0.5573770491803278,0.6578947368421053,0.3333333333333333,0.5939849624060151,0.6578947368421053,0.5,0.32786885245901637,0.036585365853658534,0.034482758620689655,0.06060606060606061,,0.4,,0.7058823529411765,0.46875,0.8333333333333334,0.2962962962962963,0.7466666666666667,0.3898305084745763,0.5714285714285714,0.5,0.36363636363636365,0.2916666666666667,0.3333333333333333,0.625,0.875,0.7037037037037037,0.7777777777777778,1.0,0.05357142857142857,91.83856502242152,0.4,14.643410852713178,16.73228346456693,13.992248062015504,15.795275590551181,0.23770491803278687,0.7586206896551724,0.7857142857142857,0.5454545454545454,0.27049180327868855,0.5757575757575758,0.6129032258064516,0.7368421052631579,0.16393442622950818,0.45,0.45,0.5555555555555556,0.02459016393442623,,,,0.30327868852459017,0.32432432432432434,0.32432432432432434,1.0,0.47368421052631576,0.7777777777777778,0.2857142857142857,,0.21052631578947367,0.25,1.0,0.3333333333333333,0.5,,0.5,,0.5655737704918032,0.3333333333333333,0.4989520661157025,0.5625916666666667,0.44965,0.06201550387596899,0.07954545454545454,0.024390243902439025,0.15822784810126583,0.056962025316455694,7.604878048780488,25.535,0.05426356589147287,2.0,1.0,,,,,,,,,,,,1611661330,2019,2019,True
1628268-1628269-1628279-1628881-203410,1611661330,"Alaina Coates, Nia Coffey, Brittney Sykes, Monique Billings, Alex Bentley","Coates, Coffey, Sykes, Billings, Bentley",1628268-1628269-1628279-1628881-203410,ATL,187.0,1,3.0,11.0,7.0,6.0,2.0,4.0,1.0,13.0,,,,,,,4.0,4.0,,,,,,,2.0,4.0,,,1.0,1.0,4.0,4.0,2.0,4.0,1.0,15.0,4.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,5.0,2.0,6.0,,6.0,,4.0,2.0,,1.0,,1.0,,,,1.0,,2.0,1.0,,1.0,1.0,,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,13.0,5.0,2.0,,,0.25,0.25,,0.5,,1.0,0.5,1.0,1.0,1.0,0.875,1.0,1.25,0.9375,1.0,1.25,0.5,,,,,,,0.5,,1.0,0.5,0.6666666666666666,0.5,,,,0.5,,,,1.0,1.0,,0.5,100.10695187165776,,13.285714285714286,15.666666666666666,12.571428571428571,15.666666666666666,,,,,0.5,1.0,1.0,0.25,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,0.5,1.0,0.5,0.5,0.41251875,,0.394175,0.125,0.25,,0.13333333333333333,0.3333333333333333,8.425,25.925,0.2857142857142857,,,,,,,,,,,,,,1611661330,2019,2019,True
1628268-1628269-1628881-1629569-203026,1611661330,"Alaina Coates, Nia Coffey, Monique Billings, Maite Cazorla, Tiffany Hayes","Coates, Coffey, Billings, Cazorla, Hayes",1628268-1628269-1628881-1629569-203026,ATL,356.0,3,6.0,,14.0,14.0,2.0,11.0,1.0,28.0,3.0,4.0,,1.0,1.0,2.0,,2.0,1.0,1.0,,1.0,,,,4.0,,,,1.0,4.0,7.0,,5.0,2.0,10.0,10.0,,1.0,,,,,1.0,2.0,,1.0,,2.0,6.0,2.0,,,,4.0,,1.0,3.0,,3.0,,,2.0,,1.0,6.0,2.0,,1.0,2.0,1.0,4.0,2.0,6.0,,4.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,3.0,,,1.0,5.0,,,,2.0,,1.0,,2.0,,,1.0,,,,,,,,,,,10.0,2.0,2.0,3.0,,0.75,0.75,,,,,,0.5714285714285714,,0.5,0.3333333333333333,,0.3333333333333333,0.38461538461538464,,0.3333333333333333,0.4166666666666667,0.14285714285714285,,0.5,,0.3333333333333333,1.0,1.0,,1.0,0.4,1.0,0.25,,,,0.5,,,1.0,1.0,1.0,,,113.25842696629213,,13.357142857142858,12.071428571428571,12.928571428571429,12.071428571428571,0.3333333333333333,0.75,0.75,0.6666666666666666,0.16666666666666666,,,,0.08333333333333333,1.0,1.0,1.0,0.08333333333333333,,,,0.3333333333333333,,,,1.0,,,,,,,0.6666666666666666,0.5,,0.3333333333333333,,0.75,,0.5260333333333334,,0.5166166666666666,0.07692307692307693,0.125,,,0.2,5.957142857142857,24.880000000000003,0.14285714285714285,,,,,,,,,,,,,,1611661330,2019,2019,True
1628268-1628279-1628895-1629569-201904,1611661330,"Alaina Coates, Brittney Sykes, Marie Gülich, Maite Cazorla, Renee Montgomery","Coates, Sykes, Gülich, Cazorla, Montgomery",1628268-1628279-1628895-1629569-201904,ATL,140.0,1,2.0,,5.0,5.0,,,1.0,10.0,,3.0,,1.0,,,,,,,,,,,,2.0,,,,,,3.0,,2.0,2.0,2.0,2.0,,1.0,,,2.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,1.0,1.0,2.0,2.0,4.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.5,,0.4,,,,,1.0,1.0,1.0,0.6666666666666666,,,1.0,0.4,0.6666666666666666,,,,,1.0,,,,,,102.85714285714285,,16.6,11.4,14.4,11.4,0.6,,,,,,,,,,,,,,,,0.4,,,,1.0,,,,,,,,,,,,1.0,,0.67858,0.6527,,0.16666666666666666,0.25,,1.0,,0.5333333333333333,24.05,,,,,,,,,,,,,,,1611661330,2019,2019,True
1628268-1628279-201904-203410-204322,1611661330,"Alaina Coates, Brittney Sykes, Renee Montgomery, Alex Bentley, Elizabeth Williams","Coates, Sykes, Montgomery, Bentley, Williams",1628268-1628279-201904-203410-204322,ATL,127.0,1,2.0,-1.0,5.0,5.0,5.0,5.0,1.0,10.0,1.0,2.0,,,1.0,2.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,2.0,4.0,,1.0,,4.0,5.0,,,,,,,2.0,4.0,,1.0,,4.0,4.0,,,,,,,2.0,2.0,,2.0,,,1.0,1.0,,4.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,1.0,,,3.0,,,3.0,,3.0,1.0,,4.0,4.0,5.0,1.0,,1.0,1.0,,,,,,0.5,,0.5,0.4,,0.4,0.3333333333333333,,0.3333333333333333,0.2,0.5,0.5,,1.0,,,0.3333333333333333,0.5,1.0,,0.5,0.3333333333333333,1.0,,,,,0.3333333333333333,,,1.0,,,113.38582677165354,0.3333333333333333,10.8,14.6,10.2,13.0,0.4,0.5,1.0,1.0,0.2,1.0,1.0,1.0,0.2,,,,0.2,,,,,,,,,,,,,,,0.4,0.5,0.2,,,0.6,,0.5654399999999999,,0.5654399999999999,0.16666666666666666,0.2,,,1.0,6.675,22.2,1.0,,,,,,,,,,,,,,1611661330,2019,2019,True
1628268-1628881-1629569-203026-203410,1611661330,"Alaina Coates, Monique Billings, Maite Cazorla, Tiffany Hayes, Alex Bentley","Coates, Billings, Cazorla, Hayes, Bentley",1628268-1628881-1629569-203026-203410,ATL,46.0,1,1.0,2.0,2.0,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,2.0,,1.0,,2.0,,,1.0,,,1.0,,,1.0,,1.0,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,0.25,,,,0.25,,,,,,,0.3333333333333333,,,,,,93.91304347826086,,14.0,18.0,14.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,0.5,,,,,,,,,,,,,,1611661330,2019,2019,True
1628268-1629569-201904-203410-204322,1611661330,"Alaina Coates, Maite Cazorla, Renee Montgomery, Alex Bentley, Elizabeth Williams","Coates, Cazorla, Montgomery, Bentley, Williams",1628268-1629569-201904-203410-204322,ATL,93.0,1,2.0,-2.0,3.0,4.0,,,1.0,7.0,,1.0,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,,3.0,5.0,,,1.0,1.0,,3.0,,,,,,,,,3.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,3.0,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,0.375,1.5,,0.375,1.5,,0.25,0.6666666666666666,1.0,1.0,,,,0.25,0.3333333333333333,,,0.25,0.3333333333333333,,1.0,,,,,0.5,,,,,108.38709677419355,,14.0,12.75,13.333333333333334,12.0,0.25,,,,0.25,,,,0.25,,,,,,,,0.25,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,0.5,1.0,0.4969375,0.46935,,,,,1.0,,8.433333333333334,23.7,,,,,,,,,,,,,,,1611661330,2019,2019,True
1628269-1628279-1628881-201904-203026,1611661330,"Nia Coffey, Brittney Sykes, Monique Billings, Renee Montgomery, Tiffany Hayes","Coffey, Sykes, Billings, Montgomery, Hayes",1628269-1628279-1628881-201904-203026,ATL,272.0,2,5.0,2.0,7.0,8.0,,6.0,2.0,15.0,2.0,4.0,,1.0,,,,2.0,2.0,4.0,,,,,,,,,,,4.0,10.0,,,,8.0,6.0,1.0,3.0,,,,2.0,,,,,,,4.0,4.0,,,,,,2.0,2.0,,2.0,,,,,2.0,4.0,,3.0,1.0,3.0,1.0,5.0,3.0,8.0,,,,,,,,,,,,,,,,,3.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,6.0,,,1.0,,0.5,0.5,,,,,,0.4,0.3333333333333333,,0.4,0.3333333333333333,,0.4,0.3333333333333333,,,0.2,0.5,,,,1.0,1.0,0.5,1.0,,1.0,0.5,0.5,0.5,0.5,,,1.0,,1.0,1.0,,,79.41176470588235,,21.857142857142858,14.875,19.428571428571427,14.875,0.4,0.5,1.0,,0.2,,,,0.4,0.5,0.5,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,0.4,,0.4492,0.3453,,,,,0.25,,9.02,,,,,,,,,,,,,,,,1611661330,2019,2019,True
