EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Charge Fouls,Technical Free Throw Trips,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,PenaltyCorner3FGM,BlockedLongMidRange,PenaltyCorner3Accuracy,BlockedCorner3,team_id,year,season,team_vs
1628915-1629476-202250-204327-204334,1611661313,"Kia Nurse, Asia Durr, Tina Charles, Brittany Boyd, Reshanda Gray","Nurse, Durr, Charles, Boyd, Gray",1628915-1629476-202250-204327-204334,NYL,5123.0,13,85.0,-47.0,170.0,172.0,16.0,39.0,22.0,342.0,30.0,53.0,6.0,11.0,3.0,4.0,15.0,42.0,6.0,23.0,1.0,5.0,1.0,8.0,24.0,1.0,3.0,3.0,51.0,118.0,9.0,29.0,20.0,149.0,196.0,8.0,16.0,1.0,3.0,2.0,21.0,5.0,9.0,4.0,5.0,15.0,44.0,58.0,24.0,3.0,6.0,24.0,8.0,11.0,22.0,8.0,30.0,7.0,1.0,14.0,5.0,3.0,68.0,3.0,20.0,23.0,31.0,4.0,58.0,23.0,81.0,2.0,16.0,9.0,7.0,15.0,5.0,8.0,19.0,3.0,7.0,1.0,2.0,34.0,3.0,2.0,17.0,38.0,5.0,3.0,32.0,2.0,4.0,29.0,3.0,13.0,3.0,8.0,5.0,3.0,8.0,5.0,1.0,128.0,15.0,15.0,3.0,2.0,0.43137254901960786,0.4583333333333333,0.8888888888888888,0.3103448275862069,0.3333333333333333,0.3103448275862069,0.4322033898305085,0.5,0.5555555555555556,0.4387755102040816,0.5,0.38461538461538464,0.465625,0.5,0.4411764705882353,0.19727891156462585,0.09322033898305085,0.1320754716981132,0.07142857142857142,0.043478260869565216,0.4411764705882353,0.8,0.6078431372549019,0.30303030303030304,0.71875,0.15789473684210525,0.6506024096385542,0.27058823529411763,0.4090909090909091,0.3333333333333333,0.11764705882352941,0.13333333333333333,0.25,0.47368421052631576,0.7777777777777778,0.5714285714285714,0.7407407407407407,0.6,0.02666666666666667,96.13117314073784,0.625,15.205882352941176,14.755813953488373,14.66470588235294,13.709302325581396,0.36054421768707484,0.5660377358490566,0.6521739130434783,0.4666666666666667,0.2857142857142857,0.35714285714285715,0.38461538461538464,0.3333333333333333,0.1564625850340136,0.2608695652173913,0.2727272727272727,0.5,0.034013605442176874,0.2,0.2,1.0,0.16326530612244897,0.3333333333333333,0.3333333333333333,0.875,0.5789473684210527,0.5454545454545454,0.16666666666666666,0.15789473684210525,0.3333333333333333,1.0,0.3076923076923077,0.75,0.07692307692307693,0.23076923076923078,0.5578231292517006,0.3333333333333333,0.5037384353741496,0.4824472222222222,0.4063153846153846,0.08280254777070063,0.1015625,0.14093959731543623,0.10067114093959731,7.46271186440678,24.451724137931034,0.09411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628248-1629476-1629566-204296-204327,1611661313,"Nayo Raincock-Ekunwe, Asia Durr, Han Xu, Rebecca Allen, Brittany Boyd","Raincock-Ekunwe, Durr, Xu, Allen, Boyd",1628248-1629476-1629566-204296-204327,NYL,177.0,2,3.0,3.0,7.0,6.0,7.0,6.0,1.0,13.0,,1.0,,,,1.0,,,1.0,3.0,,,,,1.0,,,1.0,1.0,4.0,,1.0,3.0,5.0,2.0,,,,,2.0,2.0,1.0,4.0,1.0,3.0,5.0,2.0,,,,,1.0,,,1.0,,1.0,,,,,1.0,2.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,2.0,,2.0,,1.0,,2.0,,,,,2.0,,2.0,,1.0,,,1.0,1.0,,3.0,,,1.0,,,,,,,3.0,5.0,7.0,,1.0,1.0,1.0,,,,,0.25,,0.25,0.2,,0.2,0.3333333333333333,1.0,0.3333333333333333,0.2,,,,,,,1.0,0.3333333333333333,1.0,,1.0,0.3333333333333333,,,0.5,,,,,1.0,1.0,,,105.76271186440677,,14.714285714285714,12.333333333333334,14.714285714285714,12.333333333333334,0.2,,,,,,,,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,,,,,,,,,,0.2,,,0.2,0.4,,0.35344000000000003,,0.35344000000000003,,,0.4,1.0,14.025,31.7,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628248-1629476-203829-204296-204334,1611661313,"Nayo Raincock-Ekunwe, Asia Durr, Bria Hartley, Rebecca Allen, Reshanda Gray","Raincock-Ekunwe, Durr, Hartley, Allen, Gray",1628248-1629476-203829-204296-204334,NYL,68.0,1,1.0,-3.0,2.0,3.0,,,1.0,5.0,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,2.0,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.5,,,1.0,,,,0.5,,,,0.3333333333333333,1.0,,,,,,,,,,,105.88235294117648,,15.0,12.666666666666666,10.0,12.666666666666666,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,1.0,,,,,,,0.6666666666666666,,0.5524666666666667,0.6108,,,,,,9.5,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628248-1629546-1629566-203829-204296,1611661313,"Nayo Raincock-Ekunwe, Marine Johannes, Han Xu, Bria Hartley, Rebecca Allen","Raincock-Ekunwe, Johannes, Xu, Hartley, Allen",1628248-1629546-1629566-203829-204296,NYL,640.0,3,11.0,16.0,23.0,22.0,10.0,,3.0,45.0,5.0,7.0,1.0,1.0,3.0,3.0,,2.0,3.0,5.0,,,,2.0,4.0,,,3.0,8.0,14.0,2.0,4.0,8.0,30.0,14.0,2.0,2.0,,,,4.0,4.0,7.0,3.0,3.0,14.0,10.0,6.0,6.0,,2.0,4.0,2.0,1.0,5.0,2.0,7.0,2.0,,3.0,,2.0,16.0,1.0,1.0,2.0,5.0,,7.0,2.0,9.0,,4.0,2.0,2.0,,2.0,,3.0,,,,,3.0,1.0,1.0,,1.0,1.0,,5.0,,,9.0,1.0,4.0,1.0,,,,,,,26.0,14.0,10.0,,1.0,0.625,0.7142857142857143,1.0,0.5,,0.5,0.5714285714285714,1.0,0.5714285714285714,0.6111111111111112,1.0,0.55,0.6818181818181818,1.0,0.6363636363636364,0.2222222222222222,0.07142857142857142,0.14285714285714285,,,,,1.0,0.16666666666666666,0.6666666666666666,0.5,0.875,0.25,,0.5,,0.5,,1.0,1.0,1.0,1.0,,,101.25,,11.434782608695652,17.136363636363637,11.347826086956522,17.136363636363637,0.3888888888888889,0.7142857142857143,0.8333333333333334,0.6,0.1111111111111111,,,,0.2777777777777778,0.6,0.6,0.6666666666666666,,,,,0.2222222222222222,0.5,0.5,1.0,0.5,1.0,,,,,0.3,1.0,,0.3,0.6111111111111112,0.5,0.5075722222222222,0.4755,0.5038,0.19047619047619047,0.23529411764705882,0.13333333333333333,0.4666666666666667,9.178571428571429,25.0,0.43478260869565216,,,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628248-1629546-202250-203829-204296,1611661313,"Nayo Raincock-Ekunwe, Marine Johannes, Tina Charles, Bria Hartley, Rebecca Allen","Raincock-Ekunwe, Johannes, Charles, Hartley, Allen",1628248-1629546-202250-203829-204296,NYL,669.0,4,11.0,2.0,26.0,25.0,,11.0,,51.0,4.0,5.0,,,,,2.0,2.0,3.0,5.0,2.0,3.0,,3.0,7.0,,,,9.0,12.0,5.0,10.0,1.0,34.0,32.0,,,,,,,,,,,,14.0,4.0,15.0,,,7.0,3.0,1.0,7.0,5.0,12.0,3.0,2.0,4.0,1.0,2.0,29.0,,,2.0,5.0,1.0,8.0,,8.0,,,,,2.0,1.0,1.0,1.0,,1.0,,,3.0,,,2.0,11.0,,,4.0,,,2.0,,1.0,,1.0,1.0,,1.0,1.0,,34.0,,,2.0,,0.7777777777777778,0.7777777777777778,1.0,0.5,,0.5,0.75,,,0.75,,,0.7391304347826086,,,0.45454545454545453,0.08333333333333333,0.2,,,0.6666666666666666,1.0,0.7142857142857143,,0.6666666666666666,,0.7,,,,,,,0.6,1.0,,0.6666666666666666,,,109.77578475336323,1.0,13.73076923076923,12.48,13.73076923076923,12.16,0.22727272727272727,0.8,1.0,1.0,0.09090909090909091,1.0,1.0,0.5,0.22727272727272727,0.6,0.6,0.6666666666666666,0.13636363636363635,0.6666666666666666,0.6666666666666666,1.0,0.3181818181818182,0.42857142857142855,0.42857142857142855,1.0,,,,,,,,,,,0.6818181818181818,0.42857142857142855,0.49154318181818185,,,0.043478260869565216,0.07692307692307693,,,9.6,24.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628248-1629546-203829-204327-204334,1611661313,"Nayo Raincock-Ekunwe, Marine Johannes, Bria Hartley, Brittany Boyd, Reshanda Gray","Raincock-Ekunwe, Johannes, Hartley, Boyd, Gray",1628248-1629546-203829-204327-204334,NYL,77.0,1,1.0,-3.0,3.0,3.0,,,,6.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,1.0,,2.0,5.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,1.0,,,,,1.0,,,0.5,,,0.5,,,0.5,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,112.2077922077922,,16.333333333333332,9.333333333333334,16.333333333333332,9.333333333333334,,,,,0.5,1.0,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,0.45525,,,,,,,11.6,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628248-203829-204296-204327-204334,1611661313,"Nayo Raincock-Ekunwe, Bria Hartley, Rebecca Allen, Brittany Boyd, Reshanda Gray","Raincock-Ekunwe, Hartley, Allen, Boyd, Gray",1628248-203829-204296-204327-204334,NYL,421.0,3,7.0,6.0,12.0,12.0,,3.0,4.0,24.0,4.0,8.0,3.0,3.0,,,,2.0,,2.0,1.0,1.0,,1.0,2.0,,1.0,,4.0,12.0,2.0,3.0,,14.0,8.0,3.0,4.0,,1.0,,6.0,,,,,,4.0,4.0,6.0,,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,,,10.0,,5.0,,6.0,,6.0,5.0,11.0,,1.0,,1.0,,,,2.0,,,1.0,,2.0,,,1.0,8.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,8.0,,,,,0.5,0.6666666666666666,1.0,0.6666666666666666,,0.6666666666666666,0.3333333333333333,0.75,,0.4666666666666667,0.6,,0.4666666666666667,0.6,,0.2,0.08333333333333333,0.125,,,,,0.8571428571428571,0.625,,,0.8571428571428571,0.5555555555555556,0.5,0.5,1.0,,,0.5,1.0,1.0,,,,82.09026128266034,,17.5,17.583333333333332,14.333333333333334,17.083333333333332,0.5333333333333333,0.5,0.5714285714285714,0.5,0.13333333333333333,,,,0.13333333333333333,,,,0.06666666666666667,1.0,1.0,1.0,0.13333333333333333,0.5,0.5,1.0,0.6,1.0,0.3333333333333333,0.2,,,,,,,0.7333333333333333,0.5,0.4927433333333333,0.4535,,,,0.42857142857142855,,6.058333333333334,24.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628915-1629476-1629566-202250-204327,1611661313,"Kia Nurse, Asia Durr, Han Xu, Tina Charles, Brittany Boyd","Nurse, Durr, Xu, Charles, Boyd",1628915-1629476-1629566-202250-204327,NYL,103.0,2,2.0,,3.0,4.0,,4.0,,7.0,,,,,,,1.0,2.0,,,,,,,,,,,1.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.5,,,0.5,,,0.5,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,97.86407766990291,,20.333333333333332,10.5,20.333333333333332,10.5,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.38855,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628915-1629476-202250-203069-204327,1611661313,"Kia Nurse, Asia Durr, Tina Charles, Avery Warley-Talbert, Brittany Boyd","Nurse, Durr, Charles, Warley-Talbert, Boyd",1628915-1629476-202250-203069-204327,NYL,385.0,3,6.0,8.0,13.0,13.0,,10.0,,26.0,1.0,1.0,,,,,1.0,3.0,,,1.0,1.0,,4.0,5.0,,,,2.0,4.0,5.0,6.0,1.0,20.0,12.0,,,,,,,,,,,,4.0,,12.0,3.0,,5.0,4.0,,2.0,4.0,6.0,3.0,1.0,1.0,1.0,,16.0,,,,2.0,,2.0,,2.0,,2.0,2.0,,,,,2.0,2.0,,,,2.0,,,1.0,2.0,,,3.0,,2.0,2.0,,1.0,,,,,,,,20.0,,,,,1.0,1.0,0.8,0.8333333333333334,,0.8333333333333334,0.5,,,0.95,,,0.9090909090909091,,,0.6,,,,,,,0.6666666666666666,,,,0.6666666666666666,,,,,,,,0.5,1.0,,,,97.24675324675324,,15.615384615384615,14.0,15.615384615384615,14.0,0.1,1.0,1.0,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,,,,,0.1,1.0,1.0,1.0,0.5,0.8,0.8,0.75,,,,,,,,,,,0.7,0.8,0.49458,,,0.09090909090909091,0.2,,,7.2,24.316666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
1628915-1629476-202250-203839-204334,1611661313,"Kia Nurse, Asia Durr, Tina Charles, Tiffany Bias, Reshanda Gray","Nurse, Durr, Charles, Bias, Gray",1628915-1629476-202250-203839-204334,NYL,217.0,1,4.0,,7.0,7.0,,,2.0,14.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,,1.0,3.0,,,,1.0,2.0,1.0,4.0,,5.0,5.0,1.0,1.0,,1.0,,2.0,,,,,,,2.0,3.0,,2.0,3.0,1.0,,,1.0,1.0,1.0,,,,,3.0,1.0,1.0,2.0,1.0,,3.0,2.0,5.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,,3.0,,,1.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,,3.0,,,,,,,1.0,0.25,,0.25,0.5,1.0,,0.4166666666666667,0.5,,0.4166666666666667,0.5,,0.6666666666666666,,,,,0.6666666666666666,,1.0,1.0,0.6666666666666666,0.3333333333333333,0.75,0.5,1.0,,,0.5,,,1.0,,0.6666666666666666,,0.25,92.90322580645162,,12.285714285714286,18.714285714285715,10.428571428571429,16.571428571428573,0.3333333333333333,0.5,0.5,,,,,,,,,,0.16666666666666666,,,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,,,,,,,,,1.0,0.3333333333333333,0.5401583333333334,0.475025,,,,0.4,,2.1,24.125,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,1611661313,2019,2019,False
