EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Corner3Assists,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeAssists,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,ShortMidRangePctAssisted,StepOutOfBoundsTurnovers,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,LostBallTurnovers,Travels,PenaltyTurnovers,ShortMidRangePctBlocked,OffAtRimReboundPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,Blocked3s,BlockedArc3,BlockedAtRim,OffCorner3ReboundPct,LostBallSteals,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,FTOffRebounds,Charge Fouls,OffFTReboundPct,Charge Fouls Drawn,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,FTDefRebounds,DefFTReboundPct,Loose Ball Fouls,Offensive Fouls,SecondChanceAtRimPctAssisted,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,Arc3PctBlocked,HeaveAttempts,ThreePtShootingFoulsDrawn,BlockedCorner3,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,team_id,year,season,team_vs
1627670-1627671-1627675-1628280-203406,1611661323,"Morgan Tuck, Rachel Banham, Courtney Williams, Brionna Jones, Layshia Clarendon","Tuck, Banham, Williams, Jones, Clarendon",1627670-1627671-1627675-1628280-203406,CON,222.0,2,4.0,1.0,7.0,6.0,3.0,4.0,1.0,13.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,4.0,3.0,1.0,1.0,1.0,0.5,1.0,0.2,0.5,0.35714285714285715,0.6666666666666666,0.6,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,84.32432432432432,0.5,17.714285714285715,16.333333333333332,15.714285714285714,16.333333333333332,0.4,0.5,0.5,1.0,0.2,0.4,1.0,0.5,0.6,0.38757,0.36735,0.38725,0.16666666666666666,0.3333333333333333,0.8,17.85,25.133333333333336,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627671-1627678-1629485-202662,1611661323,"Morgan Tuck, Rachel Banham, Bria Holmes, Kristine Anigwe, Jasmine Thomas","Tuck, Banham, Holmes, Anigwe, Thomas",1627670-1627671-1627678-1629485-202662,CON,442.0,5,7.0,4.0,15.0,14.0,,1.0,2.0,29.0,3.0,3.0,1.0,,2.0,1.0,7.0,10.0,3.0,,17.0,13.0,1.0,,,,,,6.0,2.0,3.0,4.0,3.0,9.0,2.0,1.0,5.0,6.0,3.0,9.0,3.0,1.0,3.0,2.0,5.0,,,2.0,,,,,1.0,1.0,1.0,,13.0,,,,0.42857142857142855,0.5,0.7,,0.6538461538461539,,0.6538461538461539,,0.23076923076923078,0.6,0.5555555555555556,0.6666666666666666,1.0,0.6,0.6,,0.3333333333333333,,1.0,94.47963800904978,,14.0,16.571428571428573,12.266666666666667,13.428571428571429,0.23076923076923078,1.0,1.0,1.0,0.07692307692307693,0.15384615384615385,0.3333333333333333,,0.5384615384615384,0.46780000000000005,0.5105,,,,,8.18,25.366666666666664,,3.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.1,0.25,0.5,1.0,0.5,1.0,1.0,0.25,0.3076923076923077,0.75,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.23529411764705882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627671-1628280-202662-203015,1611661323,"Morgan Tuck, Rachel Banham, Brionna Jones, Jasmine Thomas, Shekinna Stricklen","Tuck, Banham, Jones, Thomas, Stricklen",1627670-1627671-1628280-202662-203015,CON,15.0,1,,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,,,,,2.0,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,0.5,,0.5,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,0.5,0.5,,0.5,0.404525,0.404525,,0.5,1.0,,7.1,24.5,,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,1.0,0.5,0.5,,,1.0,,1.0,,,,,,,0.5,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627671-1629485-203015-203406,1611661323,"Morgan Tuck, Rachel Banham, Kristine Anigwe, Shekinna Stricklen, Layshia Clarendon","Tuck, Banham, Anigwe, Stricklen, Clarendon",1627670-1627671-1629485-203015-203406,CON,60.0,1,1.0,-4.0,2.0,2.0,,,,4.0,,,,,1.0,,,,1.0,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,96.0,,18.0,12.0,18.0,11.5,,,,,,1.0,,,1.0,0.49005,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627673-1627675-1627678-203406,1611661323,"Morgan Tuck, Jonquel Jones, Courtney Williams, Bria Holmes, Layshia Clarendon","Tuck, Jones, Williams, Holmes, Clarendon",1627670-1627673-1627675-1627678-203406,CON,581.0,4,10.0,2.0,18.0,18.0,7.0,6.0,3.0,36.0,1.0,1.0,,,4.0,1.0,7.0,11.0,4.0,2.0,19.0,17.0,1.0,2.0,4.0,,2.0,6.0,8.0,4.0,4.0,5.0,,11.0,3.0,,5.0,5.0,4.0,9.0,4.0,,2.0,1.0,5.0,,4.0,5.0,4.0,2.0,,1.0,2.0,2.0,2.0,2.0,15.0,6.0,7.0,1.0,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.5,0.5666666666666667,0.5,0.59375,0.6,0.26666666666666666,0.8,0.625,0.75,,0.5555555555555556,0.5714285714285714,,0.75,,,89.22547332185886,1.0,18.833333333333332,13.444444444444445,16.5,12.666666666666666,0.06666666666666667,1.0,1.0,,,0.26666666666666666,0.2,,0.4,0.4121066666666667,0.410675,0.3379,,,0.3157894736842105,8.154545454545454,24.325,0.3888888888888889,1.0,2.0,,,5.0,8.0,,1.0,2.0,4.0,4.0,6.0,3.0,,2.0,1.0,,1.0,,2.0,2.0,1.0,0.25,0.25,0.5,0.4,0.4,0.18181818181818182,,0.3333333333333333,0.6666666666666666,0.3333333333333333,,0.6666666666666666,,0.13333333333333333,0.5,0.5,0.5333333333333333,0.625,0.8333333333333334,,,,,,0.21052631578947367,3.0,,,0.6,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.25,1.0,1.0,0.25,0.25,1.0,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627673-1627678-202662-203826,1611661323,"Morgan Tuck, Jonquel Jones, Bria Holmes, Jasmine Thomas, Alyssa Thomas","Tuck, Jones, Holmes, Thomas, Thomas",1627670-1627673-1627678-202662-203826,CON,259.0,1,4.0,-2.0,9.0,9.0,,,,18.0,,,,,1.0,,2.0,5.0,1.0,2.0,6.0,8.0,,,,,,,2.0,1.0,1.0,1.0,,2.0,,2.0,2.0,4.0,,4.0,1.0,,1.0,,1.0,,2.0,3.0,2.0,4.0,2.0,,,,1.0,1.0,6.0,,,,0.5,0.5,0.4,,0.3333333333333333,,0.375,,0.16666666666666666,1.0,1.0,,1.0,1.0,,,1.0,1.0,,100.07722007722008,1.0,13.777777777777779,15.0,13.777777777777779,15.0,,,,,,0.16666666666666666,,,0.5,0.3918083333333333,,,0.25,0.2857142857142857,,6.24,24.2,,2.0,2.0,,,,3.0,,,,,,2.0,,,1.0,,,,,1.0,1.0,,,,,,,0.2,,,,,,1.0,,0.3333333333333333,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,1.0,,,,0.3333333333333333,,0.5,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627675-1627678-1628280-202662,1611661323,"Morgan Tuck, Courtney Williams, Bria Holmes, Brionna Jones, Jasmine Thomas","Tuck, Williams, Holmes, Jones, Thomas",1627670-1627675-1627678-1628280-202662,CON,489.0,5,8.0,5.0,18.0,15.0,5.0,10.0,2.0,33.0,1.0,1.0,1.0,,3.0,,5.0,11.0,4.0,5.0,21.0,16.0,,1.0,4.0,,2.0,4.0,2.0,3.0,1.0,3.0,,8.0,1.0,3.0,3.0,6.0,2.0,8.0,,,,1.0,1.0,,,1.0,3.0,6.0,3.0,,1.0,,1.0,1.0,19.0,4.0,5.0,,0.2,0.2,0.45454545454545453,0.25,0.5333333333333333,0.25,0.5833333333333334,0.4,0.26666666666666666,,1.0,0.16666666666666666,0.75,0.8571428571428571,0.25,,,0.75,,97.17791411042944,1.0,13.277777777777779,16.666666666666668,12.944444444444445,16.666666666666668,0.06666666666666667,1.0,1.0,,0.06666666666666667,0.2,,,0.7333333333333333,0.54997,0.7316,0.69365,0.16666666666666666,0.21428571428571427,0.19047619047619047,5.745454545454546,24.3,0.2777777777777778,2.0,7.0,,1.0,2.0,3.0,,2.0,1.0,2.0,2.0,8.0,6.0,,,2.0,,1.0,1.0,,,1.0,0.5,0.5,0.5,0.5,0.5,,,0.5,,,1.0,,0.125,0.4666666666666667,0.2857142857142857,0.2857142857142857,0.2,0.6666666666666666,0.6666666666666666,,,,0.5,,0.09523809523809523,1.0,,,0.5,,1.0,4.0,2.0,2.0,2.0,,,1.0,,,0.2,,0.6666666666666666,0.6666666666666666,1.0,1.0,0.25,0.6666666666666666,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627675-1627678-1628280-203406,1611661323,"Morgan Tuck, Courtney Williams, Bria Holmes, Brionna Jones, Layshia Clarendon","Tuck, Williams, Holmes, Jones, Clarendon",1627670-1627675-1627678-1628280-203406,CON,246.0,2,4.0,3.0,10.0,9.0,1.0,,,19.0,,1.0,,,2.0,,1.0,3.0,2.0,2.0,10.0,7.0,,,,,,,2.0,2.0,1.0,3.0,,8.0,,2.0,3.0,5.0,,5.0,2.0,,,,2.0,,1.0,4.0,2.0,4.0,2.0,,2.0,,2.0,1.0,10.0,,1.0,,1.0,1.0,0.3333333333333333,,0.8,,0.7142857142857143,,0.4,1.0,0.75,,1.0,0.8333333333333334,,,1.0,1.0,,111.21951219512196,0.5,9.5,16.77777777777778,9.5,15.222222222222221,0.2,,,,,0.4,,,0.4,0.47424,,,0.2857142857142857,0.4,,14.4,25.75,0.1,,,,,1.0,2.0,,2.0,,,,,6.0,,,2.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,0.4,0.5,0.5,,,,,,,1.0,,,1.0,,,,2.0,2.0,2.0,,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627670-1627675-1628280-203406-203826,1611661323,"Morgan Tuck, Courtney Williams, Brionna Jones, Layshia Clarendon, Alyssa Thomas","Tuck, Williams, Jones, Clarendon, Thomas",1627670-1627675-1628280-203406-203826,CON,15.0,1,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,0.5,0.5,,,,,,,,,,,,192.0,,14.0,1.0,14.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
1627671-1627673-1627675-1627678-1629485,1611661323,"Rachel Banham, Jonquel Jones, Courtney Williams, Bria Holmes, Kristine Anigwe","Banham, Jones, Williams, Holmes, Anigwe",1627671-1627673-1627675-1627678-1629485,CON,83.0,1,1.0,3.0,2.0,3.0,,2.0,1.0,5.0,,,,,1.0,1.0,,1.0,1.0,,3.0,,1.0,,,,,,,1.0,,1.0,,3.0,1.0,2.0,1.0,3.0,1.0,4.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,0.75,,0.75,,0.5,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,86.74698795180723,,11.5,20.0,7.0,20.0,,,,,,0.5,1.0,,0.5,0.470325,0.54285,,,,,5.3,23.8,,,,,,,1.0,,1.0,,,3.0,,3.0,,,1.0,,,,,,1.0,1.0,1.0,,1.5,1.5,,,,1.0,,,,,,,,0.5,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661323,2019,2019,False
