EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Charge Fouls Drawn,LongMidRangePctBlocked,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,StepOutOfBoundsTurnovers,PenaltyTurnovers,Charge Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyFg3Pct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,HeaveAttempts,Blocked3s,BlockedArc3,3SecondViolations,Corner3PctBlocked,team_id,year,season,team_vs
1629482-201507-201886-201896-203398,1611661317,"Sophie Cunningham, Leilani Mitchell, DeWanna Bonner, Briann January, Brittney Griner","Cunningham, Mitchell, Bonner, January, Griner",1629482-201507-201886-201896-203398,PHO,3190.0,11,53.0,1.0,105.0,106.0,9.0,12.0,12.0,211.0,18.0,30.0,5.0,7.0,2.0,4.0,8.0,26.0,8.0,16.0,1.0,8.0,23.0,1.0,2.0,1.0,34.0,72.0,8.0,24.0,15.0,107.0,106.0,5.0,10.0,1.0,2.0,3.0,16.0,5.0,8.0,1.0,2.0,12.0,34.0,34.0,18.0,6.0,6.0,23.0,8.0,6.0,1.0,17.0,6.0,23.0,6.0,10.0,4.0,3.0,52.0,4.0,14.0,15.0,23.0,1.0,39.0,18.0,57.0,5.0,13.0,10.0,3.0,7.0,5.0,3.0,10.0,1.0,4.0,1.0,17.0,1.0,5.0,14.0,1.0,1.0,22.0,2.0,1.0,19.0,3.0,11.0,5.0,1.0,2.0,2.0,5.0,5.0,91.0,12.0,9.0,2.0,1.0,0.5,0.5483870967741935,0.75,0.3333333333333333,0.5,0.3333333333333333,0.4722222222222222,0.5,0.625,0.4791666666666667,0.5416666666666666,0.5555555555555556,0.5144230769230769,0.5714285714285714,0.6,0.25,0.041666666666666664,0.08333333333333333,0.1,0.11538461538461539,0.043478260869565216,0.4117647058823529,0.5,0.7666666666666667,0.3684210526315789,0.8333333333333334,0.26666666666666666,0.7916666666666666,0.33962264150943394,0.4166666666666667,0.3333333333333333,0.375,0.2857142857142857,0.6,0.8888888888888888,0.8181818181818182,0.7,1.0,0.10869565217391304,95.24764890282133,1.0,15.095238095238095,15.141509433962264,14.123809523809523,14.70754716981132,0.3125,0.6,0.6666666666666666,0.5555555555555556,0.2708333333333333,0.3076923076923077,0.34782608695652173,0.5,0.16666666666666666,0.5,0.5,0.375,0.010416666666666666,0.23958333333333334,0.34782608695652173,0.36363636363636365,0.75,0.5833333333333334,0.7142857142857143,0.2,0.16666666666666666,0.5,1.0,0.4444444444444444,0.5,0.1111111111111111,0.5625,0.34782608695652173,0.4912863157894736,0.4896181818181818,0.490325,0.10576923076923077,0.1375,0.14953271028037382,0.11214953271028037,7.588888888888889,25.433333333333334,0.08571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
1629482-201507-201886-203389-203398,1611661317,"Sophie Cunningham, Leilani Mitchell, DeWanna Bonner, Yvonne Turner, Brittney Griner","Cunningham, Mitchell, Bonner, Turner, Griner",1629482-201507-201886-203389-203398,PHO,740.0,4,12.0,-1.0,22.0,22.0,,5.0,2.0,44.0,6.0,7.0,1.0,1.0,,,2.0,6.0,,2.0,1.0,2.0,6.0,1.0,1.0,,8.0,15.0,2.0,7.0,,22.0,23.0,1.0,1.0,1.0,1.0,,5.0,,,,,,10.0,6.0,6.0,,,6.0,2.0,3.0,,5.0,2.0,7.0,2.0,4.0,1.0,,16.0,,2.0,1.0,4.0,,5.0,2.0,7.0,1.0,3.0,2.0,1.0,1.0,,,1.0,,1.0,,2.0,,3.0,6.0,,,7.0,,1.0,,,,,,,,,,17.0,,,,,0.625,0.625,1.0,0.2857142857142857,1.0,0.2857142857142857,0.5333333333333333,1.0,,0.5,1.25,,0.5,1.25,,0.3181818181818182,,0.2,0.14285714285714285,0.16666666666666666,,0.5,,0.8,0.2857142857142857,0.5,,0.7142857142857143,0.16666666666666666,1.0,0.25,,,1.0,0.75,,0.5,,0.1111111111111111,85.62162162162161,,19.045454545454547,14.590909090909092,18.818181818181817,14.272727272727273,0.3181818181818182,0.8571428571428571,1.0,0.6666666666666666,0.2727272727272727,0.3333333333333333,0.4,0.5,0.09090909090909091,,,,0.045454545454545456,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.5,1.0,1.0,,,,0.6363636363636364,0.3333333333333333,0.4762886363636364,0.56895,,,,0.22727272727272727,,5.746666666666667,24.114285714285717,,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
101023-201507-201886-201896-203398,1611661317,"Sancho Lyttle, Leilani Mitchell, DeWanna Bonner, Briann January, Brittney Griner","Lyttle, Mitchell, Bonner, January, Griner",101023-201507-201886-201896-203398,PHO,3731.0,13,62.0,-9.0,115.0,115.0,28.0,27.0,21.0,230.0,21.0,32.0,5.0,6.0,3.0,7.0,6.0,26.0,8.0,21.0,3.0,4.0,26.0,,3.0,7.0,35.0,79.0,6.0,29.0,21.0,109.0,118.0,7.0,12.0,1.0,4.0,4.0,21.0,8.0,17.0,10.0,4.0,32.0,42.0,28.0,18.0,,8.0,26.0,4.0,10.0,,21.0,6.0,27.0,4.0,13.0,4.0,4.0,60.0,8.0,15.0,13.0,31.0,1.0,45.0,23.0,68.0,2.0,6.0,3.0,3.0,8.0,5.0,4.0,13.0,1.0,4.0,1.0,21.0,4.0,3.0,18.0,2.0,1.0,28.0,,4.0,24.0,2.0,10.0,3.0,2.0,1.0,,3.0,2.0,88.0,30.0,27.0,3.0,,0.6,0.6774193548387096,1.0,0.20689655172413793,0.25,0.20689655172413793,0.4430379746835443,0.5833333333333334,0.47058823529411764,0.4074074074074074,0.53125,0.5185185185185185,0.4576271186440678,0.5833333333333334,0.5333333333333333,0.26851851851851855,,0.12658227848101267,0.125,0.19230769230769232,,0.38095238095238093,1.0,0.8611111111111112,0.3488372093023256,0.9285714285714286,0.34782608695652173,0.88,0.3484848484848485,0.2727272727272727,0.15789473684210525,0.6923076923076923,0.3181818181818182,0.7,0.9,0.9375,0.8888888888888888,1.0,0.03508771929824561,88.76976681854731,0.6666666666666666,17.46086956521739,14.982608695652173,16.304347826086957,14.721739130434782,0.2962962962962963,0.65625,0.75,0.6190476190476191,0.24074074074074073,0.23076923076923078,0.2857142857142857,0.6666666666666666,0.19444444444444445,0.38095238095238093,0.4,0.5,0.027777777777777776,0.24074074074074073,0.15384615384615385,0.15384615384615385,1.0,0.375,0.8333333333333334,0.2,0.1875,,,0.25925925925925924,0.42857142857142855,0.25925925925925924,0.5648148148148148,0.15384615384615385,0.4732342592592592,0.44255,0.4463111111111111,0.09401709401709402,0.11494252873563218,0.1926605504587156,0.29357798165137616,8.386075949367088,25.117241379310343,0.24347826086956523,,0.047619047619047616,2.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,0.4,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0625,1.0,1.0,0.1111111111111111,0.6666666666666666,0.2857142857142857,0.03333333333333333,,,,,,,,,1611661317,2019,2019,True
100940-101023-1629488-201896-203389,1611661317,"Diana Taurasi, Sancho Lyttle, Brianna Turner, Briann January, Yvonne Turner","Taurasi, Lyttle, Turner, January, Turner",100940-101023-1629488-201896-203389,PHO,43.0,1,1.0,,2.0,1.0,2.0,1.0,,3.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,100.46511627906976,,15.5,12.0,15.5,12.0,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,0.5,1.0,,0.35935,,0.35935,,,,,1.9,24.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
100940-101023-201507-201886-203398,1611661317,"Diana Taurasi, Sancho Lyttle, Leilani Mitchell, DeWanna Bonner, Brittney Griner","Taurasi, Lyttle, Mitchell, Bonner, Griner",100940-101023-201507-201886-203398,PHO,270.0,3,4.0,,8.0,10.0,5.0,9.0,2.0,18.0,2.0,3.0,,1.0,2.0,3.0,,1.0,,1.0,,1.0,3.0,,,,2.0,5.0,1.0,3.0,3.0,10.0,10.0,,1.0,,,2.0,2.0,2.0,5.0,,1.0,5.0,2.0,2.0,3.0,,,3.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,5.0,1.0,1.0,1.0,2.0,,3.0,2.0,5.0,,1.0,1.0,,,,,,,,,,,,1.0,,,2.0,,,4.0,,1.0,,,,,,,8.0,5.0,5.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,,0.3333333333333333,0.4,,0.4,0.4375,,0.4,0.5,0.5,0.4166666666666667,0.375,,,,,,,,1.0,0.3333333333333333,0.5,0.5,0.75,0.4,,,1.0,0.5,,,1.0,0.5,,,96.0,,14.75,15.2,13.375,15.1,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,,,,0.125,,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,0.6,0.6666666666666666,,0.75,0.3333333333333333,0.4643625,0.5694,0.46818,0.1111111111111111,0.16666666666666666,0.2,0.5,8.32,25.633333333333336,0.625,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
100940-101023-201896-203389-203398,1611661317,"Diana Taurasi, Sancho Lyttle, Briann January, Yvonne Turner, Brittney Griner","Taurasi, Lyttle, January, Turner, Griner",100940-101023-201896-203389-203398,PHO,16.0,1,,,1.0,2.0,,2.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,270.0,,4.0,6.0,4.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.812,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
100940-1629482-1629488-201067-203389,1611661317,"Diana Taurasi, Sophie Cunningham, Brianna Turner, Camille Little, Yvonne Turner","Taurasi, Cunningham, Turner, Little, Turner",100940-1629482-1629488-201067-203389,PHO,118.0,1,2.0,-3.0,4.0,4.0,,,,8.0,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,2.0,,,,2.0,5.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,2.0,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,2.0,,,,,,2.0,1.0,,2.0,,1.0,,,,,,,2.0,,,,,1.0,1.0,,,,,0.5,,,0.5,,,0.3333333333333333,,,,,,,,,0.5,,,,1.0,,1.0,,,,,,,,,1.0,,,97.6271186440678,,16.5,13.0,16.5,13.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,0.53435,,,0.3333333333333333,0.3333333333333333,,,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
100940-1629482-1629488-201896-203398,1611661317,"Diana Taurasi, Sophie Cunningham, Brianna Turner, Briann January, Brittney Griner","Taurasi, Cunningham, Turner, January, Griner",100940-1629482-1629488-201896-203398,PHO,29.0,1,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6551724137931,,15.0,,15.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.4115,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
100940-1629488-201507-201896-203398,1611661317,"Diana Taurasi, Brianna Turner, Leilani Mitchell, Briann January, Brittney Griner","Taurasi, Turner, Mitchell, January, Griner",100940-1629488-201507-201896-203398,PHO,238.0,1,4.0,2.0,8.0,7.0,,,1.0,15.0,2.0,4.0,1.0,1.0,,,,,1.0,1.0,,1.0,2.0,,,,3.0,5.0,1.0,2.0,1.0,10.0,8.0,1.0,1.0,,,,2.0,,,,,,2.0,4.0,3.0,,2.0,2.0,1.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,5.0,1.0,,,3.0,,3.0,1.0,4.0,,,,,,2.0,,2.0,,,,2.0,,1.0,2.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,8.0,,,,,0.3333333333333333,0.5,1.0,0.5,,0.5,0.6,1.0,,0.6428571428571429,1.0,,0.7142857142857143,1.0,,0.2857142857142857,,0.4,0.5,,,,,0.75,,,1.0,0.6,0.3333333333333333,,,,1.0,1.0,,1.0,,,,90.7563025210084,1.0,13.0,19.142857142857142,12.875,17.142857142857142,0.5714285714285714,0.5,1.0,0.5,,,,,0.14285714285714285,1.0,1.0,,,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,,,,,,,,0.8571428571428571,0.5,0.5224714285714286,,,0.14285714285714285,0.2,0.2,,5.26,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
100940-1629488-201886-203389-203398,1611661317,"Diana Taurasi, Brianna Turner, DeWanna Bonner, Yvonne Turner, Brittney Griner","Taurasi, Turner, Bonner, Turner, Griner",100940-1629488-201886-203389-203398,PHO,109.0,2,2.0,-3.0,4.0,5.0,4.0,2.0,,9.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,2.0,,1.0,,2.0,5.0,,,,,,,1.0,2.0,1.0,,2.0,2.0,,,,,1.0,,,,1.0,,1.0,,,1.0,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,1.0,,,,1.0,,1.0,2.0,,1.0,1.0,,1.0,,,,,,,,,,2.0,2.0,4.0,,,1.0,1.0,,,,,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,118.89908256880734,,11.5,12.6,11.5,12.6,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,0.47845,,0.47845,,,,1.0,6.05,40.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1611661317,2019,2019,True
