EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,ShortMidRangeFGM,LongMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,PtsAssisted2s,Fg3aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,FtPoints,AtRimAssists,Steals,LostBallSteals,Offensive Fouls,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChancePointsPct,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,BadPassSteals,PenaltyFtPoints,PenaltyPoints,LostBallTurnovers,NonShootingFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,SecondChanceFtPoints,OffLongMidRangeReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,FTDefRebounds,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,PtsUnassisted3s,BlockedAtRim,team_id,year,season,team_vs
1627701-1628882-1629483-200671-203024,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Seimone Augustus, Damiris Dantas","Fagbenle, Brown, Collier, Augustus, Dantas",1627701-1628882-1629483-200671-203024,MIN,215.0,1,4.0,-6.0,5,5,2.0,10,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.25,0.2,0.2,0.2,0.25,1.0,0.3333333333333333,0.5,0.5,0.25,1.0,0.5,66.9767441860465,26.8,16.2,26.8,16.2,0.4,0.5,0.5,0.2,0.2,0.2,0.6,0.43827999999999995,7.55,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1628882-1629483-200671-203855,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Seimone Augustus, Stephanie Talbot","Fagbenle, Brown, Collier, Augustus, Talbot",1627701-1628882-1629483-200671-203855,MIN,264.0,1,4.0,-2.0,8,8,5.0,16,,,3.0,3.0,1.0,3.0,6.0,1.0,6.0,8.0,4.0,1.0,2.0,,1.0,3.0,,3.0,1.0,,2.0,,2.0,,6.0,0.5,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.3333333333333333,,0.5,0.6,,,0.5,87.27272727272727,15.375,17.625,15.125,16.0,,,,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.3789142857142857,12.683333333333332,23.7,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666,1.0,0.5,0.3333333333333333,0.5,1.0,0.6666666666666666,1.0,1.0,0.3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1628882-1629483-203024-203855,1611661324,"Temi Fagbenle, Lexie Brown, Napheesa Collier, Damiris Dantas, Stephanie Talbot","Fagbenle, Brown, Collier, Dantas, Talbot",1627701-1628882-1629483-203024-203855,MIN,26.0,1,,3.0,1,1,,2,,,,,1.0,,,1.0,3.0,,,1.0,,,,1.0,,1.0,,,,,,,3.0,,1.5,1.5,1.0,,,,,1.0,,,,110.76923076923076,12.0,14.0,12.0,14.0,,,,,,1.0,1.0,0.516,,25.4,,,,,,,,,1.0,,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1629483-200671-202658-203855,1611661324,"Temi Fagbenle, Napheesa Collier, Seimone Augustus, Danielle Robinson, Stephanie Talbot","Fagbenle, Collier, Augustus, Robinson, Talbot",1627701-1629483-200671-202658-203855,MIN,181.0,1,3.0,4.0,5,5,,10,,,1.0,3.0,1.0,2.0,4.0,1.0,4.0,,4.0,1.0,,,3.0,5.0,1.0,6.0,,,1.0,,,,4.0,0.5,0.4,0.4,0.2,,,,1.0,0.7142857142857143,0.3333333333333333,,1.0,79.55801104972376,14.0,22.2,13.8,19.0,,,,0.2,0.6,0.2,0.2,0.40395000000000003,18.175,26.9,1.0,,2.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.5,,1.0,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1629483-200671-203024-203824,1611661324,"Temi Fagbenle, Napheesa Collier, Seimone Augustus, Damiris Dantas, Odyssey Sims","Fagbenle, Collier, Augustus, Dantas, Sims",1627701-1629483-200671-203024-203824,MIN,66.0,1,1.0,-1.0,2,2,,4,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,1.0,,1.0,,,,1.0,2.0,,2.0,1.0,0.5,0.5,0.5,,,,,1.0,,,,87.27272727272727,15.0,18.0,15.0,18.0,0.5,1.0,1.0,,,0.5,1.0,0.575825,2.5,23.6,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1627701-1629483-202658-203024-203824,1611661324,"Temi Fagbenle, Napheesa Collier, Danielle Robinson, Damiris Dantas, Odyssey Sims","Fagbenle, Collier, Robinson, Dantas, Sims",1627701-1629483-202658-203024-203824,MIN,204.0,1,3.0,2.0,8,9,,17,3.0,3.0,,2.0,2.0,3.0,5.0,2.0,13.0,11.0,,2.0,,,1.0,2.0,,2.0,1.0,,1.0,,1.0,2.0,13.0,0.6,0.8571428571428571,0.9285714285714286,0.2857142857142857,,,,0.5,0.6666666666666666,,,0.5,120.0,10.0,13.777777777777779,10.0,13.555555555555555,0.42857142857142855,1.0,1.0,,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.5065857142857143,9.440000000000001,24.75,,,,,,6.0,,3.0,5.0,,12.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1628882-1629483-200671-201480-203024,1611661324,"Lexie Brown, Napheesa Collier, Seimone Augustus, Sylvia Fowles, Damiris Dantas","Brown, Collier, Augustus, Fowles, Dantas",1628882-1629483-200671-201480-203024,MIN,88.0,1,1.0,2.0,2,1,,3,,,1.0,1.0,,1.0,2.0,,2.0,,2.0,,,1.0,,,1.0,1.0,,,,,,,,0.5,0.5,0.5,,,,1.0,,,1.0,1.0,,49.09090909090909,17.5,53.0,14.5,51.0,,,,0.5,0.5,,,0.3843,11.3,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1628882-1629483-200671-201480-203824,1611661324,"Lexie Brown, Napheesa Collier, Seimone Augustus, Sylvia Fowles, Odyssey Sims","Brown, Collier, Augustus, Fowles, Sims",1628882-1629483-200671-201480-203824,MIN,23.0,1,,,1,1,1.0,2,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,125.21739130434781,14.0,9.0,14.0,9.0,,,,,,1.0,1.0,0.4875,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.4875,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1628882-1629483-200671-201480-203855,1611661324,"Lexie Brown, Napheesa Collier, Seimone Augustus, Sylvia Fowles, Stephanie Talbot","Brown, Collier, Augustus, Fowles, Talbot",1628882-1629483-200671-201480-203855,MIN,132.0,1,2.0,4.0,4,5,3.0,9,3.0,3.0,1.0,,,3.0,4.0,,6.0,2.0,4.0,,,,,1.0,,1.0,,,,,1.0,,6.0,0.75,0.75,0.75,,,,,,1.0,,,,98.18181818181817,15.0,14.4,15.0,14.4,0.75,1.0,1.0,0.25,,,0.75,0.44995,4.175,,,,,,,2.0,,1.0,1.0,,2.0,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
1628882-1629483-201480-202658-203024,1611661324,"Lexie Brown, Napheesa Collier, Sylvia Fowles, Danielle Robinson, Damiris Dantas","Brown, Collier, Fowles, Robinson, Dantas",1628882-1629483-201480-202658-203024,MIN,38.0,1,1.0,2.0,2,1,,3,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,0.5,,,,,,,,,,113.6842105263158,10.0,18.0,10.0,18.0,,,,1.0,,,,0.4327,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,2.0,,1.0,,0.5,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1611661324,2019,2019,True
